region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
IARE101001,21,41,39,373,501,479,956,892,898,1040,1000,1020,155,138,140,1.2,1.1,1.1,3.1,2.4,2.5,5.3,1.6,2.2
IARE101002,19,39,36,397,598,577,942,1123,1096,1430,1517,1517,180,200,200,1.2,1.1,1.1,3.3,2.5,2.6,9.3,1.3,2.3
IARE101003,21,46,44,332,432,416,654,794,776,1300,910,1000,137,120,128,1.2,1.1,1.1,3.0,2.3,2.4,10.7,1.7,2.9
IARE101004,18,44,39,405,510,493,763,879,854,1224,1083,1083,150,120,140,1.2,1.1,1.1,3.1,2.4,2.5,5.8,1.1,2.1
IARE101005,18,41,39,359,470,458,746,909,891,1083,1300,1300,140,150,150,1.2,1.1,1.1,3.1,2.4,2.5,7.4,1.9,2.4
IARE101006,23,45,42,343,530,492,682,918,882,730,900,900,130,100,110,1.1,1.1,1.1,2.8,2.3,2.3,7.2,0.7,1.7
IARE101007,19,47,45,322,386,381,730,687,692,758,867,867,133,111,120,1.2,1.1,1.1,3.3,2.3,2.4,9.2,1.8,2.4
IARE101008,23,46,41,348,425,405,754,758,758,1062,1200,1155,135,130,130,1.2,1.1,1.1,3.2,2.3,2.4,6.1,2.0,2.7
IARE102001,20,36,35,338,507,494,755,1017,993,1300,1452,1450,195,210,200,1.2,1.1,1.1,3.1,2.4,2.4,8.8,2.0,2.4
IARE102002,23,48,46,323,398,395,808,729,733,1734,1083,1083,150,155,155,1.2,1.1,1.1,3.1,2.2,2.3,9.4,1.3,1.8
IARE102003,20,42,40,366,500,485,780,960,935,1185,1300,1300,180,190,185,1.2,1.1,1.1,3.1,2.4,2.5,7.9,1.5,2.3
IARE102004,21,43,41,342,428,417,810,803,804,1300,1083,1083,178,130,140,1.3,1.1,1.1,3.8,2.4,2.5,10.2,1.8,2.5
IARE102005,18,43,42,308,426,417,728,779,775,1083,1170,1170,165,145,150,1.2,1.1,1.1,3.3,2.4,2.4,10.3,2.3,2.7
IARE102006,24,46,44,360,444,433,784,804,800,1060,1114,1109,150,150,150,1.1,1.1,1.1,3.0,2.3,2.4,6.1,1.3,1.9
IARE102007,24,38,35,316,655,565,696,1172,1046,1344,1337,1337,150,175,160,1.2,1.1,1.1,3.1,2.3,2.5,10.1,1.6,3.5
IARE102008,19,39,36,305,619,550,841,1096,1047,1213,975,982,110,36,75,1.3,1.1,1.1,3.7,2.5,2.7,15.5,2.3,4.1
IARE102009,20,35,34,453,630,619,1298,1408,1401,1733,1733,1733,208,231,230,1.2,1.1,1.1,3.2,2.5,2.6,5.3,2.2,2.4
IARE102010,21,41,39,344,543,520,741,1014,980,1300,1300,1300,143,140,140,1.2,1.1,1.1,3.1,2.4,2.5,9.0,1.6,2.4
IARE102011,19,41,39,377,527,516,868,969,959,1400,1437,1430,200,205,200,1.2,1.1,1.1,3.1,2.4,2.5,8.6,1.7,2.3
IARE102012,19,49,47,290,383,377,630,700,694,1064,1083,1083,135,158,150,1.2,1.1,1.1,3.2,2.2,2.3,11.4,2.2,2.8
IARE102013,20,39,39,419,556,552,1149,1069,1073,1218,1625,1600,180,170,170,1.2,1.1,1.1,3.3,2.4,2.4,6.6,1.4,1.6
IARE102014,21,45,43,321,485,474,751,920,909,1300,1200,1213,125,140,135,1.2,1.1,1.1,3.0,2.4,2.5,9.4,1.5,2.1
IARE103001,25,39,35,413,678,600,900,1165,1082,867,914,888,120,54,89,1.3,1.1,1.1,3.2,2.3,2.6,9.4,1.1,3.7
IARE103002,25,44,33,302,591,369,718,1008,804,542,477,510,90,25,74,1.3,1.1,1.2,3.2,2.0,2.7,15.0,3.6,10.0
IARE103003,22,37,35,367,611,580,1125,1286,1256,1192,1307,1300,135,143,140,1.1,1.1,1.1,3.0,2.3,2.4,6.5,1.6,2.3
IARE103004,23,47,40,351,488,440,739,832,800,867,800,832,130,100,120,1.2,1.1,1.1,3.1,2.2,2.4,7.5,1.7,3.3
IARE103005,22,45,43,339,431,417,759,795,791,780,953,930,135,150,140,1.3,1.1,1.1,3.1,2.2,2.3,12.7,1.8,2.8
IARE103006,25,47,41,341,403,387,720,699,704,806,867,867,130,35,100,1.2,1.1,1.1,3.1,2.0,2.3,11.9,2.8,5.0
IARE104001,21,46,45,364,500,496,847,933,930,1700,1733,1733,216,290,290,1.2,1.1,1.1,3.1,2.3,2.4,10.5,1.7,2.0
IARE104002,23,43,42,361,479,477,855,886,885,1950,1668,1684,300,350,345,1.2,1.1,1.1,3.0,2.4,2.4,8.8,3.1,3.3
IARE104003,20,38,37,386,476,472,1067,1041,1042,1473,1517,1517,230,230,230,1.2,1.1,1.1,3.3,2.5,2.6,12.0,3.0,3.5
IARE104004,20,47,46,331,401,396,773,768,768,1426,1300,1300,200,210,210,1.2,1.1,1.1,3.2,2.3,2.4,10.5,2.4,2.9
IARE104005,20,45,44,348,443,438,814,839,838,1517,1500,1500,230,240,240,1.2,1.1,1.1,3.2,2.4,2.4,11.3,2.3,2.7
IARE104006,21,47,46,383,462,459,949,911,913,1430,1560,1550,200,175,180,1.1,1.1,1.1,3.1,2.4,2.4,4.6,2.1,2.3
IARE104007,21,42,42,390,536,533,1093,1089,1089,2000,1950,1950,280,280,280,1.2,1.1,1.1,3.1,2.5,2.5,7.6,1.9,2.0
IARE104008,22,53,52,345,397,395,761,728,729,1465,1400,1400,210,220,220,1.2,1.1,1.1,2.9,2.2,2.2,7.4,1.8,2.0
IARE104009,21,47,45,335,391,385,702,753,748,1300,1300,1300,177,200,190,1.3,1.1,1.1,3.3,2.3,2.4,13.5,2.8,3.9
IARE104010,23,47,45,316,379,377,700,717,716,1300,1100,1100,130,175,165,1.3,1.1,1.1,3.2,2.3,2.4,13.9,3.2,3.8
IARE104011,20,42,41,404,523,520,1036,1121,1117,1733,1733,1733,250,260,260,1.2,1.1,1.1,3.2,2.5,2.5,8.9,2.3,2.5
IARE104012,19,41,40,349,475,470,823,910,906,1517,1495,1495,210,225,220,1.2,1.1,1.1,3.2,2.4,2.4,11.1,2.6,3.0
IARE104013,19,36,36,396,567,562,1132,1301,1291,1733,1733,1733,228,260,257,1.2,1.1,1.1,3.3,2.6,2.7,9.1,2.1,2.4
IARE104014,23,37,37,411,567,563,1046,1169,1165,1733,1777,1777,250,275,275,1.2,1.1,1.1,2.9,2.3,2.4,8.1,2.5,2.7
IARE104015,19,47,47,372,450,447,807,837,836,1600,1647,1647,240,250,250,1.2,1.1,1.1,3.1,2.3,2.3,8.6,1.6,1.8
IARE104016,19,43,42,380,501,497,1042,997,999,1783,1700,1733,235,250,250,1.2,1.1,1.1,3.3,2.5,2.5,10.0,1.8,2.2
