region_id,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,InfPrim_Indig_M,InfPrim_Indig_F,InfPrim_Indig_P,InfPrim_NonInd_M,InfPrim_NonInd_F,InfPrim_NonInd_P,InfPrim_Indig_st_nsM,InfPrim_Indig_st_nsF,InfPrim_Indig_st_nsP,InfPrim_TotM,InfPrim_TotF,InfPrim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TFEI_FT_St_15_24_In_M,TFEI_FT_St_15_24_Id_F,TFEI_FT_St_15_24_Id_P,TFEI_FT_St_15_24_No_Id_M,TFEI_FT_St_15_24_No_Id_F,TFEI_FT_St_15_24_No_I_P,TFEI_FT_St_15_24_I_s_n_s_M,TFEI_FT_St_15_24_I_s_n_s_F,TFEI_FT_St_15_24_I_s_n_s_P,TFEI_FT_St_15_24_TotM,TFEI_FT_St_15_24_TotF,TFEI_FT_St_15_24_TotP,TFEI_FT_St_25over_Id_M,TFEI_FT_St_25over_Id_F,TFEI_FT_St_25over_Id_P,TFEI_FT_St_25ov_Non_Id_M,TFEI_FT_St_25ov_Non_Id_F,TFEI_FT_St_25ov_Non_Id_P,TFEI_FT_St_25ov_I_s_n_st_M,TFEI_FT_St_25ov_I_s_n_st_F,TFEI_FT_St_25ov_I_s_n_st_P,TFEI_FT_St_25ov_TotM,TFEI_FT_St_25ov_TotF,TFEI_FT_St_25ov_TotP,TFEI_PT_St_15_24_Id_M,TFEI_PT_St_15_24_Id_F,TFEI_PT_St_15_24_Id_P,TFEI_PT_St_15_24_Non_Id_M,TFEI_PT_St_15_24_No_Id_F,TFEI_PT_St_15_24_No_Id_P,TFEI_PT_St_15_24_I_s_n_s_M,TFEI_PT_St_15_24_I_s_n_s_F,TFEI_PT_St_15_24_I_s_n_s_P,TFEI_PT_St_15_24_TotM,TFEI_PT_St_15_24_TotF,TFEI_PT_St_15_24_TotP,TFEI_PT_St_25ov_Id_M,TFEI_PT_St_25ov_Id_F,TFEI_PT_St_25ov_Id_P,TFEI_PT_St_25ov_Non_Id_M,TFEI_PT_St_25ov_Non_Id_F,TFEI_PT_St_25ov_Non_Id_P,TFEI_PT_St_25ov_I_s_n_s_M,TFEI_PT_St_25ov_I_s_n_s_F,TFEI_PT_St_25ov_Id_s_n_s_P,TFEI_PT_St_25ov_TotM,TFEI_PT_St_25ov_TotF,TFEI_PT_St_25ov_TotP,TFEI_FT_PT_s_s_nt_st_Id_M,TFEI_FT_PT_s_s_nt_st_Id_F,TFEI_FT_PT_s_s_nt_st_Id_P,TFEI_FT_PT_s_s_nt_s_N_I_M,TFEI_FT_PT_s_s_n_st_N_I_F,TFEI_FT_PT_s_s_n_s_No_Id_P,TFEI_F_P_s_s_n_s_I_s_n_s_M,TFEI_F_P_s_s_n_s_I_s_n_s_F,TFEI_F_P_s_s_n_s_I_s_n_s_P,TFEI_FT_PT_s_s_nt_st_To_M,TFEI_FT_PT_s_s_nt_st_To_F,TFEI_FT_PT_s_s_nt_st_To_P,TFEI_Tot_Indig_M,TFEI_Tot_Indig_F,TFEI_Tot_Indig_P,TFEI_Tot_NonInd_M,TFEI_Tot_NonInd_F,TFEI_Tot_NonInd_P,TFEI_Tot_IndSt_nsM,TFEI_Tot_IndSt_nsF,TFEI_Tot_IndSt_nsP,TFEI_Tot_TotM,TFEI_Tot_TotF,TFEI_Tot_TotP,UT_FT_S_15_24_Ind_M,UT_FT_S_15_24_Ind_F,UT_FT_S_15_24_Ind_P,UT_FT_S_15_24_NonInd_M,UT_FT_S_15_24_NonInd_F,UT_FT_S_15_24_NonInd_P,UT_FT_S_15_24_In_st_nsM,UT_FT_S_15_24_In_st_nsF,UT_FT_S_15_24_In_st_nsP,UT_FT_S_15_24_TotM,UT_FT_S_15_24_TotF,UT_FT_S_15_24_TotP,UT_FT_S_25_over_Ind_M,UT_FT_S_25_over_Ind_F,UT_FT_S_25_over_Ind_P,UT_FT_S_25ov_NonInd_M,UT_FT_S_25ov_NonInd_F,UT_FT_S_25ov_NonInd_P,UT_FT_S_25ov_IndSt_nsM,UT_FT_S_25ov_IndSt_nsF,UT_FT_S_25ov_IndSt_nsP,UT_FT_S_25ov_TotM,UT_FT_S_25ov_TotF,UT_FT_S_25ov_TotP,UT_PT_S_15_24_Ind_M,UT_PT_S_15_24_Ind_F,UT_PT_S_15_24_Ind_P,UT_PT_S_15_24_No_Ind_M,UT_PT_S_15_24_NonInd_F,UT_PT_S_15_24_NonInd_P,UT_PT_S_15_24_In_st_nsM,UT_PT_S_15_24_In_st_nsF,UT_PT_S_15_24_In_st_nsP,UT_PT_S_15_24_TotM,UT_PT_S_15_24_TotF,UT_PT_S_15_24_TotP,UT_PT_S_25over_In_M,UT_PT_S_25over_In_F,UT_PT_S_25over_In_P,UT_PT_S_25over_Non_In_M,UT_PT_S_25over_Non_In_F,UT_PT_S_25over_Non_In_P,UT_PT_S_25ov_In_s_nsM,UT_PT_S_25ov_In_s_nsF,UT_PT_S_25ov_In_s_nsP,UT_PT_S_25over_TotM,UT_PT_S_25over_TotF,UT_PT_S_25over_TotP,UT_FT_PT_stud_st_ns_Ind_M,UT_FT_PT_stud_st_ns_Ind_F,UT_FT_PT_stud_st_ns_Ind_P,UT_FT_PT_stu_st_ns_NonInd_M,UT_FT_PT_stu_st_ns_NonInd_F,UT_FT_PT_stu_st_ns_NonInd_P,UT_FT_PT_st_st_ns_In_st_nsM,UT_FT_PT_st_st_ns_In_st_nsF,UT_FT_PT_st_st_ns_In_st_nsP,UT_FT_PT_stu_st_ns_TotM,UT_FT_PT_stu_st_ns_TotF,UT_FT_PT_stu_st_ns_TotP,UT_Tot_Indig_M,UT_Tot_Indig_F,UT_Tot_Indig_P,UT_Tot_NonInd_M,UT_Tot_NonInd_F,UT_Tot_NonInd_P,UT_Tot_IndigStat_nsM,UT_Tot_IndigStat_nsF,UT_Tot_IndigStat_nsP,UT_Tot_TotM,UT_Tot_TotF,UT_Tot_TotP,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF
IARE101001,8,5,13,25,25,50,0,0,0,33,30,63,36,37,73,116,96,212,4,0,4,156,133,289,18,22,40,77,57,134,0,0,0,95,79,174,0,3,3,3,3,6,0,0,0,3,6,9,0,5,5,0,3,3,0,0,0,0,8,8,4,0,4,12,5,17,0,0,0,16,5,21,3,3,6,6,9,15,0,0,0,9,12,21,0,0,0,0,3,3,0,0,0,0,3,3,7,11,18,21,23,44,0,0,0,28,34,62,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,6,6,12,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,31,0,0,0,6,25,31,0,0,0,0,9,9,3,0,3,3,9,12,12,12,24,49,46,95,77,75
IARE101002,89,82,171,322,293,615,10,8,18,421,383,804,371,346,717,1358,1372,2730,30,23,53,1759,1741,3500,260,256,516,1135,1102,2237,15,23,38,1410,1381,2791,19,26,45,53,67,120,3,0,3,75,93,168,5,18,23,28,53,81,0,0,0,33,71,104,18,26,44,200,121,321,3,0,3,221,147,368,21,37,58,163,293,456,3,3,6,187,333,520,3,3,6,5,0,5,3,0,3,11,3,14,66,110,176,449,534,983,12,3,15,527,647,1174,3,15,18,47,167,214,3,0,3,53,182,235,7,12,19,17,78,95,0,0,0,24,90,114,0,0,0,22,57,79,0,0,0,22,57,79,6,13,19,124,202,326,0,3,3,130,218,348,0,6,6,0,0,0,0,0,0,0,6,6,16,46,62,210,504,714,3,3,6,229,553,782,10,14,24,58,109,167,0,4,4,68,127,195,179,211,390,469,505,974,668,573
IARE101003,5,5,10,42,27,69,0,0,0,47,32,79,37,39,76,134,146,280,0,4,4,171,189,360,32,26,58,105,110,215,3,5,8,140,141,281,0,3,3,0,3,3,0,0,0,0,6,6,0,0,0,4,6,10,0,0,0,4,6,10,3,3,6,8,11,19,0,0,0,11,14,25,3,3,6,12,40,52,3,0,3,18,43,61,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,24,60,84,3,0,3,33,69,102,0,3,3,4,19,23,0,0,0,4,22,26,0,3,3,0,4,4,0,0,0,0,7,7,0,0,0,3,7,10,0,0,0,3,7,10,0,0,0,8,17,25,0,0,0,8,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,47,62,0,0,0,15,53,68,0,0,0,3,9,12,0,0,0,3,9,12,31,21,52,47,66,113,85,89
IARE101004,18,17,35,59,46,105,0,0,0,77,63,140,118,107,225,248,236,484,6,0,6,372,343,715,61,60,121,140,136,276,7,0,7,208,196,404,3,0,3,6,10,16,0,0,0,9,10,19,0,6,6,0,3,3,0,0,0,0,9,9,5,0,5,13,22,35,0,0,0,18,22,40,5,10,15,14,35,49,0,3,3,19,48,67,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29,33,70,103,0,3,3,46,89,135,3,4,7,5,17,22,0,0,0,8,21,29,0,3,3,3,9,12,0,0,0,3,12,15,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,8,19,27,0,0,0,8,19,27,0,0,0,0,3,3,0,0,0,0,3,3,3,7,10,19,51,70,0,0,0,22,58,80,5,4,9,5,16,21,0,0,0,10,20,30,48,49,97,50,97,147,109,99
IARE101005,26,21,47,127,100,227,0,3,3,153,124,277,91,71,162,557,536,1093,13,9,22,661,616,1277,76,84,160,423,475,898,5,0,5,504,559,1063,3,5,8,16,16,32,0,0,0,19,21,40,0,5,5,12,13,25,0,0,0,12,18,30,8,10,18,72,26,98,0,0,0,80,36,116,3,12,15,48,117,165,0,0,0,51,129,180,0,0,0,0,5,5,0,0,0,0,5,5,14,32,46,148,177,325,0,0,0,162,209,371,0,3,3,14,43,57,0,3,3,14,49,63,0,3,3,3,11,14,0,0,0,3,14,17,0,0,0,12,14,26,0,0,0,12,14,26,0,6,6,28,62,90,0,0,0,28,68,96,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,57,130,187,0,3,3,57,145,202,3,5,8,10,29,39,0,0,0,13,34,47,49,44,93,228,272,500,354,304
IARE101006,4,8,12,18,35,53,4,0,4,26,43,69,15,38,53,76,99,175,5,0,5,96,137,233,10,16,26,42,52,94,0,0,0,52,68,120,3,0,3,3,0,3,0,0,0,6,0,6,3,0,3,3,6,9,0,0,0,6,6,12,0,5,5,16,6,22,0,0,0,16,11,27,0,4,4,3,14,17,0,0,0,3,18,21,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,25,26,51,0,0,0,31,35,66,0,3,3,8,4,12,0,0,0,8,7,15,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,19,30,0,0,0,11,22,33,0,0,0,5,5,10,0,0,0,5,5,10,19,17,36,42,45,87,39,30
IARE101007,9,14,23,81,51,132,3,3,6,93,68,161,76,58,134,315,277,592,3,0,3,394,335,729,58,44,102,228,219,447,3,4,7,289,267,556,3,0,3,9,5,14,0,0,0,12,5,17,0,8,8,4,13,17,0,0,0,4,21,25,0,3,3,22,12,34,0,0,0,22,15,37,4,10,14,35,89,124,0,0,0,39,99,138,0,0,0,0,0,0,0,0,0,0,0,0,7,21,28,70,119,189,0,0,0,77,140,217,0,0,0,8,24,32,0,0,0,8,24,32,0,0,0,0,13,13,0,0,0,0,13,13,0,3,3,3,9,12,0,0,0,3,12,15,3,0,3,14,33,47,0,0,0,17,33,50,0,0,0,3,0,3,0,0,0,3,0,3,3,3,6,28,79,107,0,0,0,31,82,113,0,4,4,13,20,33,0,0,0,13,24,37,41,31,72,147,124,271,181,150
IARE101008,34,24,58,51,53,104,0,0,0,85,77,162,119,89,208,280,286,566,6,5,11,405,380,785,84,72,156,194,174,368,7,0,7,285,246,531,5,6,11,6,3,9,0,0,0,11,9,20,0,8,8,6,10,16,0,4,4,6,22,28,7,6,13,27,16,43,0,0,0,34,22,56,6,5,11,22,40,62,0,0,0,28,45,73,0,0,0,0,3,3,0,0,0,0,3,3,18,25,43,61,72,133,0,4,4,79,101,180,0,3,3,13,20,33,0,0,0,13,23,36,0,0,0,4,8,12,0,0,0,4,8,12,0,3,3,3,7,10,0,0,0,3,10,13,0,0,0,6,22,28,0,0,0,6,22,28,0,3,3,0,0,0,0,0,0,0,3,3,0,9,9,26,57,83,0,0,0,26,66,92,0,0,0,7,23,30,0,0,0,7,23,30,305,85,390,275,142,417,164,140
IARE102001,33,32,65,196,174,370,5,6,11,234,212,446,108,99,207,902,838,1740,22,9,31,1032,946,1978,66,92,158,860,832,1692,12,7,19,938,931,1869,4,12,16,52,58,110,0,0,0,56,70,126,4,12,16,38,49,87,0,0,0,42,61,103,5,4,9,90,70,160,0,0,0,95,74,169,8,13,21,99,154,253,0,0,0,107,167,274,0,0,0,5,7,12,0,0,0,5,7,12,21,41,62,284,338,622,0,0,0,305,379,684,13,38,51,686,998,1684,3,6,9,702,1042,1744,3,7,10,260,223,483,3,0,3,266,230,496,3,0,3,58,63,121,0,0,0,61,63,124,6,9,15,171,263,434,0,0,0,177,272,449,0,0,0,6,7,13,0,0,0,6,7,13,25,54,79,1181,1554,2735,6,6,12,1212,1614,2826,4,4,8,33,60,93,0,0,0,37,64,101,56,55,111,266,309,575,499,575
IARE102002,4,9,13,73,56,129,0,0,0,77,65,142,31,28,59,293,299,592,6,10,16,330,337,667,20,33,53,243,229,472,3,3,6,266,265,531,3,3,6,11,19,30,0,0,0,14,22,36,0,0,0,13,30,43,0,0,0,13,30,43,4,3,7,31,18,49,0,0,0,35,21,56,3,5,8,49,102,151,0,3,3,52,110,162,3,0,3,0,0,0,0,0,0,3,0,3,13,11,24,104,169,273,0,3,3,117,183,300,0,0,0,7,18,25,0,0,0,7,18,25,0,0,0,7,15,22,0,0,0,7,15,22,0,0,0,6,4,10,0,0,0,6,4,10,0,6,6,15,31,46,0,0,0,15,37,52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,35,68,103,0,0,0,35,74,109,3,0,3,9,21,30,0,0,0,12,21,33,54,21,75,203,153,356,149,107
