region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE101001,11,228,5,244,10,56,3,69,42,346,5,393,17,100,0,117,21,96,0,117,0,7,0,7,14,46,67,127,115,879,80,1074,28,318,4,350,12,56,0,68,47,302,3,352,17,86,0,103,9,58,4,71,0,5,0,5,9,51,54,114,122,876,65,1063,39,546,9,594,22,112,3,137,89,648,8,745,34,186,0,220,30,154,4,188,0,12,0,12,23,97,121,241,237,1755,145,2137
IARE101002,276,4136,27,4439,103,721,13,837,429,4353,51,4833,199,1008,13,1220,157,888,20,1065,13,43,3,59,90,490,546,1126,1267,11639,673,13579,344,5519,52,5915,142,814,5,961,512,4179,68,4759,228,1082,18,1328,146,776,25,947,16,42,3,61,129,607,473,1209,1517,13019,644,15180,620,9655,79,10354,245,1535,18,1798,941,8532,119,9592,427,2090,31,2548,303,1664,45,2012,29,85,6,120,219,1097,1019,2335,2784,24658,1317,28759
IARE101003,21,318,3,342,9,63,3,75,43,538,4,585,28,179,4,211,28,161,3,192,0,6,0,6,19,65,73,157,148,1330,90,1568,25,515,3,543,14,76,0,90,56,503,8,567,30,149,6,185,16,131,0,147,4,9,0,13,16,80,79,175,161,1463,96,1720,46,833,6,885,23,139,3,165,99,1041,12,1152,58,328,10,396,44,292,3,339,4,15,0,19,35,145,152,332,309,2793,186,3288
IARE101004,47,609,7,663,15,115,0,130,104,751,4,859,51,211,3,265,56,184,3,243,3,8,3,14,29,102,96,227,305,1980,116,2401,99,752,9,860,28,134,0,162,125,631,7,763,56,182,5,243,47,135,3,185,0,6,0,6,30,121,88,239,385,1961,112,2458,146,1361,16,1523,43,249,0,292,229,1382,11,1622,107,393,8,508,103,319,6,428,3,14,3,20,59,223,184,466,690,3941,228,4859
IARE101005,58,1330,7,1395,24,280,3,307,97,1728,15,1840,43,504,6,553,49,467,4,520,6,16,0,22,26,222,299,547,303,4547,334,5184,73,1578,15,1666,43,311,3,357,119,1695,16,1830,41,485,13,539,33,402,4,439,3,20,0,23,28,261,252,541,340,4752,303,5395,131,2908,22,3061,67,591,6,664,216,3423,31,3670,84,989,19,1092,82,869,8,959,9,36,0,45,54,483,551,1088,643,9299,637,10579
IARE101006,11,323,3,337,4,55,0,59,23,337,0,360,17,88,0,105,23,101,5,129,3,3,0,6,13,39,37,89,94,946,45,1085,31,378,0,409,13,44,0,57,31,264,3,298,25,54,0,79,20,57,3,80,0,0,0,0,11,43,23,77,131,840,29,1000,42,701,3,746,17,99,0,116,54,601,3,658,42,142,0,184,43,158,8,209,3,3,0,6,24,82,60,166,225,1786,74,2085
IARE101007,32,732,12,776,8,137,0,145,64,970,12,1046,26,326,7,359,31,339,8,378,3,23,0,26,33,151,151,335,197,2678,190,3065,47,968,5,1020,22,168,0,190,62,940,11,1013,34,301,6,341,32,231,10,273,0,6,0,6,29,161,127,317,226,2775,159,3160,79,1700,17,1796,30,305,0,335,126,1910,23,2059,60,627,13,700,63,570,18,651,3,29,0,32,62,312,278,652,423,5453,349,6225
IARE101008,54,734,7,795,22,123,0,145,159,896,16,1071,61,316,5,382,79,283,4,366,3,14,0,17,269,316,138,723,647,2682,170,3499,97,924,6,1027,34,146,3,183,135,887,11,1033,86,288,6,380,61,216,14,291,3,5,0,8,62,154,130,346,478,2620,170,3268,151,1658,13,1822,56,269,3,328,294,1783,27,2104,147,604,11,762,140,499,18,657,6,19,0,25,331,470,268,1069,1125,5302,340,6767
IARE102001,96,4490,18,4604,34,364,3,401,97,1867,17,1981,73,467,11,551,57,349,3,409,3,35,0,38,29,283,433,745,389,7855,485,8729,148,5292,31,5471,43,393,3,439,131,1912,22,2065,84,491,4,579,40,369,8,417,3,37,0,40,49,344,478,871,498,8838,546,9882,244,9782,49,10075,77,757,6,840,228,3779,39,4046,157,958,15,1130,97,718,11,826,6,72,0,78,78,627,911,1616,887,16693,1031,18611
IARE102002,19,841,4,864,15,168,3,186,41,1093,8,1142,21,362,5,388,19,358,6,383,3,15,0,18,53,206,126,385,171,3043,152,3366,27,1013,7,1047,10,163,3,176,50,1180,13,1243,19,332,5,356,17,298,4,319,4,14,0,18,10,181,95,286,137,3181,127,3445,46,1854,11,1911,25,331,6,362,91,2273,21,2385,40,694,10,744,36,656,10,702,7,29,0,36,63,387,221,671,308,6224,279,6811
