region_id,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_Indig_M,VfDif_SA2_T_Indig_F,VfDif_SA2_T_Indig_P,VfDif_SA2_T_NonInd_M,VfDif_SA2_T_NonInd_F,VfDif_SA2_T_NonInd_P,VfDif_SA2_T_IndSt_nsM,VfDif_SA2_T_IndSt_nsF,VfDif_SA2_T_IndSt_nsP,VfDif_SA2_T_TotM,VfDif_SA2_T_TotF,VfDif_SA2_T_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LSaH_Eng_onl_Indig_M,LSaH_Eng_onl_Indig_F,LSaH_Eng_onl_Indig_P,LSaH_Eng_onl_NonInd_M,LSaH_Eng_onl_NonInd_F,LSaH_Eng_onl_NonInd_P,LSaH_Eng_on_Ind_sta_nsM,LSaH_Eng_on_Ind_sta_nsF,LSaH_Eng_on_Ind_sta_nsP,LSaH_Eng_only_TotM,LSaH_Eng_only_TotF,LSaH_Eng_only_TotP,LSaH_Aus_Ind_Lang_Ind_M,LSaH_Aus_Ind_Lang_Ind_F,LSaH_Aus_Ind_Lang_Ind_P,LSaH_Aus_Ind_Lan_No_Ind_M,LSaH_Aus_Ind_Lan_No_Ind_F,LSaH_Aus_Ind_Lan_No_Ind_P,Lsh_Aus_Ind_Lan_IndSt_nsM,Lsh_Aus_Ind_Lan_IndSt_nsF,Lsh_Aus_Ind_Lan_IndSt_nsP,Lsh_Austn_Indig_Lang_TotM,Lsh_Austn_Indig_Lang_TotF,Lsh_Austn_Indig_Lang_TotP,SAIndL_SE_Nw_Na_In_M,SAIndL_SE_Nw_Na_In_F,SAIndL_SE_Nw_Na_In_P,SAIndL_SE_Nw_Na_No_In_M,SAIndL_SE_Nw_Na_No_In_F,SAIndL_SE_Nw_Na_No_In_P,SAIndL_SE_Nw_Na_In_st_nsM,SAIndL_SE_Nw_Na_In_st_nsF,SAIndL_SE_Nw_Na_In_st_nsP,SAIndL_SE_Nw_Na_TotM,SAIndL_SE_Nw_Na_TotF,SAIndL_SE_Nw_Na_TotP,SAIndL_SE_Vw_wel_In_M,SAIndL_SE_Vw_wel_In_F,SAIndL_SE_Vw_wel_In_P,SAIndL_SE_Vw_we_No_In_M,SAIndL_SE_Vw_we_No_In_F,SAIndL_SE_Vw_we_No_In_P,SAIndL_SE_Vw_we_I_st_nsM,SAIndL_SE_Vw_we_I_st_nsF,SAIndL_SE_Vw_we_I_st_nsP,SAIndL_SE_Vw_we_TotM,SAIndL_SE_Vw_we_TotF,SAIndL_SE_Vw_we_TotP,AuAbrigTrRl_Indig_M,AuAbrigTrRl_Indig_F,AuAbrigTrRl_Indig_P,AuAbrigTrRl_No_Ind_M,AuAbrigTrRl_No_Ind_F,AuAbrigTrRl_No_Ind_P,AuAbrigTrRl_IndSt_nsM,AuAbrigTrRl_IndSt_nsF,AuAbrigTrRl_IndSt_nsP,AuAbrigTrRl_TotM,AuAbrigTrRl_TotF,AuAbrigTrRl_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M
ILOC10100101,0,0,0,0,0,0,0,4,4,8,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,173,65,238,25,4,29,211,79,290,13,10,23,178,65,243,25,4,29,216,79,295,192,213,405,1133,1082,2215,21,24,45,1346,1319,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,8,5,13,20,19,39,3,0,3,31,24,55,46,51,97,157,134,291,4,0,4,207,185,392,13,10,23,48,29,77,0,0,0,61,39,100,0,4,4,4,19,23,0,0,0,4,23,27,3,6,9,14,30,44,3,0,3,20,36,56,11,28,39,229,326,555,5,4,9,245,358,603,12,16,28,71,65,136,3,0,3,86,81,167,45,49,94,353
ILOC10100201,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,44,45,89,209,167,376,11,12,23,264,224,488,44,45,89,215,177,392,11,12,23,270,234,504,971,1131,2102,5007,5742,10749,58,79,137,6036,6952,12988,5,4,9,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,5,5,10,4,7,11,0,0,0,0,0,0,4,7,11,36,34,70,82,87,169,0,0,0,118,121,239,216,239,455,676,709,1385,12,17,29,904,965,1869,61,65,126,293,287,580,3,8,11,357,360,717,5,16,21,56,102,158,3,0,3,64,118,182,15,52,67,121,221,342,4,0,4,140,273,413,129,143,272,1470,2008,3478,4,13,17,1603,2164,3767,58,72,130,321,364,685,8,6,14,387,442,829,193,250,443,1536
ILOC10100202,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,33,29,62,266,232,498,75,57,132,374,318,692,33,29,62,266,232,498,75,57,132,374,318,692,187,247,434,1159,1335,2494,30,44,74,1376,1626,3002,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,3,5,8,13,17,17,34,3,0,3,25,25,50,40,44,84,99,121,220,3,8,11,142,173,315,6,13,19,46,50,96,0,0,0,52,63,115,0,3,3,22,24,46,0,0,0,22,27,49,4,9,13,34,79,113,0,0,0,38,88,126,20,37,57,330,448,778,3,5,8,353,490,843,13,13,26,68,53,121,3,0,3,84,66,150,41,52,93,355
ILOC10100203,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49,231,160,391,88,37,125,345,220,565,26,23,49,236,165,401,88,37,125,350,225,575,353,366,719,3041,3365,6406,39,55,94,3433,3786,7219,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,6,6,10,11,21,63,50,113,0,0,0,73,61,134,84,58,142,361,393,754,13,4,17,458,455,913,23,26,49,143,134,277,3,5,8,169,165,334,5,6,11,36,61,97,0,0,0,41,67,108,11,15,26,87,154,241,0,0,0,98,169,267,51,55,106,987,1272,2259,8,13,21,1046,1340,2386,14,31,45,169,185,354,0,0,0,183,216,399,62,81,143,841
ILOC10100204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,44,134,130,264,11,11,22,173,157,330,31,16,47,139,133,272,11,11,22,181,160,341,187,162,349,3167,2978,6145,40,35,75,3394,3175,6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,4,12,53,38,91,0,0,0,61,42,103,47,35,82,452,398,850,4,9,13,503,442,945,14,14,28,188,168,356,3,3,6,205,185,390,0,6,6,27,37,64,0,0,0,27,43,70,7,10,17,70,137,207,0,0,0,77,147,224,17,26,43,763,1047,1810,8,9,17,788,1082,1870,11,10,21,155,195,350,0,0,0,166,205,371,55,38,93,1028
ILOC10100205,0,0,3,3,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,41,41,82,402,262,664,51,22,73,494,325,819,41,41,82,411,273,684,51,22,73,503,336,839,615,657,1272,2479,2572,5051,42,43,85,3136,3272,6408,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,18,14,32,44,41,85,0,4,4,62,59,121,136,115,251,375,341,716,13,4,17,524,460,984,37,44,81,109,109,218,0,0,0,146,153,299,7,7,14,24,38,62,0,0,0,31,45,76,11,11,22,60,113,173,0,4,4,71,128,199,76,88,164,635,789,1424,4,13,17,715,890,1605,26,46,72,143,173,316,6,3,9,175,222,397,115,128,243,739
ILOC10100301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30,101,103,204,13,9,22,126,130,256,19,21,40,111,106,217,13,12,25,143,139,282,251,252,503,1640,1796,3436,19,26,45,1910,2074,3984,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,36,22,58,0,0,0,40,25,65,60,54,114,188,202,390,3,6,9,251,262,513,12,16,28,70,74,144,0,4,4,82,94,176,3,4,7,4,27,31,0,0,0,7,31,38,3,7,10,28,72,100,3,0,3,34,79,113,22,25,47,318,523,841,3,4,7,343,552,895,10,16,26,81,88,169,3,3,6,94,107,201,50,58,108,555
ILOC10100401,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,22,43,67,58,125,3,0,3,91,80,171,24,25,49,72,61,133,3,0,3,99,86,185,414,472,886,1286,1379,2665,20,22,42,1720,1873,3593,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,18,10,28,16,17,33,0,0,0,34,27,61,107,99,206,154,137,291,4,0,4,265,236,501,30,18,48,46,64,110,3,0,3,79,82,161,0,3,3,15,19,34,0,0,0,15,22,37,6,11,17,22,54,76,0,4,4,28,69,97,36,59,95,296,377,673,3,5,8,335,441,776,19,23,42,72,102,174,0,0,0,91,125,216,80,94,174,393
ILOC10100402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,45,21,66,3,5,8,48,30,78,0,4,4,49,21,70,3,5,8,52,30,82,70,85,155,948,787,1735,12,5,17,1030,877,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,19,14,33,0,0,0,22,17,39,18,17,35,141,125,266,3,0,3,162,142,304,3,7,10,29,26,55,0,0,0,32,33,65,0,0,0,3,8,11,0,0,0,3,8,11,3,8,11,10,25,35,0,0,0,13,33,46,3,22,25,269,315,584,3,5,8,275,342,617,4,5,9,49,34,83,0,0,0,53,39,92,15,19,34,289
ILOC10100403,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,15,20,0,0,0,11,15,26,6,3,9,5,15,20,0,0,0,11,18,29,102,110,212,284,269,553,9,6,15,395,385,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,3,3,6,0,0,0,7,8,15,20,25,45,32,38,70,0,0,0,52,63,115,6,8,14,9,13,22,0,0,0,15,21,36,0,0,0,3,6,9,0,0,0,3,6,9,0,0,0,3,5,8,0,0,0,3,5,8,10,22,32,51,72,123,0,0,0,61,94,155,5,0,5,11,17,28,0,0,0,16,17,33,20,21,41,90
