region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC10100101,306,659,6,4,10,404,359,763,19,17,36,109,94,203,0,0,0,128,111,239,22,8,30,97,57,154,0,5,5,119,70,189,0,0,0,8,6,14,0,0,0,8,6,14,180,203,383,1015,973,1988,76,84,160,1271,1260,2531,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,45,44,89,9,3,12,58,54,112,184,210,394,1060,1017,2077,85,87,172,1329,1314,2643,6,0,6,17,20,37,3,0,3,26,20,46
ILOC10100201,1548,3084,15,13,28,1744,1811,3555,94,107,201,376,441,817,3,6,9,473,554,1027,64,58,122,276,274,550,4,8,12,344,340,684,3,0,3,14,16,30,0,3,3,17,19,36,826,1017,1843,4446,4964,9410,153,174,327,5425,6155,11580,0,0,0,0,0,0,0,0,0,0,0,0,75,75,150,408,647,1055,14,22,36,497,744,1241,901,1092,1993,4854,5611,10465,167,196,363,5922,6899,12821,10,0,10,140,168,308,0,3,3,150,171,321
ILOC10100202,350,705,9,17,26,405,419,824,24,24,48,93,113,206,3,4,7,120,141,261,20,21,41,151,149,300,5,6,11,176,176,352,0,4,4,4,5,9,3,0,3,7,9,16,124,181,305,850,937,1787,52,62,114,1026,1180,2206,0,0,0,0,0,0,0,0,0,0,0,0,44,55,99,228,240,468,34,28,62,306,323,629,168,236,404,1078,1177,2255,86,90,176,1332,1503,2835,17,5,22,87,155,242,31,20,51,135,180,315
ILOC10100203,878,1719,14,20,34,917,979,1896,33,41,74,247,245,492,3,5,8,283,291,574,31,20,51,148,174,322,0,5,5,179,199,378,5,8,13,9,6,15,0,0,0,14,14,28,263,282,545,2531,2885,5416,99,97,196,2893,3264,6157,0,0,0,0,0,0,0,0,0,0,0,0,72,74,146,418,398,816,38,31,69,528,503,1031,335,356,691,2949,3283,6232,137,128,265,3421,3767,7188,4,3,7,23,46,69,11,7,18,38,56,94
ILOC10100204,808,1836,8,12,20,1091,858,1949,12,15,27,278,221,499,3,3,6,293,239,532,10,11,21,196,100,296,8,3,11,214,114,328,0,0,0,10,6,16,0,0,0,10,6,16,169,150,319,2950,2864,5814,195,180,375,3314,3194,6508,0,0,0,0,3,3,0,0,0,0,3,3,3,0,3,17,6,23,0,0,0,20,6,26,172,150,322,2967,2873,5840,195,180,375,3334,3203,6537,5,0,5,5,3,8,4,0,4,14,3,17
ILOC10100205,734,1473,6,10,16,860,872,1732,62,73,135,202,205,407,0,5,5,264,283,547,38,42,80,164,128,292,3,0,3,205,170,375,3,5,8,3,9,12,0,0,0,6,14,20,541,603,1144,2290,2397,4687,81,86,167,2912,3086,5998,0,0,0,0,0,0,0,0,0,0,0,0,46,41,87,124,143,267,13,8,21,183,192,375,587,644,1231,2414,2540,4954,94,94,188,3095,3278,6373,8,3,11,14,4,18,3,3,6,25,10,35
ILOC10100301,517,1072,5,13,18,610,588,1198,34,35,69,194,164,358,4,3,7,232,202,434,27,16,43,164,136,300,3,0,3,194,152,346,0,4,4,5,10,15,0,0,0,5,14,19,230,221,451,1434,1570,3004,77,102,179,1741,1893,3634,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30,97,117,214,9,3,12,118,138,256,242,239,481,1531,1687,3218,86,105,191,1859,2031,3890,4,4,8,36,53,89,12,3,15,52,60,112
ILOC10100401,373,766,0,3,3,473,470,943,31,43,74,124,133,257,0,7,7,155,183,338,36,37,73,101,101,202,6,0,6,143,138,281,5,0,5,4,5,9,0,0,0,9,5,14,362,432,794,1146,1231,2377,66,63,129,1574,1726,3300,0,0,0,0,0,0,0,0,0,0,0,0,28,27,55,49,59,108,3,6,9,80,92,172,390,459,849,1195,1290,2485,69,69,138,1654,1818,3472,0,0,0,22,32,54,0,3,3,22,35,57
ILOC10100402,200,489,0,3,3,304,222,526,8,9,17,73,42,115,0,0,0,81,51,132,9,5,14,50,27,77,0,0,0,59,32,91,0,0,0,3,0,3,0,0,0,3,0,3,70,87,157,899,752,1651,54,40,94,1023,879,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19,0,0,0,13,6,19,70,87,157,912,758,1670,54,40,94,1036,885,1921,0,0,0,0,0,0,0,3,3,0,3,3
ILOC10100403,81,171,3,3,6,113,105,218,13,12,25,39,25,64,0,0,0,52,37,89,8,7,15,37,16,53,0,0,0,45,23,68,0,0,0,3,0,3,3,0,3,6,0,6,95,103,198,247,249,496,10,5,15,352,357,709,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,26,14,40,5,0,5,34,18,52,98,107,205,273,263,536,15,5,20,386,375,761,0,0,0,7,7,14,0,3,3,7,10,17
ILOC10100501,1258,2426,11,10,21,1253,1356,2609,32,31,63,369,391,760,4,11,15,405,433,838,29,17,46,321,312,633,3,3,6,353,332,685,3,3,6,11,12,23,0,0,0,14,15,29,346,341,687,3645,3907,7552,212,218,430,4203,4466,8669,0,0,0,0,0,0,0,0,0,0,0,0,15,12,27,231,277,508,23,26,49,269,315,584,361,353,714,3876,4184,8060,235,244,479,4472,4781,9253,0,3,3,65,103,168,0,4,4,65,110,175
ILOC10100502,420,941,7,5,12,544,451,995,10,9,19,159,115,274,0,0,0,169,124,293,17,7,24,130,77,207,3,0,3,150,84,234,0,3,3,7,4,11,0,0,0,7,7,14,91,104,195,1466,1384,2850,107,91,198,1664,1579,3243,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,22,23,45,0,0,0,29,26,55,98,107,205,1488,1407,2895,107,91,198,1693,1605,3298,3,0,3,5,15,20,0,0,0,8,15,23
ILOC10100503,80,169,0,0,0,114,95,209,7,13,20,35,36,71,0,0,0,42,49,91,7,11,18,31,24,55,0,0,0,38,35,73,0,0,0,0,0,0,0,0,0,0,0,0,83,96,179,215,237,452,16,12,28,314,345,659,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,11,28,0,0,0,20,11,31,86,96,182,232,248,480,16,12,28,334,356,690,0,0,0,3,0,3,0,0,0,3,0,3
ILOC10100601,276,619,0,4,4,368,312,680,15,26,41,97,62,159,0,0,0,112,88,200,27,18,45,99,58,157,4,4,8,130,80,210,3,0,3,3,0,3,0,0,0,6,0,6,125,178,303,983,972,1955,43,35,78,1151,1185,2336,0,0,0,0,0,0,0,0,0,0,0,0,15,22,37,67,46,113,4,6,10,86,74,160,140,200,340,1050,1018,2068,47,41,88,1237,1259,2496,0,0,0,15,15,30,3,0,3,18,15,33
ILOC10100701,323,566,3,5,8,285,364,649,15,24,39,91,96,187,4,0,4,110,120,230,14,21,35,113,104,217,4,5,9,131,130,261,0,0,0,5,0,5,0,0,0,5,0,5,179,186,365,741,875,1616,55,48,103,975,1109,2084,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15,47,50,97,7,6,13,61,64,125,186,194,380,788,925,1713,62,54,116,1036,1173,2209,7,3,10,21,54,75,0,10,10,28,67,95
ILOC10100702,651,1422,12,9,21,813,692,1505,18,22,40,267,226,493,4,7,11,289,255,544,18,9,27,237,135,372,7,5,12,262,149,411,4,0,4,12,6,18,0,0,0,16,6,22,167,162,329,2299,2144,4443,113,96,209,2579,2402,4981,3,0,3,17,8,25,0,0,0,20,8,28,0,8,8,61,63,124,5,3,8,66,74,140,170,170,340,2377,2215,4592,118,99,217,2665,2484,5149,0,0,0,6,18,24,0,0,0,6,18,24
ILOC10100801,527,944,9,4,13,552,643,1195,52,75,127,180,178,358,7,6,13,239,259,498,56,48,104,152,131,283,3,7,10,211,186,397,0,0,0,9,5,14,0,0,0,9,5,14,498,496,994,1282,1416,2698,107,90,197,1887,2002,3889,0,0,0,0,0,0,0,0,0,0,0,0,37,26,63,91,112,203,9,16,25,137,154,291,535,522,1057,1373,1528,2901,116,106,222,2024,2156,4180,0,3,3,28,54,82,4,17,21,32,74,106
ILOC10100802,386,900,6,8,14,559,430,989,17,12,29,151,139,290,0,0,0,168,151,319,24,14,38,134,86,220,0,6,6,158,106,264,3,3,6,6,0,6,0,0,0,9,3,12,166,156,322,1544,1541,3085,74,64,138,1784,1761,3545,0,0,0,6,3,9,0,0,0,6,3,9,0,3,3,17,6,23,0,0,0,17,9,26,166,159,325,1567,1550,3117,74,64,138,1807,1773,3580,246,24,270,189,27,216,3,0,3,438,51,489
ILOC10200101,2037,4045,17,22,39,2135,2205,4340,82,91,173,583,604,1187,15,4,19,680,699,1379,59,44,103,389,399,788,5,8,13,453,451,904,3,3,6,37,36,73,3,0,3,43,39,82,545,623,1168,7881,8512,16393,321,436,757,8747,9571,18318,0,0,0,0,0,0,0,0,0,0,0,0,82,96,178,1045,1180,2225,141,161,302,1268,1437,2705,627,719,1346,8926,9692,18618,462,597,1059,10015,11008,21023,24,41,65,687,741,1428,52,43,95,763,825,1588
ILOC10200201,1214,2347,7,16,23,1184,1277,2461,25,24,49,388,365,753,6,3,9,419,392,811,21,18,39,364,303,667,7,5,12,392,326,718,3,3,6,16,14,30,0,0,0,19,17,36,187,206,393,3366,3520,6886,141,122,263,3694,3848,7542,0,0,0,3,0,3,3,0,3,6,0,6,14,9,23,109,124,233,17,9,26,140,142,282,201,215,416,3478,3644,7122,161,131,292,3840,3990,7830,39,0,39,118,92,210,0,5,5,157,97,254
ILOC10200301,1001,1949,4,6,10,1048,1125,2173,59,62,121,325,306,631,5,6,11,389,374,763,53,46,99,247,200,447,0,4,4,300,250,550,5,3,8,14,10,24,0,0,0,19,13,32,480,493,973,2618,2749,5367,141,139,280,3239,3381,6620,0,0,0,0,0,0,0,0,0,0,0,0,37,30,67,250,307,557,18,16,34,305,353,658,517,523,1040,2868,3056,5924,159,155,314,3544,3734,7278,3,3,6,67,80,147,9,0,9,79,83,162
ILOC10200302,476,1070,4,5,9,622,512,1134,11,12,23,190,127,317,6,3,9,207,142,349,17,8,25,142,77,219,5,0,5,164,85,249,0,3,3,4,3,7,0,0,0,4,6,10,121,112,233,1778,1644,3422,103,97,200,2002,1853,3855,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,23,48,6,0,6,34,23,57,124,112,236,1803,1667,3470,109,97,206,2036,1876,3912,0,0,0,6,0,6,0,0,0,6,0,6
ILOC10200401,537,1092,5,3,8,587,570,1157,15,12,27,189,147,336,3,4,7,207,163,370,21,10,31,174,138,312,4,0,4,199,148,347,0,0,0,4,7,11,0,0,0,4,7,11,120,120,240,1676,1668,3344,96,74,170,1892,1862,3754,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,49,47,96,5,3,8,58,53,111,124,123,247,1725,1715,3440,101,77,178,1950,1915,3865,0,3,3,17,38,55,0,3,3,17,44,61
ILOC10200402,46,94,0,0,0,61,66,127,7,6,13,34,25,59,0,0,0,41,31,72,16,10,26,29,22,51,0,0,0,45,32,77,0,0,0,3,0,3,0,0,0,3,0,3,83,89,172,154,154,308,5,5,10,242,248,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,83,89,172,157,154,311,5,5,10,245,248,493,0,0,0,3,5,8,0,0,0,3,5,8
