region_id,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC10100101,0,25,3,28,3,49,0,52,3,19,3,25,0,16,0,16,3,17,0,20,0,20,0,20,3,17,3,23,0,10,3,13,0,8,3,11,12,181,15,208,0,31,0,31,3,50,3,56,3,16,0,19,0,20,0,20,0,26,0,26,0,29,3,32,3,14,0,17,0,7,3,10,0,8,3,11,9,201,12,222,0,56,3,59,6,99,3,108,6,35,3,44,0,36,0,36,3,43,0,46,0,49,3,52,6,31,3,40,0,17,6,23,0,16,6,22,21,382,27,430
ILOC10100201,3,141,6,150,20,227,6,253,3,125,3,131,3,79,3,85,3,119,3,125,3,70,3,76,3,75,3,81,7,41,3,51,3,17,3,23,48,894,33,975,3,165,5,173,3,279,3,285,3,117,3,123,0,97,3,100,3,126,3,132,3,132,3,138,3,90,3,96,3,45,3,51,4,28,0,32,25,1079,26,1130,6,306,11,323,23,506,9,538,6,242,6,254,3,176,6,185,6,245,6,257,6,202,6,214,6,165,6,177,10,86,6,102,7,45,3,55,73,1973,59,2105
ILOC10100202,0,24,0,24,3,41,0,44,0,12,3,15,0,20,0,20,3,22,3,28,3,16,3,22,3,16,0,19,3,11,3,17,3,6,0,9,18,168,12,198,3,29,3,35,3,47,0,50,3,16,0,19,3,13,3,19,3,35,3,41,3,27,0,30,3,26,0,29,3,13,0,16,3,13,0,16,27,219,9,255,3,53,3,59,6,88,0,94,3,28,3,34,3,33,3,39,6,57,6,69,6,43,3,52,6,42,0,48,6,24,3,33,6,19,0,25,45,387,21,453
ILOC10100203,0,45,3,48,3,91,3,97,0,34,3,37,0,39,3,42,3,35,3,41,3,26,3,32,3,35,0,38,3,13,0,16,3,10,0,13,18,328,18,364,0,43,3,46,3,65,0,68,3,46,3,52,3,21,3,27,3,51,0,54,3,39,3,45,3,38,0,41,3,13,0,16,3,23,3,29,24,339,15,378,0,88,6,94,6,156,3,165,3,80,6,89,3,60,6,69,6,86,3,95,6,65,6,77,6,73,0,79,6,26,0,32,6,33,3,42,42,667,33,742
ILOC10100204,3,25,0,28,3,47,3,53,0,27,0,27,0,10,0,10,0,15,0,15,0,21,0,21,3,10,3,16,3,12,3,18,0,3,0,3,12,170,9,191,0,15,0,15,3,40,3,46,0,17,0,17,0,11,3,14,0,12,0,12,0,24,0,24,3,15,3,21,3,7,3,13,0,5,0,5,9,146,12,167,3,40,0,43,6,87,6,99,0,44,0,44,0,21,3,24,0,27,0,27,0,45,0,45,6,25,6,37,6,19,6,31,0,8,0,8,21,316,21,358
ILOC10100205,3,106,4,113,4,154,4,162,3,57,3,63,3,44,3,50,3,67,3,73,3,65,3,71,3,44,3,50,3,20,3,26,3,19,3,25,28,576,29,633,0,95,4,99,3,140,3,146,3,79,3,85,3,59,0,62,3,72,0,75,3,76,3,82,3,53,3,59,3,35,0,38,3,13,0,16,24,622,16,662,3,201,8,212,7,294,7,308,6,136,6,148,6,103,3,112,6,139,3,148,6,141,6,153,6,97,6,109,6,55,3,64,6,32,3,41,52,1198,45,1295
ILOC10100301,3,29,3,35,3,67,3,73,0,26,3,29,3,11,0,14,0,17,3,20,3,26,3,32,3,24,0,27,3,21,0,24,3,13,0,16,21,234,15,270,0,23,3,26,0,60,3,63,0,31,3,34,0,12,0,12,3,22,0,25,3,34,3,40,3,22,0,25,3,28,3,34,3,4,0,7,15,236,15,266,3,52,6,61,3,127,6,136,0,57,6,63,3,23,0,26,3,39,3,45,6,60,6,72,6,46,0,52,6,49,3,58,6,17,0,23,36,470,30,536
ILOC10100401,3,65,3,71,3,112,3,118,3,53,3,59,0,15,3,18,0,38,3,41,3,36,3,42,3,28,3,34,0,25,3,28,0,11,0,11,15,383,24,422,3,85,3,91,0,107,3,110,0,30,3,33,0,41,0,41,3,43,3,49,3,56,0,59,3,44,3,50,3,24,3,30,3,17,3,23,18,447,21,486,6,150,6,162,3,219,6,228,3,83,6,92,0,56,3,59,3,81,6,90,6,92,3,101,6,72,6,84,3,49,6,58,3,28,3,34,33,830,45,908
ILOC10100402,0,9,0,9,0,18,3,21,3,5,3,11,0,3,3,6,0,3,0,3,0,10,0,10,3,5,3,11,0,7,0,7,0,3,0,3,6,63,12,81,0,8,0,8,3,13,3,19,3,8,3,14,3,5,0,8,3,13,0,16,3,9,3,15,0,9,3,12,0,10,0,10,0,0,0,0,15,75,12,102,0,17,0,17,3,31,6,40,6,13,6,25,3,8,3,14,3,16,0,19,3,19,3,25,3,14,6,23,0,17,0,17,0,3,0,3,21,138,24,183
ILOC10100403,0,13,3,16,0,22,3,25,0,9,0,9,0,10,0,10,0,9,0,9,0,6,0,6,0,6,0,6,0,13,0,13,3,9,0,12,3,97,6,106,3,19,0,22,3,26,3,32,3,7,3,13,0,6,3,9,0,15,0,15,0,9,0,9,3,4,3,10,3,8,0,11,3,0,0,3,18,94,12,124,3,32,3,38,3,48,6,57,3,16,3,22,0,16,3,19,0,24,0,24,0,15,0,15,3,10,3,16,3,21,0,24,6,9,0,15,21,191,18,230
