region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10100101,5,17,5,27,5,12,0,17,0,17,0,17,0,15,7,22,0,16,4,20,0,9,0,9,0,11,0,11,10,97,16,123,0,16,0,16,0,19,0,19,5,19,4,28,3,23,4,30,5,12,0,17,0,7,0,7,0,9,4,13,13,105,12,130,5,33,5,43,5,31,0,36,5,36,4,45,3,38,11,52,5,28,4,37,0,16,0,16,0,20,4,24,23,202,28,253
ILOC10100201,10,104,21,135,8,75,0,83,14,107,3,124,9,61,6,76,15,58,9,82,3,51,3,57,0,13,7,20,59,469,49,577,16,95,12,123,18,76,9,103,23,104,3,130,34,95,10,139,22,74,4,100,9,37,4,50,4,27,6,37,126,508,48,682,26,199,33,258,26,151,9,186,37,211,6,254,43,156,16,215,37,132,13,182,12,88,7,107,4,40,13,57,185,977,97,1259
ILOC10100202,3,8,3,14,3,15,0,18,4,21,0,25,0,19,3,22,3,18,0,21,0,14,4,18,3,5,3,11,16,100,13,129,0,21,0,21,4,14,0,18,5,29,7,41,9,17,3,29,4,24,0,28,0,14,0,14,3,12,4,19,25,131,14,170,3,29,3,35,7,29,0,36,9,50,7,66,9,36,6,51,7,42,0,49,0,28,4,32,6,17,7,30,41,231,27,299
ILOC10100203,0,31,4,35,0,35,3,38,4,35,3,42,6,22,3,31,0,37,0,37,6,11,0,17,0,11,3,14,16,182,16,214,0,43,8,51,5,18,3,26,5,42,5,52,5,37,3,45,6,34,4,44,0,13,0,13,4,16,9,29,25,203,32,260,0,74,12,86,5,53,6,64,9,77,8,94,11,59,6,76,6,71,4,81,6,24,0,30,4,27,12,43,41,385,48,474
ILOC10100204,3,21,0,24,0,9,3,12,3,10,0,13,3,19,0,22,3,13,0,16,0,13,0,13,0,6,0,6,12,91,3,106,0,14,7,21,0,9,0,9,3,8,3,14,4,21,0,25,7,11,0,18,3,10,0,13,0,0,3,3,17,73,13,103,3,35,7,45,0,18,3,21,6,18,3,27,7,40,0,47,10,24,0,34,3,23,0,26,0,6,3,9,29,164,16,209
ILOC10100205,3,47,13,63,5,39,6,50,6,58,8,72,8,61,3,72,4,39,6,49,3,24,0,27,3,21,0,24,32,289,36,357,12,57,14,83,7,50,6,63,12,64,0,76,15,57,7,79,9,46,7,62,5,31,3,39,0,14,7,21,60,319,44,423,15,104,27,146,12,89,12,113,18,122,8,148,23,118,10,151,13,85,13,111,8,55,3,66,3,35,7,45,92,608,80,780
ILOC10100301,0,27,3,30,0,10,0,10,0,14,3,17,3,26,3,32,4,22,0,26,3,21,3,27,3,12,3,18,13,132,15,160,0,27,6,33,0,12,0,12,4,20,3,27,11,25,0,36,7,21,0,28,4,20,6,30,0,9,0,9,26,134,15,175,0,54,9,63,0,22,0,22,4,34,6,44,14,51,3,68,11,43,0,54,7,41,9,57,3,21,3,27,39,266,30,335
ILOC10100401,5,48,9,62,0,15,3,18,5,29,3,37,6,33,3,42,0,29,4,33,3,21,3,27,0,5,5,10,19,180,30,229,0,22,9,31,3,36,3,42,4,41,3,48,14,40,3,57,11,35,0,46,3,26,3,32,3,19,3,25,38,219,24,281,5,70,18,93,3,51,6,60,9,70,6,85,20,73,6,99,11,64,4,79,6,47,6,59,3,24,8,35,57,399,54,510
ILOC10100402,3,5,0,8,0,3,0,3,0,3,0,3,3,6,0,9,4,8,0,12,0,10,0,10,0,0,0,0,10,35,0,45,0,8,4,12,4,3,0,7,4,11,0,15,4,8,3,15,0,6,0,6,0,8,0,8,0,0,0,0,12,44,7,63,3,13,4,20,4,6,0,10,4,14,0,18,7,14,3,24,4,14,0,18,0,18,0,18,0,0,0,0,22,79,7,108
ILOC10100403,0,9,0,9,0,6,0,6,0,10,3,13,0,7,0,7,0,5,0,5,0,11,0,11,3,11,0,14,3,59,3,65,0,6,5,11,3,5,0,8,3,9,0,12,0,7,3,10,3,8,0,11,3,9,3,15,0,3,0,3,12,47,11,70,0,15,5,20,3,11,0,14,3,19,3,25,0,14,3,17,3,13,0,16,3,20,3,26,3,14,0,17,15,106,14,135
