region_id,M_T_20_24_PD_GD_GCL,M_T_20_24_BDL,M_T_20_24_ADip_DipL,M_T_20_24_CL_nfd,M_T_20_24_Ct_III_IV,M_T_20_24_Ct_I_II,M_T_20_24_LoE_NS,M_T_20_24_Tot,M_T_25_34_PD_GD_GCL,M_T_25_34_BDL,M_T_25_34_ADip_DipL,M_T_25_34_CL_nfd,M_T_25_34_Ct_III_IV,M_T_25_34_Ct_I_II,M_T_25_34_LoE_NS,M_T_25_34_Tot,M_T_35_44_PD_GD_GCL,M_T_35_44_BDL,M_T_35_44_ADip_DipL,M_T_35_44_CL_nfd,M_T_35_44_Ct_III_IV,M_T_35_44_Ct_I_II,M_T_35_44_LoE_NS,M_T_35_44_Tot,M_T_45_54_PD_GD_GCL,M_T_45_54_BDL,M_T_45_54_ADip_DipL,M_T_45_54_CL_nfd,M_T_45_54_Ct_III_IV,M_T_45_54_Ct_I_II,M_T_45_54_LoE_NS,M_T_45_54_Tot,M_T_55_64_PD_GD_GCL,M_T_55_64_BDL,M_T_55_64_ADip_DipL,M_T_55_64_CL_nfd,M_T_55_64_Ct_III_IV,M_T_55_64_Ct_I_II,M_T_55_64_LoE_NS,M_T_55_64_Tot,M_T_65ov_PtgdDe_GdDp_GdCt,M_T_65ov_BDL,M_T_65ov_ADip_DipL,M_T_65ov_CL_nfd,M_T_65ov_Ct_III_IV,M_T_65ov_Ct_I_II,M_T_65ov_LoE_NS,M_T_65ov_Tot,M_T_Tot_PD_GD_GCL,M_T_Tot_BDL,M_T_Tot_ADip_DipL,M_T_Tot_CL_nfd,M_T_Tot_Ct_III_IV,M_T_Tot_Ct_I_II,M_T_Tot_LoE_NS,M_T_Tot_Tot,F_Ind_15_19_PD_GD_GCL,F_Ind_15_19_BDL,F_Ind_15_19_ADip_DipL,F_Ind_15_19_CL_nfd,F_Ind_15_19_Ct_III_IV,F_Ind_15_19_Ct_I_II,F_Ind_15_19_LoE_NS,F_Ind_15_19_Tot,F_Ind_20_24_PD_GD_GCL,F_Ind_20_24_BDL,F_Ind_20_24_ADip_DipL,F_Ind_20_24_CL_nfd,F_Ind_20_24_Ct_III_IV,F_Ind_20_24_Ct_I_II,F_Ind_20_24_LoE_NS,F_Ind_20_24_Tot,F_Ind_25_34_PD_GD_GCL,F_Ind_25_34_BDL,F_Ind_25_34_ADip_DipL,F_Ind_25_34_CL_nfd,F_Ind_25_34_Ct_III_IV,F_Ind_25_34_Ct_I_II,F_Ind_25_34_LoE_NS,F_Ind_25_34_Tot,F_Ind_35_44_PD_GD_GCL,F_Ind_35_44_BDL,F_Ind_35_44_ADip_DipL,F_Ind_35_44_CL_nfd,F_Ind_35_44_Ct_III_IV,F_Ind_35_44_Ct_I_II,F_Ind_35_44_LoE_NS,F_Ind_35_44_Tot,F_Ind_45_54_PD_GD_GCL,F_Ind_45_54_BDL,F_Ind_45_54_ADip_DipL,F_Ind_45_54_CL_nfd,F_Ind_45_54_Ct_III_IV,F_Ind_45_54_Ct_I_II,F_Ind_45_54_LoE_NS,F_Ind_45_54_Tot,F_Ind_55_64_PD_GD_GCL,F_Ind_55_64_BDL,F_Ind_55_64_ADip_DipL,F_Ind_55_64_CL_nfd,F_Ind_55_64_Ct_III_IV,F_Ind_55_64_Ct_I_II,F_Ind_55_64_LoE_NS,F_Ind_55_64_Tot,F_Ind_65ov_PtgdDe_GdDp_GdCt,F_Ind_65ov_BDL,F_Ind_65ov_ADip_DipL,F_Ind_65ov_CL_nfd,F_Ind_65ov_Ct_III_IV,F_Ind_65ov_Ct_I_II,F_Ind_65ov_LoE_NS,F_Ind_65ov_Tot,F_Ind_TotPdDe_GdDp_GdCt,F_Ind_Tot_BDL,F_Ind_Tot_ADip_DipL,F_Ind_Tot_CL_nfd,F_Ind_Tot_Ct_III_IV,F_Ind_Tot_Ct_I_II,F_Ind_Tot_LoE_NS,F_Ind_Tot_Tot,F_NonI_15_19_PD_GD_GCL,F_NonI_15_19_BDL,F_NonI_15_19_ADip_DipL,F_NonI_15_19_CL_nfd,F_NonI_15_19_Ct_III_IV,F_NonI_15_19_Ct_I_II,F_NonI_15_19_LoE_NS,F_NonI_15_19_Tot,F_NonI_20_24_PD_GD_GCL,F_NonI_20_24_BDL,F_NonI_20_24_ADip_DipL,F_NonI_20_24_CL_nfd,F_NonI_20_24_Ct_III_IV,F_NonI_20_24_Ct_I_II,F_NonI_20_24_LoE_NS,F_NonI_20_24_Tot,F_NonI_25_34_PD_GD_GCL,F_NonI_25_34_BDL,F_NonI_25_34_ADip_DipL,F_NonI_25_34_CL_nfd,F_NonI_25_34_Ct_III_IV,F_NonI_25_34_Ct_I_II,F_NonI_25_34_LoE_NS,F_NonI_25_34_Tot,F_NonI_35_44_PD_GD_GCL,F_NonI_35_44_BDL,F_NonI_35_44_ADip_DipL,F_NonI_35_44_CL_nfd,F_NonI_35_44_Ct_III_IV,F_NonI_35_44_Ct_I_II,F_NonI_35_44_LoE_NS,F_NonI_35_44_Tot,F_NonI_45_54_PD_GD_GCL,F_NonI_45_54_BDL,F_NonI_45_54_ADip_DipL,F_NonI_45_54_CL_nfd,F_NonI_45_54_Ct_III_IV,F_NonI_45_54_Ct_I_II,F_NonI_45_54_LoE_NS,F_NonI_45_54_Tot,F_NonI_55_64_PD_GD_GCL,F_NonI_55_64_BDL,F_NonI_55_64_ADip_DipL,F_NonI_55_64_CL_nfd,F_NonI_55_64_Ct_III_IV,F_NonI_55_64_Ct_I_II,F_NonI_55_64_LoE_NS,F_NonI_55_64_Tot,F_NonI_65ov_PtgdDe_GdDp_GdCt,F_NonI_65ov_BDL,F_NonI_65ov_ADip_DipL,F_NonI_65ov_CL_nfd,F_NonI_65ov_Ct_III_IV,F_NonI_65ov_Ct_I_II,F_NonI_65ov_LoE_NS,F_NonI_65ov_Tot,F_NonI_Tot_PD_GD_GCL,F_NonI_Tot_BDL,F_NonI_Tot_ADip_DipL,F_NonI_Tot_CL_nfd,F_NonI_Tot_Ct_III_IV,F_NonI_Tot_Ct_I_II,F_NonI_Tot_LoE_NS,F_NonI_Tot_Tot,F_IS_NS_15_19_PD_GD_GCL,F_IS_NS_15_19_BDL,F_IS_NS_15_19_ADip_DipL,F_IS_NS_15_19_CL_nfd,F_IS_NS_15_19_Crt_III_an_IV_L,F_IS_NS_15_19_Ct_I_II,F_IS_NS_15_19_LoE_NS,F_IS_NS_15_19_Tot,F_IS_NS_20_24_PD_GD_GCL,F_IS_NS_20_24_BDL,F_IS_NS_20_24_ADip_DipL,F_IS_NS_20_24_CL_nfd,F_IS_NS_20_24_Crt_III_an_IV_L,F_IS_NS_20_24_Ct_I_II,F_IS_NS_20_24_LoE_NS,F_IS_NS_20_24_Tot
ILOC10100101,0,0,0,3,28,4,10,45,4,21,4,0,41,0,6,76,4,21,4,3,48,0,23,103,0,7,12,0,49,0,29,97,5,4,4,4,25,0,28,70,0,0,6,3,37,0,49,95,13,53,30,13,228,4,157,498,0,0,0,0,4,0,3,7,0,0,3,0,3,0,3,9,0,0,0,0,8,0,3,11,0,0,0,0,4,3,3,10,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,3,19,3,16,44,0,0,0,0,0,0,8,8,0,7,3,0,3,0,0,13,4,33,9,3,14,6,6,75,5,32,12,4,26,6,8,93,4,9,23,6,19,0,12,73,6,6,7,0,15,5,10,49,0,10,6,5,5,0,44,70,19,97,60,18,82,17,88,381,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
ILOC10100201,0,8,12,9,117,6,41,193,12,75,33,9,319,23,55,526,28,69,49,9,265,11,60,491,38,72,58,7,274,15,77,541,23,74,50,10,204,3,52,416,4,22,27,7,141,0,103,304,105,320,229,54,1350,64,441,2563,0,0,0,0,5,0,12,17,0,3,4,0,13,9,6,35,3,14,8,4,24,11,8,72,3,11,9,8,21,3,11,66,3,8,5,5,14,3,3,41,0,0,3,0,0,0,15,18,0,0,0,0,0,0,10,10,9,36,29,17,77,26,65,259,0,0,0,0,22,13,21,56,3,47,22,16,89,24,14,215,31,203,76,18,194,33,20,575,38,150,71,39,151,25,41,515,37,120,87,31,158,15,65,513,29,77,51,25,62,10,72,326,7,37,38,15,10,6,167,280,145,634,345,144,686,126,400,2480,0,0,0,0,0,0,17,17,0,0,0,0,0,0,14,14
ILOC10100202,0,9,0,0,37,4,15,65,14,22,4,7,62,3,22,134,6,15,14,5,57,3,21,121,10,16,8,0,64,0,34,132,0,16,8,3,45,3,27,102,0,5,10,0,41,0,43,99,30,83,44,15,310,16,174,672,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,7,0,3,0,0,10,3,3,19,0,0,0,0,5,3,0,8,0,4,3,0,0,0,3,10,0,3,0,0,0,0,3,6,0,0,0,0,0,0,9,9,0,10,3,0,22,6,22,63,0,0,0,0,5,0,10,15,3,16,9,0,17,5,5,55,11,64,20,3,42,11,7,158,12,16,13,3,33,4,12,93,9,22,17,6,28,3,16,101,9,13,13,3,12,0,15,65,0,12,13,3,5,3,61,97,44,143,85,18,142,26,126,584,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,9
ILOC10100203,0,11,3,4,88,6,22,134,19,68,23,7,172,6,42,337,25,61,29,3,158,7,34,317,12,43,36,5,151,0,38,285,19,28,33,6,99,4,31,220,12,14,22,11,114,0,101,274,87,225,146,36,796,26,298,1614,0,0,0,0,4,0,4,8,0,3,0,0,6,3,4,16,0,5,4,3,3,4,7,26,0,3,6,3,7,5,4,28,0,3,3,3,5,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,14,13,9,25,12,39,112,0,0,0,3,13,5,12,33,5,46,14,4,57,7,10,143,21,178,38,10,78,18,14,357,30,99,41,15,69,15,21,290,34,67,49,21,63,13,28,275,24,40,38,14,40,6,43,205,10,39,38,16,19,5,116,243,124,469,218,83,339,69,244,1546,0,0,0,0,0,0,7,7,0,0,0,0,0,0,10,10
ILOC10100204,0,4,3,3,55,4,19,88,5,30,8,4,109,8,27,191,13,58,27,14,189,3,47,351,15,51,34,4,212,6,48,370,10,51,25,5,175,0,38,304,9,12,21,3,109,0,71,225,52,206,118,36,864,24,287,1587,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,4,10,0,0,23,5,0,0,0,4,0,0,9,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,5,3,6,4,14,0,14,46,0,0,0,3,9,5,15,32,0,9,18,7,37,7,5,83,11,76,24,6,61,15,9,202,18,101,59,12,88,12,21,311,30,74,57,19,92,19,46,337,32,49,58,10,37,12,51,249,8,24,30,8,13,3,50,136,99,333,246,65,337,73,197,1350,0,0,0,0,0,0,12,12,0,0,0,0,0,0,8,8
ILOC10100205,0,0,4,5,60,9,17,95,7,35,19,5,132,8,35,241,14,43,27,3,130,8,39,264,17,27,31,9,111,3,40,238,11,20,12,3,94,3,28,171,3,21,20,3,82,3,57,189,52,146,113,28,616,34,252,1241,0,0,0,0,3,0,14,17,0,3,0,0,14,0,7,24,0,5,3,0,11,0,6,25,0,3,3,4,8,6,10,34,3,0,0,3,10,0,12,28,0,3,3,0,3,0,3,12,0,3,0,0,0,0,4,7,3,17,9,7,49,6,56,147,0,0,0,0,4,6,14,24,0,16,5,6,48,8,8,91,14,85,21,3,79,16,18,236,12,59,38,14,71,10,31,235,11,32,40,16,51,13,33,196,8,28,29,14,34,11,31,155,6,10,21,12,14,3,65,131,51,230,154,65,301,67,200,1068,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,5
ILOC10100301,0,3,0,0,33,0,6,42,0,8,12,0,62,4,15,101,3,12,8,3,70,3,27,126,5,16,18,6,79,3,35,162,3,10,7,4,57,0,38,119,0,6,7,8,66,0,67,154,11,55,52,21,376,13,204,732,0,0,0,0,0,3,3,6,0,0,0,0,3,0,3,6,0,3,0,3,3,0,0,9,0,3,3,3,4,3,3,19,0,3,0,0,3,0,3,9,0,3,3,0,0,3,4,13,0,0,0,0,0,0,3,3,0,12,6,6,13,9,19,65,0,3,0,0,3,0,9,15,0,8,4,7,15,0,3,37,8,39,7,0,26,10,8,98,8,33,26,5,42,4,12,130,6,28,26,12,42,3,28,145,9,18,20,8,20,3,28,106,5,12,23,4,13,4,67,128,36,141,106,36,161,24,155,659,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
ILOC10100401,0,0,0,0,32,0,3,35,0,21,10,3,60,0,13,107,6,10,14,5,54,7,19,115,6,9,9,0,63,0,15,102,4,5,10,0,50,0,26,95,3,3,11,5,40,0,55,117,19,48,54,13,306,12,147,599,0,0,0,3,0,0,6,9,0,0,0,3,4,3,0,10,0,0,0,0,7,0,6,13,0,6,3,3,8,4,5,29,0,4,4,3,9,0,5,25,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4,4,0,10,7,12,28,7,32,96,0,0,0,0,4,3,4,11,3,11,0,0,11,0,4,29,4,32,18,3,36,4,3,100,7,25,18,3,31,0,6,90,4,10,12,9,25,6,20,86,3,14,23,13,21,3,15,92,0,15,11,3,4,0,76,109,21,107,82,31,132,16,128,517,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
ILOC10100402,0,4,0,0,14,0,3,21,7,10,0,0,25,0,7,49,3,14,8,5,48,3,9,90,3,8,11,0,45,3,15,85,4,10,12,0,26,3,18,73,0,3,5,0,28,0,17,53,17,49,36,5,186,9,74,376,0,0,0,0,3,0,3,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,9,6,9,33,0,0,0,0,0,0,8,8,0,0,0,0,7,0,0,7,0,30,10,0,12,0,5,57,5,40,16,3,14,3,0,81,9,15,20,5,19,3,5,76,8,19,12,7,10,3,18,77,0,3,10,5,3,3,20,44,22,107,68,20,65,12,56,350,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
ILOC10100403,0,5,0,0,3,0,0,8,0,0,3,0,5,0,0,8,0,0,3,0,11,0,0,14,0,0,0,0,12,0,9,21,0,3,3,0,10,0,10,26,0,0,4,0,18,0,21,43,0,8,13,0,59,0,43,123,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,6,0,0,0,0,3,0,3,6,0,0,0,0,0,0,3,3,0,0,3,3,9,3,10,28,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,0,0,3,0,3,0,6,12,0,8,0,0,5,0,0,13,0,3,9,3,0,0,0,15,0,3,0,0,3,0,6,12,0,3,7,0,3,0,15,28,0,17,19,3,21,0,27,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
