region_id,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,Cntd_CN_Ewre_Aus_Indig_M,Cntd_CN_Ewre_Aus_Indig_F,Cntd_CN_Ewre_Aus_Indig_P,Ctd_CN_Ewh_Aus_No_Indi_M,Ctd_CN_Ewh_Aus_No_Indi_F,Ctd_CN_Ewh_Aus_No_Indi_P,Ct_CN_Ew_Au_IndSt_nsM,Ct_CN_Ew_Au_IndSt_nsF,Ct_CN_Ew_Au_IndSt_nsP,Ctd_CN_Ewh_Aus_TotM,Ctd_CN_Ewh_Aus_TotF,Ctd_CN_Ewh_Aus_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF
IREG101,5585,5755,11340,35004,36355,71359,2203,1995,4198,42792,44105,86897,793,791,1584,2409,2230,4639,165,128,293,3367,3149,6516,1446,1329,2775,4673,4604,9277,324,264,588,6443,6197,12640,1080,1055,2135,4065,3913,7978,286,253,539,5431,5221,10652,1214,1390,2604,7890,8639,16529,490,403,893,9594,10432,20026,850,926,1776,9820,9851,19671,558,489,1047,11228,11266,22494,203,263,466,6146,7118,13264,380,459,839,6729,7840,14569,5204,5427,10631,32700,34393,67093,1832,1780,3612,39736,41600,81336,381,329,710,2303,1962,4265,372,213,585,3056,2504,5560,31,35,66,108,91,199,3,9,12,142,135,277,281,227,508,1904,1365,3269,299,159,458,2484,1751,4235,3,3,6,253,214,467,32,28,60,288,245,533,10,7,17,170,129,299,34,14,48,214,150,364,0,3,3,68,54,122,7,0,7,75,57,132,3,0,3,26,24,50,3,3,6,32,27,59,0,0,0,23,23,46,3,3,6,26,26,52,3,0,3,8,4,12,0,0
IREG102,8417,8767,17184,88388,90238,178626,5135,4799,9934,101940,103804,205744,1168,1125,2293,5766,5547,11313,361,352,713,7295,7024,14319,2106,2090,4196,11913,11036,22949,734,744,1478,14753,13870,28623,1598,1575,3173,10940,10781,21721,697,627,1324,13235,12983,26218,1831,2133,3964,20298,21128,41426,1198,1067,2265,23327,24328,47655,1359,1440,2799,24794,24733,49527,1332,1067,2399,27485,27240,54725,353,406,759,14677,17012,31689,813,942,1755,15843,18360,34203,7796,8223,16019,83002,85182,168184,4368,4305,8673,95166,97710,192876,620,544,1164,5389,5054,10443,766,493,1259,6775,6091,12866,65,59,124,292,227,519,19,15,34,376,301,677,476,420,896,4309,3389,7698,676,348,1024,5461,4157,9618,3,0,3,254,205,459,33,16,49,290,221,511,46,34,80,624,434,1058,114,38,152,784,506,1290,3,3,6,91,86,177,9,4,13,103,93,196,3,0,3,47,60,107,4,3,7,54,63,117,0,0,0,28,25,53,5,3,8,33,28,61,0,3,3,11,12,23,0,0
IREG103,3701,3989,7690,15596,14998,30594,1474,1271,2745,20771,20258,41029,404,460,864,891,870,1761,111,113,224,1406,1443,2849,874,845,1719,1757,1609,3366,227,175,402,2858,2629,5487,676,728,1404,1596,1519,3115,150,137,287,2422,2384,4806,873,1011,1884,3555,3507,7062,315,267,582,4743,4785,9528,696,729,1425,4962,4408,9370,401,316,717,6059,5453,11512,179,216,395,2835,3084,5919,269,263,532,3283,3563,6846,3388,3684,7072,14415,13925,28340,1294,1162,2456,19097,18771,37868,314,305,619,1181,1072,2253,178,111,289,1673,1488,3161,51,40,91,71,46,117,10,0,10,132,86,218,218,243,461,1293,928,2221,201,104,305,1712,1275,2987,5,3,8,365,257,622,43,22,65,413,282,695,14,13,27,158,163,321,24,14,38,196,190,386,9,7,16,249,184,433,38,21,59,296,212,508,0,0,0,31,28,59,8,3,11,39,31,70,0,0,0,23,21,44,5,0,5,28,21,49,0,4,4,4,0,4,0,0
IREG104,25687,26633,52320,639878,675205,1315083,31104,28949,60053,696669,730787,1427456,3375,3143,6518,39709,37576,77285,1816,1790,3606,44900,42509,87409,6591,6440,13031,82650,78760,161410,4031,3828,7859,93272,89028,182300,5191,5025,10216,78407,75502,153909,4082,3175,7257,87680,83702,171382,5597,6290,11887,145324,156470,301794,6976,5751,12727,157897,168511,326408,3936,4556,8492,178333,188773,367106,8351,7104,15455,190620,200433,391053,996,1179,2175,115458,138124,253582,5848,7300,13148,122302,146603,268905,24102,25239,49341,606279,644718,1250997,26561,26047,52608,656942,696004,1352946,1583,1395,2978,33601,30486,64087,4544,2903,7447,39728,34784,74512,113,74,187,1129,1017,2146,100,102,202,1342,1193,2535,1440,1212,2652,23055,21243,44298,2153,1450,3603,26648,23905,50553,12,15,27,2612,2676,5288,248,195,443,2872,2886,5758,80,79,159,2776,2406,5182,338,195,533,3194,2680,5874,0,5,5,527,480,1007,38,30,68,565,515,1080,10,8,18,372,331,703,30,18,48,412,357,769,10,3,13,335,334,669,27,23,50,372,360,732,7,6,13,76,67,143,16,3
IREG105,10088,10083,20171,207314,210424,417738,11032,9717,20749,228434,230224,458658,1305,1347,2652,13814,13205,27019,785,731,1516,15904,15283,31187,2538,2436,4974,28507,26838,55345,1564,1424,2988,32609,30698,63307,2038,1861,3899,26765,25643,52408,1472,1232,2704,30275,28736,59011,2223,2402,4625,47607,49440,97047,2486,1979,4465,52316,53821,106137,1587,1579,3166,56713,56386,113099,2785,2141,4926,61085,60106,121191,396,458,854,33908,38913,72821,1940,2210,4150,36244,41581,77825,9476,9557,19033,195254,199510,394764,9449,8706,18155,214179,217773,431952,609,528,1137,12059,10916,22975,1584,1010,2594,14252,12454,26706,55,40,95,563,504,1067,31,27,58,649,571,1220,527,422,949,7995,6310,14305,972,498,1470,9494,7230,16724,45,27,72,1957,1573,3530,267,146,413,2269,1746,4015,27,20,47,717,493,1210,82,41,123,826,554,1380,8,3,11,324,229,553,32,23,55,364,255,619,4,8,12,227,116,343,25,7,32,256,131,387,4,0,4,120,90,210,12,7,19,136,97,233,10,5,15,35,24,59,3,6
IREG106,5381,5451,10832,148915,153211,302126,8457,7607,16064,162753,166269,329022,645,698,1343,8796,8221,17017,503,512,1015,9944,9431,19375,1388,1323,2711,18933,18189,37122,1086,1073,2159,21407,20585,41992,1019,902,1921,16644,15586,32230,1033,758,1791,18696,17246,35942,1222,1291,2513,31458,33727,65185,1826,1515,3341,34506,36533,71039,878,989,1867,44240,45711,89951,2401,1890,4291,47519,48590,96109,230,247,477,28844,31778,60622,1607,1859,3466,30681,33884,64565,5044,5171,10215,139516,144850,284366,7272,6863,14135,151832,156884,308716,339,279,618,9397,8363,17760,1186,742,1928,10922,9384,20306,20,15,35,361,292,653,24,21,45,405,328,733,310,286,596,9473,7445,16918,1447,937,2384,11230,8668,19898,11,6,17,1070,1002,2072,146,93,239,1227,1101,2328,18,17,35,1135,959,2094,172,157,329,1325,1133,2458,0,0,0,196,156,352,22,7,29,218,163,381,8,4,12,178,167,345,32,11,43,218,182,400,0,0,0,94,81,175,10,6,16,104,87,191,0,3,3,23,15,38,3,3
IREG107,25701,26472,52173,2002459,2073345,4075804,119711,108133,227844,2147871,2207950,4355821,3113,2955,6068,140857,133831,274688,8248,7525,15773,152218,144311,296529,6166,5518,11684,257523,243186,500709,13868,12530,26398,277557,261234,538791,5300,5146,10446,273782,266899,540681,17269,14615,31884,296351,286660,583011,6204,7069,13273,606975,634065,1241040,39670,33577,73247,652849,674711,1327560,3964,4571,8535,490479,511093,1001572,26700,23240,49940,521143,538904,1060047,955,1213,2168,232842,284271,517113,13955,16646,30601,247752,302130,549882,24361,25268,49629,1938333,2015776,3954109,110043,101816,211859,2072737,2142860,4215597,1340,1202,2542,64124,57571,121695,9668,6318,15986,75132,65091,140223,80,59,139,2658,2585,5243,228,176,404,2966,2820,5786,1395,1208,2603,44447,43083,87530,5394,4160,9554,51236,48451,99687,12,18,30,3321,2251,5572,1299,633,1932,4632,2902,7534,47,49,96,3147,2685,5832,715,441,1156,3909,3175,7084,13,6,19,864,689,1553,239,148,387,1116,843,1959,18,21,39,1249,1007,2256,355,214,569,1622,1242,2864,6,3,9,403,419,822,84,64,148,493,486,979,13,10,23,180,135,315,37,23
IREG194,522,391,913,6224,4450,10674,846,484,1330,7592,5325,12917,42,48,90,239,180,419,22,21,43,303,249,552,42,39,81,251,230,481,39,27,66,332,296,628,106,89,195,874,817,1691,110,81,191,1090,987,2077,199,146,345,2337,1577,3914,334,166,500,2870,1889,4759,116,64,180,1817,1205,3022,247,122,369,2180,1391,3571,16,6,22,708,440,1148,93,67,160,817,513,1330,0,0,0,0,0,0,0,0,0,0,0,0,522,391,913,6224,4451,10675,846,484,1330,7592,5326,12918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,52,53,105,4,3,7,56,56,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,4,3,7,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,6,5,11,0,0,0,6,5,11,0,0,0,17,18,35,3,0,3,20,18,38,0,0,0,21,28,49,3,3,6,24,31,55,0,0,0,50,53,103,4,3,7,54,56,110,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,223,253,476,58,53,111,289,312,601,4,0,4,113,132,245,37,47,84,154,179,333,0,0,0,79,76,155,12,6,18,91,82,173,0,0,0,50,55,105,11,5,16,61,60,121,0,0,0,228,295,523,49,54,103,277,349,626,0,3,3,26,19,45,4,3,7,30,25,55,0,0,0,14,9,23,0,5
IREG201,8720,8866,17586,1829782,1905888,3735670,98604,88945,187549,1937106,2003699,3940805,967,972,1939,123596,117293,240889,6592,6007,12599,131155,124272,255427,1923,1833,3756,228224,216668,444892,11328,10393,21721,241475,228894,470369,1747,1718,3465,261028,253920,514948,14919,12013,26932,277694,267651,545345,2370,2435,4805,559027,582483,1141510,31747,25804,57551,593144,610722,1203866,1387,1485,2872,438751,466108,904859,21210,18682,39892,461348,486275,947623,326,423,749,219156,269416,488572,12806,16047,28853,232288,285886,518174,8282,8479,16761,1765143,1844176,3609319,89992,83057,173049,1863417,1935712,3799129,436,389,825,64640,61711,126351,8612,5886,14498,73688,67986,141674,15,16,31,2248,2283,4531,162,146,308,2425,2445,4870,43,45,88,4460,3992,8452,1578,922,2500,6081,4959,11040,412,337,749,39049,39285,78334,3993,3349,7342,43454,42971,86425,24,22,46,2590,2553,5143,623,424,1047,3237,2999,6236,11,8,19,1275,1230,2505,322,231,553,1608,1469,3077,9,15,24,1570,1659,3229,390,250,640,1969,1924,3893,13,24,37,766,848,1614,172,100,272,951,972,1923,35,84,119,245,188,433,41,26
