region_id,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_Indig_M,VfDif_SA2_T_Indig_F,VfDif_SA2_T_Indig_P,VfDif_SA2_T_NonInd_M,VfDif_SA2_T_NonInd_F,VfDif_SA2_T_NonInd_P,VfDif_SA2_T_IndSt_nsM,VfDif_SA2_T_IndSt_nsF,VfDif_SA2_T_IndSt_nsP,VfDif_SA2_T_TotM,VfDif_SA2_T_TotF,VfDif_SA2_T_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LSaH_Eng_onl_Indig_M,LSaH_Eng_onl_Indig_F,LSaH_Eng_onl_Indig_P,LSaH_Eng_onl_NonInd_M,LSaH_Eng_onl_NonInd_F,LSaH_Eng_onl_NonInd_P,LSaH_Eng_on_Ind_sta_nsM,LSaH_Eng_on_Ind_sta_nsF,LSaH_Eng_on_Ind_sta_nsP,LSaH_Eng_only_TotM,LSaH_Eng_only_TotF,LSaH_Eng_only_TotP,LSaH_Aus_Ind_Lang_Ind_M,LSaH_Aus_Ind_Lang_Ind_F,LSaH_Aus_Ind_Lang_Ind_P,LSaH_Aus_Ind_Lan_No_Ind_M,LSaH_Aus_Ind_Lan_No_Ind_F,LSaH_Aus_Ind_Lan_No_Ind_P,Lsh_Aus_Ind_Lan_IndSt_nsM,Lsh_Aus_Ind_Lan_IndSt_nsF,Lsh_Aus_Ind_Lan_IndSt_nsP,Lsh_Austn_Indig_Lang_TotM,Lsh_Austn_Indig_Lang_TotF,Lsh_Austn_Indig_Lang_TotP,SAIndL_SE_Nw_Na_In_M,SAIndL_SE_Nw_Na_In_F,SAIndL_SE_Nw_Na_In_P,SAIndL_SE_Nw_Na_No_In_M,SAIndL_SE_Nw_Na_No_In_F,SAIndL_SE_Nw_Na_No_In_P,SAIndL_SE_Nw_Na_In_st_nsM,SAIndL_SE_Nw_Na_In_st_nsF,SAIndL_SE_Nw_Na_In_st_nsP,SAIndL_SE_Nw_Na_TotM,SAIndL_SE_Nw_Na_TotF,SAIndL_SE_Nw_Na_TotP,SAIndL_SE_Vw_wel_In_M,SAIndL_SE_Vw_wel_In_F,SAIndL_SE_Vw_wel_In_P,SAIndL_SE_Vw_we_No_In_M,SAIndL_SE_Vw_we_No_In_F,SAIndL_SE_Vw_we_No_In_P,SAIndL_SE_Vw_we_I_st_nsM,SAIndL_SE_Vw_we_I_st_nsF,SAIndL_SE_Vw_we_I_st_nsP,SAIndL_SE_Vw_we_TotM,SAIndL_SE_Vw_we_TotF,SAIndL_SE_Vw_we_TotP,AuAbrigTrRl_Indig_M,AuAbrigTrRl_Indig_F,AuAbrigTrRl_Indig_P,AuAbrigTrRl_No_Ind_M,AuAbrigTrRl_No_Ind_F,AuAbrigTrRl_No_Ind_P,AuAbrigTrRl_IndSt_nsM,AuAbrigTrRl_IndSt_nsF,AuAbrigTrRl_IndSt_nsP,AuAbrigTrRl_TotM,AuAbrigTrRl_TotF,AuAbrigTrRl_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M
IREG101,0,11,4,15,0,3,3,32,23,55,3,0,3,35,26,61,0,0,0,0,0,0,0,0,0,0,0,0,300,243,543,2484,1836,4320,381,207,588,3165,2286,5451,331,278,609,2592,1927,4519,384,216,600,3307,2421,5728,5153,5559,10712,33543,34938,68481,498,552,1050,39194,41049,80243,29,26,55,0,3,3,0,0,0,29,29,58,0,0,0,0,0,0,0,0,0,0,0,0,28,26,54,0,0,0,0,0,0,28,26,54,26,25,51,4,0,4,0,0,0,30,25,55,165,149,314,590,506,1096,17,11,28,772,666,1438,1218,1113,2331,4342,4298,8640,83,75,158,5643,5486,11129,328,349,677,1536,1509,3045,24,23,47,1888,1881,3769,34,67,101,318,476,794,3,4,7,355,547,902,82,208,290,676,1413,2089,9,18,27,767,1639,2406,531,771,1302,8513,11053,19566,68,103,171,9112,11927,21039,249,373,622,1826,2075,3901,24,22,46,2099,2470,4569,1050,1165,2215,10238
IREG102,0,11,15,26,0,5,5,47,42,89,9,3,12,56,50,106,0,0,0,0,0,0,0,0,0,0,0,0,531,465,996,5411,4253,9664,850,415,1265,6792,5133,11925,596,524,1120,5703,4480,10183,869,430,1299,7168,5434,12602,8009,8493,16502,84740,86887,171627,1094,1103,2197,93843,96483,190326,37,44,81,0,0,0,3,0,3,40,44,84,6,0,6,0,0,0,0,0,0,6,0,6,32,41,73,0,0,0,0,0,0,32,41,73,36,20,56,0,5,5,0,0,0,36,25,61,257,229,486,1456,1434,2890,25,19,44,1738,1682,3420,1735,1795,3530,11105,10290,21395,199,162,361,13039,12247,25286,501,525,1026,4068,4127,8195,53,55,108,4622,4707,9329,68,98,166,1215,1644,2859,12,12,24,1295,1754,3049,120,292,412,1961,3673,5634,9,34,43,2090,3999,6089,766,1083,1849,22807,28124,50931,159,206,365,23732,29413,53145,415,526,941,4693,5092,9785,48,55,103,5156,5673,10829,1620,1845,3465,24930
IREG103,0,4,4,8,0,0,0,18,12,30,0,7,7,18,19,37,0,0,0,0,0,0,0,0,0,0,0,0,246,270,516,2141,1593,3734,319,171,490,2706,2034,4740,297,310,607,2212,1639,3851,329,171,500,2838,2120,4958,3471,3808,7279,14850,14321,29171,256,250,506,18577,18379,36956,28,34,62,0,0,0,0,0,0,28,34,62,3,0,3,0,0,0,0,0,0,3,0,3,26,34,60,0,0,0,0,0,0,26,34,60,12,7,19,0,0,0,0,0,0,12,7,19,87,106,193,204,220,424,3,7,10,294,333,627,732,709,1441,1571,1442,3013,31,36,67,2334,2187,4521,174,207,381,497,482,979,9,9,18,680,698,1378,14,37,51,96,171,267,0,3,3,110,211,321,44,106,150,303,595,898,6,4,10,353,705,1058,296,417,713,3292,3927,7219,30,29,59,3618,4373,7991,152,266,418,970,889,1859,13,9,22,1135,1164,2299,744,842,1586,4656
IREG104,19,99,76,175,10,6,16,355,388,743,30,23,53,395,417,812,3,3,6,0,0,0,0,0,0,3,3,6,1572,1337,2909,30108,27925,58033,2880,1937,4817,34560,31199,65759,1685,1411,3096,31237,28942,60179,2980,2039,5019,35902,32392,68294,24312,25615,49927,606392,637863,1244255,7066,7427,14493,637770,670905,1308675,211,203,414,14,22,36,7,3,10,232,228,460,13,11,24,0,0,0,4,0,4,17,11,28,191,187,378,15,20,35,5,5,10,211,212,423,188,148,336,21,16,37,6,5,11,215,169,384,756,771,1527,10447,10048,20495,148,135,283,11351,10954,22305,5726,5640,11366,77046,73651,150697,1237,1132,2369,84009,80423,164432,1778,1855,3633,30376,30209,60585,415,329,744,32569,32393,64962,352,445,797,10517,12206,22723,81,66,147,10950,12717,23667,534,1102,1636,15281,27814,43095,140,193,333,15955,29109,45064,3189,3960,7149,183972,205543,389515,1319,1346,2665,188480,210849,399329,1454,1663,3117,38603,37574,76177,395,341,736,40452,39578,80030,5302,5841,11143,177947
IREG105,9,48,35,83,4,6,10,189,238,427,28,14,42,221,258,479,0,0,0,0,0,0,0,0,0,0,0,0,629,491,1120,11564,9073,20637,1421,742,2163,13614,10306,23920,684,531,1215,12127,9577,21704,1452,769,2221,14263,10877,25140,9249,9696,18945,194576,198708,393284,2373,2450,4823,206198,210854,417052,74,64,138,5,5,10,3,0,3,82,69,151,5,0,5,0,3,3,0,0,0,5,3,8,71,61,132,3,6,9,4,0,4,78,67,145,46,34,80,3,0,3,3,3,6,52,37,89,266,294,560,3240,3182,6422,39,37,76,3545,3513,7058,2163,2077,4240,26377,24828,51205,413,401,814,28953,27306,56259,674,655,1329,10074,10225,20299,131,127,258,10879,11007,21886,102,153,255,3013,4196,7209,18,22,40,3133,4371,7504,168,378,546,4444,8269,12713,50,61,111,4662,8708,13370,964,1262,2226,52288,64260,116548,376,404,780,53628,65926,119554,497,619,1116,14028,14511,28539,138,135,273,14663,15265,29928,1881,1965,3846,56264
IREG106,6,26,21,47,12,11,23,801,812,1613,113,82,195,926,905,1831,0,3,3,0,3,3,3,0,3,3,6,9,359,330,689,12970,10640,23610,1948,1296,3244,15277,12266,27543,379,345,724,13331,10932,24263,1972,1317,3289,15682,12594,28276,5005,5254,10259,139136,143596,282732,1516,1571,3087,145657,150421,296078,46,48,94,3,4,7,0,0,0,49,52,101,3,6,9,0,0,0,0,0,0,3,6,9,44,40,84,3,4,7,0,0,0,47,44,91,42,30,72,6,3,9,0,0,0,48,33,81,157,166,323,2242,2134,4376,24,33,57,2423,2333,4756,1213,1175,2388,17707,17067,34774,251,237,488,19171,18479,37650,372,347,719,6939,6797,13736,69,57,126,7380,7201,14581,46,64,110,1571,1789,3360,18,12,30,1635,1865,3500,107,205,312,3334,6388,9722,21,35,56,3462,6628,10090,598,781,1379,46551,51780,98331,331,339,670,47480,52900,100380,290,303,593,8912,9295,18207,91,65,156,9293,9663,18956,1073,1099,2172,38510
IREG107,60,230,168,398,10,11,21,885,763,1648,239,137,376,1134,911,2045,0,0,0,0,0,0,0,0,0,0,0,0,1514,1326,2840,54496,51032,105528,8362,5820,14182,64372,58178,122550,1594,1385,2979,57154,53617,110771,8590,5996,14586,67338,60998,128336,23758,25088,48846,1287359,1312996,2600355,12768,13343,26111,1323885,1351427,2675312,156,183,339,18,6,24,4,3,7,178,192,370,9,11,20,0,0,0,0,0,0,9,11,20,146,170,316,17,4,21,4,4,8,167,178,345,172,181,353,17,16,33,3,0,3,192,197,389,734,692,1426,33560,31939,65499,460,421,881,34754,33052,67806,5415,4828,10243,238763,226042,464805,3561,3232,6793,247739,234102,481841,1838,1838,3676,104636,102304,206940,1198,1162,2360,107672,105304,212976,483,620,1103,63838,66727,130565,564,484,1048,64885,67831,132716,640,1186,1826,75300,102014,177314,754,866,1620,76694,104066,180760,4484,5519,10003,944588,982773,1927361,7033,7055,14088,956105,995347,1951452,1389,1535,2924,91135,87810,178945,966,916,1882,93490,90261,183751,5111,5545,10656,324464
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,291,630,4439,3415,7854,73,61,134,4851,3767,8618,5,7,12,0,0,0,0,3,3,5,10,15,0,0,0,0,0,0,0,3,3,0,3,3,4,8,12,0,0,0,0,0,0,4,8,12,8,3,11,0,0,0,0,0,0,8,3,11,7,6,13,27,29,56,0,0,0,34,35,69,29,27,56,223,198,421,6,6,12,258,231,489,12,19,31,134,158,292,3,0,3,149,177,326,5,5,10,133,153,286,0,0,0,138,158,296,6,10,16,190,263,453,3,8,11,199,281,480,33,43,76,2101,1906,4007,16,23,39,2150,1972,4122,17,20,37,356,262,618,4,3,7,377,285,662,87,85,172,1348
IREG197,5,14,14,28,0,4,4,21,20,41,3,5,8,24,29,53,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25,754,859,1613,174,178,352,940,1050,1990,12,13,25,754,859,1613,174,178,352,940,1050,1990,0,0,0,39,43,82,0,0,0,39,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,17,12,29,3,0,3,20,12,32,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,7
IREG201,67,321,298,619,0,5,5,396,394,790,105,69,174,501,468,969,0,0,0,13,4,17,0,0,0,13,4,17,547,540,1087,50364,50153,100517,7224,5371,12595,58135,56064,114199,562,556,1118,52612,52436,105048,7386,5517,12903,60560,58509,119069,7913,8249,16162,1256359,1300418,2556777,12666,13291,25957,1276938,1321958,2598896,115,101,216,23,17,40,9,4,13,147,122,269,9,3,12,0,0,0,4,0,4,13,3,16,105,98,203,22,18,40,3,4,7,130,120,250,95,105,200,24,13,37,3,0,3,122,118,240,179,180,359,25828,24941,50769,358,343,701,26365,25464,51829,1664,1590,3254,210135,200093,410228,3194,2947,6141,214993,204630,419623,563,578,1141,96435,96556,192991,1191,1113,2304,98189,98247,196436,172,235,407,62054,65549,127603,635,537,1172,62861,66321,129182,268,447,715,62137,88951,151088,685,811,1496,63090,90209,153299,1840,2232,4072,835705,907158,1742863,6918,6866,13784,844463,916256,1760719,818,896,1714,183281,179445,362726,1735,1606,3341,185834,181947,367781,1355,1316,2671,209131
