region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
IREG101,9720,19958,116,133,249,11404,11018,22422,499,580,1079,3078,2934,6012,43,57,100,3620,3571,7191,463,367,830,2596,2094,4690,50,59,109,3109,2520,5629,28,26,54,121,90,211,8,5,13,157,121,278,4514,4985,9499,29984,31302,61286,1577,1558,3135,36075,37845,73920,6,0,6,25,14,39,3,0,3,34,14,48,373,392,765,1968,2265,4233,176,151,327,2517,2808,5325,4893,5377,10270,31977,33581,65558,1756,1709,3465,38626,40667,79293,311,48,359,680,780,1460,76,69,145,1067,897,1964
IREG102,24062,48992,245,237,482,26795,26144,52939,942,937,1879,7972,7395,15367,99,101,200,9013,8433,17446,729,592,1321,6190,4933,11123,109,99,208,7028,5624,12652,55,29,84,303,234,537,8,6,14,366,269,635,6894,7530,14424,75280,77278,152558,3566,3613,7179,85740,88421,174161,3,0,3,64,49,113,12,5,17,79,54,133,669,602,1271,5263,5646,10909,600,521,1121,6532,6769,13301,7566,8132,15698,80607,82973,163580,4178,4139,8317,92351,95244,187595,222,84,306,2275,2121,4396,179,150,329,2676,2355,5031
IREG103,4110,8766,64,59,123,5464,5011,10475,454,475,929,1589,1495,3084,22,38,60,2065,2008,4073,440,379,819,1506,1100,2606,35,19,54,1981,1498,3479,39,31,70,76,44,120,5,0,5,120,75,195,3033,3408,6441,13264,12858,26122,1128,1024,2152,17425,17290,34715,13,3,16,37,14,51,4,4,8,54,21,75,171,161,332,795,681,1476,119,105,224,1085,947,2032,3217,3572,6789,14096,13553,27649,1251,1133,2384,18564,18258,36822,116,33,149,272,333,605,37,29,66,425,395,820
IREG104,188291,366238,1708,1705,3413,184957,195837,380794,2537,2765,5302,55768,61113,116881,636,751,1387,58941,64629,123570,1555,1435,2990,33897,34684,68581,534,647,1181,35986,36766,72752,134,99,233,1986,1752,3738,106,78,184,2226,1929,4155,20331,21554,41885,519719,542034,1061753,20034,19478,39512,560084,583066,1143150,12,6,18,269,177,446,40,22,62,321,205,526,3182,3498,6680,77717,90211,167928,5424,5157,10581,86323,98866,185189,23525,25058,48583,597705,632422,1230127,25498,24657,50155,646728,682137,1328865,571,170,741,8174,11870,20044,1010,1331,2341,9755,13371,23126
IREG105,53370,109634,559,525,1084,58704,55860,114564,980,1126,2106,18113,16809,34922,226,220,446,19319,18155,37474,859,681,1540,14025,11934,25959,240,239,479,15124,12854,27978,56,51,107,789,739,1528,38,30,68,883,820,1703,8176,8711,16887,175831,179414,355245,7725,7280,15005,191732,195405,387137,3,3,6,122,74,196,15,5,20,140,82,222,706,709,1415,13670,14865,28535,1340,1074,2414,15716,16648,32364,8885,9423,18308,189623,194353,383976,9080,8359,17439,207588,212135,419723,582,122,704,5409,4960,10369,358,342,700,6349,5424,11773
IREG106,39592,78102,340,348,688,39923,41039,80962,544,594,1138,12043,11914,23957,117,151,268,12704,12659,25363,378,330,708,8289,7535,15824,128,124,252,8795,7989,16784,35,23,58,443,360,803,16,12,28,494,395,889,4300,4618,8918,123216,127640,250856,5566,5426,10992,133082,137684,270766,3,0,3,131,117,248,22,10,32,156,127,283,485,492,977,13048,13920,26968,1195,922,2117,14728,15334,30062,4788,5110,9898,136395,141677,278072,6783,6358,13141,147966,153145,301111,254,63,317,2890,2957,5847,388,414,802,3532,3434,6966
IREG107,340576,665040,3338,3280,6618,332913,349401,682314,2148,2486,4634,86630,95884,182514,963,1251,2214,89741,99621,189362,1346,1385,2731,75026,91339,166365,1131,1463,2594,77503,94187,171690,130,119,249,18566,27736,46302,388,475,863,19084,28330,47414,17452,18426,35878,1310943,1345309,2656252,51568,49802,101370,1379963,1413537,2793500,0,4,4,153,122,275,29,9,38,182,135,317,5820,6348,12168,597814,637078,1234892,54969,48917,103886,658603,692343,1350946,23272,24778,48050,1908910,1982509,3891419,106566,98728,205294,2038748,2106015,4144763,1069,472,1541,27224,31029,58253,3364,2978,6342,31657,34479,66136
IREG194,953,2301,21,12,33,1456,1050,2506,61,40,101,435,320,755,11,4,15,507,364,871,51,16,67,331,164,495,8,6,14,390,186,576,6,3,9,56,26,82,5,3,8,67,32,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,12,19,0,0,0,7,12,19,0,0,0,6,11,17,0,0,0,6,11,17,0,0,0,7,7,14,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,196040,405171,2340,2105,4445,212826,199461,412287,679,616,1295,86772,84308,171080,1079,1128,2207,88530,86052,174582,478,453,931,87560,113237,200797,1453,2038,3491,89491,115728,205219,89,51,140,15757,23282,39039,393,487,880,16239,23820,40059,6498,6723,13221,1392009,1426194,2818203,57339,53365,110704,1455846,1486282,2942128,3,0,3,95,71,166,15,0,15,113,71,184,1500,1626,3126,351373,389181,740554,29891,26621,56512,382764,417428,800192,8001,8349,16350,1743477,1815446,3558923,87245,79986,167231,1838723,1903781,3742504,279,128,407,21056,28133,49189,2711,3050,5761,24046,31311,55357
IREG202,106778,225099,1139,1073,2212,120943,109464,230407,931,944,1875,55820,49784,105604,643,638,1281,57394,51366,108760,730,681,1411,45488,45679,91167,776,922,1698,46994,47282,94276,76,60,136,2670,2561,5231,108,84,192,2854,2705,5559,7948,8726,16674,561690,580819,1142509,22263,21699,43962,591901,611244,1203145,3,0,3,428,312,740,46,6,52,477,318,795,892,959,1851,38808,45988,84796,3008,2924,5932,42708,49871,92579,8843,9685,18528,600926,627119,1228045,25317,24629,49946,635086,661433,1296519,274,101,375,10927,12661,23588,652,687,1339,11853,13449,25302
IREG294,410,971,9,0,9,594,426,1020,15,6,21,291,176,467,4,3,7,310,185,495,11,7,18,197,130,327,11,3,14,219,140,359,10,0,10,28,28,56,3,3,6,41,31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG297,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG301,269648,518826,2077,2152,4229,255812,276743,532555,1661,1600,3261,54839,52480,107319,548,553,1101,57048,54633,111681,1162,1180,2342,51888,59604,111492,768,1023,1791,53818,61807,115625,121,113,234,4653,5182,9835,147,154,301,4921,5449,10370,20514,21677,42191,1038822,1077602,2116424,41631,39358,80989,1100967,1138637,2239604,5,10,15,306,245,551,49,18,67,360,273,633,3443,3681,7124,211706,236653,448359,19256,17035,36291,234405,257369,491774,23962,25368,49330,1250834,1314500,2565334,60936,56411,117347,1335732,1396279,2732011,921,298,1219,17125,19406,36531,2249,2816,5065,20295,22520,42815
IREG302,19582,40041,209,207,416,22467,21906,44373,613,659,1272,4339,3733,8072,54,56,110,5006,4448,9454,673,708,1381,4920,4328,9248,91,85,176,5684,5121,10805,63,70,133,428,498,926,15,10,25,506,578,1084,7918,8794,16712,70205,72444,142649,4179,3845,8024,82302,85083,167385,49,49,98,96,66,162,19,18,37,164,133,297,1943,2330,4273,14081,14307,28388,2213,2005,4218,18237,18642,36879,9910,11173,21083,84382,86817,171199,6411,5868,12279,100703,103858,204561,614,233,847,1513,1327,2840,375,264,639,2502,1824,4326
IREG303,548,1389,20,6,26,1820,1569,3389,256,200,456,176,89,265,0,4,4,432,293,725,470,426,896,137,71,208,4,0,4,611,497,1108,38,33,71,13,3,16,0,0,0,51,36,87,3374,3525,6899,2041,1785,3826,225,175,400,5640,5485,11125,3,6,9,25,9,34,6,3,9,34,18,52,469,459,928,622,493,1115,73,50,123,1164,1002,2166,3846,3990,7836,2688,2287,4975,304,228,532,6838,6505,13343,61,34,95,578,80,658,57,16,73,696,130,826
IREG304,2031,5089,30,23,53,3816,2803,6619,233,233,466,603,360,963,9,11,20,845,604,1449,426,368,794,627,345,972,19,11,30,1072,724,1796,85,63,148,42,24,66,8,0,8,135,87,222,2902,3109,6011,8152,7410,15562,1328,1174,2502,12382,11693,24075,15,15,30,53,15,68,20,5,25,88,35,123,257,287,544,1644,1305,2949,405,277,682,2306,1869,4175,3174,3411,6585,9849,8730,18579,1753,1456,3209,14776,13597,28373,151,96,247,869,230,1099,327,53,380,1347,379,1726
IREG305,50368,102033,482,467,949,53793,52628,106421,622,570,1192,12583,10861,23444,149,143,292,13354,11574,24928,564,512,1076,14939,12935,27874,235,261,496,15738,13708,29446,62,38,100,672,513,1185,21,17,38,755,568,1323,7366,7987,15353,164898,168265,333163,8797,7927,16724,181061,184179,365240,14,17,31,405,304,709,54,31,85,473,352,825,759,743,1502,14479,14931,29410,1584,1298,2882,16822,16972,33794,8139,8747,16886,179782,183500,363282,10435,9256,19691,198356,201503,399859,461,122,583,3850,2669,6519,1544,887,2431,5855,3678,9533
IREG306,37861,75782,325,349,674,39487,39650,79137,598,567,1165,8999,7475,16474,115,104,219,9712,8146,17858,589,497,1086,12491,11139,23630,228,238,466,13308,11874,25182,55,33,88,611,463,1074,24,18,42,690,514,1204,6037,6542,12579,126004,130830,256834,6010,5594,11604,138051,142966,281017,13,7,20,202,135,337,30,14,44,245,156,401,574,621,1195,9027,10245,19272,803,771,1574,10404,11637,22041,6624,7170,13794,135233,141210,276443,6843,6379,13222,148700,154759,303459,167,131,298,2943,2863,5806,427,406,833,3537,3400,6937
IREG307,73,187,10,0,10,520,448,968,105,60,165,22,14,36,0,5,5,127,79,206,218,271,489,48,39,87,3,0,3,269,310,579,7,11,18,0,3,3,0,0,0,7,14,21,2317,2357,4674,345,281,626,93,80,173,2755,2718,5473,0,0,0,0,0,0,0,0,0,0,0,0,280,304,584,179,172,351,52,54,106,511,530,1041,2597,2661,5258,524,453,977,145,134,279,3266,3248,6514,47,54,101,33,23,56,12,6,18,92,83,175
IREG308,37736,78202,380,344,724,42736,40069,82805,642,654,1296,8640,7114,15754,107,85,192,9389,7853,17242,687,613,1300,9735,8836,18571,144,169,313,10566,9618,20184,73,52,125,486,397,883,20,10,30,579,459,1038,8538,9021,17559,132115,134805,266920,7014,6145,13159,147667,149971,297638,17,14,31,227,168,395,30,9,39,274,191,465,1236,1288,2524,17356,17478,34834,2234,1850,4084,20826,20616,41442,9791,10323,20114,149698,152451,302149,9278,8004,17282,168767,170778,339545,636,323,959,3431,3036,6467,710,600,1310,4777,3959,8736
IREG394,1155,2697,14,6,20,1641,1212,2853,30,24,54,469,313,782,9,0,9,508,337,845,49,16,65,418,250,668,3,4,7,470,270,740,10,0,10,38,9,47,5,0,5,53,9,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG397,41,112,5,0,5,79,41,120,0,0,0,11,14,25,0,0,0,11,14,25,0,0,0,13,17,30,0,0,0,13,17,30,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG401,102379,201326,943,1036,1979,101385,105027,206412,680,721,1401,34310,34560,68870,397,512,909,35387,35793,71180,578,541,1119,35351,40876,76227,660,861,1521,36589,42278,78867,85,49,134,3891,5279,9170,137,125,262,4113,5453,9566,7457,8044,15501,554719,569660,1124379,19235,18095,37330,581411,595799,1177210,5,3,8,132,101,233,19,4,23,156,108,264,1561,1685,3246,89438,102363,191801,5941,5557,11498,96940,109605,206545,9023,9732,18755,644289,672124,1316413,25195,23656,48851,678507,705512,1384019,500,186,686,9740,13886,23626,625,852,1477,10865,14924,25789
IREG402,5875,12412,62,69,131,7129,6522,13651,336,338,674,2439,2223,4662,40,34,74,2815,2595,5410,411,391,802,2627,2428,5055,62,63,125,3100,2882,5982,116,106,222,100,112,212,3,3,6,219,221,440,2639,2869,5508,27807,27350,55157,1555,1450,3005,32001,31669,63670,0,0,0,36,14,50,4,7,11,40,21,61,330,372,702,4272,4267,8539,390,370,760,4992,5009,10001,2969,3241,6210,32115,31631,63746,1949,1827,3776,37033,36699,73732,223,50,273,1285,681,1966,309,39,348,1817,770,2587
IREG403,2495,5466,27,19,46,3188,2717,5905,69,94,163,1066,778,1844,12,9,21,1147,881,2028,105,94,199,1158,1005,2163,32,28,60,1295,1127,2422,6,7,13,29,32,61,3,0,3,38,39,77,847,983,1830,12586,12254,24840,448,400,848,13881,13637,27518,0,3,3,50,31,81,3,0,3,53,34,87,100,86,186,1212,1419,2631,92,68,160,1404,1573,2977,947,1072,2019,13848,13704,27552,543,468,1011,15338,15244,30582,32,12,44,307,249,556,31,35,66,370,296,666
IREG494,182,478,5,3,8,315,197,512,12,3,15,127,56,183,0,3,3,139,62,201,13,3,16,83,34,117,0,0,0,96,37,133,3,3,6,13,4,17,0,0,0,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG501,768,1826,15,12,27,1487,1201,2688,111,100,211,220,94,314,0,0,0,331,194,525,87,112,199,119,61,180,6,0,6,212,173,385,25,28,53,8,13,21,0,0,0,33,41,74,1571,1690,3261,3219,3120,6339,410,387,797,5200,5197,10397,10,11,21,28,20,48,12,4,16,50,35,85,236,257,493,924,888,1812,153,144,297,1313,1289,2602,1817,1958,3775,4171,4028,8199,575,535,1110,6563,6521,13084,127,76,203,228,175,403,52,33,85,407,284,691
IREG502,5555,12266,77,68,145,7335,6295,13630,187,230,417,1571,1167,2738,22,18,40,1780,1415,3195,183,183,366,1424,989,2413,36,33,69,1643,1205,2848,27,28,55,83,82,165,7,3,10,117,113,230,2201,2590,4791,19949,20183,40132,1149,1123,2272,23299,23896,47195,4,0,4,37,23,60,5,3,8,46,26,72,284,327,611,1927,1877,3804,198,196,394,2409,2400,4809,2489,2917,5406,21913,22083,43996,1352,1322,2674,25754,26322,52076,308,87,395,1212,567,1779,272,79,351,1792,733,2525
IREG503,4695,11160,64,52,116,7041,5419,12460,221,249,470,1277,922,2199,18,23,41,1516,1194,2710,277,278,555,831,642,1473,15,15,30,1123,935,2058,40,42,82,69,42,111,7,3,10,116,87,203,2028,2292,4320,18194,17623,35817,1949,1752,3701,22171,21667,43838,7,10,17,38,19,57,11,3,14,56,32,88,236,254,490,2519,2293,4812,562,411,973,3317,2958,6275,2271,2556,4827,20751,19935,40686,2522,2166,4688,25544,24657,50201,171,97,268,2451,647,3098,664,81,745,3286,825,4111
IREG504,367,1014,7,6,13,1098,919,2017,193,210,403,172,66,238,0,8,8,365,284,649,279,267,546,100,44,144,5,7,12,384,318,702,103,113,216,12,4,16,0,3,3,115,120,235,2108,2306,4414,1513,1442,2955,203,141,344,3824,3889,7713,9,5,14,34,20,54,5,4,9,48,29,77,139,170,309,538,470,1008,90,75,165,767,715,1482,2256,2481,4737,2085,1932,4017,298,220,518,4639,4633,9272,68,72,140,387,182,569,85,24,109,540,278,818
IREG505,133641,267456,1193,1172,2365,137231,137369,274600,635,698,1333,27233,26810,54043,344,381,725,28212,27889,56101,467,469,936,21425,24898,46323,398,530,928,22290,25897,48187,85,68,153,3416,4786,8202,98,110,208,3599,4964,8563,9005,9958,18963,603788,621328,1225116,27746,26087,53833,640539,657373,1297912,3,0,3,76,52,128,9,4,13,88,56,144,1487,1804,3291,106510,116969,223479,11106,9530,20636,119103,128303,247406,10495,11762,22257,710374,738349,1448723,38861,35621,74482,759730,785732,1545462,1190,325,1515,9549,10597,20146,888,912,1800,11627,11834,23461
