region_id,Age_14_IndSt_nsP,Age_14_TotM,Age_14_TotF,Age_14_TotP,Age_10_14_Indig_M,Age_10_14_Indig_F,Age_10_14_Indig_P,Age_10_14_NonInd_M,Age_10_14_NonInd_F,Age_10_14_NonInd_P,Age_10_14_Indig_st_nsM,Age_10_14_Indig_st_nsF,Age_10_14_Indig_st_nsP,Age_10_14_TotM,Age_10_14_TotF,Age_10_14_TotP,Age_15_Indig_M,Age_15_Indig_F,Age_15_Indig_P,Age_15_NonInd_M,Age_15_NonInd_F,Age_15_NonInd_P,Age_15_Indig_st_nsM,Age_15_Indig_st_nsF,Age_15_Indig_st_nsP,Age_15_TotM,Age_15_TotF,Age_15_TotP,Age_16_Indig_M,Age_16_Indig_F,Age_16_Indig_P,Age_16_NonInd_M,Age_16_NonInd_F,Age_16_NonInd_P,Age_16_IndigStat_nsM,Age_16_IndigStat_nsF,Age_16_IndigStat_nsP,Age_16_TotM,Age_16_TotF,Age_16_TotP,Age_17_Indig_M,Age_17_Indig_F,Age_17_Indig_P,Age_17_NonInd_M,Age_17_NonInd_F,Age_17_NonInd_P,Age_17_IndigStat_nsM,Age_17_IndigStat_nsF,Age_17_IndigStat_nsP,Age_17_TotM,Age_17_TotF,Age_17_TotP,Age_18_Indig_M,Age_18_Indig_F,Age_18_Indig_P,Age_18_NonInd_M,Age_18_NonInd_F,Age_18_NonInd_P,Age_18_IndigStat_nsM,Age_18_IndigStat_nsF,Age_18_IndigStat_nsP,Age_18_TotM,Age_18_TotF,Age_18_TotP,Age_19_Indig_M,Age_19_Indig_F,Age_19_Indig_P,Age_19_NonInd_M,Age_19_NonInd_F,Age_19_NonInd_P,Age_19_IndigStat_nsM,Age_19_IndigStat_nsF,Age_19_IndigStat_nsP,Age_19_TotM,Age_19_TotF,Age_19_TotP,Age_15_19_Indig_M,Age_15_19_Indig_F,Age_15_19_Indig_P,Age_15_19_NonInd_M,Age_15_19_NonInd_F,Age_15_19_NonInd_P,Age_15_19_IndSt_nsM,Age_15_19_IndSt_nsF,Age_15_19_IndSt_nsP,Age_15_19_TotM,Age_15_19_TotF,Age_15_19_TotP,Age_20_Indig_M,Age_20_Indig_F,Age_20_Indig_P,Age_20_NonInd_M,Age_20_NonInd_F,Age_20_NonInd_P,Age_20_Ind_status_nsM,Age_20_Ind_status_nsF,Age_20_Ind_status_nsP,Age_20_TotM,Age_20_TotF,Age_20_TotP,Age_21_Indig_M,Age_21_Indig_F,Age_21_Indig_P,Age_21_NonInd_M,Age_21_NonInd_F,Age_21_NonInd_P,Age_21_Ind_status_nsM,Age_21_Ind_status_nsF,Age_21_Ind_status_nsP,Age_21_TotM,Age_21_TotF,Age_21_TotP,Age_22_Indig_M,Age_22_Indig_F,Age_22_Indig_P,Age_22_NonInd_M,Age_22_NonInd_F,Age_22_NonInd_P,Age_22_Indig_st_nsM,Age_22_Indig_st_nsF,Age_22_Indig_st_nsP,Age_22_TotM,Age_22_TotF,Age_22_TotP,Age_23_Indig_M,Age_23_Indig_F,Age_23_Indig_P,Age_23_NonInd_M,Age_23_NonInd_F,Age_23_NonInd_P,Age_23_Indig_st_nsM,Age_23_Indig_st_nsF,Age_23_Indig_st_nsP,Age_23_TotM,Age_23_TotF,Age_23_TotP,Age_24_Indig_M,Age_24_Indig_F,Age_24_Indig_P,Age_24_NonInd_M,Age_24_NonInd_F,Age_24_NonInd_P,Age_24_Indig_st_nsM,Age_24_Indig_st_nsF,Age_24_Indig_st_nsP,Age_24_TotM,Age_24_TotF,Age_24_TotP,Age_20_24_Indig_M,Age_20_24_Indig_F,Age_20_24_Indig_P,Age_20_24_NonInd_M,Age_20_24_NonInd_F,Age_20_24_NonInd_P,Age_20_24_Indig_st_nsM,Age_20_24_Indig_st_nsF,Age_20_24_Indig_st_nsP,Age_20_24_TotM,Age_20_24_TotF,Age_20_24_TotP,Age_25_29_Indig_M,Age_25_29_Indig_F,Age_25_29_Indig_P,Age_25_29_NonInd_M,Age_25_29_NonInd_F,Age_25_29_NonInd_P,Age_25_29_Indig_st_nsM,Age_25_29_Indig_st_nsF,Age_25_29_Indig_st_nsP,Age_25_29_TotM,Age_25_29_TotF,Age_25_29_TotP,Age_30_34_Indig_M,Age_30_34_Indig_F,Age_30_34_Indig_P,Age_30_34_NonInd_M,Age_30_34_NonInd_F,Age_30_34_NonInd_P,Age_30_34_Indig_st_nsM,Age_30_34_Indig_st_nsF,Age_30_34_Indig_st_nsP,Age_30_34_TotM,Age_30_34_TotF,Age_30_34_TotP,Age_35_39_Indig_M,Age_35_39_Indig_F,Age_35_39_Indig_P,Age_35_39_NonInd_M,Age_35_39_NonInd_F,Age_35_39_NonInd_P,Age_35_39_Indig_st_nsM,Age_35_39_Indig_st_nsF,Age_35_39_Indig_st_nsP,Age_35_39_TotM,Age_35_39_TotF,Age_35_39_TotP,Age_40_44_Indig_M,Age_40_44_Indig_F,Age_40_44_Indig_P,Age_40_44_NonInd_M
IREG101,66,631,661,1292,726,709,1435,2398,2334,4732,178,130,308,3302,3173,6475,139,138,277,489,443,932,29,34,63,657,615,1272,137,136,273,463,460,923,41,32,73,641,628,1269,126,121,247,502,433,935,31,30,61,659,584,1243,129,108,237,443,394,837,24,31,55,596,533,1129,115,107,222,399,381,780,28,25,53,542,513,1055,646,610,1256,2296,2111,4407,153,152,305,3095,2873,5968,86,108,194,377,326,703,26,28,54,489,462,951,100,95,195,376,363,739,30,12,42,506,470,976,86,91,177,349,354,703,26,15,41,461,460,921,88,77,165,347,369,716,22,25,47,457,471,928,73,76,149,323,384,707,27,24,51,423,484,907,433,447,880,1772,1796,3568,131,104,235,2336,2347,4683,359,354,713,1791,1994,3785,113,93,206,2263,2441,4704,276,316,592,1763,2041,3804,113,83,196,2152,2440,4592,282,366,648,2069,2193,4262,118,96,214,2469,2655,5124,296,357,653,2268
IREG102,161,1537,1379,2916,1055,1046,2101,6044,5507,11551,386,385,771,7485,6938,14423,218,203,421,1193,1150,2343,79,86,165,1490,1439,2929,219,179,398,1214,1135,2349,76,65,141,1509,1379,2888,192,187,379,1218,1179,2397,63,68,131,1473,1434,2907,174,186,360,1152,1169,2321,77,61,138,1403,1416,2819,146,167,313,1079,1071,2150,80,69,149,1305,1307,2612,949,922,1871,5856,5704,11560,375,349,724,7180,6975,14155,150,136,286,1087,1080,2167,78,64,142,1315,1280,2595,161,152,313,1110,1009,2119,56,61,117,1327,1222,2549,124,123,247,978,1023,2001,52,66,118,1154,1212,2366,106,116,222,961,985,1946,68,47,115,1135,1148,2283,103,129,232,948,980,1928,68,40,108,1119,1149,2268,644,656,1300,5084,5077,10161,322,278,600,6050,6011,12061,491,557,1048,4754,4802,9556,288,229,517,5533,5588,11121,419,509,928,4678,4953,9631,285,239,524,5382,5701,11083,463,523,986,5190,5537,10727,297,282,579,5950,6342,12292,461,539,1000,5677
IREG103,31,256,236,492,432,393,825,834,785,1619,111,83,194,1377,1261,2638,81,94,175,154,148,302,17,18,35,252,260,512,65,85,150,163,149,312,13,15,28,241,249,490,75,92,167,155,146,301,17,8,25,247,246,493,89,74,163,186,158,344,18,14,32,293,246,539,68,58,126,153,126,279,12,16,28,233,200,433,378,403,781,811,727,1538,77,71,148,1266,1201,2467,74,75,149,145,145,290,11,13,24,230,233,463,54,72,126,145,160,305,19,19,38,218,251,469,68,52,120,172,163,335,17,13,30,257,228,485,60,70,130,139,171,310,11,13,24,210,254,464,46,49,95,183,155,338,13,9,22,242,213,455,302,318,620,784,794,1578,71,67,138,1157,1179,2336,224,240,464,878,913,1791,79,63,142,1181,1216,2397,196,209,405,791,812,1603,56,57,113,1043,1078,2121,225,275,500,899,862,1761,83,71,154,1207,1208,2415,226,290,516,989
IREG104,777,9883,9313,19196,3329,3273,6602,42505,40870,83375,2156,1987,4143,47990,46130,94120,670,617,1287,8677,8288,16965,449,418,867,9796,9323,19119,704,649,1353,8857,8526,17383,425,352,777,9986,9527,19513,611,624,1235,9066,8558,17624,427,363,790,10104,9545,19649,580,569,1149,8301,7839,16140,409,339,748,9290,8747,18037,547,513,1060,7984,7393,15377,432,303,735,8963,8209,17172,3112,2972,6084,42885,40604,83489,2142,1775,3917,48139,45351,93490,491,461,952,7611,7417,15028,375,345,720,8477,8223,16700,480,425,905,7634,7210,14844,400,277,677,8514,7912,16426,389,388,777,7042,6875,13917,385,269,654,7816,7532,15348,368,408,776,6615,6659,13274,392,239,631,7375,7306,14681,351,370,721,6621,6739,13360,390,267,657,7362,7376,14738,2079,2052,4131,35523,34900,70423,1942,1397,3339,39544,38349,77893,1527,1649,3176,32672,33818,66490,1642,1285,2927,35841,36752,72593,1336,1335,2671,32928,35389,68317,1565,1270,2835,35829,37994,73823,1350,1614,2964,38542,42005,80547,1797,1532,3329,41689,45151,86840,1382,1697,3079,41179
IREG105,300,3462,3158,6620,1348,1226,2574,14576,13748,28324,806,703,1509,16730,15677,32407,290,258,548,2877,2792,5669,167,134,301,3334,3184,6518,269,243,512,3017,2912,5929,165,156,321,3451,3311,6762,226,234,460,3008,2787,5795,148,139,287,3382,3160,6542,215,188,403,2854,2632,5486,136,109,245,3205,2929,6134,185,171,356,2752,2574,5326,151,124,275,3088,2869,5957,1185,1094,2279,14508,13697,28205,767,662,1429,16460,15453,31913,207,169,376,2649,2618,5267,164,131,295,3020,2918,5938,198,182,380,2551,2482,5033,148,124,272,2897,2788,5685,158,136,294,2443,2319,4762,121,111,232,2722,2566,5288,131,127,258,2297,2242,4539,133,105,238,2561,2474,5035,158,155,313,2316,2285,4601,142,101,243,2616,2541,5157,852,769,1621,12256,11946,24202,708,572,1280,13816,13287,27103,650,637,1287,11038,11344,22382,565,456,1021,12253,12437,24690,502,537,1039,10944,11321,22265,576,432,1008,12022,12290,24312,523,602,1125,12456,12880,25336,653,546,1199,13632,14028,27660,547,624,1171,13170
IREG106,200,2311,2202,4513,683,678,1361,9915,9726,19641,558,568,1126,11156,10972,22128,139,130,269,2009,1900,3909,125,96,221,2273,2126,4399,146,122,268,2151,2002,4153,118,96,214,2415,2220,4635,115,111,226,2042,2068,4110,89,97,186,2246,2276,4522,130,110,240,1870,1721,3591,122,68,190,2122,1899,4021,97,83,180,1629,1383,3012,88,68,156,1814,1534,3348,627,556,1183,9701,9074,18775,542,425,967,10870,10055,20925,97,67,164,1514,1439,2953,103,72,175,1714,1578,3292,88,82,170,1437,1284,2721,99,72,171,1624,1438,3062,74,72,146,1322,1318,2640,93,60,153,1489,1450,2939,60,58,118,1342,1259,2601,108,59,167,1510,1376,2886,72,71,143,1323,1213,2536,92,66,158,1487,1350,2837,391,350,741,6938,6513,13451,495,329,824,7824,7192,15016,334,331,665,6509,6612,13121,408,301,709,7251,7244,14495,269,298,567,6634,7338,13972,374,367,741,7277,8003,15280,311,334,645,8632,9093,17725,480,401,881,9423,9828,19251,313,323,636,9678
IREG107,2514,27624,26148,53772,3052,2796,5848,127542,120486,248028,6749,6042,12791,137343,129324,266667,627,627,1254,25763,24103,49866,1316,1155,2471,27706,25885,53591,654,543,1197,26030,24708,50738,1346,1186,2532,28030,26437,54467,605,580,1185,25842,24727,50569,1351,1140,2491,27798,26447,54245,544,586,1130,26320,24735,51055,1438,1218,2656,28302,26539,54841,544,541,1085,26854,25676,52530,1599,1382,2981,28997,27599,56596,2974,2877,5851,130809,123949,254758,7050,6081,13131,140833,132907,273740,572,513,1085,27813,27505,55318,1779,1559,3338,30164,29577,59741,484,462,946,28701,28205,56906,1954,1703,3657,31139,30370,61509,456,483,939,28772,28437,57209,2058,1667,3725,31286,30587,61873,417,407,824,28882,29072,57954,2206,1777,3983,31505,31256,62761,396,407,803,28807,29731,58538,2226,1825,4051,31429,31963,63392,2325,2272,4597,142975,142950,285925,10223,8531,18754,155523,153753,309276,1775,1934,3709,154554,161257,315811,12254,9962,22216,168583,173153,341736,1434,1629,3063,154325,159192,313517,10438,8873,19311,166197,169694,335891,1530,1732,3262,153358,160080,313438,8990,7795,16785,163878,169607,333485,1458,1776,3234,144742
IREG194,8,28,21,49,16,19,35,121,117,238,28,11,39,165,147,312,5,7,12,31,32,63,5,4,9,41,43,84,18,4,22,48,53,101,7,6,13,73,63,136,12,8,20,59,59,118,3,7,10,74,74,148,7,14,21,71,75,146,0,8,8,78,97,175,15,9,24,91,82,173,13,5,18,119,96,215,57,42,99,300,301,601,28,30,58,385,373,758,15,9,24,108,84,192,19,7,26,142,100,242,8,10,18,128,111,239,11,9,20,147,130,277,13,4,17,98,105,203,16,14,30,127,123,250,8,13,21,128,105,233,15,6,21,151,124,275,7,8,15,111,111,222,17,17,34,135,136,271,51,44,95,573,516,1089,78,53,131,702,613,1315,43,45,88,642,542,1184,100,51,151,785,638,1423,44,48,92,581,429,1010,88,44,132,713,521,1234,55,28,83,545,317,862,65,43,108,665,388,1053,61,23,84,565
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,5
IREG201,2095,24286,22781,47067,991,965,1956,113182,107240,220422,5447,5067,10514,119620,113272,232892,171,182,353,23112,21725,44837,1069,983,2052,24352,22890,47242,194,194,388,23618,22667,46285,1046,986,2032,24858,23847,48705,162,162,324,24072,22857,46929,1144,950,2094,25378,23969,49347,204,175,379,24347,23708,48055,1218,1049,2267,25769,24932,50701,184,171,355,25265,24570,49835,1374,1108,2482,26823,25849,52672,915,884,1799,120414,115527,235941,5851,5076,10927,127180,121487,248667,163,166,329,26724,26543,53267,1546,1224,2770,28433,27933,56366,191,189,380,28204,27717,55921,1756,1331,3087,30151,29237,59388,169,176,345,28283,27637,55920,1872,1473,3345,30324,29286,59610,152,163,315,28619,28213,56832,1869,1431,3300,30640,29807,60447,158,139,297,28783,28283,57066,2025,1479,3504,30966,29901,60867,833,833,1666,140613,138393,279006,9068,6938,16006,150514,146164,296678,640,643,1283,146100,149260,295360,9991,7709,17700,156731,157612,314343,558,611,1169,139026,142615,281641,8168,6608,14776,147752,149834,297586,575,579,1154,137566,144774,282340,7006,5825,12831,145147,151178,296325,598,601,1199,136335
