region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG101,2410,4678,151,128,279,2715,2895,5610,256,276,532,2470,2517,4987,131,132,263,2857,2925,5782,231,282,513,2633,2678,5311,164,130,294,3028,3090,6118,206,212,418,2356,2389,4745,141,128,269,2703,2729,5432,158,154,312,2359,2270,4629,119,101,220,2636,2525,5161,203,263,466,6147,7118,13265,377,461,838,6727,7842,14569,5586,5755,11341,35003,36355,71358,2204,1995,4199,42793,44105,86898
IREG102,5836,11513,328,317,645,6466,6692,13158,423,481,904,6139,6242,12381,306,268,574,6868,6991,13859,413,434,847,6393,6659,13052,361,285,646,7167,7378,14545,286,298,584,6260,5971,12231,349,260,609,6895,6529,13424,242,226,468,6000,5861,11861,320,249,569,6562,6336,12898,352,406,758,14677,17012,31689,813,943,1756,15842,18361,34203,8417,8767,17184,88388,90238,178626,5135,4798,9933,101940,103803,205743
IREG103,923,1912,96,73,169,1311,1286,2597,226,237,463,1162,1091,2253,94,82,176,1482,1410,2892,182,211,393,1317,1203,2520,106,86,192,1605,1500,3105,169,148,317,1270,1094,2364,89,77,166,1528,1319,2847,117,137,254,1213,1016,2229,113,73,186,1443,1226,2669,179,216,395,2835,3083,5918,269,262,531,3283,3561,6844,3701,3989,7690,15596,14997,30593,1473,1272,2745,20770,20258,41028
IREG104,45257,86436,1973,1660,3633,44534,48614,93148,1240,1542,2782,44061,47425,91486,2063,1688,3751,47364,50655,98019,1176,1301,2477,46269,49713,95982,2284,1949,4233,49729,52963,102692,881,1002,1883,44457,46406,90863,2052,1710,3762,47390,49118,96508,635,715,1350,43548,45228,88776,1952,1757,3709,46135,47700,93835,997,1177,2174,115458,138124,253582,5848,7301,13149,122303,146602,268905,25685,26635,52320,639879,675205,1315084,31104,28949,60053,696668,730789,1427457
IREG105,13896,27066,691,545,1236,14408,15065,29473,520,576,1096,14136,14379,28515,666,536,1202,15322,15491,30813,444,415,859,14831,14908,29739,741,551,1292,16016,15874,31890,337,329,666,13980,13754,27734,713,521,1234,15030,14604,29634,288,261,549,13767,13344,27111,663,533,1196,14718,14138,28856,395,458,853,33908,38913,72821,1941,2209,4150,36244,41580,77824,10086,10084,20170,207314,210424,417738,11032,9719,20751,228432,230227,458659
IREG106,10686,20364,563,449,1012,10554,11458,22012,275,329,604,10736,11109,21845,646,461,1107,11657,11899,23556,251,299,550,11332,11717,23049,621,483,1104,12204,12499,24703,192,208,400,10721,11280,22001,565,453,1018,11478,11941,23419,158,152,310,11457,11603,23060,565,496,1061,12180,12251,24431,230,247,477,28844,31778,60622,1608,1858,3466,30682,33883,64565,5381,5451,10832,148914,153212,302126,8457,7606,16063,162752,166269,329021
IREG107,153539,298281,7989,6944,14933,154189,162259,316448,1264,1543,2807,141834,146665,288499,7600,6654,14254,150698,154862,305560,1139,1256,2395,131510,137623,269133,7332,6151,13483,139981,145030,285011,898,1014,1912,113479,120350,233829,6210,5542,11752,120587,126906,247493,665,751,1416,103654,106455,210109,5559,4899,10458,109878,112105,221983,956,1214,2170,232842,284270,517112,13954,16646,30600,247752,302130,549882,25701,26471,52172,2002460,2073346,4075806,119711,108133,227844,2147872,2207950,4355822
IREG194,288,853,81,33,114,707,344,1051,49,23,72,511,265,776,62,28,90,622,316,938,41,16,57,487,303,790,70,38,108,598,357,955,16,15,31,411,320,731,63,22,85,490,357,847,8,15,23,408,315,723,52,30,82,468,360,828,15,7,22,709,440,1149,94,67,161,818,514,1332,522,392,914,6224,4450,10674,845,484,1329,7591,5326,12917
IREG197,0,5,0,0,0,5,0,5,0,0,0,5,0,5,3,0,3,8,0,8,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,4,12,16,0,0,0,4,12,16,0,0,0,21,28,49,3,3,6,24,31,55,0,0,0,51,51,102,6,3,9,57,54,111
IREG201,145835,282170,6580,5660,12240,143513,152096,295609,482,509,991,127198,133615,260813,6158,5152,11310,133838,139276,273114,383,380,763,117576,124213,241789,5601,4941,10542,123560,129534,253094,315,353,668,102009,108969,210978,4947,4384,9331,107271,113706,220977,206,246,452,91970,99314,191284,4507,4205,8712,96683,103765,200448,325,424,749,219157,269415,488572,12807,16047,28854,232289,285886,518175,8720,8868,17588,1829783,1905888,3735671,98602,88944,187546,1937105,2003700,3940805
