region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
IREG101,20,41,39,371,515,497,816,939,923,1300,1300,1300,150,155,155,1.2,1.1,1.1,3.2,2.4,2.5,8.2,1.5,2.4
IREG102,20,41,39,347,505,491,794,947,934,1300,1343,1326,170,180,180,1.2,1.1,1.1,3.2,2.4,2.4,8.9,1.8,2.4
IREG103,23,44,40,341,466,433,768,841,826,867,975,960,125,120,125,1.2,1.1,1.1,3.1,2.2,2.3,11.0,1.8,3.4
IREG104,20,42,42,368,486,482,926,956,955,1690,1733,1727,230,255,250,1.2,1.1,1.1,3.2,2.4,2.4,9.4,2.2,2.5
IREG105,20,40,39,361,511,504,819,969,962,1300,1387,1378,162,180,180,1.2,1.1,1.1,3.1,2.4,2.5,7.9,1.7,2.0
IREG106,21,44,44,365,522,517,892,979,977,1602,1647,1646,200,220,220,1.2,1.1,1.1,3.1,2.4,2.4,7.8,1.8,2.0
IREG107,22,36,36,431,623,621,1147,1468,1463,2123,2167,2167,251,360,355,1.2,1.2,1.2,3.1,2.7,2.7,9.6,5.6,5.7
IREG194,30,38,37,283,356,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,63,63,0,485,485,0,0,0,899,0,899,0,0,0,0,2.0,2.0,0,0,0,0,0,0
IREG201,23,36,36,469,591,591,1175,1333,1332,1733,1820,1820,270,300,300,1.2,1.1,1.1,3.0,2.6,2.6,8.2,3.8,3.8
IREG202,20,41,41,359,498,497,791,960,957,1294,1300,1300,170,190,190,1.2,1.1,1.1,3.0,2.4,2.4,8.2,2.0,2.1
IREG294,31,32,32,252,358,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG297,0,45,45,2000,1916,2000,3250,0,3250,0,0,0,251,0,251,3.0,0,3.0,0,0,0,0,0,0
IREG301,20,36,36,442,607,604,1167,1303,1300,1950,1980,1974,300,330,330,1.2,1.1,1.1,3.3,2.6,2.6,8.9,2.6,2.7
IREG302,21,39,37,357,588,564,900,1072,1052,1650,1660,1660,190,250,240,1.4,1.1,1.1,3.4,2.4,2.5,17.6,2.5,3.9
IREG303,23,37,30,290,812,424,981,1464,1164,1500,1658,1650,80,70,80,1.5,1.2,1.3,4.1,2.3,3.1,32.7,4.2,17.4
IREG304,22,33,31,359,950,789,1093,1852,1698,1560,1950,1920,120,200,150,1.5,1.1,1.2,3.7,2.5,2.7,22.3,3.5,7.4
IREG305,19,39,39,386,525,520,982,1053,1049,1625,1580,1582,203,225,220,1.2,1.1,1.1,3.3,2.5,2.5,10.6,2.4,2.8
IREG306,18,40,39,372,510,504,906,961,958,1322,1408,1403,185,210,200,1.2,1.1,1.1,3.4,2.5,2.5,10.5,2.0,2.4
IREG307,22,35,25,360,911,417,951,1893,1099,1900,2058,1900,70,36,66,1.4,1.1,1.4,3.9,2.2,3.5,20.4,4.0,17.0
IREG308,20,36,35,401,661,648,1178,1354,1342,1800,1863,1863,215,280,270,1.3,1.1,1.1,3.5,2.6,2.6,13.9,2.5,3.2
IREG394,34,45,44,285,387,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG397,39,47,47,500,665,659,0,0,0,1568,1555,1562,0,0,0,0,0,0,0,0,0,0,0,0
IREG401,21,40,39,371,540,537,861,1058,1054,1408,1500,1500,190,230,230,1.2,1.1,1.1,3.0,2.4,2.4,8.0,2.3,2.4
IREG402,24,41,39,295,504,478,771,921,910,1100,1083,1083,120,145,140,1.3,1.1,1.1,3.3,2.3,2.3,16.1,1.6,2.6
IREG403,24,41,40,341,530,518,829,938,933,1300,1257,1257,139,155,150,1.3,1.1,1.1,3.3,2.3,2.4,15.4,1.7,2.4
IREG494,35,39,39,289,374,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG497,0,36,36,0,966,966,0,700,700,0,0,0,0,13,13,0,0,0,3.0,0,3.0,0,0,0
IREG501,23,35,32,330,942,779,987,1841,1608,2461,2600,2600,120,249,190,1.5,1.2,1.2,3.6,2.5,2.8,21.1,5.3,9.4
IREG502,22,40,38,350,617,589,826,1154,1122,1300,1600,1562,150,200,190,1.3,1.1,1.1,3.4,2.4,2.5,13.6,1.9,2.9
IREG503,23,34,33,294,862,787,990,1688,1628,1361,1765,1733,100,210,200,1.4,1.1,1.1,3.7,2.6,2.7,19.0,2.1,3.5
IREG504,22,36,30,280,1040,631,881,1764,1384,1800,2167,2058,55,120,90,1.7,1.2,1.4,4.2,2.2,3.0,36.9,4.6,16.8
IREG505,21,36,36,407,683,680,1172,1486,1481,1863,2000,2000,250,325,320,1.2,1.1,1.1,3.3,2.6,2.6,9.3,2.0,2.1
IREG506,25,33,32,435,1688,1583,1760,2795,2744,1900,2407,2400,100,92,96,1.4,1.1,1.2,3.7,2.7,2.9,19.0,3.4,5.6
IREG507,20,41,40,352,541,537,860,1072,1064,1500,1662,1650,180,230,230,1.2,1.1,1.1,3.3,2.4,2.5,8.8,1.4,1.6
IREG508,23,33,30,278,1060,409,896,1593,1211,1570,1920,1733,50,100,65,1.5,1.1,1.3,4.2,2.1,3.2,32.9,3.1,18.5
IREG594,38,40,40,283,520,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,44,36,37,2000,2000,2000,0,0,0,0,1246,1246,203,0,203,0,8.0,8.0,0,0,0,0,0,0
IREG601,22,41,40,395,503,499,923,949,948,1300,1300,1300,190,200,200,1.2,1.1,1.1,3.0,2.4,2.4,6.0,2.1,2.3
IREG694,29,37,37,263,346,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG697,15,46,46,1500,1162,1162,0,0,0,0,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0
IREG701,24,35,33,347,940,866,1061,1787,1692,1950,1950,1950,150,320,300,1.4,1.1,1.2,3.3,2.5,2.6,16.3,4.0,6.1
IREG702,25,35,27,228,889,273,735,1347,988,0,1625,867,25,25,25,2.0,1.2,1.7,4.9,1.9,3.8,50.1,4.4,33.7
IREG703,23,34,33,462,919,890,1348,1831,1786,2145,2167,2167,250,370,350,1.3,1.1,1.2,3.2,2.6,2.7,13.5,4.9,5.8
IREG704,22,37,25,245,995,284,979,1554,1184,946,1083,1083,50,0,40,2.1,1.2,1.7,5.2,2.2,4.0,56.1,5.5,36.6
IREG705,22,34,28,270,876,494,980,1596,1368,1625,1700,1700,60,190,100,1.9,1.2,1.4,4.6,2.4,3.2,42.5,4.1,18.1
IREG706,23,33,27,252,1277,335,1344,2540,1972,108,2025,1950,40,3,25,2.1,1.1,1.5,6.0,2.7,4.0,66.2,1.9,28.1
IREG707,23,39,28,258,912,367,904,1537,1195,867,1040,967,60,50,60,1.8,1.1,1.5,4.5,2.1,3.3,42.8,1.9,22.6
IREG794,38,47,45,274,522,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG797,25,34,34,0,1383,1357,0,0,0,0,0,0,800,0,800,0,0,0,0,0,0,0,0,0
IREG801,22,35,34,647,921,918,1670,1925,1920,2167,2167,2167,315,380,380,1.2,1.1,1.1,3.0,2.6,2.6,6.4,2.1,2.2
IREG894,47,31,31,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG897,3,0,3,0,0,0,0,0,0,2754,0,2754,0,0,0,0,0,0,0,0,0,0,0,0
IREG901,43,32,32,1031,870,870,2208,1824,1824,1300,836,867,52,118,100,1.0,1.2,1.2,2.8,2.8,2.8,0,5.4,5.3
IREG902,30,27,28,298,1025,477,733,1812,788,0,285,285,45,143,55,1.4,1.3,1.4,3.2,2.7,3.1,12.7,0,9.2
IREG994,19,29,29,0,1558,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG997,0,50,50,0,1750,1750,0,2250,2250,0,0,0,0,1000,1000,2.0,0,2.0,1.0,0,1.0,0,0,0
