region_id,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,InfPrim_Indig_M,InfPrim_Indig_F,InfPrim_Indig_P,InfPrim_NonInd_M,InfPrim_NonInd_F,InfPrim_NonInd_P,InfPrim_Indig_st_nsM,InfPrim_Indig_st_nsF,InfPrim_Indig_st_nsP,InfPrim_TotM,InfPrim_TotF,InfPrim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TFEI_FT_St_15_24_In_M,TFEI_FT_St_15_24_Id_F,TFEI_FT_St_15_24_Id_P,TFEI_FT_St_15_24_No_Id_M,TFEI_FT_St_15_24_No_Id_F,TFEI_FT_St_15_24_No_I_P,TFEI_FT_St_15_24_I_s_n_s_M,TFEI_FT_St_15_24_I_s_n_s_F,TFEI_FT_St_15_24_I_s_n_s_P,TFEI_FT_St_15_24_TotM,TFEI_FT_St_15_24_TotF,TFEI_FT_St_15_24_TotP,TFEI_FT_St_25over_Id_M,TFEI_FT_St_25over_Id_F,TFEI_FT_St_25over_Id_P,TFEI_FT_St_25ov_Non_Id_M,TFEI_FT_St_25ov_Non_Id_F,TFEI_FT_St_25ov_Non_Id_P,TFEI_FT_St_25ov_I_s_n_st_M,TFEI_FT_St_25ov_I_s_n_st_F,TFEI_FT_St_25ov_I_s_n_st_P,TFEI_FT_St_25ov_TotM,TFEI_FT_St_25ov_TotF,TFEI_FT_St_25ov_TotP,TFEI_PT_St_15_24_Id_M,TFEI_PT_St_15_24_Id_F,TFEI_PT_St_15_24_Id_P,TFEI_PT_St_15_24_Non_Id_M,TFEI_PT_St_15_24_No_Id_F,TFEI_PT_St_15_24_No_Id_P,TFEI_PT_St_15_24_I_s_n_s_M,TFEI_PT_St_15_24_I_s_n_s_F,TFEI_PT_St_15_24_I_s_n_s_P,TFEI_PT_St_15_24_TotM,TFEI_PT_St_15_24_TotF,TFEI_PT_St_15_24_TotP,TFEI_PT_St_25ov_Id_M,TFEI_PT_St_25ov_Id_F,TFEI_PT_St_25ov_Id_P,TFEI_PT_St_25ov_Non_Id_M,TFEI_PT_St_25ov_Non_Id_F,TFEI_PT_St_25ov_Non_Id_P,TFEI_PT_St_25ov_I_s_n_s_M,TFEI_PT_St_25ov_I_s_n_s_F,TFEI_PT_St_25ov_Id_s_n_s_P,TFEI_PT_St_25ov_TotM,TFEI_PT_St_25ov_TotF,TFEI_PT_St_25ov_TotP,TFEI_FT_PT_s_s_nt_st_Id_M,TFEI_FT_PT_s_s_nt_st_Id_F,TFEI_FT_PT_s_s_nt_st_Id_P,TFEI_FT_PT_s_s_nt_s_N_I_M,TFEI_FT_PT_s_s_n_st_N_I_F,TFEI_FT_PT_s_s_n_s_No_Id_P,TFEI_F_P_s_s_n_s_I_s_n_s_M,TFEI_F_P_s_s_n_s_I_s_n_s_F,TFEI_F_P_s_s_n_s_I_s_n_s_P,TFEI_FT_PT_s_s_nt_st_To_M,TFEI_FT_PT_s_s_nt_st_To_F,TFEI_FT_PT_s_s_nt_st_To_P,TFEI_Tot_Indig_M,TFEI_Tot_Indig_F,TFEI_Tot_Indig_P,TFEI_Tot_NonInd_M,TFEI_Tot_NonInd_F,TFEI_Tot_NonInd_P,TFEI_Tot_IndSt_nsM,TFEI_Tot_IndSt_nsF,TFEI_Tot_IndSt_nsP,TFEI_Tot_TotM,TFEI_Tot_TotF,TFEI_Tot_TotP,UT_FT_S_15_24_Ind_M,UT_FT_S_15_24_Ind_F,UT_FT_S_15_24_Ind_P,UT_FT_S_15_24_NonInd_M,UT_FT_S_15_24_NonInd_F,UT_FT_S_15_24_NonInd_P,UT_FT_S_15_24_In_st_nsM,UT_FT_S_15_24_In_st_nsF,UT_FT_S_15_24_In_st_nsP,UT_FT_S_15_24_TotM,UT_FT_S_15_24_TotF,UT_FT_S_15_24_TotP,UT_FT_S_25_over_Ind_M,UT_FT_S_25_over_Ind_F,UT_FT_S_25_over_Ind_P,UT_FT_S_25ov_NonInd_M,UT_FT_S_25ov_NonInd_F,UT_FT_S_25ov_NonInd_P,UT_FT_S_25ov_IndSt_nsM,UT_FT_S_25ov_IndSt_nsF,UT_FT_S_25ov_IndSt_nsP,UT_FT_S_25ov_TotM,UT_FT_S_25ov_TotF,UT_FT_S_25ov_TotP,UT_PT_S_15_24_Ind_M,UT_PT_S_15_24_Ind_F,UT_PT_S_15_24_Ind_P,UT_PT_S_15_24_No_Ind_M,UT_PT_S_15_24_NonInd_F,UT_PT_S_15_24_NonInd_P,UT_PT_S_15_24_In_st_nsM,UT_PT_S_15_24_In_st_nsF,UT_PT_S_15_24_In_st_nsP,UT_PT_S_15_24_TotM,UT_PT_S_15_24_TotF,UT_PT_S_15_24_TotP,UT_PT_S_25over_In_M,UT_PT_S_25over_In_F,UT_PT_S_25over_In_P,UT_PT_S_25over_Non_In_M,UT_PT_S_25over_Non_In_F,UT_PT_S_25over_Non_In_P,UT_PT_S_25ov_In_s_nsM,UT_PT_S_25ov_In_s_nsF,UT_PT_S_25ov_In_s_nsP,UT_PT_S_25over_TotM,UT_PT_S_25over_TotF,UT_PT_S_25over_TotP,UT_FT_PT_stud_st_ns_Ind_M,UT_FT_PT_stud_st_ns_Ind_F,UT_FT_PT_stud_st_ns_Ind_P,UT_FT_PT_stu_st_ns_NonInd_M,UT_FT_PT_stu_st_ns_NonInd_F,UT_FT_PT_stu_st_ns_NonInd_P,UT_FT_PT_st_st_ns_In_st_nsM,UT_FT_PT_st_st_ns_In_st_nsF,UT_FT_PT_st_st_ns_In_st_nsP,UT_FT_PT_stu_st_ns_TotM,UT_FT_PT_stu_st_ns_TotF,UT_FT_PT_stu_st_ns_TotP,UT_Tot_Indig_M,UT_Tot_Indig_F,UT_Tot_Indig_P,UT_Tot_NonInd_M,UT_Tot_NonInd_F,UT_Tot_NonInd_P,UT_Tot_IndigStat_nsM,UT_Tot_IndigStat_nsF,UT_Tot_IndigStat_nsP,UT_Tot_TotM,UT_Tot_TotF,UT_Tot_TotP,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF
IREG101,190,175,365,724,632,1356,21,11,32,935,818,1753,863,783,1646,3081,3047,6128,62,49,111,4006,3879,7885,597,580,1177,2342,2325,4667,41,37,78,2980,2942,5922,37,39,76,94,115,209,3,0,3,134,154,288,9,48,57,55,110,165,0,4,4,64,162,226,46,50,96,371,213,584,3,3,6,420,266,686,40,89,129,308,634,942,0,10,10,348,733,1081,3,3,6,9,9,18,3,0,3,15,12,27,135,229,364,837,1081,1918,9,17,26,981,1327,2308,3,34,37,101,306,407,3,3,6,107,343,450,6,21,27,33,128,161,0,3,3,39,152,191,3,4,7,44,106,150,0,0,0,47,110,157,15,25,40,192,366,558,0,5,5,207,396,603,0,4,4,0,0,0,0,0,0,0,4,4,27,88,115,370,906,1276,3,11,14,400,1005,1405,17,31,48,105,211,316,3,7,10,125,249,374,685,472,1157,1308,1295,2603,1675,1453
IREG102,300,258,558,1819,1665,3484,32,22,54,2151,1945,4096,1235,1246,2481,7802,7360,15162,150,110,260,9187,8716,17903,851,923,1774,6107,5884,11991,94,103,197,7052,6910,13962,53,72,125,200,254,454,0,0,0,253,326,579,29,71,100,136,326,462,0,4,4,165,401,566,76,67,143,788,488,1276,11,4,15,875,559,1434,49,107,156,742,1413,2155,0,13,13,791,1533,2324,4,6,10,28,25,53,3,0,3,35,31,66,211,323,534,1894,2506,4400,14,21,35,2119,2850,4969,30,63,93,919,1480,2399,0,7,7,949,1550,2499,9,35,44,348,428,776,3,0,3,360,463,823,3,10,13,136,257,393,0,3,3,139,270,409,18,32,50,541,1073,1614,3,3,6,562,1108,1670,0,5,5,13,17,30,0,0,0,13,22,35,60,145,205,1957,3255,5212,6,13,19,2023,3413,5436,23,48,71,227,497,724,3,9,12,253,554,807,827,649,1476,3156,3208,6364,3961,3608
IREG103,109,123,232,265,261,526,3,4,7,377,388,765,532,513,1045,1150,1046,2196,27,34,61,1709,1593,3302,313,363,676,755,751,1506,12,11,23,1080,1125,2205,10,16,26,30,33,63,0,3,3,40,52,92,4,15,19,28,52,80,0,0,0,32,67,99,27,24,51,124,108,232,3,0,3,154,132,286,25,48,73,150,263,413,3,3,6,178,314,492,0,4,4,7,0,7,3,0,3,10,4,14,66,107,173,339,456,795,9,6,15,414,569,983,6,7,13,17,81,98,0,0,0,23,88,111,7,12,19,7,39,46,0,0,0,14,51,65,0,4,4,15,26,41,0,3,3,15,33,48,3,13,16,75,165,240,0,0,0,78,178,256,0,0,0,0,0,0,0,3,3,0,3,3,16,36,52,114,311,425,0,6,6,130,353,483,15,21,36,46,87,133,0,0,0,61,108,169,384,348,732,666,666,1332,1178,980
IREG104,899,869,1768,12894,11946,24840,181,163,344,13974,12978,26952,4083,3980,8063,54022,51206,105228,891,821,1712,58996,56007,115003,2929,2975,5904,43750,43758,87508,661,585,1246,47340,47318,94658,147,208,355,2006,2370,4376,24,19,43,2177,2597,4774,82,196,278,1149,2594,3743,12,17,29,1243,2807,4050,296,228,524,6159,3401,9560,66,28,94,6521,3657,10178,203,327,530,5165,8588,13753,38,59,97,5406,8974,14380,14,16,30,183,173,356,7,8,15,204,197,401,742,975,1717,14662,17126,31788,147,131,278,15551,18232,33783,178,294,472,7426,10498,17924,52,44,96,7656,10836,18492,64,204,268,2853,4557,7410,28,31,59,2945,4792,7737,28,53,81,1303,1871,3174,8,9,17,1339,1933,3272,100,211,311,4284,8146,12430,20,43,63,4404,8400,12804,3,5,8,66,95,161,5,3,8,74,103,177,373,767,1140,15932,25167,41099,113,130,243,16418,26064,42482,120,243,363,2407,4723,7130,30,27,57,2557,4993,7550,2152,1870,4022,20831,23262,44093,23454,21065
IREG105,325,329,654,4200,3948,8148,52,45,97,4577,4322,8899,1499,1488,2987,18355,17298,35653,288,280,568,20142,19066,39208,1143,1079,2222,14669,14581,29250,228,224,452,16040,15884,31924,62,90,152,776,748,1524,10,9,19,848,847,1695,26,68,94,355,684,1039,4,5,9,385,757,1142,106,79,185,2271,1321,3592,17,11,28,2394,1411,3805,73,153,226,1870,3401,5271,21,19,40,1964,3573,5537,3,18,21,81,65,146,0,5,5,84,88,172,270,408,678,5353,6219,11572,52,49,101,5675,6676,12351,40,71,111,1842,3681,5523,8,16,24,1890,3768,5658,21,46,67,481,835,1316,0,6,6,502,887,1389,6,21,27,318,554,872,0,3,3,324,578,902,28,63,91,1208,2386,3594,9,10,19,1245,2459,3704,0,0,0,26,33,59,0,6,6,26,39,65,95,201,296,3875,7489,11364,17,41,58,3987,7731,11718,39,54,93,696,1165,1861,13,7,20,748,1226,1974,1238,808,2046,8222,7428,15650,8420,7141
IREG106,183,197,380,2803,2550,5353,34,36,70,3020,2783,5803,846,837,1683,12310,11636,23946,185,175,360,13341,12648,25989,640,589,1229,10343,10581,20924,114,114,228,11097,11284,22381,24,22,46,389,426,815,3,0,3,416,448,864,15,26,41,181,380,561,0,3,3,196,409,605,65,55,120,1452,851,2303,17,9,26,1534,915,2449,48,77,125,1317,2391,3708,11,4,15,1376,2472,3848,3,6,9,44,42,86,0,3,3,47,51,98,155,186,341,3383,4090,7473,31,19,50,3569,4295,7864,15,28,43,775,1208,1983,6,3,9,796,1239,2035,10,25,35,368,674,1042,4,0,4,382,699,1081,0,10,10,183,258,441,0,3,3,183,271,454,17,44,61,1025,2056,3081,3,12,15,1045,2112,3157,0,0,0,19,21,40,0,0,0,19,21,40,42,107,149,2370,4217,6587,13,18,31,2425,4342,6767,30,37,67,585,1104,1689,4,11,15,619,1152,1771,559,393,952,5177,4864,10041,6740,5824
IREG107,865,766,1631,39368,36205,75573,555,501,1056,40788,37472,78260,3811,3371,7182,168546,159101,327647,2546,2307,4853,174903,164779,339682,2847,2732,5579,137640,133736,271376,1856,1772,3628,142343,138240,280583,177,256,433,10273,9713,19986,130,110,240,10580,10079,20659,93,173,266,6562,11106,17668,87,121,208,6742,11400,18142,376,267,643,16342,8011,24353,156,89,245,16874,8367,25241,221,354,575,15953,23175,39128,138,179,317,16312,23708,40020,14,16,30,690,563,1253,49,45,94,753,624,1377,881,1066,1947,49820,52568,102388,560,544,1104,51261,54178,105439,280,440,720,57875,67780,125655,461,473,934,58616,68693,127309,115,213,328,18278,19453,37731,158,134,292,18551,19800,38351,47,77,124,6789,7806,14595,57,48,105,6893,7931,14824,127,272,399,22281,29289,51570,109,137,246,22517,29698,52215,3,6,9,713,790,1503,41,34,75,757,830,1587,572,1008,1580,105936,125118,231054,826,826,1652,107334,126952,234286,136,222,358,14787,22296,37083,191,215,406,15114,22733,37847,2347,1850,4197,60930,63174,124104,95679,83763
IREG194,5,7,12,32,31,63,0,0,0,37,38,75,24,24,48,169,145,314,4,4,8,197,173,370,17,15,32,131,130,261,4,3,7,152,148,300,5,5,10,36,30,66,0,0,0,41,35,76,0,0,0,23,28,51,0,3,3,23,31,54,3,3,6,28,28,56,0,0,0,31,31,62,0,6,6,33,68,101,0,0,0,33,74,107,0,0,0,3,4,7,0,0,0,3,4,7,8,14,22,123,158,281,0,3,3,131,175,306,0,0,0,93,135,228,0,0,0,93,135,228,0,4,4,54,61,115,3,0,3,57,65,122,0,0,0,13,12,25,0,0,0,13,12,25,0,3,3,45,59,104,0,0,0,45,62,107,0,0,0,0,5,5,0,3,3,0,8,8,0,7,7,205,272,477,3,3,6,208,282,490,3,3,6,52,65,117,0,0,0,55,68,123,191,108,299,1015,351,1366,751,403
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3
IREG201,216,233,449,33886,31552,65438,459,431,890,34561,32216,66777,1185,1089,2274,148507,141236,289743,2320,2112,4432,152012,144437,296449,833,861,1694,122061,120200,242261,1752,1661,3413,124646,122722,247368,71,81,152,13232,11574,24806,176,139,315,13479,11794,25273,19,54,73,6477,8159,14636,101,95,196,6597,8308,14905,101,66,167,12510,5886,18396,136,59,195,12747,6011,18758,80,89,169,11639,15635,27274,79,110,189,11798,15834,27632,6,5,11,587,414,1001,35,29,64,628,448,1076,277,295,572,44445,41668,86113,527,432,959,45249,42395,87644,117,189,306,54704,65261,119965,444,475,919,55265,65925,121190,57,103,160,16458,19072,35530,147,142,289,16662,19317,35979,21,30,51,4469,6338,10807,53,51,104,4543,6419,10962,73,122,195,16523,25746,42269,85,116,201,16681,25984,42665,0,5,5,590,579,1169,36,29,65,626,613,1239,268,449,717,92744,116996,209740,765,813,1578,93777,118258,212035,67,105,172,14943,24438,39381,242,299,541,15252,24842,40094,776,683,1459,56876,61259,118135,76088,66502
