region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IREG101,508,8411,68,8987,197,1554,18,1769,959,9917,110,10986,440,2729,40,3209,448,2517,47,3012,28,122,8,158,493,1440,1402,3335,3073,26690,1693,31456,745,10947,101,11793,305,1745,16,2066,1091,9404,128,10623,514,2630,54,3198,359,2009,60,2428,25,91,3,119,317,1474,1225,3016,3356,28300,1587,33243,1253,19358,169,20780,502,3299,34,3835,2050,19321,238,21609,954,5359,94,6407,807,4526,107,5440,53,213,11,277,810,2914,2627,6351,6429,54990,3280,64699
IREG102,740,22559,156,23455,341,3944,38,4323,1504,24083,225,25812,836,7107,89,8032,700,5933,108,6741,57,300,6,363,559,3589,3365,7513,4737,67515,3987,76239,1028,27803,195,29026,448,4237,45,4730,1732,23193,230,25155,851,6637,90,7578,571,4741,96,5408,27,236,9,272,481,3608,2986,7075,5138,70455,3651,79244,1768,50362,351,52481,789,8181,83,9053,3236,47276,455,50967,1687,13744,179,15610,1271,10674,204,12149,84,536,15,635,1040,7197,6351,14588,9875,137970,7638,155483
IREG103,279,3259,30,3568,131,873,14,1018,705,4561,63,5329,420,1471,21,1912,429,1476,35,1940,39,78,3,120,280,831,960,2071,2283,12549,1126,15958,399,3893,29,4321,235,793,7,1035,789,3994,59,4842,433,1404,33,1870,367,1074,17,1458,31,41,4,76,243,917,826,1986,2497,12116,975,15588,678,7152,59,7889,366,1666,21,2053,1494,8555,122,10171,853,2875,54,3782,796,2550,52,3398,70,119,7,196,523,1748,1786,4057,4780,24665,2101,31546
IREG104,3067,182176,1280,186523,1167,33081,332,34580,4873,171365,1614,177852,2174,49666,554,52394,1451,32121,511,34083,133,1981,106,2220,1405,23709,20514,45628,14270,494099,24911,533280,3828,203474,1312,208614,1324,31511,276,33111,5435,181734,1627,188796,2406,55409,686,58501,1366,33275,630,35271,100,1748,77,1925,1153,28309,18416,47878,15612,535460,23024,574096,6895,385650,2592,395137,2491,64592,608,67691,10308,353099,3241,366648,4580,105075,1240,110895,2817,65396,1141,69354,233,3729,183,4145,2558,52018,38930,93506,29882,1029559,47935,1107376
IREG105,920,51702,365,52987,409,12303,113,12825,1710,54165,527,56402,850,16004,208,17062,813,13451,231,14495,54,790,36,880,943,8884,7086,16913,5699,157299,8566,171564,1217,63565,391,65173,524,12478,108,13110,1800,51155,499,53454,987,14915,198,16100,649,11470,235,12354,52,736,29,817,542,8181,5994,14717,5771,162500,7454,175725,2137,115267,756,118160,933,24781,221,25935,3510,105320,1026,109856,1837,30919,406,33162,1462,24921,466,26849,106,1526,65,1697,1485,17065,13080,31630,11470,319799,16020,347289
IREG106,582,46122,323,47027,226,7594,85,7905,979,36987,320,38286,466,10534,107,11107,362,7884,120,8366,32,442,19,493,398,6025,5835,12258,3045,115588,6809,125442,757,51257,332,52346,242,7829,61,8132,1027,37985,328,39340,499,10589,141,11229,317,7225,123,7665,23,358,9,390,277,5928,4971,11176,3142,121171,5965,130278,1339,97379,655,99373,468,15423,146,16037,2006,74972,648,77626,965,21123,248,22336,679,15109,243,16031,55,800,28,883,675,11953,10806,23434,6187,236759,12774,255720
IREG107,4345,935997,6867,947209,1093,71295,743,73131,4673,302952,3083,310708,1826,70693,840,73359,1279,71357,1101,73737,128,18514,380,19022,1679,59368,83632,144679,15023,1530176,96646,1641845,5388,973841,6895,986124,1214,67181,703,69098,5105,319848,3034,327987,2183,81327,1108,84618,1330,88621,1428,91379,119,27690,471,28280,1296,66206,73508,141010,16635,1624714,87147,1728496,9733,1909838,13762,1933333,2307,138476,1446,142229,9778,622800,6117,638695,4009,152020,1948,157977,2609,159978,2529,165116,247,46204,851,47302,2975,125574,157140,285689,31658,3154890,183793,3370341
IREG194,33,2092,19,2144,17,338,5,360,85,1329,18,1432,52,420,11,483,49,322,9,380,6,53,6,65,186,1097,716,1999,428,5651,784,6863,42,1895,23,1960,16,242,3,261,84,927,11,1022,35,304,4,343,16,159,5,180,3,24,3,30,97,409,383,889,293,3960,432,4685,75,3987,42,4104,33,580,8,621,169,2256,29,2454,87,724,15,826,65,481,14,560,9,77,9,95,283,1506,1099,2888,721,9611,1216,11548
IREG197,0,17,3,20,0,3,0,3,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,6,5,11,0,47,8,55,0,12,0,12,0,3,0,3,0,13,0,13,0,12,0,12,0,8,0,8,0,0,0,0,0,6,0,6,0,54,0,54,0,29,3,32,0,6,0,6,0,20,0,20,0,19,0,19,0,15,0,15,0,0,0,0,0,12,5,17,0,101,8,109
IREG201,1810,829415,6763,837988,737,165020,1513,167270,1248,189686,2086,193020,586,71134,907,72627,436,82197,1397,84030,87,15730,388,16205,515,55336,66635,122486,5419,1408518,79689,1493626,2206,900333,6718,909257,806,160163,1384,162353,1204,176389,1863,179456,508,70024,988,71520,428,108960,1986,111374,52,23237,484,23773,443,64203,58183,122829,5647,1503309,71606,1580562,4016,1729748,13481,1747245,1543,325183,2897,329623,2452,366075,3949,372476,1094,141158,1895,144147,864,191157,3383,195404,139,38967,872,39978,958,119539,124818,245315,11066,2911827,151295,3074188
IREG202,1050,175489,1326,177865,763,87180,665,88608,1351,110786,1053,113190,818,49155,572,50545,680,42827,744,44251,78,2649,104,2831,712,26190,19642,46544,5452,494276,24106,523834,1549,221298,1500,224347,901,87927,686,89514,1464,99238,976,101678,831,43416,579,44826,639,43566,895,45100,59,2549,84,2692,598,27641,17702,45941,6041,525635,22422,554098,2599,396787,2826,402212,1664,175107,1351,178122,2815,210024,2029,214868,1649,92571,1151,95371,1319,86393,1639,89351,137,5198,188,5523,1310,53831,37344,92485,11493,1019911,46528,1077932
IREG294,11,1442,8,1461,11,376,7,394,24,546,8,578,16,284,3,303,13,193,11,217,9,30,3,42,67,727,307,1101,151,3598,347,4096,13,1474,17,1504,8,254,3,265,15,397,0,412,6,168,0,174,4,126,3,133,0,24,4,28,36,322,209,567,82,2765,236,3083,24,2916,25,2965,19,630,10,659,39,943,8,990,22,452,3,477,17,319,14,350,9,54,7,70,103,1049,516,1668,233,6363,583,7179
IREG297,0,11,0,11,0,7,0,7,0,7,0,7,0,0,0,0,0,3,0,3,0,3,0,3,0,3,3,6,0,34,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,7,0,7,0,7,0,7,0,0,0,0,0,3,0,3,0,3,0,3,0,3,3,6,0,34,3,37
IREG301,5297,558110,3469,566876,1438,77350,575,79363,4133,234919,1934,240986,1417,46900,483,48800,1138,51219,751,53108,119,4637,148,4904,1363,38130,51518,91011,14905,1011265,58878,1085048,6265,600074,3607,609946,1574,75705,550,77829,4512,255828,2015,262355,1400,45591,495,47486,1164,59170,1014,61348,112,5157,153,5422,992,42145,43187,86324,16019,1083670,51021,1150710,11562,1158184,7076,1176822,3012,153055,1125,157192,8645,490747,3949,503341,2817,92491,978,96286,2302,110389,1765,114456,231,9794,301,10326,2355,80275,94705,177335,30924,2094935,109899,2235758
IREG302,1889,31838,238,33965,683,6726,63,7472,1634,19517,191,21342,549,3823,48,4420,665,4880,90,5635,65,426,16,507,951,3129,5656,9736,6436,70339,6302,83077,2307,36264,268,38839,996,5937,60,6993,1956,18678,197,20831,587,3272,54,3913,694,4301,85,5080,69,497,9,575,698,3092,4498,8288,7307,72041,5171,84519,4196,68102,506,72804,1679,12663,123,14465,3590,38195,388,42173,1136,7095,102,8333,1359,9181,175,10715,134,923,25,1082,1649,6221,10154,18024,13743,142380,11473,167596
IREG303,577,1021,16,1614,281,236,4,521,912,827,16,1755,237,166,0,403,467,133,6,606,39,12,0,51,126,558,303,987,2639,2953,345,5937,681,1107,18,1806,371,178,3,552,972,531,7,1510,187,83,3,273,422,72,0,494,33,4,0,37,125,68,197,390,2791,2043,228,5062,1258,2128,34,3420,652,414,7,1073,1884,1358,23,3265,424,249,3,676,889,205,6,1100,72,16,0,88,251,626,500,1377,5430,4996,573,10999
IREG304,369,3857,31,4257,173,802,8,983,694,2976,28,3698,215,568,11,794,427,624,16,1067,87,42,7,136,192,360,1691,2243,2157,9229,1792,13178,530,3991,35,4556,246,564,8,818,726,1969,23,2718,220,318,9,547,362,346,12,720,61,25,0,86,208,276,1070,1554,2353,7489,1157,10999,899,7848,66,8813,419,1366,16,1801,1420,4945,51,6416,435,886,20,1341,789,970,28,1787,148,67,7,222,400,636,2761,3797,4510,16718,2949,24177
IREG305,1316,53075,427,54818,482,12595,105,13182,1494,49700,453,51647,544,11424,138,12106,557,14850,236,15643,62,668,20,750,598,7750,10648,18996,5053,150062,12027,167142,1705,60755,438,62898,583,11882,83,12548,1677,48433,444,50554,509,9880,130,10519,503,12875,258,13636,37,510,18,565,341,7385,7452,15178,5355,151720,8823,165898,3021,113830,865,117716,1065,24477,188,25730,3171,98133,897,102201,1053,21304,268,22625,1060,27725,494,29279,99,1178,38,1315,939,15135,18100,34174,10408,301782,20850,333040
IREG306,903,41062,270,42235,348,7682,63,8093,1138,36263,301,37702,537,8024,101,8662,584,12409,226,13219,55,612,23,690,294,5014,5709,11017,3859,111066,6693,121618,1204,48685,292,50181,513,7985,59,8557,1344,36168,342,37854,498,6567,102,7167,495,11079,237,11811,33,461,18,512,321,5634,4755,10710,4408,116579,5805,126792,2107,89747,562,92416,861,15667,122,16650,2482,72431,643,75556,1035,14591,203,15829,1079,23488,463,25030,88,1073,41,1202,615,10648,10464,21727,8267,227645,12498,248410
IREG307,662,270,6,938,185,38,0,223,358,115,9,482,92,19,0,111,218,50,0,268,7,0,0,7,133,20,137,290,1655,512,152,2319,820,280,7,1107,207,39,0,246,353,72,0,425,54,14,3,71,270,38,0,308,12,3,0,15,142,8,111,261,1858,454,121,2433,1482,550,13,2045,392,77,0,469,711,187,9,907,146,33,3,182,488,88,0,576,19,3,0,22,275,28,248,551,3513,966,273,4752
IREG308,1854,52898,376,55128,653,11720,105,12478,1725,38678,362,40765,564,7664,98,8326,675,9660,147,10482,72,485,18,575,807,5018,10555,16380,6350,126123,11661,144134,2171,59387,364,61922,842,9943,86,10871,1825,36012,328,38165,579,6278,83,6940,606,8789,164,9559,51,397,11,459,629,4985,6534,12148,6703,125791,7570,140064,4025,112285,740,117050,1495,21663,191,23349,3550,74690,690,78930,1143,13942,181,15266,1281,18449,311,20041,123,882,29,1034,1436,10003,17089,28528,13053,251914,19231,284198
IREG394,34,2038,22,2094,23,481,4,508,83,1528,15,1626,29,470,8,507,49,413,3,465,7,39,6,52,141,491,685,1317,366,5460,743,6569,39,1942,20,2001,20,372,4,396,52,1134,5,1191,22,303,4,329,16,251,5,272,0,9,0,9,76,238,318,632,225,4249,356,4830,73,3980,42,4095,43,853,8,904,135,2662,20,2817,51,773,12,836,65,664,8,737,7,48,6,61,217,729,1003,1949,591,9709,1099,11399
IREG397,5,79,0,84,0,20,0,20,4,69,5,78,0,12,0,12,0,13,0,13,0,0,0,0,0,10,41,51,9,203,46,258,0,61,0,61,0,16,0,16,0,39,0,39,0,8,0,8,0,16,0,16,0,3,0,3,0,9,24,33,0,152,24,176,5,140,0,145,0,36,0,36,4,108,5,117,0,20,0,20,0,29,0,29,0,3,0,3,0,19,65,84,9,355,70,434
IREG401,1437,251162,1635,254234,1095,103860,833,105788,1342,90965,851,93158,568,28610,342,29520,536,33945,647,35128,80,3876,139,4095,789,21962,19754,42505,5847,534380,24201,564428,1812,274931,1875,278618,1324,98724,706,100754,1460,94580,959,96999,584,29263,473,30320,513,39807,843,41163,49,5253,124,5426,613,25647,16903,43163,6355,568205,21883,596443,3249,526093,3510,532852,2419,202584,1539,206542,2802,185545,1810,190157,1152,57873,815,59840,1049,73752,1490,76291,129,9129,263,9521,1402,47609,36657,85668,12202,1102585,46084,1160871
IREG402,240,8272,63,8575,341,7105,57,7503,480,6123,61,6664,303,2138,36,2477,399,2564,57,3020,117,98,3,218,358,1655,1869,3882,2238,27955,2146,32339,338,9501,66,9905,458,5773,46,6277,532,5490,65,6087,291,1923,30,2244,381,2382,64,2827,105,112,3,220,222,1479,1275,2976,2327,26660,1549,30536,578,17773,129,18480,799,12878,103,13780,1012,11613,126,12751,594,4061,66,4721,780,4946,121,5847,222,210,6,438,580,3134,3144,6858,4565,54615,3695,62875
IREG403,94,3561,28,3683,126,2891,25,3042,174,2798,22,2994,67,928,7,1002,103,1128,30,1261,6,28,3,37,108,543,438,1089,678,11877,553,13108,124,4550,34,4708,140,2553,24,2717,189,2353,16,2558,79,666,6,751,89,985,28,1102,7,31,0,38,127,464,351,942,755,11602,459,12816,218,8111,62,8391,266,5444,49,5759,363,5151,38,5552,146,1594,13,1753,192,2113,58,2363,13,59,3,75,235,1007,789,2031,1433,23479,1012,25924
IREG494,3,441,4,448,14,232,4,250,14,292,4,310,8,126,0,134,13,84,0,97,3,11,0,14,25,213,120,358,80,1399,132,1611,8,426,7,441,9,151,0,160,11,176,3,190,3,56,3,62,3,35,0,38,3,3,3,9,31,120,72,223,68,967,88,1123,11,867,11,889,23,383,4,410,25,468,7,500,11,182,3,196,16,119,0,135,6,14,3,23,56,333,192,581,148,2366,220,2734
IREG497,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
IREG501,302,1753,14,2069,205,464,3,672,396,1025,17,1438,104,202,0,306,87,119,4,210,24,7,0,31,224,165,516,905,1342,3735,554,5631,376,2143,14,2533,272,423,5,700,399,748,9,1156,90,92,3,185,108,60,0,168,27,13,0,40,153,104,424,681,1425,3583,455,5463,678,3896,28,4602,477,887,8,1372,795,1773,26,2594,194,294,3,491,195,179,4,378,51,20,0,71,377,269,940,1586,2767,7318,1009,11094
IREG502,279,6783,56,7118,198,2523,37,2758,501,6465,77,7043,169,1468,19,1656,183,1414,35,1632,27,83,7,117,466,865,1398,2729,1823,19601,1629,23053,328,7741,73,8142,280,2699,24,3003,646,5304,64,6014,219,1054,14,1287,180,988,33,1201,28,83,3,114,286,823,962,2071,1967,18692,1173,21832,607,14524,129,15260,478,5222,61,5761,1147,11769,141,13057,388,2522,33,2943,363,2402,68,2833,55,166,10,231,752,1688,2360,4800,3790,38293,2802,44885
IREG503,215,7555,53,7823,181,2749,19,2949,488,6257,63,6808,207,1182,20,1409,268,825,16,1109,40,69,7,116,212,852,2658,3722,1611,19489,2836,23936,282,7469,55,7806,217,2295,25,2537,646,4495,47,5188,239,824,18,1081,277,638,14,929,44,40,3,87,200,688,1583,2471,1905,16449,1745,20099,497,15024,108,15629,398,5044,44,5486,1134,10752,110,11996,446,2006,38,2490,545,1463,30,2038,84,109,10,203,412,1540,4241,6193,3516,35938,4581,44035
IREG504,248,1029,9,1286,209,290,3,502,421,636,6,1063,179,162,0,341,274,98,6,378,104,11,0,115,132,110,315,557,1567,2336,339,4242,292,1186,7,1485,265,210,0,475,526,359,7,892,197,64,8,269,262,42,4,308,111,5,3,119,135,52,198,385,1788,1918,227,3933,540,2215,16,2771,474,500,3,977,947,995,13,1955,376,226,8,610,536,140,10,686,215,16,3,234,267,162,513,942,3355,4254,566,8175
IREG505,1805,328735,2161,332701,944,58401,464,59809,2030,125994,1119,129143,556,23367,309,24232,463,21152,395,22010,83,3405,96,3584,1605,22674,34336,58615,7486,583728,38880,630094,2285,349514,2286,354085,1157,57621,470,59248,2383,126022,1101,129506,608,23195,364,24167,466,24734,524,25724,68,4765,112,4945,920,24329,26625,51874,7887,610180,31482,649549,4090,678249,4447,686786,2101,116022,934,119057,4413,252016,2220,258649,1164,46562,673,48399,929,45886,919,47734,151,8170,208,8529,2525,47003,60961,110489,15373,1193908,70362,1279643
IREG506,466,10068,58,10592,380,3633,27,4040,753,6438,61,7252,227,932,23,1182,219,414,11,644,70,63,0,133,458,571,6566,7595,2573,22119,6746,31438,503,7317,51,7871,343,1828,13,2184,632,2952,25,3609,175,359,4,538,211,204,0,415,101,36,4,141,328,291,2587,3206,2293,12987,2684,17964,969,17385,109,18463,723,5461,40,6224,1385,9390,86,10861,402,1291,27,1720,430,618,11,1059,171,99,4,274,786,862,9153,10801,4866,35106,9430,49402
IREG507,501,47619,361,48481,344,15495,125,15964,973,42520,405,43898,286,9617,119,10022,259,7722,143,8124,26,492,24,542,485,6050,7664,14199,2874,129515,8841,141230,672,55407,350,56429,516,16778,161,17455,1100,40120,385,41605,292,7875,126,8293,215,6552,148,6915,31,406,14,451,312,5924,5479,11715,3138,133062,6663,142863,1173,103026,711,104910,860,32273,286,33419,2073,82640,790,85503,578,17492,245,18315,474,14274,291,15039,57,898,38,993,797,11974,13143,25914,6012,262577,15504,284093
IREG508,199,461,4,664,167,134,3,304,325,306,8,639,173,55,3,231,168,52,0,220,82,7,0,89,86,1440,267,1793,1200,2455,285,3940,238,499,3,740,231,88,0,319,384,173,0,557,169,37,0,206,165,18,3,186,78,5,0,83,107,21,218,346,1372,841,224,2437,437,960,7,1404,398,222,3,623,709,479,8,1196,342,92,3,437,333,70,3,406,160,12,0,172,193,1461,485,2139,2572,3296,509,6377
IREG594,15,1322,9,1346,15,401,4,420,44,849,7,900,18,181,4,203,15,153,0,168,3,20,0,23,135,316,446,897,245,3242,470,3957,21,1214,9,1244,12,222,0,234,20,584,5,609,0,127,0,127,4,54,0,58,0,7,0,7,112,131,184,427,169,2339,198,2706,36,2536,18,2590,27,623,4,654,64,1433,12,1509,18,308,4,330,19,207,0,226,3,27,0,30,247,447,630,1324,414,5581,668,6663
IREG597,3,140,3,146,3,51,0,54,0,100,5,105,0,14,0,14,0,3,0,3,0,3,0,3,0,3,54,57,6,314,62,382,0,21,0,21,0,3,0,3,0,4,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,28,7,35,3,161,3,167,3,54,0,57,0,104,5,109,0,14,0,14,0,3,3,6,0,3,0,3,0,3,58,61,6,342,69,417
