region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IREG101,304,289,593,340,392,732,484,556,1040,383,586,969,334,637,971,324,359,683,216,181,397,431,296,727,531,337,868,3347,3633,6980
IREG102,462,419,881,604,632,1236,936,995,1931,609,976,1585,526,912,1438,534,572,1106,332,229,561,541,343,884,595,476,1071,5139,5554,10693
IREG103,201,204,405,285,282,567,478,494,972,309,443,752,240,418,658,203,233,436,126,120,246,250,223,473,334,263,597,2426,2680,5106
IREG104,1466,1384,2850,1753,2063,3816,2493,2643,5136,1817,2768,4585,1624,2938,4562,1486,1736,3222,1057,901,1958,2393,1415,3808,1628,1208,2836,15717,17056,32773
IREG105,609,532,1141,614,762,1376,913,1036,1949,688,1036,1724,600,1030,1630,665,628,1293,399,311,710,770,465,1235,986,501,1487,6244,6301,12545
IREG106,322,295,617,410,368,778,505,573,1078,368,486,854,308,554,862,325,320,645,223,175,398,452,391,843,437,267,704,3350,3429,6779
IREG107,1643,1668,3311,1511,1960,3471,1961,2366,4327,1482,2385,3867,1417,2584,4001,1627,1885,3512,1411,1213,2624,3503,2575,6078,1866,1364,3230,16421,18000,34421
IREG194,28,25,53,65,44,109,117,71,188,87,60,147,24,45,69,20,12,32,13,4,17,17,4,21,67,38,105,438,303,741
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,576,609,1185,477,630,1107,594,772,1366,522,753,1275,523,899,1422,677,696,1373,557,398,955,1344,820,2164,561,487,1048,5831,6064,11895
IREG202,584,514,1098,631,782,1413,906,1090,1996,663,1051,1714,543,1047,1590,615,657,1272,410,317,727,792,470,1262,785,620,1405,5929,6548,12477
IREG294,22,9,31,30,13,43,36,28,64,30,20,50,4,7,11,5,3,8,6,0,6,6,0,6,10,4,14,149,84,233
IREG297,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
IREG301,1590,1484,3074,1571,1897,3468,1958,2294,4252,1412,2315,3727,1544,2918,4462,1870,2035,3905,1512,1168,2680,3261,2114,5375,1581,1079,2660,16299,17304,33603
IREG302,661,623,1284,691,710,1401,1362,1354,2716,690,1224,1914,638,1363,2001,664,777,1441,391,436,827,761,674,1435,1092,666,1758,6950,7827,14777
IREG303,305,237,542,272,278,550,860,851,1711,261,472,733,273,340,613,253,271,524,113,104,217,227,166,393,195,201,396,2759,2920,5679
