region_id,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
IREG101,15,721,56,792,76,1298,72,1446,23,575,47,645,12,349,74,435,19,504,116,639,28,475,73,576,51,418,18,487,70,282,10,362,42,153,8,203,336,4775,474,5585,17,719,56,792,35,1231,62,1328,7,581,22,610,14,416,16,446,11,621,31,663,28,662,35,725,60,489,12,561,51,303,13,367,69,177,17,263,292,5199,264,5755,32,1440,112,1584,111,2529,134,2774,30,1156,69,1255,26,765,90,881,30,1125,147,1302,56,1137,108,1301,111,907,30,1048,121,585,23,729,111,330,25,466,628,9974,738,11340
IREG102,18,1056,97,1171,94,1893,120,2107,30,882,37,949,23,589,35,647,25,785,96,906,46,806,71,923,89,709,35,833,86,424,17,527,79,256,18,353,490,7400,526,8416,13,1011,101,1125,47,1954,89,2090,25,875,21,921,4,629,21,654,32,998,38,1068,51,974,40,1065,65,817,30,912,60,440,28,528,111,275,19,405,408,7973,387,8768,31,2067,198,2296,141,3847,209,4197,55,1757,58,1870,27,1218,56,1301,57,1783,134,1974,97,1780,111,1988,154,1526,65,1745,146,864,45,1055,190,531,37,758,898,15373,913,17184
IREG103,7,362,35,404,35,782,58,875,6,352,19,377,7,259,33,299,15,348,57,420,9,408,35,452,22,368,24,414,34,238,11,283,42,126,11,179,177,3243,283,3703,0,420,40,460,15,783,47,845,14,372,19,405,3,300,19,322,6,420,23,449,21,508,33,562,34,394,15,443,33,239,14,286,76,132,10,218,202,3568,220,3990,7,782,75,864,50,1565,105,1720,20,724,38,782,10,559,52,621,21,768,80,869,30,916,68,1014,56,762,39,857,67,477,25,569,118,258,21,397,379,6811,503,7693
IREG104,76,3042,256,3374,460,5894,238,6592,173,2825,114,3112,90,1855,134,2079,137,2457,268,2862,222,2340,172,2734,262,2045,113,2420,246,1208,64,1518,232,706,57,995,1898,22372,1416,25686,47,2870,225,3142,244,5968,226,6438,105,2773,93,2971,54,1943,56,2053,120,2788,76,2984,211,2987,109,3307,303,2463,77,2843,285,1364,68,1717,330,766,83,1179,1699,23922,1013,26634,123,5912,481,6516,704,11862,464,13030,278,5598,207,6083,144,3798,190,4132,257,5245,344,5846,433,5327,281,6041,565,4508,190,5263,531,2572,132,3235,562,1472,140,2174,3597,46294,2429,52320
IREG105,30,1152,124,1306,165,2257,114,2536,56,1057,73,1186,35,688,129,852,37,902,214,1153,69,863,138,1070,88,813,60,961,104,482,42,628,97,267,31,395,681,8481,925,10087,20,1212,113,1345,73,2253,111,2437,33,1012,49,1094,15,730,24,769,38,1100,36,1174,59,1128,42,1229,113,838,39,990,94,453,40,587,124,299,36,459,569,9025,490,10084,50,2364,237,2651,238,4510,225,4973,89,2069,122,2280,50,1418,153,1621,75,2002,250,2327,128,1991,180,2299,201,1651,99,1951,198,935,82,1215,221,566,67,854,1250,17506,1415,20171
IREG106,16,586,45,647,86,1255,47,1388,28,578,20,626,15,329,46,390,29,471,101,601,42,508,72,622,55,437,34,526,61,272,18,351,59,160,11,230,391,4596,394,5381,9,636,52,697,46,1232,45,1323,23,519,15,557,13,323,13,349,16,588,31,635,34,597,26,657,73,536,19,628,42,308,9,359,62,177,7,246,318,4916,217,5451,25,1222,97,1344,132,2487,92,2711,51,1097,35,1183,28,652,59,739,45,1059,132,1236,76,1105,98,1279,128,973,53,1154,103,580,27,710,121,337,18,476,709,9512,611,10832
IREG107,87,2820,207,3114,421,5499,246,6166,139,2711,126,2976,109,1980,236,2325,124,2784,303,3211,174,2565,251,2990,222,2056,124,2402,229,1254,77,1560,202,679,77,958,1707,22348,1647,25702,46,2703,204,2953,177,5136,207,5520,90,2717,68,2875,51,2137,84,2272,135,3260,169,3564,211,3159,136,3506,272,2433,98,2803,275,1419,73,1767,304,827,80,1211,1561,23791,1119,26471,133,5523,411,6067,598,10635,453,11686,229,5428,194,5851,160,4117,320,4597,259,6044,472,6775,385,5724,387,6496,494,4489,222,5205,504,2673,150,3327,506,1506,157,2169,3268,46139,2766,52173
IREG194,0,36,3,39,0,35,8,43,4,39,14,57,3,36,13,52,7,52,27,86,3,61,52,116,5,35,47,87,0,12,15,27,0,6,8,14,22,312,187,521,0,44,6,50,4,31,3,38,0,36,6,42,0,36,7,43,4,59,29,92,4,23,25,52,3,22,17,42,6,16,3,25,0,3,4,7,21,270,100,391,0,80,9,89,4,66,11,81,4,75,20,99,3,72,20,95,11,111,56,178,7,84,77,168,8,57,64,129,6,28,18,52,0,9,12,21,43,582,287,912
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,26,877,64,967,138,1714,73,1925,47,830,37,914,34,738,61,833,46,1085,67,1198,71,1022,79,1172,74,749,43,866,62,435,23,520,64,224,38,326,562,7674,485,8721,13,909,50,972,63,1694,75,1832,31,809,45,885,22,780,32,834,52,1146,56,1254,82,1050,49,1181,101,743,46,890,87,497,12,596,96,286,43,425,547,7914,408,8869,39,1786,114,1939,201,3408,148,3757,78,1639,82,1799,56,1518,93,1667,98,2231,123,2452,153,2072,128,2353,175,1492,89,1756,149,932,35,1116,160,510,81,751,1109,15588,893,17590
