region_id,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FUA,H_w_In_ps_OO_DS_OD_CCH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FUA,H_w_In_ps_M_DS_OD_CCH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FUA,H_w_In_ps_RREA_DS_OD_CCH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FUA,H_w_In_ps_RHA_DS_OD_CCH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FUA,H_w_In_ps_R_PSH_DS_OD_CCH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FUA,H_w_In_ps_R_HCC_DS_OD_CCH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FUA,H_w_In_ps_R_OLT_DS_OD_CCH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FUA,H_w_In_ps_R_LNS_DS_OD_CCH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FUA,H_w_In_ps_R_Tot_DS_OD_CCH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FUA,H_w_In_ps_OTT_DS_OD_CCH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FUA,H_w_In_ps_T_NS_DS_OD_CCH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FUA,H_w_In_ps_Tot_DS_OD_CCH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FUA,OH_OO_DS_OD_CCH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FUA,OH_M_DS_OD_CCH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FUA,OH_RREA_DS_OD_CCH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FUA,OH_RHA_DS_OD_CCH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FUA,OH_R_PSH_DS_OD_CCH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FUA,OH_R_HCC_DS_OD_CCH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FUA,OH_R_OLT_DS_OD_CCH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FUA,OH_R_LNS_DS_OD_CCH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FUA,OH_R_Tot_DS_OD_CCH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FUA,OH_OTT_DS_OD_CCH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT
IREG101,545,3,7,5,0,0,5,0,560,1099,11,10,3,0,0,3,0,1123,689,87,132,0,0,6,6,0,914,657,39,67,0,0,0,0,0,763,367,16,19,0,0,7,7,3,412,137,17,13,0,0,0,0,0,167,91,5,8,10,0,0,10,0,114,43,5,4,0,0,0,0,0,52,1984,169,243,10,0,13,23,3,2422,21,0,0,0,0,0,0,0,21,138,10,16,6,0,0,6,0,170,3787,193,276,24,0,13,37,3,4296,10542,163,170,52,22,33,107,6,10988,8486,98,78,13,0,21,34,10,8706,2013,421,656,0,0,26,26,3,3119,456,63,209,0,0,0,0,3,731,1645,85,131,8,0,31,39,0,1900,73,28,87,0,0,0,0,0,188,456,29,67,30,0,16,46,3,601,309,5,22,10,0,0,10,0,346,4952,631,1172,48,0,73,121,9,6885,191,28,91,0,0,3,3,0,313,584,47
IREG102,795,7,10,14,3,7,24,0,836,1432,4,6,0,0,3,3,0,1445,1133,62,227,0,3,5,8,3,1433,1048,101,154,0,0,0,0,0,1303,507,9,32,7,0,3,10,0,558,337,9,50,0,0,0,0,0,396,181,4,13,14,0,0,14,3,215,70,7,14,0,0,0,0,0,91,3276,192,490,21,3,8,32,6,3996,37,3,3,0,0,0,0,0,43,229,15,31,7,3,0,10,0,285,5769,221,540,42,9,18,69,6,6605,26044,450,385,261,24,50,335,33,27247,20385,200,204,36,23,54,113,25,20927,5976,769,2261,4,0,30,34,20,9060,1084,168,399,0,0,0,0,3,1654,4192,141,446,18,7,42,67,12,4858,155,108,177,0,0,0,0,0,440,1683,34,149,146,0,20,166,3,2035,924,19,69,11,4,6,21,0,1033,14014,1239,3501,179,11,98,288,38,19080,582,97,25,6,0,5,11,0,715,1619,137
IREG103,398,0,3,13,3,0,16,15,432,476,0,3,0,0,7,7,6,492,207,12,19,0,0,3,3,0,241,442,4,26,0,0,0,0,13,485,216,0,20,0,3,3,6,3,245,350,4,32,0,3,0,3,0,389,137,8,15,5,0,0,5,0,165,60,0,3,0,0,0,0,0,63,1412,28,115,5,6,6,17,16,1588,36,0,0,0,4,0,4,0,40,131,0,9,3,0,3,6,3,149,2453,28,130,21,13,16,50,40,2701,5659,16,80,146,23,26,195,22,5972,3102,5,49,7,0,5,12,6,3174,664,21,102,3,0,3,6,0,793,131,8,43,3,0,0,3,0,185,786,28,85,15,3,12,30,3,932,34,4,23,0,0,0,0,0,61,710,24,113,19,0,10,29,6,882,228,3,16,8,6,3,17,0,264,2553,88,382,48,9,28,85,9,3117,153,8,3,14,3,3,20,3,187,457,5
IREG104,2845,122,62,116,0,5,121,3,3153,6136,204,97,11,3,4,18,3,6458,4226,734,884,4,0,18,22,0,5866,2315,514,434,0,0,0,0,3,3266,1550,172,169,19,0,11,30,3,1924,667,80,98,0,0,0,0,0,845,242,30,40,128,0,14,142,0,454,139,23,12,11,0,0,11,0,185,9139,1553,1637,162,0,43,205,6,12540,109,14,9,0,0,0,0,0,132,514,105,104,18,3,4,25,0,748,18743,1998,1909,307,6,56,369,12,23031,170727,15528,7871,4362,86,212,4660,93,198879,153678,7843,4015,241,52,232,525,93,166154,45905,13715,15085,103,10,383,496,128,75329,7703,4440,5199,10,0,5,15,5,17362,23851,3992,3837,261,41,278,580,80,32340,900,1020,924,12,3,9,24,16,2884,3336,577,468,1502,14,100,1616,28,6025,2278,373,372,88,18,38,144,9,3176,83973,24117,25885,1976,86,813,2875,266,137116,2376,1726,1044,90,13,54,157,8,5311,9432,1989
IREG105,1069,18,9,18,3,0,21,0,1117,2093,27,13,3,0,3,6,4,2143,1379,135,284,0,0,6,6,0,1804,1383,75,126,3,0,0,3,0,1587,703,30,42,0,0,10,10,4,789,255,13,34,0,0,0,0,0,302,175,5,15,17,0,0,17,4,216,85,4,8,0,0,0,0,0,97,3980,262,509,20,0,16,36,8,4795,46,0,0,3,0,0,3,0,49,296,32,45,11,0,0,11,3,387,7484,339,576,55,3,19,77,15,8491,58779,1450,1498,474,45,111,630,40,62397,49622,788,875,29,32,109,170,34,51489,13549,2589,5175,9,0,140,149,32,21494,3567,340,856,0,0,8,8,4,4775,8913,551,1010,48,7,97,152,23,10649,348,222,302,0,0,7,7,6,885,2672,107,214,188,7,37,232,14,3239,1506,61,122,22,4,21,47,5,1741,30555,3870,7679,267,18,310,595,84,42783,1058,161,139,9,0,10,19,6,1383,3890,303
IREG106,624,11,6,20,4,0,24,0,665,1173,34,22,0,0,6,6,0,1235,754,121,105,3,0,3,6,0,986,701,70,69,0,0,0,0,0,840,291,32,31,5,0,0,5,0,359,206,24,14,0,0,0,0,0,244,83,6,5,11,0,0,11,0,105,43,5,0,0,0,0,0,0,48,2078,258,224,19,0,3,22,0,2582,30,0,0,0,0,0,0,0,30,118,16,18,5,0,0,5,0,157,4023,319,270,44,4,9,57,0,4669,45443,2206,1149,867,37,77,981,70,49849,35717,1514,894,60,45,57,162,36,38323,9074,2277,2751,16,3,67,86,25,14213,1992,507,549,0,0,0,0,0,3048,5857,681,701,56,11,83,150,14,7403,299,216,167,0,0,0,0,0,682,1519,94,110,229,3,33,265,17,2005,723,69,58,22,0,13,35,6,891,19464,3844,4336,323,17,196,536,62,28242,655,234,118,14,3,13,30,16,1053,2306,312
IREG107,2634,235,199,24,3,5,32,0,3100,5314,491,500,0,0,7,7,3,6315,3080,693,1519,3,0,36,39,6,5337,3237,1398,1178,3,0,4,7,12,5832,1019,189,290,7,0,15,22,4,1524,259,136,169,0,0,3,3,3,570,158,45,45,29,0,5,34,0,282,113,16,33,0,0,0,0,0,162,7866,2477,3234,42,0,63,105,25,13707,143,30,30,0,0,4,4,0,207,462,133,189,5,0,0,5,0,789,16419,3366,4152,71,3,79,153,28,24118,347728,45712,59219,1314,29,523,1866,287,454812,366371,60859,88069,67,23,530,620,390,516309,83941,41270,161828,42,17,1856,1915,591,289545,23314,16335,27024,10,3,17,30,306,67009,35903,11749,31226,99,26,918,1043,237,80158,2173,2273,4643,0,0,16,16,41,9146,5330,1983,2963,515,4,181,700,114,11090,3667,989,2474,22,6,64,92,28,7250,154328,74599,230158,688,56,3052,3796,1317,464198,4397,2249,4136,32,6,24,62,90,10934,19204,4942
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,1054,69,51,10,3,0,13,0,1187,2373,139,131,3,0,3,6,0,2649,1532,346,533,0,0,7,7,0,2418,791,188,333,0,0,0,0,0,1312,488,75,104,0,0,4,4,3,674,95,12,48,0,0,0,0,0,155,68,9,16,24,0,0,24,0,117,42,8,13,0,0,0,0,0,63,3016,638,1047,24,0,11,35,3,4739,58,8,10,0,0,0,0,0,76,256,31,80,3,0,0,3,0,370,6757,885,1319,40,3,14,57,3,9021,381775,43322,33007,1375,22,377,1774,96,459974,424900,47962,39905,83,17,452,552,140,513459,110693,44460,94304,29,14,1017,1060,151,250668,12232,6675,16250,5,4,0,9,19,35185,43531,11969,18258,91,15,744,850,80,74688,1817,1148,2480,3,0,9,12,6,5463,4818,987,1799,1148,6,119,1273,23,8900,4241,993,1647,51,4,46,101,7,6989,177332,66232,134738,1327,43,1935,3305,286,381893,5263,2241,2768,31,3,32,66,8,10346,24718,4437
