region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
IREG101,90,45,0,7,52,3,776,24755,967,1601,158,22,137,317,28,27668,11087,166,177,57,22,33,112,6,11548,9585,109,88,16,0,21,37,10,9829,2702,508,788,0,0,32,32,3,4033,1113,102,276,0,0,0,0,3,1494,2012,101,150,8,0,38,46,3,2312,210,45,100,0,0,0,0,0,355,547,34,75,40,0,16,56,3,715,352,10,26,10,0,0,10,0,398,6936,800,1415,58,0,86,144,12,9307,212,28,91,0,0,3,3,0,334,722,57,106,51,0,7,58,3,946,28542,1160,1877,182,22,150,354,31,31964
IREG102,226,75,6,11,92,7,2081,62644,2123,4341,557,64,218,839,103,70050,26839,457,395,275,27,57,359,33,28083,21817,204,210,36,23,57,116,25,22372,7109,831,2488,4,3,35,42,23,10493,2132,269,553,0,0,0,0,3,2957,4699,150,478,25,7,45,77,12,5416,492,117,227,0,0,0,0,0,836,1864,38,162,160,0,20,180,6,2250,994,26,83,11,4,6,21,0,1124,17290,1431,3991,200,14,106,320,44,23076,619,100,28,6,0,5,11,0,758,1848,152,257,82,9,11,102,7,2366,68413,2344,4881,599,73,236,908,109,76655
IREG103,40,35,3,0,38,0,540,11924,122,554,250,38,62,350,40,12990,6057,16,83,159,26,26,211,37,6404,3578,5,52,7,0,12,19,12,3666,871,33,121,3,0,6,9,0,1034,573,12,69,3,0,0,3,13,670,1002,28,105,15,6,15,36,6,1177,384,8,55,0,3,0,3,0,450,847,32,128,24,0,10,34,6,1047,288,3,19,8,6,3,17,0,327,3965,116,497,53,15,34,102,25,4705,189,8,3,14,7,3,24,3,227,588,5,49,38,3,3,44,3,689,14377,150,684,271,51,78,400,80,15691
IREG104,1929,433,6,62,501,16,13867,420186,51203,40744,7102,243,1373,8718,476,521327,173572,15650,7933,4478,86,217,4781,96,202032,159814,8047,4112,252,55,236,543,96,172612,50131,14449,15969,107,10,401,518,128,81195,10018,4954,5633,10,0,5,15,8,20628,25401,4164,4006,280,41,289,610,83,34264,1567,1100,1022,12,3,9,24,16,3729,3578,607,508,1630,14,114,1758,28,6479,2417,396,384,99,18,38,155,9,3361,93112,25670,27522,2138,86,856,3080,272,149656,2485,1740,1053,90,13,54,157,8,5443,9946,2094,2033,451,9,66,526,16,14615,438929,53201,42653,7409,249,1429,9087,488,544358
IREG105,548,151,7,24,182,33,4956,143904,6572,10739,930,102,564,1596,197,163008,59848,1468,1507,492,48,111,651,40,63514,51715,815,888,32,32,112,176,38,53632,14928,2724,5459,9,0,146,155,32,23298,4950,415,982,3,0,8,11,4,6362,9616,581,1052,48,7,107,162,27,11438,603,235,336,0,0,7,7,6,1187,2847,112,229,205,7,37,249,18,3455,1591,65,130,22,4,21,47,5,1838,34535,4132,8188,287,18,326,631,92,47578,1104,161,139,12,0,10,22,6,1432,4186,335,593,162,7,24,193,36,5343,151388,6911,11315,985,105,583,1673,212,171499
IREG106,278,130,7,6,143,42,3081,103585,8110,6775,1394,109,349,1852,226,120548,46067,2217,1155,887,41,77,1005,70,50514,36890,1548,916,60,45,63,168,36,39558,9828,2398,2856,19,3,70,92,25,15199,2693,577,618,0,0,0,0,0,3888,6148,713,732,61,11,83,155,14,7762,505,240,181,0,0,0,0,0,926,1602,100,115,240,3,33,276,17,2110,766,74,58,22,0,13,35,6,939,21542,4102,4560,342,17,199,558,62,30824,685,234,118,14,3,13,30,16,1083,2424,328,296,135,7,6,148,42,3238,107608,8429,7045,1438,113,358,1909,226,125217
IREG107,11000,169,7,140,316,82,35544,892028,188361,392582,2270,121,4269,6660,2166,1481797,350362,45947,59418,1338,32,528,1898,287,457912,371685,61350,88569,67,23,537,627,393,522624,87021,41963,163347,45,17,1892,1954,597,294882,26551,17733,28202,13,3,21,37,318,72841,36922,11938,31516,106,26,933,1065,241,81682,2432,2409,4812,0,0,19,19,44,9716,5488,2028,3008,544,4,186,734,114,11372,3780,1005,2507,22,6,64,92,28,7412,162194,77076,233392,730,56,3115,3901,1342,477905,4540,2279,4166,32,6,28,66,90,11141,19666,5075,11189,174,7,140,321,82,36333,908447,191727,396734,2341,124,4348,6813,2194,1505915
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,6657,171,6,83,260,26,36098,1013988,164194,217075,2987,91,2879,5957,556,1401770,382829,43391,33058,1385,25,377,1787,96,461161,427273,48101,40036,86,17,455,558,140,516108,112225,44806,94837,29,14,1024,1067,151,253086,13023,6863,16583,5,4,0,9,19,36497,44019,12044,18362,91,15,748,854,83,75362,1912,1160,2528,3,0,9,12,6,5618,4886,996,1815,1172,6,119,1297,23,9017,4283,1001,1660,51,4,46,101,7,7052,180348,66870,135785,1351,43,1946,3340,289,386632,5321,2249,2778,31,3,32,66,8,10422,24974,4468,6737,174,6,83,263,26,36468,1020745,165079,218394,3027,94,2893,6014,559,1410791
