region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IREG101,1614,8006,9620,2053,16661,18714,121,979,1100,267,978,1245,2441,18618,21059,240,1044,1284,4295,27668,31963
IREG102,2575,20010,22585,3001,42290,45291,190,2426,2616,463,2552,3015,3654,47268,50922,377,2772,3149,6606,70050,76656
IREG103,1330,4259,5589,977,7169,8146,53,410,463,145,496,641,1175,8075,9250,196,656,852,2701,12990,15691
IREG104,6207,126322,132529,13612,341813,355425,665,17222,17887,1391,17081,18472,15668,376116,391784,1158,18889,20047,23033,521327,544360
IREG105,2929,44978,47907,4196,100120,104316,240,5649,5889,599,6022,6621,5035,111791,116826,527,6237,6764,8491,163006,171497
IREG106,1291,28137,29428,2697,79253,81950,144,4968,5112,307,4143,4450,3148,88364,91512,227,4047,4274,4666,120548,125214
IREG107,5352,242939,248291,15519,1097109,1112628,622,37526,38148,1369,51912,53281,17510,1186547,1204057,1255,52315,53570,24117,1481801,1505918
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,1744,244224,245968,5911,1018353,1024264,251,38609,38860,564,52916,53480,6726,1109878,1116604,553,47669,48222,9023,1401771,1410794
IREG202,2872,133068,135940,4848,332855,337703,240,19490,19730,679,20156,20835,5767,372501,378268,655,19033,19688,9294,524602,533896
IREG294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG301,4748,158750,163498,16282,756002,772284,673,28023,28696,1663,41144,42807,18618,825169,843787,1080,33139,34219,24446,1017058,1041504
IREG302,3088,14543,17631,3219,50789,54008,188,2425,2613,584,3061,3645,3991,56275,60266,536,2717,3253,7615,73535,81150
IREG303,1347,465,1812,354,1528,1882,37,54,91,117,90,207,508,1672,2180,56,81,137,1911,2218,4129
IREG304,1000,1489,2489,680,5146,5826,39,233,272,123,376,499,842,5755,6597,164,391,555,2006,7635,9641
IREG305,2128,34854,36982,4191,98872,103063,226,4824,5050,511,5549,6060,4928,109245,114173,357,5814,6171,7413,149913,157326
IREG306,1987,29505,31492,2992,73598,76590,160,4108,4268,389,4318,4707,3541,82024,85565,310,4064,4374,5838,115593,121431
IREG307,754,49,803,286,243,529,40,9,49,233,30,263,559,282,841,88,24,112,1401,355,1756
IREG308,2363,24396,26759,4127,84729,88856,198,3852,4050,755,4817,5572,5080,93398,98478,445,4685,5130,7888,122479,130367
IREG394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG401,2862,128700,131562,4987,374870,379857,293,20558,20851,693,23037,23730,5973,418465,424438,569,18320,18889,9404,565485,574889
IREG402,1189,8904,10093,680,16882,17562,47,945,992,136,1180,1316,863,19007,19870,162,1100,1262,2214,29011,31225
IREG403,349,3361,3710,240,7420,7660,14,487,501,43,518,561,297,8425,8722,78,417,495,724,12203,12927
IREG494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG501,584,470,1054,389,2453,2842,18,93,111,114,230,344,521,2776,3297,92,149,241,1197,3395,4592
IREG502,918,4325,5243,674,12298,12972,45,841,886,101,855,956,820,13994,14814,187,717,904,1925,19036,20961
IREG503,757,3142,3899,506,11449,11955,37,505,542,103,813,916,646,12767,13413,95,644,739,1498,16553,18051
IREG504,749,293,1042,198,1292,1490,20,62,82,90,142,232,308,1496,1804,74,75,149,1131,1864,2995
IREG505,2732,93636,96368,5403,432128,437531,270,17559,17829,694,23692,24386,6367,473379,479746,641,19004,19645,9740,586019,595759
IREG506,741,996,1737,788,9251,10039,41,329,370,114,620,734,943,10200,11143,169,459,628,1853,11655,13508
IREG507,1459,29278,30737,1812,87831,89643,111,5269,5380,290,5772,6062,2213,98872,101085,262,4555,4817,3934,132705,136639
IREG508,596,151,747,159,502,661,13,33,46,51,43,94,223,578,801,33,71,104,852,800,1652
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG601,2526,48015,50541,5557,114601,120158,294,6945,7239,672,7790,8462,6523,129336,135859,371,6055,6426,9420,183406,192826
IREG694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG701,561,933,1494,549,5139,5688,24,222,246,93,381,474,666,5742,6408,223,274,497,1450,6949,8399
IREG702,1021,113,1134,78,473,551,12,30,42,88,49,137,178,552,730,94,54,148,1293,719,2012
IREG703,1283,5191,6474,2167,25503,27670,110,1165,1275,285,2122,2407,2562,28790,31352,356,1360,1716,4201,35341,39542
IREG704,1276,177,1453,158,633,791,11,29,40,99,91,190,268,753,1021,36,59,95,1580,989,2569
IREG705,983,450,1433,227,1761,1988,17,92,109,152,187,339,396,2040,2436,178,216,394,1557,2706,4263
IREG706,839,129,968,215,1311,1526,13,52,65,28,96,124,256,1459,1715,29,36,65,1124,1624,2748
IREG707,474,107,581,110,432,542,11,28,39,26,51,77,147,511,658,66,55,121,687,673,1360
IREG794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG801,403,14902,15305,1716,99791,101507,65,3773,3838,164,5523,5687,1945,109087,111032,97,2991,3088,2445,126980,129425
IREG894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG901,0,174,174,8,351,359,0,21,21,0,18,18,8,390,398,0,33,33,8,597,605
IREG902,36,5,41,20,17,37,5,0,5,4,0,4,29,17,46,0,0,0,65,22,87
IREG994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
