region_id,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
IREG101,0,548,55,9,3,0,615,0,0,331,437,270,241,1279,0,398,427,291,129,105,1350,0,58,24,0,0,0,82,0,1004,837,737,402,346,3326,0,0,0,34,48,83,165,0,1004,837,771,450,429,3491,650,0,0,0,0,0,650,0,136,16,0,0,3,155,650,1140,853,771,450,432,4296,0,7942,191,18,0,0,8151,0,0,2520,2837,1626,651,7634,0,1282,806,309,96,47,2540,0,218,31,7,3,0,259,0,9442,3548,3171,1725,698,18584,0,0,0,87,62,96,245,0,9442,3548,3258,1787,794,18829,8179,0,0,0,0,0,8179,0,568,71,17,3,3,662,8179,10010,3619,3275,1790,797,27670
IREG102,0,842,65,22,0,3,932,0,0,535,653,407,361,1956,0,551,635,412,238,157,1993,0,109,38,3,0,0,150,0,1502,1273,1090,645,521,5031,0,0,0,66,64,145,275,0,1502,1273,1156,709,666,5306,1044,0,0,0,0,0,1044,0,208,33,12,3,0,256,1044,1710,1306,1168,712,666,6606,0,20606,574,47,3,4,21234,0,0,6526,7514,3788,1335,19163,0,3288,1987,849,272,117,6513,0,527,78,16,3,3,627,0,24421,9165,8426,4066,1459,47537,0,0,0,187,156,189,532,0,24421,9165,8613,4222,1648,48069,20040,0,0,0,0,0,20040,0,1661,203,54,20,6,1944,20040,26082,9368,8667,4242,1654,70053
IREG103,0,343,43,13,0,3,402,0,0,192,233,162,149,736,0,224,207,170,77,66,744,0,66,15,5,0,0,86,0,633,457,421,239,218,1968,0,0,0,15,37,76,128,0,633,457,436,276,294,2096,518,0,0,0,0,0,518,0,79,5,3,0,0,87,518,712,462,439,276,294,2701,0,3636,96,4,3,0,3739,0,0,1091,1033,507,214,2845,0,680,322,143,48,18,1211,0,106,10,3,0,0,119,0,4422,1519,1183,558,232,7914,0,0,0,28,28,32,88,0,4422,1519,1211,586,264,8002,4692,0,0,0,0,0,4692,0,263,16,11,3,0,293,4692,4685,1535,1222,589,264,12987
IREG104,0,3150,289,49,10,3,3501,0,0,1845,2531,1510,1147,7033,0,1998,2235,1309,672,460,6674,0,270,107,21,11,3,412,0,5418,4476,3910,2203,1613,17620,0,0,0,239,288,470,997,0,5418,4476,4149,2491,2083,18617,3202,0,0,0,0,0,3202,0,920,194,62,31,8,1215,3202,6338,4670,4211,2522,2091,23034,0,145952,4689,475,77,19,151212,0,0,47551,58613,25412,9263,140839,0,28933,19423,7677,2360,842,59235,0,3697,705,119,14,5,4540,0,178582,72368,66884,27863,10129,355826,0,0,0,2180,2001,2580,6761,0,178582,72368,69064,29864,12709,362587,141845,0,0,0,0,0,141845,0,13845,2144,629,183,93,16894,141845,192427,74512,69693,30047,12802,521326
IREG105,0,1198,103,20,3,0,1324,0,0,702,837,586,507,2632,0,735,740,458,250,161,2344,0,102,45,10,3,3,163,0,2035,1590,1325,842,671,6463,0,0,0,65,71,119,255,0,2035,1590,1390,913,790,6718,1385,0,0,0,0,0,1385,0,318,43,18,5,3,387,1385,2353,1633,1408,918,793,8490,0,46767,1127,107,15,3,48019,0,0,14895,17787,9377,3890,45949,0,7641,4797,2026,644,278,15386,0,1230,208,44,4,3,1489,0,55638,21027,19964,10040,4174,110843,0,0,0,450,402,407,1259,0,55638,21027,20414,10442,4581,112102,46273,0,0,0,0,0,46273,0,3770,608,198,44,11,4631,46273,59408,21635,20612,10486,4592,163006
IREG106,0,693,59,11,0,0,763,0,0,416,531,339,211,1497,0,396,440,282,128,80,1326,0,54,13,8,0,0,75,0,1143,928,832,467,291,3661,0,0,0,37,48,87,172,0,1143,928,869,515,378,3833,661,0,0,0,0,0,661,0,138,27,4,3,0,172,661,1281,955,873,518,378,4666,0,37772,994,90,7,0,38863,0,0,10766,12969,5870,2212,31817,0,5811,3783,1406,427,145,11572,0,746,118,16,5,0,885,0,44329,15661,14481,6309,2357,83137,0,0,0,430,378,484,1292,0,44329,15661,14911,6687,2841,84429,33310,0,0,0,0,0,33310,0,2452,260,70,23,3,2808,33310,46781,15921,14981,6710,2844,120547
IREG107,0,3080,343,72,16,4,3515,0,0,1889,2644,1525,1046,7104,0,2119,2228,1345,613,416,6721,0,321,102,26,5,0,454,0,5520,4562,4087,2159,1466,17794,0,0,0,252,343,547,1142,0,5520,4562,4339,2502,2013,18936,3706,0,0,0,0,0,3706,0,1083,246,104,32,11,1476,3706,6603,4808,4443,2534,2024,24118,0,322821,18122,4076,904,368,346291,0,0,171354,222563,96216,37977,528110,0,72334,50406,20244,6470,2853,152307,0,15507,3676,1095,288,120,20686,0,410662,243558,247978,103878,41318,1047394,0,0,0,8460,9985,18548,36993,0,410662,243558,256438,113863,59866,1084387,333644,0,0,0,0,0,333644,0,44491,12202,4772,1560,743,63768,333644,455153,255760,261210,115423,60609,1481799
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,0,1343,131,26,12,4,1516,0,0,706,1011,538,352,2607,0,761,770,413,218,103,2265,0,102,46,16,5,3,172,0,2206,1653,1466,773,462,6560,0,0,0,84,81,148,313,0,2206,1653,1550,854,610,6873,1355,0,0,0,0,0,1355,0,518,168,73,24,12,795,1355,2724,1821,1623,878,622,9023,0,319624,15412,3349,893,437,339715,0,0,155747,208824,84691,29603,478865,0,69128,48623,18789,5543,2376,144459,0,15439,3943,1041,326,128,20877,0,404191,223725,232003,91453,32544,983916,0,0,0,5952,6661,11094,23707,0,404191,223725,237955,98114,43638,1007623,328335,0,0,0,0,0,328335,0,44230,13803,5201,1767,812,65813,328335,448421,237528,243156,99881,44450,1401771
IREG202,0,1332,89,11,5,3,1440,0,0,747,882,615,435,2679,0,877,912,534,268,160,2751,0,122,36,9,0,0,167,0,2331,1784,1436,888,598,7037,0,0,0,65,59,129,253,0,2331,1784,1501,947,727,7290,1549,0,0,0,0,0,1549,0,370,66,17,0,4,457,1549,2701,1850,1518,947,731,9296,0,148291,3637,357,40,12,152337,0,0,48559,60240,28869,10879,148547,0,26212,17623,7187,2184,833,54039,0,3541,651,124,21,6,4343,0,178044,70470,67908,31114,11730,359266,0,0,0,1367,1239,1529,4135,0,178044,70470,69275,32353,13259,363401,145633,0,0,0,0,0,145633,0,12441,2161,610,223,131,15566,145633,190485,72631,69885,32576,13390,524600
