region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IREG101,34,358,392,107,488,595,205,954,1159,343,2677,3020,585,3217,3802,492,2779,3271,361,2418,2779,358,2210,2568,276,1936,2212,378,2791,3169,207,1859,2066,104,1269,1373,138,1370,1508,482,2367,2849,226,974,1200,4296,27667,31963
IREG102,72,940,1012,181,1280,1461,368,2325,2693,489,6010,6499,838,8640,9478,890,7355,8245,593,6216,6809,560,5672,6232,452,5091,5543,533,7040,7573,314,4439,4753,186,3485,3671,156,3821,3977,613,5256,5869,362,2480,2842,6607,70050,76657
IREG103,32,188,220,73,230,303,167,550,717,224,1624,1848,343,1602,1945,337,1273,1610,222,1057,1279,241,945,1186,147,794,941,200,1108,1308,111,689,800,76,647,723,77,666,743,281,979,1260,170,637,807,2701,12989,15690
IREG104,235,5259,5494,501,8115,8616,899,17297,18196,1492,45660,47152,2854,66576,69430,2658,54562,57220,2005,46418,48423,2056,41197,43253,1685,35637,37322,2219,52826,55045,1439,34852,36291,871,27701,28572,905,31682,32587,2186,38003,40189,1029,15543,16572,23034,521328,544362
IREG105,111,2099,2210,220,2894,3114,425,5567,5992,675,14010,14685,1129,19381,20510,996,16432,17428,742,14422,15164,731,13148,13879,534,11952,12486,776,17256,18032,443,11267,11710,263,7943,8206,214,8932,9146,767,12045,12812,463,5659,6122,8489,163007,171496
IREG106,56,1244,1300,105,2086,2191,222,3686,3908,314,9792,10106,585,14968,15553,561,12168,12729,383,11158,11541,417,9784,10201,306,8476,8782,450,12054,12504,268,7977,8245,161,6213,6374,212,8406,8618,415,9028,9443,211,3507,3718,4666,120547,125213
IREG107,272,23522,23794,579,21900,22479,1064,36674,37738,1411,74871,76282,2220,109927,112147,2134,103465,105599,1735,99625,101360,1826,107057,108883,1578,100612,102190,2555,168181,170736,2079,125802,127881,1466,144370,145836,2065,214314,216379,2104,116687,118791,1029,34794,35823,24117,1481801,1505918
IREG194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG201,121,23900,24021,158,22146,22304,302,33602,33904,474,74601,75075,828,114446,115274,803,107470,108273,659,104851,105510,794,112701,113495,679,103931,104610,1026,165017,166043,782,121539,122321,521,117865,118386,660,155011,155671,822,108951,109773,394,35738,36132,9023,1401769,1410792
IREG202,120,6005,6125,241,9167,9408,479,17729,18208,727,43766,44493,1255,63783,65038,1157,54911,56068,784,48778,49562,816,44605,45421,634,39430,40064,714,54912,55626,466,36263,36729,247,24402,24649,228,25242,25470,825,38309,39134,600,17300,17900,9293,524602,533895
IREG294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3
IREG301,234,12784,13018,363,13114,13477,618,22430,23048,1082,55820,56902,2287,89593,91880,2511,83937,86448,2030,79812,81842,2302,82511,84813,1996,77891,79887,2925,122169,125094,2227,92179,94406,1290,79670,80960,1460,101423,102883,2267,79365,81632,855,24360,25215,24447,1017058,1041505
IREG302,82,1059,1141,140,1169,1309,338,2247,2585,432,4987,5419,893,7462,8355,893,6984,7877,685,6550,7235,687,6097,6784,550,5765,6315,639,8445,9084,472,5665,6137,249,3880,4129,191,4147,4338,892,6808,7700,472,2270,2742,7615,73535,81150
IREG303,9,34,43,37,39,76,90,57,147,89,137,226,201,145,346,278,148,426,176,139,315,231,168,399,144,128,272,219,272,491,121,176,297,62,222,284,81,284,365,107,199,306,66,68,134,1911,2216,4127
IREG304,16,104,120,33,74,107,86,108,194,91,316,407,183,367,550,199,399,598,156,401,557,149,463,612,126,442,568,182,940,1122,117,632,749,120,994,1114,179,1439,1618,262,674,936,109,281,390,2008,7634,9642
IREG305,87,1848,1935,117,2335,2452,267,4211,4478,454,11147,11601,841,17809,18650,813,14104,14917,629,11987,12616,595,10553,11148,475,9791,10266,711,14809,15520,461,10080,10541,406,10867,11273,454,11824,12278,799,13244,14043,305,5304,5609,7414,149913,157327
IREG306,49,1496,1545,106,1910,2016,222,3308,3530,373,9176,9549,702,14459,15161,760,12286,13046,517,10646,11163,560,9824,10384,422,8740,9162,596,12160,12756,307,7803,8110,185,5137,5322,171,5508,5679,598,9286,9884,269,3855,4124,5837,115594,121431
IREG307,10,3,13,13,3,16,96,7,103,74,11,85,138,8,146,189,18,207,119,10,129,160,20,180,101,38,139,151,53,204,83,40,123,33,50,83,56,48,104,133,38,171,43,8,51,1399,355,1754
IREG308,75,1332,1407,114,1496,1610,250,2692,2942,356,6597,6953,715,9673,10388,695,9014,9709,543,8873,9416,717,9304,10021,588,8907,9495,869,14599,15468,603,11336,11939,459,9683,10142,529,11869,12398,1016,13361,14377,360,3743,4103,7889,122479,130368
