region_id,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,CDEP_participants_Ind_M,CDEP_participants_Ind_F,CDEP_participants_Ind_P,CDEP_participants_NonInd_M,CDEP_participants_NonInd_F,CDEP_participants_NonInd_P,CDEP_participants_IndSt_nsM,CDEP_participants_IndSt_nsF,CDEP_participants_IndSt_nsP,CDEP_participants_TotM,CDEP_participants_TotF,CDEP_participants_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,NsQ_PgDL_Ind_M,NsQ_PgDL_Ind_F,NsQ_PgDL_Ind_P,NsQ_PgDL_No_Ind_M,NsQ_PgDL_No_Ind_F,NsQ_PgDL_No_Ind_P,NsQ_PgDL_IndSt_nsM,NsQ_PgDL_IndSt_nsF,NsQ_PgDL_IndSt_nsP,NsQ_PgDL_TotM,NsQ_PgDL_TotF,NsQ_PgDL_TotP,NsQ_GD_GCL_Ind_M,NsQ_GD_GCL_Ind_F,NsQ_GD_GCL_Ind_P,NsQ_GD_GCL_No_In_M,NsQ_GD_GCL_No_In_F,NsQ_GD_GCL_No_In_P,NsQ_GD_GCL_In_st_nsM,NsQ_GD_GCL_In_st_nsF,NsQ_GD_GCL_In_st_nsP,NsQ_GD_GCL_TotM,NsQ_GD_GCL_TotF,NsQ_GD_GCL_TotP,NsQ_BDL_Ind_M,NsQ_BDL_Ind_F,NsQ_BDL_Ind_P,NsQ_BDL_No_Ind_M,NsQ_BDL_No_Ind_F,NsQ_BDL_No_Ind_P,NsQ_BDL_IndSt_nsM,NsQ_BDL_IndSt_nsF,NsQ_BDL_IndSt_nsP,NsQ_BDL_TotM,NsQ_BDL_TotF,NsQ_BDL_TotP,NsQ_AD_DL_Ind_M,NsQ_AD_DL_Ind_F,NsQ_AD_DL_Ind_P,NsQ_AD_DL_No_In_M,NsQ_AD_DL_No_In_F,NsQ_AD_DL_No_In_P,NsQ_AD_DL_In_st_nsM,NsQ_AD_DL_In_st_nsF
IREG101,3349,3634,6983,27924,29517,57441,1713,1607,3320,32986,34758,67744,1396,1348,2744,18361,16391,34752,170,158,328,19927,17897,37824,405,312,717,800,666,1466,23,14,37,1228,992,2220,1801,1660,3461,19161,17057,36218,193,172,365,21155,18889,40044,1419,1835,3254,8282,11947,20229,144,252,396,9845,14034,23879,128,140,268,481,512,993,1376,1184,2560,1985,1836,3821,22.5,18.8,20.7,4.2,3.9,4.0,11.9,8.1,10.1,5.8,5.3,5.5,53.8,45.7,49.6,68.6,57.8,63.1,11.3,10.7,11.0,64.1,54.3,59.1,41.7,37.1,39.3,65.8,55.5,60.5,9.9,9.8,9.9,60.4,51.5,55.8,277,349,626,2396,3588,5984,16,27,43,2689,3964,6653,1076,975,2051,15767,12648,28415,143,121,264,16986,13744,30730,0,0,0,0,0,0,0,0,0,0,0,0,42,25,67,1963,925,2888,14,14,28,2019,964,2983,10,13,23,332,379,711,5,0,5,347,392,739,4,13,17,202,445,647,0,0,0,206,458,664,42,133,175,1715,3394,5109,5,21,26,1762,3548,5310,45,143,188,1279,2266,3545,10,16
IREG102,5140,5552,10692,70710,73654,144364,4038,3703,7741,79888,82909,162797,2045,1818,3863,45809,39208,85017,356,279,635,48210,41305,89515,641,460,1101,2357,2074,4431,29,25,54,3027,2559,5586,2686,2278,4964,48166,41282,89448,385,304,689,51237,43864,95101,2219,3033,5252,21233,30849,52082,355,512,867,23807,34394,58201,234,241,475,1310,1524,2834,3298,2888,6186,4842,4653,9495,23.9,20.2,22.2,4.9,5.0,5.0,7.5,8.2,7.8,5.9,5.8,5.9,52.3,41.0,46.4,68.1,56.0,62.0,9.5,8.2,8.9,64.1,52.9,58.4,39.8,32.7,36.1,64.8,53.2,58.9,8.8,7.5,8.2,60.3,49.8,55.0,300,406,706,5615,7377,12992,35,45,80,5950,7828,13778,1693,1381,3074,39654,31410,71064,300,207,507,41647,32998,74645,4,0,4,0,0,0,0,0,0,4,0,4,90,32,122,4716,2323,7039,25,10,35,4831,2365,7196,14,12,26,1410,1291,2701,3,7,10,1427,1310,2737,12,13,25,564,1295,1859,0,15,15,576,1323,1899,65,165,230,4714,7947,12661,27,34,61,4806,8146,12952,87,250,337,3592,5862,9454,26,34
IREG103,2425,2680,5105,12951,12518,25469,1133,984,2117,16509,16182,32691,922,910,1832,7786,6429,14215,85,71,156,8793,7410,16203,272,175,447,528,342,870,8,4,12,808,521,1329,1194,1085,2279,8314,6771,15085,93,75,168,9601,7931,17532,1106,1460,2566,4334,5428,9762,98,105,203,5538,6993,12531,125,135,260,302,320,622,942,804,1746,1369,1259,2628,22.8,16.1,19.6,6.4,5.1,5.8,8.6,5.3,7.1,8.4,6.6,7.6,49.2,40.5,44.6,64.2,54.1,59.2,8.2,7.6,7.9,58.2,49.0,53.6,38.0,34.0,35.9,60.1,51.4,55.8,7.5,7.2,7.4,53.3,45.8,49.6,204,306,510,1162,1507,2669,5,9,14,1371,1822,3193,671,584,1255,6512,4838,11350,69,59,128,7252,5481,12733,41,21,62,0,0,0,0,0,0,41,21,62,21,11,32,693,316,1009,10,7,17,724,334,1058,3,6,9,110,146,256,0,0,0,113,152,265,6,12,18,72,174,246,0,0,0,78,186,264,25,86,111,603,1193,1796,5,7,12,633,1286,1919,36,79,115,564,755,1319,3,3
IREG104,15715,17057,32772,517521,558867,1076388,25261,23328,48589,558497,599252,1157749,7027,6847,13874,301955,273638,575593,2311,1763,4074,311293,282248,593541,1754,1246,3000,21667,18055,39722,266,150,416,23687,19451,43138,8781,8093,16874,323622,291693,615315,2577,1913,4490,334980,301699,636679,6322,8397,14719,184815,256403,441218,2752,3892,6644,193889,268692,462581,613,566,1179,9083,10772,19855,19931,17523,37454,29627,28861,58488,20.0,15.4,17.8,6.7,6.2,6.5,10.3,7.8,9.3,7.1,6.4,6.8,55.9,47.4,51.5,62.5,52.2,57.2,10.2,8.2,9.2,60.0,50.3,55.0,44.7,40.1,42.3,58.3,49.0,53.5,9.1,7.6,8.4,55.7,47.1,51.3,1173,1436,2609,39144,48158,87302,206,205,411,40523,49799,90322,5711,5293,11004,259575,223007,482582,1986,1468,3454,267272,229768,497040,4,10,14,3,3,6,0,0,0,7,13,20,338,170,508,26756,14556,41312,189,108,297,27283,14834,42117,74,117,191,11004,9751,20755,53,40,93,11131,9908,21039,56,93,149,5031,8896,13927,25,30,55,5112,9019,14131,456,864,1320,43375,61570,104945,228,314,542,44059,62748,106807,517,1025,1542,33621,50349,83970,191,310
IREG105,6246,6300,12546,164993,170384,335377,8682,7563,16245,179921,184247,364168,2625,2332,4957,106877,91081,197958,872,616,1488,110374,94029,204403,584,489,1073,5149,4616,9765,76,44,120,5809,5149,10958,3209,2821,6030,112026,95697,207723,948,660,1608,116183,99178,215361,2734,3227,5961,50168,71582,121750,837,1134,1971,53739,75943,129682,301,253,554,2800,3105,5905,6898,5768,12666,9999,9126,19125,18.2,17.3,17.8,4.6,4.8,4.7,8.0,6.7,7.5,5.0,5.2,5.1,51.4,44.8,48.1,67.9,56.2,61.9,10.9,8.7,9.9,64.6,53.8,59.1,42.0,37.0,39.5,64.8,53.5,59.0,10.0,8.1,9.2,61.3,51.0,56.1,394,527,921,13773,17697,31470,80,69,149,14247,18293,32540,2143,1757,3900,91867,72401,164268,734,504,1238,94744,74662,169406,3,0,3,0,0,0,0,0,0,3,0,3,100,56,156,9810,4704,14514,74,35,109,9984,4795,14779,18,20,38,2651,2409,5060,10,10,20,2679,2439,5118,14,26,40,1391,2798,4189,5,11,16,1410,2835,4245,96,229,325,11139,18671,29810,56,99,155,11291,18999,30290,142,261,403,8548,13477,22025,57,66
IREG106,3350,3429,6779,121183,126804,247987,6867,6020,12887,131400,136253,267653,1411,1377,2788,72330,65227,137557,526,395,921,74267,66999,141266,381,241,622,3920,3119,7039,48,26,74,4349,3386,7735,1792,1618,3410,76250,68346,144596,574,421,995,78616,70385,149001,1431,1678,3109,42985,56201,99186,585,856,1441,45001,58735,103736,126,134,260,1950,2255,4205,5708,4744,10452,7784,7133,14917,21.3,14.9,18.2,5.1,4.6,4.9,8.4,6.2,7.4,5.5,4.8,5.2,53.5,47.2,50.3,62.9,53.9,58.3,8.4,7.0,7.7,59.8,51.7,55.7,42.1,40.1,41.1,59.7,51.4,55.5,7.7,6.6,7.1,56.5,49.2,52.8,271,387,658,13019,14801,27820,58,64,122,13348,15252,28600,1109,966,2075,58552,49836,108388,439,309,748,60100,51111,111211,0,0,0,0,0,0,0,0,0,0,0,0,94,25,119,7683,3831,11514,49,32,81,7826,3888,11714,20,42,62,3673,3009,6682,23,12,35,3716,3063,6779,15,35,50,1636,2933,4569,8,24,32,1659,2992,4651,102,178,280,10687,14754,25441,47,70,117,10836,15002,25838,102,209,311,8398,12283,20681,43,75
IREG107,16420,18001,34421,1604081,1696324,3300405,97596,88080,185676,1718097,1802405,3520502,8513,8116,16629,1082582,938161,2020743,8223,6298,14521,1099318,952575,2051893,1340,1168,2508,63745,56935,120680,742,564,1306,65827,58667,124494,9853,9284,19137,1146327,995096,2141423,8965,6862,15827,1165145,1011242,2176387,5946,8127,14073,434572,673646,1108218,6355,9569,15924,446873,691342,1138215,621,590,1211,23183,27583,50766,82276,71648,153924,106080,99821,205901,13.6,12.6,13.1,5.6,5.7,5.6,8.3,8.2,8.3,5.6,5.8,5.7,60.0,51.6,55.6,71.5,58.7,64.9,9.2,7.8,8.5,67.8,56.1,61.8,51.8,45.1,48.3,67.5,55.3,61.2,8.4,7.2,7.8,64.0,52.9,58.3,1484,2031,3515,121800,155634,277434,628,721,1349,123912,158386,282298,6822,5958,12780,947099,772609,1719708,6994,5146,12140,960915,783713,1744628,0,3,3,0,0,0,0,0,0,0,3,3,336,139,475,71565,39630,111195,507,246,753,72408,40015,112423,197,246,443,107584,92869,200453,475,459,934,108256,93574,201830,101,180,281,21887,34265,56152,91,128,219,22079,34573,56652,662,1224,1886,277676,320339,598015,1456,1575,3031,279794,323138,602932,655,1181,1836,135366,177551,312917,808,1123
IREG194,438,304,742,5733,4042,9775,784,436,1220,6955,4782,11737,76,47,123,2101,1383,3484,31,15,46,2208,1445,3653,48,22,70,589,394,983,6,6,12,643,422,1065,124,69,193,2690,1777,4467,37,21,58,2851,1867,4718,135,141,276,2062,1963,4025,41,44,85,2238,2148,4386,180,93,273,982,301,1283,706,371,1077,1868,765,2633,38.7,31.9,36.3,21.9,22.2,22.0,16.2,28.6,20.7,22.6,22.6,22.6,28.2,22.8,26.0,46.9,44.0,45.7,4.7,4.8,4.8,41.0,39.1,40.2,17.3,15.5,16.6,36.6,34.2,35.6,4.0,3.4,3.8,31.7,30.2,31.1,10,6,16,223,209,432,4,0,4,237,215,452,60,38,98,1835,1151,2986,20,11,31,1915,1200,3115,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,150,67,217,3,0,3,156,70,226,0,4,4,159,178,337,3,3,6,162,185,347,0,5,5,43,62,105,0,0,0,43,67,110,4,9,13,592,665,1257,4,8,12,600,682,1282,5,10,15,292,333,625,0,5
IREG197,0,0,0,46,53,99,7,3,10,53,56,109,0,0,0,19,10,29,4,0,4,23,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,29,4,0,4,23,10,33,0,0,0,27,38,65,0,0,0,27,38,65,0,0,0,0,6,6,4,0,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,18.5,29.0,50.0,0,50.0,42.6,18.5,30.6,0,0,0,41.3,18.5,29.0,50.0,0,50.0,42.6,18.5,30.6,0,0,0,6,3,9,0,0,0,6,3,9,0,0,0,13,7,20,3,0,3,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,3,5,8,0,0
IREG201,5829,6064,11893,1477964,1571927,3049891,80685,72543,153228,1564478,1650534,3215012,3334,2891,6225,1003335,874864,1878199,8191,6268,14459,1014860,884023,1898883,394,393,787,56245,52039,108284,670,500,1170,57309,52932,110241,3728,3284,7012,1059580,926903,1986483,8861,6768,15629,1072169,936955,2009124,1856,2528,4384,396501,618627,1015128,6412,9282,15694,404769,630437,1035206,244,251,495,21885,26396,48281,65411,56493,121904,87540,83140,170680,10.6,12.0,11.2,5.3,5.6,5.5,7.6,7.4,7.5,5.3,5.6,5.5,64.0,54.2,59.0,71.7,59.0,65.1,11.0,9.3,10.2,68.5,56.8,62.5,57.2,47.7,52.4,67.9,55.7,61.6,10.2,8.6,9.4,64.9,53.6,59.1,437,627,1064,94700,151716,246416,460,689,1149,95597,153032,248629,2796,2201,4997,896946,714225,1611171,7161,5193,12354,906903,721619,1628522,0,0,0,0,4,4,0,0,0,0,4,4,162,78,240,66518,35889,102407,520,218,738,67200,36185,103385,93,106,199,80354,70529,150883,410,364,774,80857,70999,151856,64,80,144,27159,47302,74461,114,181,295,27337,47563,74900,311,498,809,243343,289268,532611,1283,1529,2812,244937,291295,536232,283,475,758,124253,154713,278966,905,1099
