region_id,M_Ind_15_19_PD_GD_GCL,M_Ind_15_19_BDL,M_Ind_15_19_ADip_DipL,M_Ind_15_19_CL_nfd,M_Ind_15_19_Ct_III_IV,M_Ind_15_19_Ct_I_II,M_Ind_15_19_LoE_NS,M_Ind_15_19_Tot,M_Ind_20_24_PD_GD_GCL,M_Ind_20_24_BDL,M_Ind_20_24_ADip_DipL,M_Ind_20_24_CL_nfd,M_Ind_20_24_Ct_III_IV,M_Ind_20_24_Ct_I_II,M_Ind_20_24_LoE_NS,M_Ind_20_24_Tot,M_Ind_25_34_PD_GD_GCL,M_Ind_25_34_BDL,M_Ind_25_34_ADip_DipL,M_Ind_25_34_CL_nfd,M_Ind_25_34_Ct_III_IV,M_Ind_25_34_Ct_I_II,M_Ind_25_34_LoE_NS,M_Ind_25_34_Tot,M_Ind_35_44_PD_GD_GCL,M_Ind_35_44_BDL,M_Ind_35_44_ADip_DipL,M_Ind_35_44_CL_nfd,M_Ind_35_44_Ct_III_IV,M_Ind_35_44_Ct_I_II,M_Ind_35_44_LoE_NS,M_Ind_35_44_Tot,M_Ind_45_54_PD_GD_GCL,M_Ind_45_54_BDL,M_Ind_45_54_ADip_DipL,M_Ind_45_54_CL_nfd,M_Ind_45_54_Ct_III_IV,M_Ind_45_54_Ct_I_II,M_Ind_45_54_LoE_NS,M_Ind_45_54_Tot,M_Ind_55_64_PD_GD_GCL,M_Ind_55_64_BDL,M_Ind_55_64_ADip_DipL,M_Ind_55_64_CL_nfd,M_Ind_55_64_Ct_III_IV,M_Ind_55_64_Ct_I_II,M_Ind_55_64_LoE_NS,M_Ind_55_64_Tot,M_Ind_65ov_PtgdDe_GdDp_GdCt,M_Ind_65ov_BDL,M_Ind_65ov_ADip_DipL,M_Ind_65ov_CL_nfd,M_Ind_65ov_Ct_III_IV,M_Ind_65ov_Ct_I_II,M_Ind_65ov_LoE_NS,M_Ind_65ov_Tot,M_Ind_Tot_PD_GD_GCL,M_Ind_Tot_BDL,M_Ind_Tot_ADip_DipL,M_Ind_Tot_CL_nfd,M_Ind_Tot_Ct_III_IV,M_Ind_Tot_Ct_I_II,M_Ind_Tot_LoE_NS,M_Ind_Tot_Tot,M_NonI_15_19_PD_GD_GCL,M_NonI_15_19_BDL,M_NonI_15_19_ADip_DipL,M_NonI_15_19_CL_nfd,M_NonI_15_19_Ct_III_IV,M_NonI_15_19_Ct_I_II,M_NonI_15_19_LoE_NS,M_NonI_15_19_Tot,M_NonI_20_24_PD_GD_GCL,M_NonI_20_24_BDL,M_NonI_20_24_ADip_DipL,M_NonI_20_24_CL_nfd,M_NonI_20_24_Ct_III_IV,M_NonI_20_24_Ct_I_II,M_NonI_20_24_LoE_NS,M_NonI_20_24_Tot,M_NonI_25_34_PD_GD_GCL,M_NonI_25_34_BDL,M_NonI_25_34_ADip_DipL,M_NonI_25_34_CL_nfd,M_NonI_25_34_Ct_III_IV,M_NonI_25_34_Ct_I_II,M_NonI_25_34_LoE_NS,M_NonI_25_34_Tot,M_NonI_35_44_PD_GD_GCL,M_NonI_35_44_BDL,M_NonI_35_44_ADip_DipL,M_NonI_35_44_CL_nfd,M_NonI_35_44_Ct_III_IV,M_NonI_35_44_Ct_I_II,M_NonI_35_44_LoE_NS,M_NonI_35_44_Tot,M_NonI_45_54_PD_GD_GCL,M_NonI_45_54_BDL,M_NonI_45_54_ADip_DipL,M_NonI_45_54_CL_nfd,M_NonI_45_54_Ct_III_IV,M_NonI_45_54_Ct_I_II,M_NonI_45_54_LoE_NS,M_NonI_45_54_Tot,M_NonI_55_64_PD_GD_GCL,M_NonI_55_64_BDL,M_NonI_55_64_ADip_DipL,M_NonI_55_64_CL_nfd,M_NonI_55_64_Ct_III_IV,M_NonI_55_64_Ct_I_II,M_NonI_55_64_LoE_NS,M_NonI_55_64_Tot,M_NonI_65ov_PtgdDe_GdDp_GdCt,M_NonI_65ov_BDL,M_NonI_65ov_ADip_DipL,M_NonI_65ov_CL_nfd,M_NonI_65ov_Ct_III_IV,M_NonI_65ov_Ct_I_II,M_NonI_65ov_LoE_NS,M_NonI_65ov_Tot,M_NonI_TotPdDe_GdDp_GdCt,M_NonI_Tot_BDL,M_NonI_Tot_ADip_DipL,M_NonI_Tot_CL_nfd,M_NonI_Tot_Ct_III_IV,M_NonI_Tot_Ct_I_II,M_NonI_Tot_LoE_NS,M_NonI_Tot_Tot,M_IS_NS_15_19_PD_GD_GCLL,M_IS_NS_15_19_BDL,M_IS_NS_15_19_ADip_DipL,M_IS_NS_15_19_CL_nfd,M_IS_NS_15_19_Ct_III_IV_L,M_IS_NS_15_19_Ct_I_II,M_IS_NS_15_19_LoE_NS,M_IS_NS_15_19_Tot,M_IS_NS_20_24_PD_GD_GCLL,M_IS_NS_20_24_BDL,M_IS_NS_20_24_AdDip_and_DipL,M_IS_NS_20_24_CL_nfd,M_IS_NS_20_24_Ct_III_IV_L,M_IS_NS_20_24_Ct_I_II,M_IS_NS_20_24_LoE_NS,M_IS_NS_20_24_Tot,M_IS_NS_25_34_PD_GD_GCLL,M_IS_NS_25_34_BDL,M_IS_NS_25_34_AdDip_and_DipL,M_IS_NS_25_34_CL_nfd,M_IS_NS_25_34_Ct_III_IV_L,M_IS_NS_25_34_Ct_I_II_L,M_IS_NS_25_34_LoE_NS,M_IS_NS_25_34_Tot,M_IS_NS_35_44_PD_GD_GCLL,M_IS_NS_35_44_BDL,M_IS_NS_35_44_ADip_DipL,M_IS_NS_35_44_CL_nfd,M_IS_NS_35_44_Ct_III_IV_L,M_IS_NS_35_44_Ct_I_II_L,M_IS_NS_35_44_LoE_NS,M_IS_NS_35_44_Tot,M_IS_NS_45_54_PdDe_GdDp_GdC,M_IS_NS_45_54_BDL,M_IS_NS_45_54_ADip_DipL,M_IS_NS_45_54_CL_nfd,M_IS_NS_45_54_Ct_III_IV_L,M_IS_NS_45_54_Ct_I_II_L,M_IS_NS_45_54_LoE_NS,M_IS_NS_45_54_Tot,M_IS_NS_55_64_PD_GD_GCL,M_IS_NS_55_64_BDL,M_IS_NS_55_64_ADip_DipL,M_IS_NS_55_64_CL_nfd,M_IS_NS_55_64_Ct_III_IV_L,M_IS_NS_55_64_Ct_I_II_L,M_IS_NS_55_64_LoE_NS,M_IS_NS_55_64_Tot,M_IS_NS_65ov_PD_GD_GCL,M_IS_NS_65ov_BDL,M_IS_NS_65ov_ADip_DipL,M_IS_NS_65ov_CL_nfd,M_IS_NS_65ov_Ct_III_IV_L,M_IS_NS_65ov_Ct_I_II,M_IS_NS_65ov_LoE_NS,M_IS_NS_65ov_Tot,M_IS_NS_TotPdDe_GdDp_GdCt,M_IS_NS_Tot_BDL,M_IS_NS_Tot_ADip_DipL,M_IS_NS_Tot_CL_nfd,M_IS_NS_Tot_Ct_III_IV_L,M_IS_NS_Tot_Ct_I_II,M_IS_NS_Tot_LoE_NS,M_IS_NS_Tot_Tot,M_T_15_19_PD_GD_GCL,M_T_15_19_BDL,M_T_15_19_ADip_DipL,M_T_15_19_CL_nfd,M_T_15_19_Ct_III_IV,M_T_15_19_Ct_I_II,M_T_15_19_LoE_NS,M_T_15_19_Tot
IREG101,0,0,0,4,31,13,99,147,0,7,3,3,85,5,94,197,5,9,7,8,137,7,148,321,6,8,13,3,107,0,112,249,3,13,13,4,88,0,58,179,0,5,6,0,55,4,36,106,0,0,3,0,16,0,40,59,14,42,45,22,519,29,587,1258,0,0,0,10,106,35,179,330,0,75,39,24,559,49,103,849,87,388,163,51,1260,75,231,2255,123,438,290,74,1484,66,216,2691,146,337,331,62,1665,56,312,2909,121,323,258,62,1243,34,299,2340,59,152,196,74,1197,14,762,2454,536,1713,1277,357,7514,329,2102,13828,0,0,0,0,0,0,122,122,0,0,0,3,6,0,113,122,0,3,0,0,9,3,189,204,0,0,3,0,10,0,232,245,3,0,3,3,6,0,257,272,0,0,3,0,14,3,210,230,0,3,3,0,8,0,296,310,3,6,12,6,53,6,1419,1505,0,0,0,14,137,48,400,599
IREG102,0,0,0,3,32,11,130,176,0,0,3,6,110,30,65,214,3,13,19,11,150,19,138,353,6,27,23,5,164,17,156,398,6,12,26,7,158,7,107,323,4,11,10,6,75,0,72,178,3,4,5,4,24,0,72,112,22,67,86,42,713,84,740,1754,0,3,12,26,295,70,398,804,6,232,127,59,1493,137,241,2295,216,1045,506,123,3294,181,509,5874,407,998,854,137,3479,142,621,6638,461,890,788,169,3981,98,732,7119,519,960,731,172,3215,78,780,6455,365,586,576,182,2881,54,1940,6584,1974,4714,3594,868,18638,760,5221,35769,0,0,0,3,5,0,295,303,0,4,3,0,12,0,286,305,0,6,6,0,21,0,511,544,0,0,3,4,23,0,545,575,0,7,5,0,31,0,555,598,3,4,6,3,26,3,557,602,3,4,3,0,26,0,659,695,6,25,26,10,144,3,3408,3622,0,3,12,32,332,81,823,1283
IREG103,0,0,0,0,19,5,56,80,0,3,4,0,35,0,54,96,3,3,4,3,52,8,92,165,3,5,9,7,68,7,69,168,3,10,11,0,59,4,60,147,0,4,8,0,28,4,46,90,0,0,0,0,13,3,37,53,9,25,36,10,274,31,414,799,0,0,0,3,38,10,52,103,3,32,20,12,242,15,36,360,32,186,96,27,520,27,82,970,45,131,148,28,583,24,100,1059,40,111,140,28,716,13,145,1193,48,106,97,22,652,18,196,1139,13,38,63,26,536,4,480,1160,181,604,564,146,3287,111,1091,5984,0,0,0,0,0,0,65,65,0,0,0,0,0,0,71,71,0,3,0,0,4,0,120,127,0,0,3,0,10,3,155,171,0,0,0,3,11,0,168,182,0,3,0,0,6,0,174,183,0,0,0,0,8,0,228,236,0,6,3,3,39,3,981,1035,0,0,0,3,57,15,173,248
IREG104,0,0,4,16,116,65,349,550,6,30,25,23,363,81,237,765,14,101,92,47,702,80,402,1438,29,124,149,35,742,41,343,1463,32,114,134,27,621,30,289,1247,43,67,85,19,328,9,192,743,8,21,28,12,169,0,193,431,132,457,517,179,3041,306,2005,6637,0,19,83,147,1605,491,2810,5155,85,1924,1162,405,9301,860,1532,15269,1734,8431,4421,825,22739,1190,3046,42386,3211,9662,7121,891,27398,809,3927,53019,3948,8300,7374,1196,32099,685,4951,58553,4225,8532,6923,1635,27592,651,5479,55037,2832,6507,6540,1736,31901,504,14955,64975,16035,43375,33624,6835,152635,5190,36700,294394,0,0,0,0,32,10,1618,1660,0,13,9,4,84,0,1629,1739,6,42,16,11,134,9,2789,3007,12,45,31,7,196,14,3163,3468,20,41,40,11,251,6,3663,4032,20,50,51,9,231,3,3305,3669,19,38,44,15,395,6,4667,5184,77,229,191,57,1323,48,20834,22759,0,19,87,163,1753,566,4777,7365
IREG105,0,0,3,7,50,11,154,225,0,0,8,9,138,22,179,356,6,18,15,17,247,37,269,609,8,28,56,7,199,16,202,516,11,31,39,7,164,12,142,406,4,14,17,8,85,6,114,248,0,5,4,0,34,0,85,128,29,96,142,55,917,104,1145,2488,0,3,17,57,718,186,1096,2077,17,545,294,130,3760,308,737,5791,487,2516,1166,253,7879,402,1419,14122,862,2726,1819,300,8575,267,1614,16163,1027,2053,1980,393,9438,250,1786,16927,1022,2036,1816,450,7342,176,1907,14749,630,1260,1457,345,6819,121,4464,15096,4045,11139,8549,1928,44531,1710,13023,84925,0,0,0,0,8,3,583,594,0,4,3,3,30,3,606,649,3,7,3,3,38,3,1001,1058,3,10,16,0,52,0,1159,1240,3,17,11,0,73,0,1184,1288,3,10,12,5,70,0,1143,1243,5,8,11,5,98,0,1515,1642,17,56,56,16,369,9,7191,7714,0,3,20,64,776,200,1833,2896
IREG106,0,0,0,0,22,18,70,110,0,3,5,3,76,15,65,167,3,12,10,8,145,14,133,325,6,27,25,7,142,13,118,338,10,30,43,5,146,6,65,305,11,22,13,0,57,3,41,147,4,6,5,0,29,0,53,97,34,100,101,23,617,69,545,1489,0,0,22,33,362,108,690,1215,18,273,208,85,1972,185,402,3143,425,1369,849,148,4738,220,861,8610,1045,2110,1671,227,6288,172,1047,12560,1295,2173,1905,302,7459,205,1284,14623,1424,2468,1866,396,6490,153,1363,14160,1102,2295,1877,405,7680,107,3429,16895,5309,10688,8398,1596,34989,1150,9076,71206,0,0,0,0,7,5,435,447,0,3,5,0,16,0,428,452,5,0,6,0,27,0,705,743,4,9,3,4,34,0,931,985,9,9,5,3,51,0,1116,1193,6,10,9,4,60,0,980,1069,7,16,16,6,91,0,1316,1452,31,47,44,17,286,5,5911,6341,0,0,22,33,391,131,1195,1772
IREG107,0,0,3,12,136,38,345,534,5,59,61,22,415,34,330,926,46,195,147,46,772,63,459,1728,93,179,195,29,659,40,392,1587,78,133,125,25,543,20,315,1239,55,60,89,22,294,4,217,741,24,35,33,10,157,4,196,459,301,661,653,166,2976,203,2254,7214,26,172,701,372,3662,888,8436,14257,1861,20055,11660,1346,22013,1803,7001,65739,34104,81958,32121,3148,56215,2842,14441,224829,34323,66855,32293,3601,61968,2313,14174,215527,28156,50317,26000,4093,60813,2022,14793,186194,19663,35032,17953,3966,46337,1518,13592,138061,11333,23287,14638,3723,48600,1114,27376,130071,129466,277676,135366,20249,299608,12500,99813,974678,0,3,9,0,62,6,5517,5597,9,149,114,17,203,12,8870,9374,175,413,184,26,403,16,20576,21793,131,283,142,20,425,11,15171,16183,105,267,150,25,465,10,12937,13959,81,189,103,33,468,7,9997,10878,65,153,107,33,669,6,11503,12536,566,1457,809,154,2695,68,84571,90320,26,175,713,384,3860,932,14298,20388
IREG194,0,0,0,0,6,0,17,23,0,0,0,0,5,3,18,26,4,3,0,0,13,0,30,50,0,3,3,0,15,0,58,79,0,0,3,0,7,0,51,61,0,0,3,0,3,0,17,23,0,0,0,0,0,0,8,8,4,6,9,0,49,3,199,270,0,0,0,3,9,10,31,53,6,83,24,5,71,15,53,257,84,223,71,21,227,13,206,845,52,108,53,9,200,10,263,695,21,70,54,11,193,8,303,660,22,70,52,13,164,0,181,502,18,36,35,5,158,6,152,410,203,590,289,67,1022,62,1189,3422,0,0,0,0,0,0,26,26,0,0,0,0,0,3,75,78,0,0,0,0,0,0,171,171,0,0,0,0,0,0,141,141,0,3,0,0,5,0,123,131,0,0,0,0,4,0,109,113,0,0,0,0,7,0,79,86,0,3,0,0,16,3,724,746,0,0,0,3,15,10,74,102
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,4,0,3,7,0,0,0,0,8,0,5,13,0,3,0,0,22,0,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
IREG201,0,0,0,3,55,14,99,171,0,38,18,15,169,21,74,335,30,103,74,12,303,21,121,664,57,84,82,8,290,16,125,662,41,44,58,7,193,5,107,455,21,30,34,8,101,0,71,265,7,12,17,3,40,0,85,164,156,311,283,56,1151,77,682,2716,17,110,571,362,4559,1135,7962,14716,1680,19573,12166,1222,22188,1612,6212,64653,28889,77182,29275,2825,54110,2455,12120,206856,28071,58794,26021,2997,59443,1704,12006,189036,23146,41178,21835,2914,56592,1345,12058,159068,16166,28044,18142,2543,40709,917,11435,117956,9546,18463,16243,2080,43369,666,26479,116846,107515,243344,124253,14943,280970,9834,88272,869131,0,6,3,6,62,11,4373,4461,15,138,134,16,235,12,7626,8176,155,403,250,23,437,26,15926,17220,127,237,135,16,400,14,11735,12664,79,202,121,18,457,11,9948,10836,85,164,133,21,411,9,7782,8605,62,133,130,12,687,6,10235,11265,523,1283,906,112,2689,89,67625,73227,17,116,574,371,4676,1160,12434,19348
