region_id,F_IS_NS_25_34_PD_GD_GCL,F_IS_NS_25_34_BDL,F_IS_NS_25_34_ADip_DipL,F_IS_NS_25_34_CL_nfd,F_IS_NS_25_34_Crt_III_an_IV_L,F_IS_NS_25_34_Ct_I_II,F_IS_NS_25_34_LoE_NS,F_IS_NS_25_34_Tot,F_IS_NS_35_44_PD_GD_GCL,F_IS_NS_35_44_BDL,F_IS_NS_35_44_ADip_DipL,F_IS_NS_35_44_CL_nfd,F_IS_NS_35_44_Crt_III_an_IV_L,F_IS_NS_35_44_Ct_I_II,F_IS_NS_35_44_LoE_NS,F_IS_NS_35_44_Tot,F_IS_NS_45_54_PD_GD_GCL,F_IS_NS_45_54_BDL,F_IS_NS_45_54_ADip_DipL,F_IS_NS_45_54_CL_nfd,F_IS_NS_45_54_Crt_III_an_IV_L,F_IS_NS_45_54_Ct_I_II,F_IS_NS_45_54_Lev_of_ed_NS,F_IS_NS_45_54_Tot,F_IS_NS_55_64_PgDe_GdDp_GdC,F_IS_NS_55_64_BachelDegre_L,F_IS_NS_55_64_ADip_DipL,F_IS_NS_55_64_Certi_Level_nfd,F_IS_NS_55_64_Crt_III_and_IV,F_IS_NS_55_64_Crt_I_and_II,F_IS_NS_55_64_Lev_of_ed_NS,F_IS_NS_55_64_Tot,F_IS_NS_65ov_PtgDe_GdDp_GdCt,F_IS_NS_65ov_BDL,F_IS_NS_65ov_AdDip_and_DipL,F_IS_NS_65ov_CL_nfd,F_IS_NS_65ov_Ct_III_IV,F_IS_NS_65ov_Ct_I_II,F_IS_NS_65ov_Lev_of_ed_NS,F_IS_NS_65ov_Tot,F_IS_NS_Tot_PgDe_GdDp_GdCtL,F_IS_NS_Tot_BDL,F_IS_NS_Tot_ADip_DipL,F_IS_NS_Tot_CL_nfd,F_IS_NS_Tot_Ct_III_and_IV_L,F_IS_NS_Tot_Ct_I_and_II_L,F_IS_NS_Tot_Lev_of_ed_NS,F_IS_NS_Tot_Tot,F_T_15_19_PD_GD_GCL,F_T_15_19_BDL,F_T_15_19_ADip_DipL,F_T_15_19_CL_nfd,F_T_15_19_Ct_III_IV,F_T_15_19_Ct_I_II,F_T_15_19_LoE_NS,F_T_15_19_Tot,F_T_20_24_PD_GD_GCL,F_T_20_24_BDL,F_T_20_24_ADip_DipL,F_T_20_24_CL_nfd,F_T_20_24_Ct_III_IV,F_T_20_24_Ct_I_II,F_T_20_24_LoE_NS,F_T_20_24_Tot,F_T_25_34_PD_GD_GCL,F_T_25_34_BDL,F_T_25_34_ADip_DipL,F_T_25_34_CL_nfd,F_T_25_34_Ct_III_IV,F_T_25_34_Ct_I_II,F_T_25_34_LoE_NS,F_T_25_34_Tot,F_T_35_44_PD_GD_GCL,F_T_35_44_BDL,F_T_35_44_ADip_DipL,F_T_35_44_CL_nfd,F_T_35_44_Ct_III_IV,F_T_35_44_Ct_I_II,F_T_35_44_LoE_NS,F_T_35_44_Tot,F_T_45_54_PD_GD_GCL,F_T_45_54_BDL,F_T_45_54_ADip_DipL,F_T_45_54_CL_nfd,F_T_45_54_Ct_III_IV,F_T_45_54_Ct_I_II,F_T_45_54_LoE_NS,F_T_45_54_Tot,F_T_55_64_PD_GD_GCL,F_T_55_64_BDL,F_T_55_64_ADip_DipL,F_T_55_64_CL_nfd,F_T_55_64_Ct_III_IV,F_T_55_64_Ct_I_II,F_T_55_64_LoE_NS,F_T_55_64_Tot,F_T_65ov_PtgdDe_GdDp_GdCt,F_T_65ov_BDL,F_T_65ov_ADip_DipL,F_T_65ov_CL_nfd,F_T_65ov_Ct_III_IV,F_T_65ov_Ct_I_II,F_T_65ov_LoE_NS,F_T_65ov_Tot,F_T_Tot_PD_GD_GCL,F_T_Tot_BDL,F_T_Tot_ADip_DipL,F_T_Tot_CL_nfd,F_T_Tot_Ct_III_IV,F_T_Tot_Ct_I_II,F_T_Tot_LoE_NS,F_T_Tot_Tot,P_Ind_15_19_PD_GD_GCL,P_Ind_15_19_BDL,P_Ind_15_19_ADip_DipL,P_Ind_15_19_CL_nfd,P_Ind_15_19_Ct_III_IV,P_Ind_15_19_Ct_I_II,P_Ind_15_19_LoE_NS,P_Ind_15_19_Tot,P_Ind_20_24_PD_GD_GCL,P_Ind_20_24_BDL,P_Ind_20_24_ADip_DipL,P_Ind_20_24_CL_nfd,P_Ind_20_24_Ct_III_IV,P_Ind_20_24_Ct_I_II,P_Ind_20_24_LoE_NS,P_Ind_20_24_Tot,P_Ind_25_34_PD_GD_GCL,P_Ind_25_34_BDL,P_Ind_25_34_ADip_DipL,P_Ind_25_34_CL_nfd,P_Ind_25_34_Ct_III_IV,P_Ind_25_34_Ct_I_II,P_Ind_25_34_LoE_NS,P_Ind_25_34_Tot,P_Ind_35_44_PD_GD_GCL,P_Ind_35_44_BDL,P_Ind_35_44_ADip_DipL,P_Ind_35_44_CL_nfd,P_Ind_35_44_Ct_III_IV,P_Ind_35_44_Ct_I_II,P_Ind_35_44_LoE_NS,P_Ind_35_44_Tot,P_Ind_45_54_PD_GD_GCL,P_Ind_45_54_BDL,P_Ind_45_54_ADip_DipL,P_Ind_45_54_CL_nfd,P_Ind_45_54_Ct_III_IV,P_Ind_45_54_Ct_I_II,P_Ind_45_54_LoE_NS,P_Ind_45_54_Tot,P_Ind_55_64_PD_GD_GCL,P_Ind_55_64_BDL,P_Ind_55_64_ADip_DipL,P_Ind_55_64_CL_nfd,P_Ind_55_64_Ct_III_IV,P_Ind_55_64_Ct_I_II,P_Ind_55_64_LoE_NS,P_Ind_55_64_Tot,P_Ind_65ov_PtgdDe_GdDp_GdCt,P_Ind_65ov_BDL,P_Ind_65ov_ADip_DipL,P_Ind_65ov_CL_nfd,P_Ind_65ov_Ct_III_IV,P_Ind_65ov_Ct_I_II,P_Ind_65ov_LoE_NS,P_Ind_65ov_Tot,P_Ind_Tot_PD_GD_GCL,P_Ind_Tot_BDL,P_Ind_Tot_ADip_DipL,P_Ind_Tot_CL_nfd,P_Ind_Tot_Ct_III_IV,P_Ind_Tot_Ct_I_II,P_Ind_Tot_LoE_NS,P_Ind_Tot_Tot,P_NonI_15_19_PtgdDe_GdDp_GdCt,P_NonI_15_19_BDL,P_NonI_15_19_ADip_DipL,P_NonI_15_19_CL_nfd,P_NonI_15_19_Ct_III_IV,P_NonI_15_19_Ct_I_II,P_NonI_15_19_LoE_NS,P_NonI_15_19_Tot,P_NonI_20_24_PtgdDe_GdDp_GdCt,P_NonI_20_24_BDL,P_NonI_20_24_ADip_DipL,P_NonI_20_24_CL_nfd,P_NonI_20_24_Ct_III_IV,P_NonI_20_24_Ct_I_II,P_NonI_20_24_LoE_NS,P_NonI_20_24_Tot,P_NonI_25_34_PtgdDe_GdDp_GdCt,P_NonI_25_34_BDL,P_NonI_25_34_ADip_DipL,P_NonI_25_34_CL_nfd,P_NonI_25_34_Ct_III_IV,P_NonI_25_34_Ct_I_II,P_NonI_25_34_LoE_NS,P_NonI_25_34_Tot
IREG101,0,3,3,0,9,3,146,164,0,0,3,0,6,3,191,203,3,6,5,0,6,3,211,234,0,7,3,0,10,0,169,189,0,3,0,0,5,0,346,354,3,22,14,0,41,9,1267,1356,0,3,7,10,130,65,368,583,12,225,117,59,466,116,207,1202,157,1097,363,83,944,196,365,3205,208,868,521,167,953,150,537,3404,225,608,595,199,853,136,684,3300,183,454,457,171,464,83,707,2519,68,292,364,113,178,43,1602,2660,853,3547,2424,802,3988,789,4470,16873,0,0,3,7,62,25,182,279,0,15,12,12,153,22,140,354,8,48,33,19,241,46,224,619,10,46,59,27,207,27,201,577,13,41,50,18,161,6,115,404,5,21,24,4,80,8,82,224,4,4,7,0,19,0,94,128,40,175,188,87,923,134,1038,2585,0,3,4,17,205,88,343,660,12,289,147,74,952,148,181,1803,241,1443,497,123,2091,229,374,4998
IREG102,0,5,10,3,9,3,414,444,5,8,5,4,21,0,513,556,7,5,9,3,13,3,465,505,3,3,7,3,11,0,411,438,3,12,3,3,6,0,728,755,18,36,34,16,63,9,3067,3243,0,3,26,59,314,135,830,1367,38,517,298,132,1052,284,523,2844,447,2077,900,244,2186,381,863,7098,649,1908,1360,372,2057,348,1240,7934,686,1539,1511,456,1999,308,1535,8034,571,1233,1079,406,1137,228,1683,6337,242,870,971,247,458,102,3982,6872,2633,8147,6145,1916,9203,1786,10656,40486,0,0,3,12,57,35,270,377,0,10,16,10,205,61,132,434,7,44,72,29,332,67,238,789,13,78,85,34,318,54,289,871,19,63,100,23,265,22,214,706,9,26,43,14,104,11,166,373,3,11,16,4,31,0,156,221,51,232,335,126,1312,250,1465,3771,0,6,35,76,584,181,796,1678,44,736,412,187,2447,387,453,4666,659,3086,1343,346,5289,511,858,12092
IREG103,0,3,0,0,3,3,110,119,0,3,0,0,5,0,123,131,0,0,0,0,3,0,144,147,0,0,0,0,3,0,122,125,0,3,0,0,3,0,221,227,0,9,0,0,17,6,836,868,0,0,4,8,30,27,182,251,6,100,40,21,190,57,121,535,69,387,161,34,371,68,235,1325,86,297,197,52,350,66,281,1329,98,233,222,61,376,54,388,1432,55,174,128,47,198,33,387,1022,23,94,83,30,78,8,1027,1343,337,1285,835,253,1593,313,2621,7237,0,0,0,0,24,10,127,161,0,7,7,8,65,16,94,197,6,25,23,7,111,16,143,331,6,29,34,19,123,33,134,378,9,30,34,7,103,9,119,311,3,19,17,5,39,8,91,182,3,0,0,0,18,3,80,104,27,110,115,46,483,95,788,1664,0,0,4,11,63,29,105,212,9,128,57,25,402,56,59,736,98,548,238,57,829,84,156,2010
IREG104,6,65,36,4,64,11,2208,2394,14,70,56,17,108,12,2683,2960,24,66,65,19,111,15,2970,3270,17,51,78,12,59,19,2784,3020,9,47,56,19,61,5,5699,5896,70,313,312,81,447,74,18890,20187,5,18,271,329,1865,966,4333,7787,176,3456,2593,807,7408,1518,2706,18664,2862,15400,7602,1728,14937,2387,5018,49934,4647,15360,11392,2808,15033,2336,7395,58971,4952,12258,11998,3529,14992,2402,10308,60439,4380,9814,9758,3307,8100,1563,11496,48418,1906,6441,8068,2798,4526,750,32187,56676,18928,62747,51682,15306,66861,11922,73443,300889,0,0,11,44,225,149,665,1094,6,86,101,77,781,203,407,1661,47,310,300,126,1298,224,662,2967,80,378,428,127,1350,142,693,3198,109,311,403,119,1025,100,617,2684,77,185,231,57,478,40,424,1492,22,51,66,28,187,7,494,855,341,1321,1540,578,5344,865,3962,13951,5,37,344,445,3351,1367,5463,11012,261,5310,3661,1151,16257,2250,2886,31776,4557,23557,11779,2470,37016,3422,5596,88397
IREG105,3,19,5,0,21,3,765,816,5,28,9,8,37,7,903,997,5,15,11,5,27,5,897,965,3,15,10,4,13,0,880,925,5,17,25,5,11,3,1694,1760,24,97,68,25,132,27,6156,6529,0,6,77,90,667,349,1601,2790,74,1201,664,279,2547,553,1020,6338,909,5191,2174,515,5000,840,1711,16340,1347,4672,2951,886,4651,805,2489,17801,1364,3453,3196,984,4195,761,3314,17267,1126,2632,2613,803,2374,499,3748,13795,453,1844,2128,588,1069,189,8897,15168,5273,18999,13803,4145,20503,3996,22780,89499,0,0,6,19,92,36,287,440,0,18,33,25,263,52,256,647,9,82,68,41,483,81,380,1144,31,91,129,35,376,54,328,1044,21,79,108,20,285,38,272,823,12,45,49,16,125,11,209,467,3,10,10,4,45,5,195,272,76,325,403,160,1669,277,1927,4837,0,9,88,135,1331,504,2053,4120,88,1725,928,390,6171,828,1174,11304,1390,7624,3282,744,12622,1195,2254,29111
IREG106,4,11,5,0,9,0,609,638,7,15,9,3,19,4,755,812,8,12,24,3,16,0,810,873,8,12,12,3,19,3,776,833,6,20,24,4,20,0,1502,1576,36,70,74,17,92,7,5090,5386,0,0,40,56,345,193,1063,1697,62,504,475,179,1474,272,607,3573,770,2778,1503,352,2977,461,1240,10081,1345,3587,2598,647,3245,611,1779,13812,1559,3305,2903,824,3189,543,2546,14869,1592,2770,2700,831,1970,353,2839,13055,728,2058,2347,726,1101,215,7369,14544,6056,15002,12566,3615,14301,2648,17443,71631,0,0,7,3,50,28,126,214,0,13,22,9,145,40,91,320,17,50,47,25,263,44,191,637,22,73,79,19,252,37,176,658,34,83,98,19,237,18,143,632,29,47,40,6,83,6,92,303,11,13,16,3,32,0,114,189,113,279,309,84,1062,173,933,2953,0,0,55,86,679,291,1346,2457,77,767,666,254,3368,432,696,6260,1177,4098,2310,483,7588,651,1434,17741
IREG107,173,454,216,38,186,27,16991,18085,137,329,210,47,173,34,12930,13860,124,265,206,57,178,40,10849,11719,72,175,171,44,138,26,8634,9260,63,160,205,47,173,12,13415,14075,587,1574,1123,265,1011,160,74935,79655,52,229,1394,592,3852,1462,12509,20090,3292,29495,14705,2111,15978,2687,13640,81908,40475,109517,38433,5189,32499,5624,29896,261633,34980,81500,44163,8602,28644,5522,29249,232660,25575,52860,36190,9193,23812,4891,30648,183169,16877,31330,25390,7303,13196,2934,29015,126045,6897,18210,19581,5996,8705,1515,60796,121700,128148,323141,179856,38986,126686,24635,205753,1027205,3,0,13,31,281,111,607,1046,13,179,170,72,809,134,522,1899,143,612,433,112,1411,198,760,3669,214,480,518,135,1146,138,728,3359,197,375,397,94,844,61,647,2615,117,173,227,59,390,20,478,1464,39,68,76,21,177,10,475,866,726,1887,1834,524,5058,672,4217,14918,72,397,2070,937,7329,2266,15990,29061,5130,49243,26156,3383,37474,4380,13026,138792,74309,190604,70052,8233,87889,8304,27045,466436
IREG194,0,5,4,3,0,0,85,97,4,0,0,0,0,0,64,68,0,0,0,0,0,0,61,61,0,0,0,0,0,0,49,49,0,4,0,0,0,0,55,59,4,9,4,3,0,3,385,408,0,0,3,5,19,13,70,110,9,96,41,16,58,22,90,332,110,313,82,23,99,22,223,872,44,116,75,22,53,15,175,500,44,57,54,29,67,12,156,419,39,68,67,20,43,10,134,381,3,31,25,10,19,3,176,267,249,681,347,125,358,97,1024,2881,0,0,0,0,9,0,22,31,0,0,0,3,8,6,24,41,7,7,3,0,19,0,64,100,0,3,6,0,21,3,83,116,0,3,3,3,10,3,69,91,0,0,3,0,7,0,24,34,3,0,3,0,0,0,11,17,10,13,18,6,74,12,297,430,0,0,3,8,25,23,70,129,15,179,65,18,126,31,92,526,191,527,146,41,320,35,310,1570
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,0,0,6,0,0,3,0,0,3,0,6,0,0,3,0,0,0,7,10,0,3,6,0,6,3,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3
IREG201,182,462,224,25,178,24,12454,13549,105,315,201,37,164,20,9814,10656,115,238,193,50,179,25,8238,9038,72,149,150,27,138,15,6881,7432,57,173,199,47,178,11,12581,13246,545,1528,1097,218,991,128,59560,64067,26,164,890,644,3918,1610,11494,18746,2773,28454,13859,2069,15001,2290,11396,75842,37033,101293,35974,4570,29885,4499,23029,236283,33174,72732,37600,6568,26765,3921,22819,203579,23691,44610,30227,6382,23087,3331,23221,154549,15474,27306,21282,4483,13315,2154,23266,107280,6391,16733,16454,3819,8297,959,59112,111765,118562,291292,156286,28535,120268,18764,174337,908044,0,0,4,11,100,32,217,364,5,87,69,35,319,48,135,698,76,282,196,50,535,67,210,1416,102,224,205,37,453,43,230,1294,84,124,159,26,300,23,202,918,62,65,89,13,139,7,148,523,12,28,37,6,53,3,194,333,341,810,759,178,1899,223,1336,5546,43,265,1446,993,8399,2712,15519,29377,4434,47796,25855,3244,36918,3857,11774,133878,65694,177834,64903,7332,83585,6884,22606,428838
