region_id,P_NonI_35_44_PtgdDe_GdDp_GdCt,P_NonI_35_44_BDL,P_NonI_35_44_ADip_DipL,P_NonI_35_44_CL_nfd,P_NonI_35_44_Ct_III_IV,P_NonI_35_44_Ct_I_II,P_NonI_35_44_LoE_NS,P_NonI_35_44_Tot,P_NonI_45_54_PtgdDe_GdDp_GdCt,P_NonI_45_54_BDL,P_NonI_45_54_ADip_DipL,P_NonI_45_54_CL_nfd,P_NonI_45_54_Ct_III_IV,P_NonI_45_54_Ct_I_II,P_NonI_45_54_LoE_NS,P_NonI_45_54_Tot,P_NonI_55_64_PtgdDe_GdDp_GdCt,P_NonI_55_64_BDL,P_NonI_55_64_ADip_DipL,P_NonI_55_64_CL_nfd,P_NonI_55_64_Ct_III_IV,P_NonI_55_64_Ct_I_II,P_NonI_55_64_LoE_NS,P_NonI_55_64_Tot,P_NonI_65ov_PtgdDe_GdDp_GdCt,P_NonI_65ov_BDL,P_NonI_65ov_ADip_DipL,P_NonI_65ov_CL_nfd,P_NonI_65ov_Ct_III_IV,P_NonI_65ov_Ct_I_II,P_NonI_65ov_LoE_NS,P_NonI_65ov_Tot,P_NonI_Tot_PtgdDe_GdDp_GdCt,P_NonI_Tot_BDL,P_NonI_Tot_ADip_DipL,P_NonI_Tot_CL_nfd,P_NonI_Tot_Ct_III_IV,P_NonI_Tot_Ct_I_II,P_NonI_Tot_LoE_NS,P_NonI_Tot_Tot,P_IS_NS_15_19_PgdDe_GdDp_GdCt,P_IS_NS_15_19_BDL,P_IS_NS_15_19_ADip_DipL,P_IS_NS_15_19_CL_nfd,P_IS_NS_15_19_Ct_III_and_IV_L,P_IS_NS_15_19_Ct_I_II,P_IS_NS_15_19_LoE_NS,P_IS_NS_15_19_Tot,P_IS_NS_20_24_PgDe_GdDp_GdCtL,P_IS_NS_20_24_BDL,P_IS_NS_20_24_ADip_DipL,P_IS_NS_20_24_CL_nfd,P_IS_NS_20_24_Ct_III_and_IV_L,P_IS_NS_20_24_Ct_I_II,P_IS_NS_20_24_LoE_NS,P_IS_NS_20_24_Tot,P_IS_NS_25_34_PgDe_GdDp_GdCtL,P_IS_NS_25_34_BDL,P_IS_NS_25_34_ADip_DipL,P_IS_NS_25_34_CL_nfd,P_IS_NS_25_34_Ct_III_and_IV_L,P_IS_NS_25_34_Ct_I_II,P_IS_NS_25_34_LoE_NS,P_IS_NS_25_34_Tot,P_IS_NS_35_44_PgDe_GdDp_GdCtL,P_IS_NS_35_44_BDL,P_IS_NS_35_44_ADip_DipL,P_IS_NS_35_44_CL_nfd,P_IS_NS_35_44_Ct_III_and_IV_L,P_IS_NS_35_44_Ct_I_II,P_IS_NS_35_44_LoE_NS,P_IS_NS_35_44_Tot,P_IS_NS_45_54_PgDe_GdDp_GdCtL,P_IS_NS_45_54_BDL,P_IS_NS_45_54_ADip_DipL,P_IS_NS_45_54_CL_nfd,P_IS_NS_45_54_Ct_III_and_IV_L,P_IS_NS_45_54_Ct_I_II,P_IS_NS_45_54_LoE_NS,P_IS_NS_45_54_Tot,P_IS_NS_55_64_PgDe_GdDp_GdCtL,P_IS_NS_55_64_BDL,P_IS_NS_55_64_ADip_DipL,P_IS_NS_55_64_CL_nfd,P_IS_NS_55_64_Crt_III_and_IV,P_IS_NS_55_64_Ct_I_II,P_IS_NS_55_64_LoE_NS,P_IS_NS_55_64_Tot,P_IS_NS_65ov_PgdDe_GdDp_GdCt,P_IS_NS_65ov_BDL,P_IS_NS_65ov_ADip_DipL,P_IS_NS_65ov_CL_nfd,P_IS_NS_65ov_Crt_III_and_IV,P_IS_NS_65ov_Ct_I_II,P_IS_NS_65ov_LoE_NS,P_IS_NS_65ov_Tot,P_IS_NS_TotPdDe_GdDp_GdCt,P_IS_NS_Tot_BDL,P_IS_NS_Tot_ADip_DipL,P_IS_NS_Tot_CL_nfd,P_IS_NS_Tot_Ct_III_IV,P_IS_NS_Tot_Ct_I_II,P_IS_NS_Tot_LoE_NS,P_IS_NS_Tot_Tot,P_Tot_15_19_PgDe_GdDp_GdCtL,P_Tot_15_19_BDL,P_Tot_15_19_ADip_DipL,P_Tot_15_19_CL_nfd,P_Tot_15_19_Ct_III_and_IV_L,P_Tot_15_19_Ct_I_II,P_Tot_15_19_LoE_NS,P_Tot_15_19_Tot,P_Tot_20_24_PgDe_GdDp_GdCtL,P_Tot_20_24_BDL,P_Tot_20_24_ADip_DipL,P_Tot_20_24_CL_nfd,P_Tot_20_24_Ct_III_and_IV_L,P_Tot_20_24_Ct_I_II,P_Tot_20_24_LoE_NS,P_Tot_20_24_Tot,P_Tot_25_34_PgDe_GdDp_GdCtL,P_Tot_25_34_BDL,P_Tot_25_34_ADip_DipL,P_Tot_25_34_CL_nfd,P_Tot_25_34_Ct_III_and_IV_L,P_Tot_25_34_Ct_I_II,P_Tot_25_34_LoE_NS,P_Tot_25_34_Tot,P_Tot_35_44_PgDe_GdDp_GdCtL,P_Tot_35_44_BDL,P_Tot_35_44_ADip_DipL,P_Tot_35_44_CL_nfd,P_Tot_35_44_Ct_III_and_IV_L,P_Tot_35_44_Ct_I_II,P_Tot_35_44_LoE_NS,P_Tot_35_44_Tot,P_Tot_45_54_PgDe_GdDp_GdCtL,P_Tot_45_54_BDL,P_Tot_45_54_ADip_DipL,P_Tot_45_54_CL_nfd,P_Tot_45_54_Ct_III_and_IV_L,P_Tot_45_54_Ct_I_II,P_Tot_45_54_LoE_NS,P_Tot_45_54_Tot,P_Tot_55_64_PgDe_GdDp_GdCtL,P_Tot_55_64_BDL,P_Tot_55_64_ADip_DipL,P_Tot_55_64_CL_nfd,P_Tot_55_64_Ct_III_and_IV_L,P_Tot_55_64_Ct_I_II,P_Tot_55_64_LoE_NS,P_Tot_55_64_Tot,P_Tot_65ov_PtgdDe_GdDp_GdCt,P_Tot_65ov_BDL,P_Tot_65ov_ADip_DipL,P_Tot_65ov_CL_nfd,P_Tot_65ov_Ct_III_and_IV_L,P_Tot_65ov_Ct_I_II,P_Tot_65ov_LoE_NS,P_Tot_65ov_Tot,P_Tot_Tot_PgDe_GdDp_GdCtL,P_Tot_Tot_BDL,P_Tot_Tot_ADip_DipL,P_Tot_Tot_CL_nfd,P_Tot_Tot_Ct_III_and_IV_L,P_Tot_Tot_Ct_I_II,P_Tot_Tot_LoE_NS,P_Tot_Tot_Tot
IREG101,327,1268,762,217,2331,186,473,5564,358,911,884,247,2439,183,728,5750,299,754,694,229,1672,113,791,4552,123,437,556,187,1367,57,1964,4691,1360,5105,3544,1094,11057,1004,4854,28018,0,0,0,0,0,0,243,243,0,3,0,3,11,0,196,213,0,6,3,0,18,6,335,368,0,0,6,0,16,3,423,448,6,6,8,3,12,3,468,506,0,7,6,0,24,3,379,419,0,6,3,0,13,0,642,664,6,28,26,6,94,15,2686,2861,0,3,7,24,267,113,768,1182,12,307,159,89,1116,170,517,2370,249,1497,533,142,2350,281,933,5985,337,1314,827,244,2554,216,1097,6589,377,958,942,268,2612,192,1311,6660,304,782,724,233,1776,124,1252,5195,127,447,566,187,1399,57,2700,5483,1406,5308,3758,1187,12074,1153,8578,33464
IREG102,1044,2847,2147,476,5361,453,1215,13543,1127,2373,2216,606,5860,388,1695,14265,1082,2175,1770,567,4312,295,1958,12159,604,1437,1533,426,3326,156,5110,12592,4560,12660,9456,2684,27179,2371,12085,70995,0,0,0,3,5,0,587,595,0,7,3,0,15,3,530,558,0,11,16,3,30,3,925,988,5,8,8,8,44,0,1058,1131,7,12,14,3,44,3,1020,1103,6,7,13,6,37,3,968,1040,6,16,6,3,32,0,1387,1450,24,61,60,26,207,12,6475,6865,0,6,38,91,646,216,1653,2650,44,753,431,197,2667,451,1115,5658,666,3141,1431,378,5651,581,2021,13869,1062,2933,2240,518,5723,507,2562,15545,1153,2448,2330,632,6169,413,2929,16074,1097,2208,1826,587,4453,309,3092,13572,613,1464,1555,433,3389,156,6653,14263,4635,12953,9851,2836,28698,2633,20025,81631
IREG103,128,401,320,68,873,64,193,2047,132,324,339,82,1045,62,330,2314,100,265,216,64,836,47,416,1944,33,129,146,56,606,12,1243,2225,500,1795,1320,363,4654,354,2502,11488,0,0,0,0,0,3,123,126,0,0,0,0,0,0,129,129,0,6,0,0,7,3,230,246,0,3,3,0,15,3,278,302,0,0,0,3,14,0,312,329,0,3,0,0,9,0,296,308,0,3,0,0,11,0,449,463,0,15,3,3,56,9,1817,1903,0,0,4,11,87,42,355,499,9,135,64,33,467,72,282,1062,104,579,261,64,947,103,529,2587,134,433,357,87,1011,100,605,2727,141,354,373,92,1162,71,761,2954,103,287,233,69,884,55,803,2434,36,132,146,56,635,15,1772,2792,527,1920,1438,412,5193,458,5107,15055
IREG104,7793,24698,18178,3590,41715,3032,8289,107295,8799,20295,19038,4614,46576,3002,11961,114285,8554,18177,16457,4892,35483,2164,13959,99686,4715,12871,14514,4499,36348,1242,41142,115331,34684,104945,83971,21661,216746,16479,89296,567782,0,0,3,3,42,16,2982,3046,0,27,27,11,118,6,2811,3000,12,107,52,15,198,20,4997,5401,26,115,87,24,304,26,5846,6428,44,107,105,30,362,21,6633,7302,37,101,129,21,290,22,6089,6689,28,85,100,34,456,11,10366,11080,147,542,503,138,1770,122,39724,42946,5,37,358,492,3618,1532,9110,15152,267,5423,3789,1239,17156,2459,6104,36437,4616,23974,12131,2611,38512,3666,11255,96765,7899,25191,18693,3741,43369,3200,14828,116921,8952,20713,19546,4763,47963,3123,19211,124271,8668,18463,16817,4970,36251,2226,20472,107867,4765,13007,14680,4561,36991,1260,52002,127266,35172,106808,86014,22377,223860,17466,132982,624679
IREG105,2181,7307,4688,1150,13012,1027,3074,32439,2376,5443,5096,1359,13485,980,4073,32812,2137,4622,4387,1241,9663,670,4680,27400,1075,3082,3554,924,7866,302,11557,28360,9247,29812,22023,5943,64150,5506,28865,165546,0,0,3,0,20,9,1094,1126,3,7,8,6,41,6,1112,1183,6,26,8,3,59,6,1766,1874,8,38,25,8,89,7,2062,2237,8,32,22,5,100,5,2081,2253,6,25,22,9,83,0,2023,2168,10,25,36,10,109,3,3209,3402,41,153,124,41,501,36,13347,14243,0,9,97,154,1443,549,3434,5686,91,1750,969,421,6475,886,2542,13134,1405,7732,3358,788,13164,1282,4400,32129,2220,7436,4842,1193,13477,1088,5464,35720,2405,5554,5226,1384,13870,1023,6426,35888,2155,4692,4458,1266,9871,681,6912,30035,1088,3117,3600,938,8020,310,14961,32034,9364,30290,22550,6144,66320,5819,44139,184626
IREG106,2367,5636,4206,859,9404,755,2013,25240,2822,5413,4729,1109,10541,736,2942,28292,2990,5201,4527,1218,8415,500,3375,26226,1817,4326,4189,1124,8758,322,9235,29771,11250,25441,20682,5133,48753,3687,21041,135987,0,0,0,0,7,5,786,798,3,3,5,4,25,0,715,755,9,11,11,0,36,0,1314,1381,11,24,12,7,53,4,1686,1797,17,21,29,6,67,0,1926,2066,14,22,21,7,79,3,1756,1902,13,36,40,10,111,0,2818,3028,67,117,118,34,378,12,11001,11727,0,0,62,89,736,324,2258,3469,80,783,693,267,3538,472,1502,7335,1203,4159,2368,508,7887,695,2939,19759,2400,5733,4297,885,9709,796,3875,27695,2873,5517,4856,1134,10845,754,5011,30990,3033,5270,4588,1231,8577,509,5223,28431,1841,4375,4245,1137,8901,322,12167,32988,11430,25837,21109,5251,50193,3872,32975,150667
IREG107,69045,147725,75923,12050,89952,7703,30157,432555,53488,102670,61712,13160,84146,6832,34260,356268,36406,66074,43034,11188,59299,4410,33712,254123,18152,41304,33971,9661,57112,2611,74478,237289,256602,598017,312918,58612,423201,36506,228668,1914524,3,7,24,8,102,17,10210,10371,24,336,214,41,326,22,16293,17256,348,867,400,64,589,43,37567,39878,268,612,352,67,598,45,28101,30043,229,532,356,82,643,50,23786,25678,153,364,274,77,606,33,18631,20138,128,313,312,80,842,18,24918,26611,1153,3031,1932,419,3706,228,159506,169975,78,404,2107,976,7712,2394,26807,40478,5167,49758,26540,3496,38609,4536,29841,157947,74800,192083,70885,8409,89889,8545,65372,509983,69527,148817,76793,12252,91696,7886,58986,465957,53914,103577,62465,13336,85633,6943,58693,384561,36676,66611,43535,11324,60295,4463,52821,275725,18319,41685,34359,9762,58131,2639,99871,264766,258481,602935,316684,59555,431965,37406,392391,2099417
IREG194,92,224,125,31,247,22,349,1090,65,124,108,37,257,17,380,988,61,138,119,33,203,10,259,823,18,63,57,15,177,9,270,609,442,1255,623,183,1355,147,1730,5735,0,0,0,0,0,0,52,52,0,0,0,0,0,6,120,126,0,5,4,3,0,0,256,268,4,0,0,0,0,0,205,209,0,3,0,0,5,0,184,192,0,0,0,0,4,0,158,162,0,4,0,0,7,0,134,145,4,12,4,3,16,6,1109,1154,0,0,3,8,34,23,144,212,15,179,65,21,134,43,236,693,198,539,153,44,339,35,630,1938,96,227,131,31,268,25,637,1415,65,130,111,40,272,20,633,1271,61,138,122,33,214,10,441,1019,21,67,60,15,184,9,415,771,456,1280,645,192,1445,165,3136,7319
IREG197,0,3,0,0,4,0,0,7,0,3,0,0,3,0,0,6,0,0,3,0,4,3,3,13,0,0,3,0,8,0,12,23,0,6,6,0,25,3,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,4,0,0,7,0,3,0,0,6,0,3,12,0,0,3,0,4,3,3,13,0,0,3,0,8,0,15,26,0,6,6,0,28,3,21,64
IREG201,61095,131071,63297,9499,85881,5578,24906,381327,46679,85470,51768,9227,79393,4633,26946,304116,31527,55166,39219,6994,53848,3049,27743,217546,15875,35007,32478,5849,51475,1611,72901,215196,225347,532609,278966,43138,399499,28324,202395,1710278,0,15,14,11,95,26,8192,8353,29,320,253,43,356,30,13399,14430,337,865,474,48,615,50,28380,30769,232,552,336,53,564,34,21549,23320,194,440,314,68,636,36,18186,19874,157,313,283,48,549,24,14663,16037,119,306,329,59,865,17,22816,24511,1068,2811,2003,330,3680,217,127185,137294,43,280,1464,1015,8594,2770,23928,38094,4468,48203,26177,3322,37593,3935,25308,149006,66107,178981,65573,7430,84735,7001,51196,461023,61429,131847,63838,9589,86898,5655,46685,405941,46957,86034,52241,9321,80329,4692,45334,324908,31746,55544,39591,7055,54536,3080,42554,234106,16006,35341,32844,5914,52393,1631,95911,240040,226756,536230,281728,43646,405078,28764,330916,1853118
