region_id,M_Emp_Worked_FT_A_15_24_y,M_Emp_Worked_FT_A_25_34_y,M_Emp_Worked_FT_A_35_44_y,M_Emp_Worked_FT_A_45_54_y,M_Emp_Worked_FT_A_55_64_y,M_Emp_Worked_FT_A_65_and_over,M_Emp_Worked_FT_Tot,M_Emp_Worked_PT_A_15_24_y,M_Emp_Worked_PT_A_25_34_y,M_Emp_Worked_PT_A_35_44_y,M_Emp_Worked_PT_A_45_54_y,M_Emp_Worked_PT_A_55_64_y,M_Emp_Worked_PT_A_65_and_over,M_Emp_Worked_PT_Tot,M_EAfW_A_15_24_y,M_EAfW_A_25_34_y,M_EAfW_A_35_44_y,M_EAfW_A_45_54_y,M_EAfW_A_55_64_y,M_EAfW_A_65_over,M_EAfW_Tot,M_Emp_Tot_Age_15_24_y,M_Emp_Tot_Age_25_34_y,M_Emp_Tot_Age_35_44_y,M_Emp_Tot_Age_45_54_y,M_Emp_Tot_Age_55_64_y,M_Emp_Tot_A_65_over,M_Emp_Tot_Tot,M_Unemp_A_15_24_y,M_Unemp_A_25_34_y,M_Unemp_A_35_44_y,M_Unemp_A_45_54_y,M_Unemp_A_55_64_y,M_Unemp_A_65_over,M_Unemp_Tot,M_Tot_LF_Ag_15_24_y,M_Tot_LF_Ag_25_34_y,M_Tot_LF_Ag_35_44_y,M_Tot_LF_Ag_45_54_y,M_Tot_LF_Ag_55_64_y,M_Tot_LF_Ag_65_and_over,M_Tot_LF_Tot,M_Not_in_LF_Age_15_24_y,M_Not_in_LF_Age_25_34_y,M_Not_in_LF_Age_35_44_y,M_Not_in_LF_Age_45_54_y,M_Not_in_LF_Age_55_64_y,M_Not_in_LF_A_65and_over,M_Not_In_LF_Tot,M_LF_stat_NS_A_15_24_y,M_LF_stat_NS_A_25_34_y,M_LF_stat_NS_A_35_44_y,M_LF_stat_NS_A_45_54_y,M_LF_stat_NS_A_55_64_y,M_LF_stat_NS_A_65and_over,M_LF_status_NS_Tot,M_Tot_Age_15_24_y,M_Tot_Age_25_34_y,M_Tot_Age_35_44_y,M_Tot_Age_45_54_y,M_Tot_Age_55_64_y,M_Tot_A_65_and_over,M_Tot_Tot,F_Emp_Worked_FT_Age_15_24_y,F_Emp_Worked_FT_Age_25_34_y,F_Emp_Worked_FT_Age_35_44_y,F_Emp_Worked_FT_Age_45_54_y,F_Emp_Worked_FT_Age_55_64_y,F_Emp_Worked_FT_A_65_and_over,F_Emp_Worked_FT_Tot,F_Emp_Worked_PT_Age_15_24_y,F_Emp_Worked_PT_Age_25_34_y,F_Emp_Worked_PT_Age_35_44_y,F_Emp_Worked_PT_Age_45_54_y,F_Emp_Worked_PT_Age_55_64_y,F_Emp_Worked_PT_A_65_and_over,F_Emp_Worked_PT_Tot,F_EAfW_A_15_24_y,F_EAfW_A_25_34_y,F_EAfW_A_35_44_y,F_EAfW_A_45_54_y,F_EAfW_A_55_64_y,F_EAfW_A_65_and_over,F_EAfW_Tot,F_Emp_Tot_A_15_24_y,F_Emp_Tot_A_25_34_y,F_Emp_Tot_A_35_44_y,F_Emp_Tot_A_45_54_y,F_Emp_Tot_A_55_64_y,F_Emp_Tot_A_65_and_over,F_Emp_Tot_Tot,F_Unemp_A_15_24_y,F_Unemp_A_25_34_y,F_Unemp_A_35_44_y,F_Unemp_A_45_54_y,F_Unemp_A_55_64_y,F_Unemp_A_65_and_over,F_Unemp_Tot,F_Tot_LF_A_15_24_y,F_Tot_LF_A_25_34_y,F_Tot_LF_A_35_44_y,F_Tot_LF_A_45_54_y,F_Tot_LF_A_55_64_y,F_Tot_LF_A_65_and_over,F_Tot_LF_Tot,F_Not_in_LF_A_15_24_y,F_Not_in_LF_A_25_34_y,F_Not_in_LF_A_35_44_y,F_Not_in_LF_A_45_54_y,F_Not_in_LF_A_55_64_y,F_Not_in_LF_A_65and_over,F_Not_In_LF_Tot,F_LF_stat_NS_A_15_24_y,F_LF_stat_NS_A_25_34_y,F_LF_stat_NS_A_35_44_y,F_LF_stat_NS_A_45_54_y,F_LF_stat_NS_A_55_64_y,F_LF_stat_NS_A_65over,F_LF_status_NS_Tot,F_Tot_A_15_24_y,F_Tot_A_25_34_y,F_Tot_A_35_44_y,F_Tot_A_45_54_y,F_Tot_A_55_64_y,F_Tot_A_65_over,F_Tot_Tot,P_Emp_Worked_FT_A_15_24_y,P_Emp_Worked_FT_A_25_34_y,P_Emp_Worked_FT_A_35_44_y,P_Emp_Worked_FT_A_45_54_y,P_Emp_Worked_FT_A_55_64_y,P_Emp_Worked_FT_A_65_over,P_Emp_Worked_FT_Tot,P_Emp_Worked_PT_A_15_24_y,P_Emp_Worked_PT_A_25_34_y,P_Emp_Worked_PT_A_35_44_y,P_Emp_Worked_PT_A_45_54_y,P_Emp_Worked_PT_A_55_64_y,P_Emp_Worked_PT_A_65_over,P_Emp_Worked_PT_Tot,P_Emp_Awa_fr_wk_A_15_24_y,P_Emp_Awa_fro_wk_A_25_34_y,P_Emp_Awa_fr_wk_A_35_44_y,P_Emp_Awa_fr_wk_A_45_54_y,P_Emp_Awa_fr_wk_A_55_64_y,P_Emp_Awa_fr_wk_Ag_65_over,P_Emp_Awa_froP_wk_Tot,P_Emp_Tot_A_15_24_y,P_Emp_Tot_A_25_34_y,P_Emp_Tot_A_35_44_y,P_Emp_Tot_A_45_54_y,P_Emp_Tot_A_55_64_y,P_Emp_Tot_A_65_over,P_Emp_Tot_Tot,P_Unemp_A_15_24_y,P_Unemp_A_25_34_y,P_Unemp_A_35_44_y,P_Unemp_A_45_54_y,P_Unemp_A_55_64_y,P_Unemp_A_65_and_over,P_Unemp_Tot,P_Tot_LF_Ag_15_24_y,P_Tot_LF_Ag_25_34_y,P_Tot_LF_Ag_35_44_y,P_Tot_LF_Ag_45_54_y,P_Tot_LF_Ag_55_64_y,P_Tot_LF_Ag_65_and_over,P_Tot_LF_Tot,P_Not_in_LF_Age_15_24_y,P_Not_in_LF_Age_25_34_y,P_Not_in_LF_Age_35_44_y,P_Not_in_LF_Age_45_54_y,P_Not_in_LF_Age_55_64_y,P_Not_in_LF_A_65and_over,P_Not_In_LF_Tot,P_LF_stat_NS_A_15_24_y,P_LF_stat_NS_A_25_34_y,P_LF_stat_NS_A_35_44_y,P_LF_stat_NS_A_45_54_y,P_LF_stat_NS_A_55_64_y,P_LF_stat_NS_A_65and_over,P_LF_status_NS_Tot,P_Tot_Age_15_24_y,P_Tot_Age_25_34_y,P_Tot_Age_35_44_y,P_Tot_Age_45_54_y,P_Tot_Age_55_64_y,P_Tot_A_65_and_over,P_Tot_Tot
IREG101,238,249,226,197,105,8,1023,107,42,38,50,24,7,268,28,23,22,11,16,5,105,373,314,286,258,145,20,1396,165,82,86,50,19,3,405,538,396,372,308,164,23,1801,499,224,182,163,185,167,1420,44,18,23,16,13,13,127,1081,638,577,487,362,203,3348,94,128,182,157,61,11,633,197,127,141,101,36,6,608,28,21,23,23,12,0,107,319,276,346,281,109,17,1348,121,66,80,33,11,0,311,440,342,426,314,120,17,1659,568,308,268,230,234,226,1834,46,16,29,17,12,19,139,1054,666,723,561,366,262,3632,332,377,408,354,166,19,1656,304,169,179,151,60,13,876,56,44,45,34,28,5,212,692,590,632,539,254,37,2744,286,148,166,83,30,3,716,978,738,798,622,284,40,3460,1067,532,450,393,419,393,3254,90,34,52,33,25,32,266,2135,1304,1300,1048,728,465,6980
IREG102,310,321,348,312,136,15,1442,164,81,71,71,38,8,433,47,37,33,28,21,3,169,521,439,452,411,195,26,2044,246,158,106,97,31,4,642,767,597,558,508,226,30,2686,761,276,318,292,276,296,2219,70,33,48,33,24,27,235,1598,906,924,833,526,353,5140,150,168,218,213,67,3,819,245,159,201,172,66,8,851,39,33,31,31,14,0,148,434,360,450,416,147,11,1818,175,96,116,65,9,0,461,609,456,566,481,156,11,2279,907,574,447,406,344,354,3032,60,36,51,25,28,40,240,1576,1066,1064,912,528,405,5551,460,489,566,525,203,18,2261,409,240,272,243,104,16,1284,86,70,64,59,35,3,317,955,799,902,827,342,37,3862,421,254,222,162,40,4,1103,1376,1053,1124,989,382,41,4965,1668,850,765,698,620,650,5251,130,69,99,58,52,67,475,3174,1972,1988,1745,1054,758,10691
IREG103,126,147,135,120,73,9,610,45,36,52,43,25,5,206,30,25,25,13,12,0,105,201,208,212,176,110,14,921,95,51,66,43,15,3,273,296,259,278,219,125,17,1194,350,145,147,172,144,146,1104,28,18,26,24,14,16,126,674,422,451,415,283,179,2424,71,83,131,118,41,3,447,84,58,118,83,36,5,384,18,14,19,16,10,3,80,173,155,268,217,87,11,911,59,40,46,21,7,3,176,232,195,314,238,94,14,1087,455,231,222,188,178,185,1459,42,21,26,16,14,18,137,729,447,562,442,286,217,2683,197,230,266,238,114,12,1057,129,94,170,126,61,10,590,48,39,44,29,22,3,185,374,363,480,393,197,25,1832,154,91,112,64,22,6,449,528,454,592,457,219,31,2281,805,376,369,360,322,331,2563,70,39,52,40,28,34,263,1403,869,1013,857,569,396,5107
IREG104,1043,1161,1161,953,439,35,4792,659,301,281,211,149,43,1644,189,132,96,109,54,11,591,1891,1594,1538,1273,642,89,7027,849,382,274,155,80,14,1754,2740,1976,1812,1428,722,103,8781,2281,792,825,889,721,815,6323,170,93,96,101,73,79,612,5191,2861,2733,2418,1516,997,15716,549,541,768,752,241,12,2863,1060,606,776,619,271,28,3360,206,144,124,92,50,6,622,1815,1291,1668,1463,562,46,6845,574,250,228,157,37,0,1246,2389,1541,1896,1620,599,46,8091,2494,1365,1321,1145,1058,1015,8398,142,78,89,80,60,118,567,5025,2984,3306,2845,1717,1179,17056,1592,1702,1929,1705,680,47,7655,1719,907,1057,830,420,71,5004,395,276,220,201,104,17,1213,3706,2885,3206,2736,1204,135,13872,1423,632,502,312,117,14,3000,5129,3517,3708,3048,1321,149,16872,4775,2157,2146,2034,1779,1830,14721,312,171,185,181,133,197,1179,10216,5845,6039,5263,3233,2176,32772
IREG105,444,455,422,379,173,16,1889,195,78,97,68,45,12,495,61,55,57,34,32,4,243,700,588,576,481,250,32,2627,264,126,108,62,23,0,583,964,714,684,543,273,32,3210,981,388,345,373,320,326,2733,92,51,40,46,35,36,300,2037,1153,1069,962,628,394,6243,214,206,313,245,87,3,1068,337,192,259,191,70,18,1067,60,34,35,41,19,6,195,611,432,607,477,176,27,2330,202,122,83,61,17,3,488,813,554,690,538,193,30,2818,979,576,503,419,363,388,3228,69,46,35,32,31,40,253,1861,1176,1228,989,587,458,6299,658,661,735,624,260,19,2957,532,270,356,259,115,30,1562,121,89,92,75,51,10,438,1311,1020,1183,958,426,59,4957,466,248,191,123,40,3,1071,1777,1268,1374,1081,466,62,6028,1960,964,848,792,683,714,5961,161,97,75,78,66,76,553,3898,2329,2297,1951,1215,852,12542
IREG106,190,210,236,218,80,14,948,108,59,54,54,43,5,323,32,33,31,26,14,5,141,330,302,321,298,137,24,1412,185,87,51,41,15,0,379,515,389,372,339,152,24,1791,467,195,229,172,183,186,1432,38,16,21,17,15,20,127,1020,600,622,528,350,230,3350,102,147,149,164,69,4,635,154,127,147,139,46,6,619,24,29,30,23,11,5,122,280,303,326,326,126,15,1376,115,38,50,30,9,0,242,395,341,376,356,135,15,1618,483,270,262,249,200,213,1677,24,25,20,21,25,19,134,902,636,658,626,360,247,3429,292,357,385,382,149,18,1583,262,186,201,193,89,11,942,56,62,61,49,25,10,263,610,605,647,624,263,39,2788,300,125,101,71,24,0,621,910,730,748,695,287,39,3409,950,465,491,421,383,399,3109,62,41,41,38,40,39,261,1922,1236,1280,1154,710,477,6779
IREG107,1229,1623,1553,1160,569,65,6199,681,301,256,189,133,57,1617,207,158,119,129,70,16,699,2117,2082,1928,1478,772,138,8515,670,265,199,140,59,7,1340,2787,2347,2127,1618,831,145,9855,2346,781,763,687,644,725,5946,169,83,100,96,88,85,621,5302,3211,2990,2401,1563,955,16422,867,1080,1019,960,384,26,4336,925,557,760,532,271,52,3097,182,172,136,101,77,15,683,1974,1809,1915,1593,732,93,8116,560,239,201,125,39,3,1167,2534,2048,2116,1718,771,96,9283,2480,1425,1301,999,925,999,8129,132,90,89,87,71,119,588,5146,3563,3506,2804,1767,1214,18000,2096,2703,2572,2120,953,91,10535,1606,858,1016,721,404,109,4714,389,330,255,230,147,31,1382,4091,3891,3843,3071,1504,231,16631,1230,504,400,265,98,10,2507,5321,4395,4243,3336,1602,241,19138,4826,2206,2064,1686,1569,1724,14075,301,173,189,183,159,204,1209,10448,6774,6496,5205,3330,2169,34422
IREG194,9,11,22,4,0,0,46,4,4,3,3,3,0,17,6,3,3,0,0,0,12,19,18,28,7,3,0,75,18,14,9,4,3,0,48,37,32,37,11,6,0,123,44,23,26,32,4,7,136,25,31,54,45,17,8,180,106,86,117,88,27,15,439,5,3,3,3,3,0,17,6,11,3,3,3,0,26,0,0,0,3,0,0,3,11,14,6,9,6,0,46,10,7,3,3,0,0,23,21,21,9,12,6,0,69,56,37,17,12,15,3,140,11,32,27,18,3,3,94,88,90,53,42,24,6,303,14,14,25,7,3,0,63,10,15,6,6,6,0,43,6,3,3,3,0,0,15,30,32,34,16,9,0,121,28,21,12,7,3,0,71,58,53,46,23,12,0,192,100,60,43,44,19,10,276,36,63,81,63,20,11,274,194,176,170,130,51,21,742
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
IREG201,471,687,637,411,210,20,2436,237,104,105,83,54,19,602,83,60,56,54,31,9,293,791,851,798,548,295,48,3331,172,85,77,31,24,5,394,963,936,875,579,319,53,3725,719,230,261,250,175,220,1855,65,30,36,35,26,55,247,1747,1196,1172,864,520,328,5827,292,392,330,286,116,8,1424,342,236,278,205,125,18,1204,57,66,64,42,27,10,266,691,694,672,533,268,36,2894,178,82,82,37,12,0,391,869,776,754,570,280,36,3285,785,454,398,278,289,326,2530,66,25,29,42,27,61,250,1720,1255,1181,890,596,423,6065,763,1079,967,697,326,28,3860,579,340,383,288,179,37,1806,140,126,120,96,58,19,559,1482,1545,1470,1081,563,84,6225,350,167,159,68,36,5,785,1832,1712,1629,1149,599,89,7010,1504,684,659,528,464,546,4385,131,55,65,77,53,116,497,3467,2451,2353,1754,1116,751,11892
