region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
LGA10050,1649,34390,3231,47809
LGA10110,916,16915,1818,24098
LGA10150,1658,10582,3395,41216
LGA10200,1583,6897,7655,73739
LGA10250,1841,27577,2230,39266
LGA10300,56,1654,243,2284
LGA10350,6115,43857,14539,182361
LGA10470,1421,28061,3261,38526
LGA10550,1404,22046,1888,31949
LGA10600,593,8623,573,12510
LGA10650,237,6236,500,8064
LGA10750,11248,99799,19144,301101
LGA10800,134,4941,259,5869
LGA10850,218,5457,473,6997
LGA10900,4707,42967,4902,75942
LGA10950,53,2385,243,2900
LGA11000,88,1851,124,2412
LGA11050,66,1949,107,2390
LGA11100,1575,10533,2941,39361
LGA11150,55,2114,503,2872
LGA11200,18,1516,125,1756
LGA11250,372,14664,1633,18522
LGA11300,1005,5731,2357,32421
LGA11350,1734,16361,2210,29213
LGA11400,428,10231,626,12825
LGA11450,3002,32337,2802,56713
LGA11500,6399,62099,10792,145969
LGA11520,3351,24308,5539,75758
LGA11550,3952,21110,11530,137451
LGA11600,79,2022,143,2585
LGA11700,35,1606,156,1988
LGA11720,1738,38421,3842,50841
LGA11730,1760,37939,3180,49665
LGA11750,135,3630,420,4706
LGA11800,3052,45820,4589,68417
LGA11860,65,1289,54,1544
LGA12000,115,3369,249,4104
LGA12050,422,6326,719,9770
LGA12150,58,3465,315,4032
LGA12200,151,5931,518,7336
LGA12300,340,8607,584,11005
LGA12350,364,9385,968,12149
LGA12500,185,5542,553,7127
LGA12600,992,31242,2474,38802
LGA12700,255,6699,469,8318
LGA12750,1547,23443,2582,35737
LGA12850,4025,22398,12632,187761
LGA12900,199,7689,558,9165
LGA12950,93,3644,287,4362
LGA13010,245,6805,665,8657
LGA13050,153,3839,233,4884
LGA13100,8563,98021,11420,162432
LGA13310,901,20239,2180,27474
LGA13320,1359,24167,2488,34431
LGA13340,302,7834,587,9810
LGA13380,1627,34699,3181,46544
LGA13450,714,13596,1954,24359
LGA13500,84,3118,198,3667
LGA13550,292,9896,883,12064
LGA13650,99,3646,300,4401
LGA13660,159,4222,216,4953
LGA13700,98,2937,189,3582
LGA13800,3347,38825,3974,62353
LGA13850,74,2353,205,2957
LGA13950,3195,22705,7647,99174
LGA14000,7890,61735,6423,156848
LGA14100,816,5993,651,13225
LGA14150,2764,22611,4250,78857
LGA14200,424,12894,959,16079
LGA14250,39,1189,95,1502
LGA14300,150,4156,1094,5884
LGA14350,866,21109,2468,28137
LGA14400,1035,12961,857,19982
LGA14450,2183,15336,2925,55804
LGA14500,6606,42207,5059,109291
LGA14550,343,6702,595,9226
LGA14600,166,5437,424,6478
LGA14650,8127,135143,10233,188999
LGA14700,1977,12535,1535,31516
LGA14750,299,8214,834,11039
LGA14800,3197,21422,3585,52188
LGA14850,1819,31006,2349,42768
LGA14870,693,14407,1730,20159
LGA14900,5913,44277,14005,180147
LGA14920,187,6118,450,7486
LGA14950,67,2531,144,3006
LGA15050,2490,51209,3759,67476
LGA15150,2533,15665,2876,39741
LGA15200,4093,25455,6588,76507
LGA15270,819,16561,1626,22326
LGA15300,322,10661,1369,13435
LGA15350,1677,11242,2186,27450
LGA15500,205,5500,402,6956
LGA15550,57,1780,177,2256
LGA15650,468,11857,1483,15794
LGA15700,760,13579,1116,18641
LGA15750,304,10605,1021,12927
LGA15800,106,4711,505,5903
LGA15850,142,5479,433,6587
LGA15900,6378,99343,9941,148536
LGA15950,3357,22209,5915,62288
LGA16100,176,3635,382,5039
LGA16150,1196,28057,2781,38059
LGA16180,796,8990,1019,14340
LGA16200,383,11589,1211,14591
LGA16250,5660,40088,13481,166857
LGA16350,8902,91102,11605,178461
LGA16370,3868,28967,3101,57147
LGA16380,3065,51171,4503,72695
LGA16400,2828,44734,4423,64811
LGA16470,1829,21514,2376,37998
LGA16550,6025,40514,12316,128982
LGA16610,626,17401,1537,22033
LGA16650,3271,20955,7748,97336
LGA16700,4259,30693,6030,103046
LGA16900,3620,34899,3258,63606
LGA16950,4275,60793,7164,92806
LGA17000,929,17163,1282,22700
LGA17050,407,4367,1058,7506
LGA17100,1015,5313,2950,35195
LGA17150,11383,121458,10260,210858
LGA17200,6923,46594,24030,169504
LGA17310,1442,45171,3927,56298
LGA17350,123,4839,285,5772
LGA17400,217,5163,514,6821
LGA17420,7945,67571,6677,169880
LGA17450,104,2459,308,3359
LGA17500,323,8475,640,10936
LGA17550,4009,54714,5742,85110
LGA17620,420,10795,925,13760
LGA17640,201,5610,412,7189
LGA17650,205,4706,323,6031
LGA17700,20,947,90,1154
LGA17750,1835,46101,3207,59460
LGA17800,126,3085,310,3960
LGA17850,87,2531,125,3018
LGA17900,153,4554,730,6452
LGA17950,62,2336,143,2753
LGA18000,8772,61575,7745,140742
LGA18020,260,7533,769,9585
LGA18050,3483,17611,7670,63490
LGA18100,122,2926,231,3665
LGA18150,224,6415,1090,8493
LGA18200,178,5180,489,6608
LGA18250,3586,20924,3763,67358
LGA18350,2451,27328,2728,44393
LGA18400,2296,27176,2295,43261
LGA18450,10618,96808,11335,192413
LGA18500,3123,18114,6027,52155
LGA18550,7124,98945,9967,149747
LGA18710,762,10323,1061,15024
LGA18750,355,9561,911,12236
LGA19399,46,871,54,1169
LGA19499,512,5475,2883,12918
LGA20110,515,7543,618,11878
LGA20260,333,8234,1082,11183
LGA20570,3370,69249,5834,93508
LGA20660,5521,60745,5972,118310
LGA20740,1403,18266,2077,29619
LGA20830,2005,29623,2278,42862
LGA20910,5261,45182,5255,91817
LGA21010,465,10348,637,13651
LGA21110,8369,73168,7690,159180
LGA21180,5323,32818,15286,182738
LGA21270,168,5239,323,6382
LGA21370,1150,28224,2374,36355
LGA21450,4287,42680,4102,74174
LGA21610,11171,89951,14037,252378
LGA21670,404,9550,732,12492
LGA21750,610,15672,1109,20338
LGA21830,435,13008,870,16380
LGA21890,5449,46672,10230,136479
LGA22110,1578,29785,2592,42195
LGA22170,7345,63642,8540,126463
LGA22250,277,8317,682,10362
LGA22310,6911,46223,7160,131012
LGA22410,633,14937,1214,19568
LGA22490,840,13024,979,18765
LGA22620,3105,77821,6066,100610
LGA22670,3052,19859,9942,135609
LGA22750,9398,129199,12471,210882
LGA22830,1771,40090,4470,60454
LGA22910,613,9589,890,14370
LGA22980,134,4694,295,5796
LGA23110,3777,31789,5639,83861
LGA23190,444,15662,1161,19287
LGA23270,6254,55368,11585,167564
LGA23350,565,11249,1046,15179
LGA23430,6952,59854,8018,142427
LGA23670,7292,68407,6136,149287
LGA23810,3089,45182,5034,72399
LGA23940,203,5682,539,7457
LGA24130,2098,26977,2081,41863
LGA24210,4499,38307,4667,111297
LGA24250,365,5406,410,7892
LGA24330,2659,20425,6732,71628
LGA24410,5613,56133,4771,103827
LGA24600,3399,24158,11472,93622
LGA24650,4928,41157,7933,109260
LGA24780,1428,36136,3507,50980
LGA24850,1499,22930,2328,34642
LGA24900,823,20684,1961,28125
LGA24970,5838,49541,8548,169275
LGA25060,4357,45156,6713,107448
LGA25150,1320,18388,1557,28129
LGA25250,6149,48551,10664,147243
LGA25340,7947,82588,9639,144612
LGA25430,715,12014,1577,17592
LGA25490,469,12670,865,15959
LGA25620,609,8709,901,13066
LGA25710,3222,36467,2316,60352
LGA25810,339,9343,746,11845
LGA25900,4703,35917,8497,91371
LGA25990,237,4854,537,6668
LGA26080,121,2119,194,2994
LGA26170,1219,18768,1492,27208
LGA26260,559,13026,785,16362
LGA26350,4889,40097,7060,93152
LGA26430,333,6939,595,9485
LGA26490,1376,17400,1375,25871
LGA26610,501,14490,1428,20445
LGA26670,254,4531,225,5888
LGA26700,890,20066,1443,26818
LGA26730,949,24671,2285,32035
LGA26810,1640,28930,3352,41443
LGA26890,137,3461,197,4253
LGA26980,6568,62822,7829,151338
LGA27070,5371,51237,9284,154883
LGA27170,1441,25774,1822,35526
LGA27260,7230,58101,11024,161575
LGA27350,3863,30219,6737,74087
LGA27450,8679,83293,7415,144538
LGA27630,205,5603,535,7091
LGA29399,41,395,114,803
LGA29499,338,3186,1827,8303
LGA30250,11,1245,7,1297
LGA30300,104,3855,362,4722
LGA30370,434,11166,879,14457
LGA30410,85,2600,211,3208
LGA30450,16,285,27,353
LGA30760,50,1860,121,2205
LGA30900,8,399,34,483
LGA31000,53415,496882,66045,1041830
LGA31750,13,318,30,400
LGA31820,3457,62380,6159,89810
LGA31900,563,12285,1131,17374
LGA31950,20,329,110,514
LGA32070,9078,83603,14723,156171
LGA32250,61,1468,317,2054
LGA32260,1252,17464,1917,27672
LGA32270,1051,20150,2704,28715
LGA32310,387,9481,979,12166
LGA32330,0,1203,13,1220
LGA32450,91,2298,436,3229
LGA32500,154,2374,830,4156
LGA32600,13,238,43,316
LGA32750,7,221,18,282
LGA32770,4,1231,15,1284
LGA33100,42,689,64,900
LGA33200,38,1427,161,1782
LGA33220,4037,63582,6671,95321
LGA33360,2395,38774,5064,57895
LGA33430,27021,232699,39407,494498
LGA33610,260,8450,916,10640
LGA33620,1939,32049,3219,45757
LGA33800,491,7429,661,11577
LGA33830,3,937,29,981
LGA33960,8244,96391,11894,166897
LGA33980,862,15723,2401,22585
LGA34420,8,988,0,1028
LGA34570,4,461,8,482
LGA34580,1395,23786,2911,34955
