region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA10050,893,162,1065,7479,2963,374,10816,24881,2813,38510
LGA10110,385,83,471,3323,1340,204,4867,13031,1606,19504
LGA10150,1005,211,1234,6114,1633,197,7944,24083,2974,35001
LGA10200,729,121,858,10877,2500,195,13572,38618,7051,59241
LGA10250,1156,235,1400,5921,2404,331,8656,21441,2135,32232
LGA10300,23,13,36,344,117,12,473,1137,207,1817
LGA10350,3168,706,3922,27986,8719,732,37437,92823,12544,142804
LGA10470,564,78,648,6091,2524,351,8966,18758,2800,30524
LGA10550,604,193,803,4448,1799,270,6517,17810,2032,26359
LGA10600,273,44,320,1944,791,157,2892,6598,584,10074
LGA10650,153,97,256,1106,472,46,1624,4422,622,6668
LGA10750,2296,442,2771,54120,15175,1831,71126,141825,16688,229639
LGA10800,128,23,151,925,360,40,1325,2946,309,4580
LGA10850,86,13,99,1176,380,50,1606,3370,442,5418
LGA10900,1215,322,1553,12560,5382,912,18854,38261,4029,61144
LGA10950,42,5,47,464,162,21,647,1326,244,2217
LGA11000,69,21,90,357,136,10,503,1327,135,1965
LGA11050,41,7,48,340,110,19,469,1339,125,1933
LGA11100,565,98,675,6281,1885,179,8345,21181,2684,32210
LGA11150,14,3,20,405,122,23,550,1200,392,2142
LGA11200,16,6,22,233,82,6,321,884,113,1318
LGA11250,357,132,492,2525,1128,109,3762,9668,1746,15176
LGA11300,614,183,811,4496,1430,113,6039,19338,2269,27646
LGA11350,469,93,571,4888,1639,382,6909,14937,1973,23819
LGA11400,205,34,245,2114,771,94,2979,6510,526,10015
LGA11450,666,92,766,11276,3461,511,15248,25346,2361,42955
LGA11500,920,429,1368,23517,8860,918,33295,71613,9043,113951
LGA11520,1210,284,1506,12137,3838,354,16329,41657,5031,63017
LGA11550,1707,494,2226,21829,6052,406,28287,71010,10700,109997
LGA11600,30,5,35,397,142,28,567,1337,127,2031
LGA11700,11,3,14,291,94,13,398,1035,147,1580
LGA11720,738,126,864,8476,3762,443,12681,23763,3538,39982
LGA11730,1034,205,1249,6911,3034,396,10341,26922,3179,40442
LGA11750,50,11,61,764,242,35,1041,2257,360,3658
LGA11800,1291,409,1706,10495,3946,550,14991,36125,4190,55306
LGA11860,5,3,8,293,91,10,394,690,85,1169
LGA12000,81,21,102,662,274,32,968,1961,252,3181
LGA12050,216,32,251,1487,529,82,2098,5184,618,7900
LGA12150,57,12,72,539,187,18,744,2140,285,3169
LGA12200,170,28,198,1012,510,66,1588,3859,501,5948
LGA12300,202,95,306,1628,644,90,2362,5884,740,8986
LGA12350,279,48,327,1685,670,96,2451,6433,953,9837
LGA12500,162,50,215,1021,435,35,1491,3716,564,5771
LGA12600,598,97,707,6414,2699,392,9505,18459,2127,30091
LGA12700,145,18,163,1247,583,73,1903,4424,433,6760
LGA12750,922,199,1131,4477,2015,247,6739,20450,2670,29859
LGA12850,2084,366,2487,26601,8408,510,35519,102571,11456,149546
LGA12900,184,43,230,1342,533,47,1922,4771,545,7238
LGA12950,83,31,114,636,253,27,916,2259,321,3496
LGA13010,191,28,219,1164,475,65,1704,4710,677,7091
LGA13050,112,27,142,642,278,22,942,2878,275,4095
LGA13100,3899,1194,5129,25570,10794,1490,37854,83573,10636,132063
LGA13310,460,122,585,4216,1722,205,6143,13982,2140,22265
LGA13320,941,385,1335,4090,1847,234,6171,20256,2713,29140
LGA13340,170,31,205,1595,641,89,2325,4829,584,7738
LGA13380,1040,202,1248,6367,2718,351,9436,25545,2879,37860
LGA13450,360,111,482,3972,1383,140,5495,11520,1865,18880
LGA13500,64,19,87,550,220,27,797,1835,246,2878
LGA13550,182,85,267,1904,676,95,2675,5928,908,9511
