region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10050,223,8,11,0,0,242,150,8,17,0,0,175,137,8,20,0,0,165,290,15,30,0,0,335,436,19,68,3,0,526,1260,32,106,3,0,1401,1272,37,44,0,0,1353,1144,12,17,0,0,1173,331,8,3,0,0,342,220,0,5,0,0,225,126,4,4,0,0,134,313,8,13,0,0,334,5902,159,338,6,0,6405
LGA10110,91,3,3,0,0,97,66,3,5,0,0,74,60,0,6,0,0,66,147,6,0,0,0,153,180,3,3,0,3,189,458,6,17,3,0,484,443,3,7,3,0,456,366,5,10,0,0,381,141,3,0,0,0,144,96,3,0,0,0,99,65,3,0,0,0,68,115,0,0,0,0,115,2228,38,51,6,3,2326
LGA10150,93,14,55,0,0,162,33,7,16,0,0,56,27,3,24,0,0,54,46,15,42,0,0,103,55,20,56,0,0,131,137,52,218,0,0,407,131,48,297,0,0,476,274,109,540,4,3,930,191,97,245,0,0,533,359,145,144,0,0,648,403,93,42,0,0,538,105,31,62,3,0,201,1854,634,1741,7,3,4239
LGA10200,158,42,66,3,0,269,79,17,24,0,0,120,55,16,21,0,0,92,117,23,56,0,0,196,136,30,79,0,0,245,396,101,333,0,0,830,443,166,445,3,0,1057,851,256,535,0,0,1642,503,111,313,0,0,927,580,94,222,0,0,896,315,57,101,3,0,476,231,47,75,3,0,356,3864,960,2270,12,0,7106
LGA10250,188,11,12,0,0,211,90,6,12,0,0,108,76,13,3,3,0,95,145,15,17,0,0,177,205,20,16,0,0,241,578,55,39,5,0,677,507,72,45,6,0,630,716,87,41,3,0,847,374,28,16,0,0,418,322,15,10,3,0,350,176,10,3,0,0,189,200,15,11,0,0,226,3577,347,225,20,0,4169
LGA10300,26,0,0,0,0,26,16,0,0,0,0,16,16,0,0,0,0,16,22,0,0,0,0,22,29,0,0,0,0,29,44,0,0,0,0,44,19,3,0,0,0,22,12,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,19,0,0,0,0,19,213,3,0,0,0,216
LGA10350,515,106,57,3,0,681,224,39,23,0,0,286,223,44,27,0,5,299,366,70,63,0,0,499,505,102,75,0,0,682,1452,360,332,10,6,2160,1487,505,534,0,12,2538,2917,941,451,3,3,4315,2153,605,102,4,0,2864,1904,503,84,0,0,2491,879,183,33,8,0,1103,804,176,79,3,3,1065,13429,3634,1860,31,29,18983
LGA10470,150,5,3,3,0,161,102,5,3,0,0,110,98,8,5,0,0,111,174,10,8,0,0,192,256,19,7,0,0,282,780,31,21,0,0,832,880,28,16,3,0,927,1039,21,8,0,0,1068,405,3,3,0,3,414,225,0,3,0,0,228,129,0,3,0,0,132,224,5,6,0,0,235,4462,135,86,6,3,4692
LGA10550,207,11,9,3,0,230,140,7,4,0,0,151,126,4,6,0,0,136,218,6,15,3,0,242,291,15,16,3,0,325,686,15,25,8,0,734,547,12,18,3,0,580,507,13,7,3,0,530,195,6,3,0,0,204,129,9,3,3,0,144,89,4,5,0,0,98,186,9,14,3,0,212,3321,111,125,29,0,3586
LGA10600,67,0,0,3,0,70,70,0,0,3,0,73,46,0,4,0,0,50,95,0,0,3,0,98,105,3,0,3,0,111,258,3,5,0,0,266,231,3,0,0,0,234,203,0,0,0,0,203,66,0,0,0,0,66,49,0,0,0,0,49,34,0,0,0,0,34,59,3,0,0,0,62,1283,12,9,12,0,1316
LGA10650,83,0,0,5,0,88,40,0,3,0,0,43,41,3,0,0,0,44,83,0,5,0,0,88,106,3,3,0,0,112,181,4,0,5,0,190,124,4,0,0,0,128,90,3,0,0,0,93,32,0,0,0,0,32,16,0,0,0,0,16,27,0,0,0,0,27,48,0,0,0,0,48,871,17,11,10,0,909
LGA10750,1012,94,24,0,0,1130,432,39,12,0,0,483,453,37,11,3,0,504,928,63,22,0,0,1013,1195,102,50,0,3,1350,3671,401,196,3,3,4274,4736,699,232,4,0,5671,9104,1352,138,9,3,10606,6111,616,29,0,4,6760,4990,410,27,0,0,5427,1596,141,8,0,3,1748,1703,167,33,3,0,1906,35931,4121,782,22,16,40872
LGA10800,54,0,0,3,0,57,41,0,0,0,0,41,52,0,0,0,0,52,48,0,0,0,0,48,68,0,0,0,0,68,111,0,0,0,0,111,77,0,3,0,0,80,55,0,0,3,0,58,13,0,0,0,0,13,13,0,3,0,0,16,19,3,0,0,0,22,41,0,0,0,0,41,592,3,6,6,0,607
