region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,3175,1745,1111,493,21078
LGA10110,1878,1100,563,246,11268
LGA10150,2653,1147,855,562,23042
LGA10200,2948,1336,691,241,31631
LGA10250,3649,2107,1367,621,18303
LGA10300,112,59,30,14,716
LGA10350,8499,4744,3376,1636,69441
LGA10470,2710,1513,852,304,17163
LGA10550,3275,1999,1030,429,14358
LGA10600,1203,684,359,129,5618
LGA10650,562,429,290,130,3183
LGA10750,14830,6599,3169,978,120418
LGA10800,316,201,135,33,2014
LGA10850,490,300,168,30,2800
LGA10900,8183,4323,2065,784,39835
LGA10950,127,102,64,13,973
LGA11000,181,93,58,31,881
LGA11050,172,107,56,9,879
LGA11100,2044,1279,716,272,17936
LGA11150,158,83,65,7,1167
LGA11200,72,19,17,10,531
LGA11250,1193,698,614,278,7156
LGA11300,1828,960,726,451,16926
LGA11350,3102,1269,538,225,14671
LGA11400,934,596,265,103,5285
LGA11450,3078,1414,703,252,23383
LGA11500,8779,3698,1573,646,56779
LGA11520,5122,2628,1496,626,41478
LGA11550,5913,3291,2287,884,57346
LGA11600,119,60,30,7,848
LGA11700,118,55,18,3,616
LGA11720,3329,1729,948,310,19687
LGA11730,4129,2573,1471,458,20002
LGA11750,209,113,67,14,1710
LGA11800,5811,3267,1933,920,30444
LGA11860,103,48,18,8,621
LGA12000,250,157,93,43,1478
LGA12050,807,510,278,117,4478
LGA12150,187,134,89,22,1309
LGA12200,546,397,235,73,2897
LGA12300,821,604,376,155,4362
LGA12350,934,620,357,118,4680
LGA12500,489,298,210,92,2800
LGA12600,2312,1258,646,230,15830
LGA12700,725,398,163,51,3499
LGA12750,3737,2754,1502,534,16367
LGA12850,7672,3970,2252,715,59364
LGA12900,569,390,235,71,3437
LGA12950,256,181,92,48,1560
LGA13010,648,420,254,50,3355
LGA13050,433,333,164,45,1967
LGA13100,12459,8064,5484,2667,75901
LGA13310,2062,1270,707,256,11781
LGA13320,3062,2812,1762,648,15276
LGA13340,784,458,180,83,3963
LGA13380,3902,2704,1526,582,19197
LGA13450,1178,618,352,151,8909
LGA13500,232,143,63,32,1313
LGA13550,728,437,295,127,4499
LGA13650,281,157,81,16,1464
LGA13660,256,228,115,41,1692
LGA13700,261,182,78,32,1335
LGA13800,4070,2160,920,388,27091
LGA13850,136,106,69,26,995
LGA13950,4595,2498,1524,659,42931
LGA14000,13437,7385,4124,2107,84221
LGA14100,1281,725,501,391,7143
LGA14150,4634,2617,1778,777,37076
LGA14200,981,716,372,178,5950
LGA14250,102,54,36,10,545
LGA14300,394,222,86,42,2659
LGA14350,2297,1376,773,303,11357
LGA14400,2173,1292,732,264,10461
LGA14450,3610,1896,1142,521,28199
LGA14500,10414,6622,4189,2011,60712
LGA14550,849,371,182,59,3567
LGA14600,362,192,129,61,2185
LGA14650,14580,9325,5660,2110,84273
LGA14700,2740,1522,773,383,18597
LGA14750,561,337,195,54,3835
LGA14800,4306,1898,774,307,31919
LGA14850,3608,1673,831,259,18730
LGA14870,1484,901,482,155,8234
LGA14900,7980,3822,1798,528,68793
LGA14920,479,319,159,51,2615
LGA14950,208,128,66,23,1162
LGA15050,4077,2154,1152,401,27816
LGA15150,2913,1884,997,467,23599
LGA15200,4186,1737,866,335,42976
LGA15270,1580,1056,555,199,9206
LGA15300,668,383,194,41,4942
LGA15350,2667,1744,862,480,16772
LGA15500,433,402,209,52,2673
LGA15550,113,72,33,6,736
LGA15650,794,390,210,57,6228
LGA15700,1645,1172,649,254,7720
LGA15750,692,421,225,88,4591
LGA15800,352,243,181,67,2145
LGA15850,391,239,133,43,2259
LGA15900,9784,5516,3643,1718,70654
LGA15950,5312,3323,1446,630,43741
LGA16100,414,242,97,24,2059
LGA16150,2446,1339,771,268,16088
LGA16180,1512,702,205,41,7128
LGA16200,838,513,334,110,5459
LGA16250,8535,4705,2948,1371,81411
LGA16350,10074,4476,2046,777,70304
LGA16370,5613,3438,1735,837,30349
LGA16380,5844,4490,3051,1210,32836
LGA16400,4938,3690,1841,684,28209
LGA16470,2250,1012,460,196,17366
LGA16550,7964,4397,2674,1238,72299
LGA16610,1492,881,581,250,7973
LGA16650,5049,2877,1912,898,45890
LGA16700,6845,3657,2463,1289,55779
LGA16900,3771,2089,1172,317,25209
LGA16950,7798,5937,3584,1246,42196
LGA17000,1255,571,259,66,9206
LGA17050,629,318,136,28,3854
LGA17100,2099,1132,684,270,18631
LGA17150,16512,8898,5433,2126,105666
LGA17200,9684,4798,2205,793,116065
LGA17310,3915,2384,1318,484,23198
LGA17350,346,222,141,47,2012
LGA17400,582,371,156,64,2624
LGA17420,14307,7362,2576,806,84624
LGA17450,245,151,57,24,1358
LGA17500,676,460,261,82,4162
LGA17550,6421,4343,3250,1317,36904
LGA17620,851,512,312,109,5486
LGA17640,610,419,195,45,3022
LGA17650,581,274,101,32,2599
LGA17700,68,50,30,16,399
LGA17750,3699,1810,1127,455,25033
LGA17800,284,177,100,35,1469
LGA17850,244,150,61,14,1154
LGA17900,463,283,141,33,2344
LGA17950,129,92,52,6,896
LGA18000,9518,6239,3687,2081,73268
LGA18020,690,457,249,96,3525
LGA18050,4198,2396,1387,720,40170
LGA18100,261,186,96,31,1339
LGA18150,551,402,218,53,3468
LGA18200,397,254,118,43,2393
LGA18250,5163,2620,1594,761,38685
LGA18350,4143,3246,1717,612,21332
LGA18400,2898,1351,605,191,18136
LGA18450,12879,7428,4821,1725,87891
LGA18500,4735,3063,1638,878,33046
LGA18550,9264,6744,4449,1682,60834
LGA18710,1235,686,320,135,6982
LGA18750,791,498,266,107,4573
LGA19399,90,60,28,0,488
LGA19499,1017,562,137,70,7323
LGA20110,1121,677,381,98,5268
LGA20260,867,549,311,108,4646
LGA20570,5909,3543,2229,934,40269
LGA20660,8753,4982,2964,1416,58973
LGA20740,2431,1918,1165,400,13241
LGA20830,3211,1892,946,333,18134
LGA20910,8206,4918,2989,1793,48794
LGA21010,1149,670,406,163,5589
LGA21110,13883,7438,4375,2451,89738
LGA21180,8253,4107,2195,808,69049
LGA21270,412,272,178,75,2280
LGA21370,2166,1496,952,392,13761
LGA21450,3963,2281,977,318,29964
LGA21610,11553,5630,2936,977,98673
LGA21670,929,703,392,140,4718
LGA21750,1494,822,496,183,7997
LGA21830,955,634,386,123,5944
LGA21890,6037,2988,2245,1103,66190
LGA22110,3673,2688,1337,433,17691
LGA22170,7664,4550,2647,1112,54480
LGA22250,666,462,285,136,3700
LGA22310,9512,4577,3289,1906,70752
LGA22410,1362,713,395,131,7427
LGA22490,1454,672,237,88,7818
LGA22620,6825,3941,2406,1019,42658
LGA22670,6058,3690,2404,910,51789
LGA22750,14153,8700,5533,2269,93464
LGA22830,3310,1802,1182,537,22572
LGA22910,1511,861,382,130,6686
LGA22980,314,192,141,61,1904
LGA23110,4564,2400,1626,645,37887
LGA23190,1234,654,470,239,7769
LGA23270,6932,3490,1759,443,59981
LGA23350,1500,800,360,163,7069
LGA23430,8852,5223,3448,1436,67298
LGA23670,9957,5230,2738,1168,66703
LGA23810,4738,2747,1602,518,29557
LGA23940,575,369,205,64,2767
LGA24130,3525,1932,759,293,19140
LGA24210,8568,6324,3147,1238,55094
LGA24250,757,457,212,76,3577
LGA24330,2849,1216,865,404,35914
LGA24410,6760,4054,2523,1224,48473
LGA24600,4708,2475,1026,361,61064
LGA24650,4558,1827,848,314,42673
LGA24780,2730,1628,981,389,18570
LGA24850,2059,1082,551,157,13564
LGA24900,1732,1328,782,279,10434
LGA24970,10780,7401,4648,1861,85909
LGA25060,6700,3518,2204,954,51991
LGA25150,1951,995,449,159,11576
LGA25250,6202,3281,2829,1366,71738
LGA25340,11250,9006,5465,2294,66964
LGA25430,1871,1168,577,290,8751
LGA25490,1089,604,301,125,6341
LGA25620,1195,819,328,122,6088
LGA25710,5371,2263,727,307,29141
LGA25810,901,518,293,97,4448
LGA25900,6248,3178,1504,652,59809
LGA25990,605,373,153,45,2618
LGA26080,368,337,209,78,1685
LGA26170,2243,1386,667,275,11370
LGA26260,1194,640,448,172,6575
LGA26350,7128,4378,2488,1181,57746
LGA26430,853,588,324,127,3979
LGA26490,2326,1257,607,214,12920
LGA26610,1138,612,391,160,7424
LGA26670,504,313,161,64,2497
LGA26700,1916,1129,729,320,11207
LGA26730,1939,1044,785,395,13425
LGA26810,3151,1659,921,327,17324
LGA26890,272,168,107,39,1532
LGA26980,10163,6638,4744,2229,78087
LGA27070,6473,3066,1712,612,59611
LGA27170,2141,1024,603,237,14625
LGA27260,6598,2843,1173,407,67732
LGA27350,4659,2204,959,325,46327
LGA27450,10910,5692,2537,957,64579
LGA27630,483,275,230,122,2683
LGA29399,57,24,6,0,491
LGA29499,432,201,72,25,4636
LGA30250,20,15,0,3,261
LGA30300,231,88,43,11,1518
LGA30370,606,325,175,64,4889
LGA30410,156,101,52,12,1082
LGA30450,12,6,3,0,100
LGA30760,115,68,39,6,707
LGA30900,22,9,0,0,134
LGA31000,63846,32406,18405,8617,523711
LGA31750,23,0,0,0,142
LGA31820,6000,4318,2284,781,34045
LGA31900,938,612,314,125,5914
LGA31950,29,12,3,0,221
LGA32070,10151,4931,2047,768,70113
LGA32250,116,73,24,3,740
LGA32260,1802,1106,544,152,10424
LGA32270,1271,481,174,53,11403
LGA32310,629,420,220,69,4003
LGA32330,15,0,3,0,199
LGA32450,151,66,25,6,1361
LGA32500,324,150,33,6,2021
LGA32600,16,11,4,0,114
LGA32750,13,6,0,0,107
LGA32770,11,0,0,0,154
LGA33100,60,54,12,0,311
LGA33200,92,50,20,9,564
LGA33220,7063,5301,2662,946,37880
LGA33360,3211,1522,616,164,23572
LGA33430,32087,19530,10652,4570,226555
LGA33610,471,348,155,62,3733
LGA33620,3294,2208,1031,397,17398
LGA33800,737,461,310,74,4139
LGA33830,28,10,0,3,296
LGA33960,7680,4033,2010,660,62265
LGA33980,856,263,77,22,9269
LGA34420,28,10,0,0,211
LGA34570,15,4,3,0,150
