region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA10050,2477,4232,3408,2399,3113,2425,1644,2374,363,22435
LGA10110,1432,2573,1241,1116,1404,1110,347,1012,142,10377
LGA10150,2527,6683,2087,1884,3219,1786,749,1356,328,20619
LGA10200,2770,6015,4105,2418,4139,2511,2335,3717,900,28910
LGA10250,2279,3393,2300,1887,2107,1863,799,1747,215,16590
LGA10300,295,74,103,97,102,51,100,184,23,1029
LGA10350,6990,12106,10772,5981,12601,6639,6205,6824,1751,69869
LGA10470,2153,3293,2615,1958,2239,1765,1133,2107,269,17532
LGA10550,1859,2085,1965,1525,1459,1335,837,1810,166,13041
LGA10600,711,992,668,561,497,384,284,586,95,4778
LGA10650,716,414,474,369,326,269,323,470,51,3412
LGA10750,12089,23338,18126,11953,24433,12409,14562,14053,2826,133789
LGA10800,826,254,360,201,246,150,315,297,47,2696
LGA10850,543,399,458,271,370,201,421,396,55,3114
LGA10900,4283,10256,4687,4065,5095,2746,1546,2424,508,35610
LGA10950,337,127,135,114,109,65,166,168,27,1248
LGA11000,260,120,137,88,99,67,134,168,19,1092
LGA11050,311,112,134,92,88,69,66,159,18,1049
LGA11100,2029,3602,2380,1880,3274,1821,1444,1593,373,18396
LGA11150,262,204,122,163,134,80,80,125,32,1202
LGA11200,156,86,47,106,56,13,31,106,18,619
LGA11250,686,1049,1105,990,826,667,769,783,132,7007
LGA11300,1715,4229,1718,1350,2350,1509,575,1267,382,15095
LGA11350,1864,2960,1773,1443,1273,1281,470,1308,246,12618
LGA11400,1387,928,838,515,738,368,499,654,100,6027
LGA11450,3742,5035,4364,2750,5030,2890,2403,2114,430,28758
LGA11500,5574,9295,9669,6669,11767,6347,7322,7151,1259,65053
LGA11520,7095,12336,3564,2751,6344,3441,884,1586,677,38678
LGA11550,5222,10365,7773,5125,8449,5388,4687,6230,1425,54664
LGA11600,439,109,113,94,114,40,163,211,21,1304
LGA11700,231,106,42,110,53,12,40,178,15,787
LGA11720,1819,2248,3975,2188,2388,2036,3046,2804,379,20883
LGA11730,2191,2563,2507,2355,2139,2018,1286,2404,298,17761
LGA11750,341,224,429,180,190,130,442,241,43,2220
LGA11800,3428,4982,3961,3316,3972,3268,1478,3193,396,27994
LGA11860,431,83,50,42,57,26,35,99,12,835
LGA12000,453,215,235,169,174,103,148,181,22,1700
LGA12050,760,724,664,458,612,446,251,484,87,4486
LGA12150,476,174,160,189,154,78,113,225,40,1609
LGA12200,429,413,385,301,327,249,205,435,44,2788
LGA12300,757,512,737,434,417,408,360,915,94,4634
LGA12350,922,631,656,479,511,445,317,673,100,4734
LGA12500,353,448,478,360,423,327,251,330,53,3023
LGA12600,2229,3300,2684,2020,2715,2058,1146,1981,264,18397
LGA12700,639,511,639,327,460,288,355,439,64,3722
LGA12750,1541,1977,2067,1567,1577,1476,688,1428,211,12532
LGA12850,5209,8907,10852,5939,10427,6392,8575,10156,2152,68609
LGA12900,868,548,519,336,442,348,295,462,67,3885
LGA12950,551,234,207,223,136,121,109,234,16,1831
LGA13010,745,436,438,354,358,312,232,475,65,3415
LGA13050,393,233,269,218,182,173,233,237,25,1963
LGA13100,8492,14921,10623,7879,10862,7582,3328,6197,1166,71050
LGA13310,1373,1720,1754,1801,1585,1217,1048,1423,195,12116
LGA13320,1428,1653,1674,1345,1262,1312,696,1498,200,11068
LGA13340,1131,559,623,379,526,311,427,528,75,4559
LGA13380,1903,2723,2495,1889,1932,1871,1083,2281,221,16398
LGA13450,1967,1405,1560,845,1390,1226,752,1862,210,11217
LGA13500,380,173,210,145,154,99,136,347,37,1681
LGA13550,1006,662,665,468,540,460,650,693,81,5225
LGA13650,492,177,224,147,186,126,105,332,36,1825
LGA13660,700,216,189,161,190,112,166,272,26,2032
LGA13700,387,166,193,117,150,78,107,208,33,1439
LGA13800,3920,4733,5860,2983,4808,2759,2641,2936,533,31173
LGA13850,248,134,180,124,136,111,116,227,27,1303
LGA13950,3965,8478,6094,3537,7915,3797,3636,3926,949,42297
LGA14000,11895,25964,7987,6276,12589,6622,1900,4028,1289,78550
LGA14100,1320,2152,340,388,875,445,62,189,112,5883
LGA14150,4102,8712,4609,3313,6640,3362,2154,2798,746,36436
LGA14200,1137,887,839,695,622,712,356,988,98,6334
LGA14250,304,49,80,47,82,30,39,71,7,709
LGA14300,463,235,271,279,252,140,183,297,36,2156
LGA14350,1170,1342,1295,1270,1122,1001,673,1300,184,9357
LGA14400,1266,2348,1389,1066,1150,758,453,620,138,9188
LGA14450,3526,7139,3204,2241,4724,2613,1219,1816,589,27071
LGA14500,10469,19575,2645,3482,7302,4095,505,1347,886,50306
LGA14550,727,499,413,376,336,271,262,495,47,3426
LGA14600,910,357,303,254,244,183,237,305,59,2852
LGA14650,8128,15919,13940,8319,12735,8816,6189,8305,1241,83592
LGA14700,3107,6904,1062,1128,2477,1209,228,447,273,16835
LGA14750,749,623,676,360,569,393,357,859,71,4657
LGA14800,6272,12333,1995,1970,3799,1992,454,766,422,30003
LGA14850,2287,3666,2478,2093,2442,2068,983,2243,235,18495
LGA14870,759,984,1422,957,1065,670,1147,924,132,8060
LGA14900,7316,11479,11717,6834,13084,6712,7809,7828,1789,74568
LGA14920,691,337,347,276,296,218,383,476,57,3081
LGA14950,454,148,151,113,141,72,117,120,16,1332
LGA15050,3059,5175,5637,2848,4389,3134,3235,3249,461,31187
LGA15150,4229,7721,1500,1615,2665,1624,311,623,376,20664
