region_id,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,Cntd_CN_Ewre_Aus_Indig_M,Cntd_CN_Ewre_Aus_Indig_F,Cntd_CN_Ewre_Aus_Indig_P,Ctd_CN_Ewh_Aus_No_Indi_M,Ctd_CN_Ewh_Aus_No_Indi_F,Ctd_CN_Ewh_Aus_No_Indi_P,Ct_CN_Ew_Au_IndSt_nsM,Ct_CN_Ew_Au_IndSt_nsF,Ct_CN_Ew_Au_IndSt_nsP,Ctd_CN_Ewh_Aus_TotM,Ctd_CN_Ewh_Aus_TotF,Ctd_CN_Ewh_Aus_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF
LGA10050,546,562,1108,21407,23184,44591,1118,993,2111,23071,24739,47810,79,83,162,1410,1349,2759,85,72,157,1574,1504,3078,157,129,286,2865,2789,5654,147,134,281,3169,3052,6221,119,113,232,3105,3362,6467,159,132,291,3383,3607,6990,106,140,246,5540,5849,11389,283,204,487,5929,6193,12122,73,77,150,5535,5974,11509,262,209,471,5870,6260,12130,13,19,32,2952,3860,6812,182,243,425,3147,4122,7269,504,528,1032,20196,21983,42179,958,882,1840,21658,23393,45051,41,36,77,1211,1200,2411,161,110,271,1413,1346,2759,5,7,12,30,46,76,3,3,6,38,56,94,29,19,48,627,614,1241,76,40,116,732,673,1405,3,9,12,382,345,727,64,37,101,449,391,840,3,0,3,39,37,76,4,5,9,46,42,88,3,3,6,13,10,23,3,0,3,19,13,32,3,0,3,18,13,31,0,0,0,21,13,34,0,0,0,15,17,32,0,0,0,15,17,32,0,3,3,3,6,9,0,4
LGA10110,700,814,1514,10190,11060,21250,623,716,1339,11513,12590,24103,105,99,204,555,544,1099,37,63,100,697,706,1403,177,175,352,1375,1280,2655,88,102,190,1640,1557,3197,141,196,337,1981,2214,4195,113,150,263,2235,2560,4795,133,201,334,2241,2383,4624,180,156,336,2554,2740,5294,118,116,234,2641,2818,5459,134,124,258,2893,3058,5951,26,27,53,1397,1822,3219,72,119,191,1495,1968,3463,647,765,1412,9548,10379,19927,517,656,1173,10712,11800,22512,53,49,102,643,680,1323,106,59,165,802,788,1590,3,0,3,33,23,56,3,0,3,39,23,62,44,54,98,647,710,1357,104,70,174,795,834,1629,0,0,0,26,23,49,6,6,12,32,29,61,3,3,6,52,54,106,15,5,20,70,62,132,0,0,0,14,15,29,4,0,4,18,15,33,0,0,0,9,7,16,0,0,0,9,7,16,0,0,0,0,3,3,0,4,4,0,7,7,0,3,3,0,3,3,0,0
LGA10150,117,117,234,18557,19799,38356,1358,1266,2624,20032,21182,41214,10,13,23,1106,1102,2208,91,78,169,1207,1193,2400,19,18,37,1826,1717,3543,126,109,235,1971,1844,3815,28,22,50,2379,2343,4722,175,151,326,2582,2516,5098,31,35,66,6461,6791,13252,490,406,896,6982,7232,14214,20,23,43,4444,4731,9175,271,254,525,4735,5008,9743,9,6,15,2340,3116,5456,206,267,473,2555,3389,5944,112,111,223,18039,19269,37308,1265,1199,2464,19416,20579,39995,5,6,11,517,530,1047,93,67,160,615,603,1218,0,0,0,43,27,70,3,3,6,46,30,76,15,21,36,399,382,781,52,28,80,466,431,897,0,0,0,18,16,34,3,0,3,21,16,37,0,0,0,15,14,29,0,0,0,15,14,29,0,0,0,7,6,13,4,7,11,11,13,24,0,0,0,7,3,10,0,0,0,7,3,10,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0
LGA10200,256,192,448,35179,33122,68301,2790,2199,4989,38225,35513,73738,11,18,29,2641,2553,5194,212,206,418,2864,2777,5641,17,27,44,4246,3882,8128,351,334,685,4614,4243,8857,56,30,86,5578,4966,10544,516,354,870,6150,5350,11500,124,76,200,12417,11278,23695,1016,699,1715,13557,12053,25610,41,29,70,7532,7308,14840,512,408,920,8085,7745,15830,8,11,19,2764,3136,5900,183,199,382,2955,3346,6301,252,181,433,34358,32462,66820,2685,2136,4821,37295,34779,72074,6,8,14,819,662,1481,106,63,169,931,733,1664,0,0,0,90,79,169,9,5,14,99,84,183,11,13,24,651,538,1189,115,64,179,777,615,1392,0,0,0,69,33,102,30,17,47,99,50,149,0,0,0,56,32,88,26,10,36,82,42,124,0,0,0,20,13,33,10,3,13,30,16,46,0,0,0,30,16,46,11,10,21,41,26,67,0,0,0,7,3,10,5,3,8,12,6,18,0,0,0,4,0,4,3,0
LGA10250,555,670,1225,17578,19082,36660,709,679,1388,18842,20431,39273,72,71,143,1028,885,1913,43,39,82,1143,995,2138,133,156,289,2267,2163,4430,93,93,186,2493,2412,4905,108,119,227,1850,1759,3609,81,76,157,2039,1954,3993,132,169,301,3564,4014,7578,155,134,289,3851,4317,8168,89,120,209,5289,5751,11040,197,178,375,5575,6049,11624,22,34,56,3579,4511,8090,140,159,299,3741,4704,8445,522,622,1144,16666,18159,34825,588,597,1185,17776,19378,37154,33,48,81,913,922,1835,123,82,205,1069,1052,2121,0,3,3,24,23,47,4,3,7,28,29,57,59,40,99,619,615,1234,69,47,116,747,702,1449,0,0,0,142,152,294,6,9,15,148,161,309,7,5,12,165,148,313,19,15,34,191,168,359,0,0,0,20,20,40,0,0,0,20,20,40,0,0,0,13,11,24,0,0,0,13,11,24,0,0,0,8,14,22,3,3,6,11,17,28,0,0,0,0,0,0,0,0
LGA10300,68,85,153,1013,965,1978,94,57,151,1175,1107,2282,7,16,23,74,61,135,4,5,9,85,82,167,13,18,31,142,104,246,16,9,25,171,131,302,10,12,22,110,100,210,13,8,21,133,120,253,16,21,37,227,226,453,14,12,26,257,259,516,17,14,31,307,305,612,30,18,48,354,337,691,5,4,9,153,169,322,18,5,23,176,178,354,65,75,140,943,909,1852,84,53,137,1092,1037,2129,4,10,14,70,56,126,10,4,14,84,70,154,0,0,0,10,9,19,0,0,0,10,9,19,4,5,9,48,24,72,8,0,8,60,29,89,3,0,3,53,37,90,12,0,12,68,37,105,3,0,3,0,5,5,0,0,0,3,5,8,0,0,0,17,5,22,0,4,4,17,9,26,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,4,5,9,0,0,0,4,5,9,0,0,0,0,3,3,0,0
LGA10350,639,748,1387,84030,86798,170828,5260,4878,10138,89929,92424,182353,71,69,140,6603,6134,12737,499,416,915,7173,6619,13792,141,148,289,12227,11576,23803,886,778,1664,13254,12502,25756,142,137,279,12062,11673,23735,771,648,1419,12975,12458,25433,136,189,325,22246,23913,46159,1310,1278,2588,23692,25380,49072,113,155,268,20217,20635,40852,1158,984,2142,21488,21774,43262,37,48,85,10675,12868,23543,635,775,1410,11347,13691,25038,615,712,1327,82111,85014,167125,5012,4712,9724,87738,90438,178176,25,35,60,1918,1785,3703,247,168,415,2190,1988,4178,3,0,3,117,119,236,16,6,22,136,125,261,30,37,67,1520,1372,2892,165,146,311,1715,1555,3270,0,0,0,61,25,86,21,8,29,82,33,115,0,0,0,71,46,117,17,5,22,88,51,139,0,0,0,13,4,17,0,3,3,13,7,20,0,0,0,9,14,23,3,0,3,12,14,26,0,0,0,6,11,17,0,0,0,6,11,17,0,0,0,4,0,4,0,3
LGA10470,854,780,1634,17553,17568,35121,920,844,1764,19327,19192,38519,95,114,209,1181,1134,2315,67,53,120,1343,1301,2644,200,188,388,2463,2253,4716,134,114,248,2797,2555,5352,217,170,387,2840,2696,5536,170,133,303,3227,2999,6226,244,189,433,4326,4254,8580,216,186,402,4786,4629,9415,72,95,167,4483,4477,8960,207,195,402,4762,4767,9529,27,23,50,2260,2754,5014,125,164,289,2412,2941,5353,800,736,1536,16675,16820,33495,780,763,1543,18255,18319,36574,55,44,99,878,748,1626,140,80,220,1073,872,1945,3,3,6,33,18,51,5,0,5,41,21,62,43,52,95,868,791,1659,88,48,136,999,891,1890,0,0,0,23,10,33,0,0,0,23,10,33,0,3,3,30,31,61,0,0,0,30,34,64,0,0,0,7,7,14,0,0,0,7,7,14,0,0,0,5,12,17,0,0,0,5,12,17,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0
LGA10550,442,463,905,14569,15128,29697,672,675,1347,15683,16266,31949,44,52,96,781,748,1529,31,28,59,856,828,1684,134,133,267,1776,1688,3464,83,92,175,1993,1913,3906,77,76,153,1500,1381,2881,60,57,117,1637,1514,3151,95,100,195,2523,2868,5391,122,113,235,2740,3081,5821,73,79,152,4844,5135,9979,226,196,422,5143,5410,10553,21,22,43,3144,3308,6452,150,189,339,3315,3519,6834,414,436,850,13448,14095,27543,539,585,1124,14401,15116,29517,30,26,56,1120,1035,2155,132,90,222,1282,1151,2433,5,0,5,53,47,100,0,4,4,58,51,109,27,35,62,530,426,956,69,60,129,626,521,1147,3,3,6,428,437,865,45,42,87,476,482,958,0,0,0,38,28,66,0,0,0,38,28,66,0,0,0,14,10,24,0,0,0,14,10,24,0,0,0,16,10,26,0,0,0,16,10,26,0,0,0,15,11,26,0,0,0,15,11,26,0,0,0,0,4,4,0,0
LGA10600,194,185,379,5685,6098,11783,194,161,355,6073,6444,12517,18,26,44,329,296,625,15,7,22,362,329,691,51,47,98,818,773,1591,33,32,65,902,852,1754,39,31,70,550,574,1124,21,11,32,610,616,1226,38,31,69,994,1202,2196,31,29,60,1063,1262,2325,38,40,78,1855,1986,3841,65,47,112,1958,2073,4031,8,11,19,1140,1268,2408,30,34,64,1178,1313,2491,169,168,337,5313,5744,11057,150,139,289,5632,6051,11683,26,17,43,371,353,724,43,23,66,440,393,833,4,4,8,12,9,21,0,0,0,16,13,29,10,5,15,270,243,513,7,14,21,287,262,549,0,0,0,26,29,55,0,5,5,26,34,60,3,3,6,26,25,51,5,0,5,34,28,62,0,0,0,9,11,20,0,0,0,9,11,20,0,0,0,4,3,7,0,0,0,4,3,7,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,3,0,3,0,0
