region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA10050,51,6535,34,6620,27,1857,18,1902,94,4808,45,4947,39,1317,22,1378,41,998,21,1060,0,85,7,92,31,698,731,1460,283,16298,878,17459,69,8020,37,8126,32,1910,24,1966,99,4752,40,4891,47,1328,20,1395,49,1084,31,1164,0,89,4,93,42,955,620,1617,338,18138,776,19252,120,14555,71,14746,59,3767,42,3868,193,9560,85,9838,86,2645,42,2773,90,2082,52,2224,0,174,11,185,73,1653,1351,3077,621,34436,1654,36711
LGA10110,95,4448,18,4561,29,368,3,400,97,1851,17,1965,73,466,11,550,59,343,3,405,5,34,0,39,30,280,436,746,388,7790,488,8666,149,5254,31,5434,46,395,5,446,130,1902,22,2054,81,483,5,569,39,370,8,417,3,37,0,40,49,344,477,870,497,8785,548,9830,244,9702,49,9995,75,763,8,846,227,3753,39,4019,154,949,16,1119,98,713,11,822,8,71,0,79,79,624,913,1616,885,16575,1036,18496
LGA10150,46,10619,89,10754,6,509,3,518,14,1751,29,1794,4,470,3,477,6,836,12,854,0,203,7,210,4,671,990,1665,80,15059,1133,16272,38,11245,71,11354,7,455,4,466,25,1941,24,1990,4,557,10,571,8,1130,13,1151,0,324,12,336,3,791,942,1736,85,16443,1076,17604,84,21864,160,22108,13,964,7,984,39,3692,53,3784,8,1027,13,1048,14,1966,25,2005,0,527,19,546,7,1462,1932,3401,165,31502,2209,33876
LGA10200,22,16799,186,17007,8,939,26,973,24,3242,51,3317,8,984,16,1008,6,1786,40,1832,0,968,22,990,155,2275,1862,4292,223,26993,2203,29419,28,15662,148,15838,6,820,16,842,21,3062,41,3124,9,972,17,998,10,2322,33,2365,0,1335,28,1363,65,1264,1357,2686,139,25437,1640,27216,50,32461,334,32845,14,1759,42,1815,45,6304,92,6441,17,1956,33,2006,16,4108,73,4197,0,2303,50,2353,220,3539,3219,6978,362,52430,3843,56635
LGA10250,69,5661,46,5776,35,908,5,948,101,4372,20,4493,32,1199,17,1248,37,884,11,932,8,27,0,35,35,532,470,1037,317,13583,569,14469,92,6376,43,6511,55,956,5,1016,124,4990,36,5150,55,1346,16,1417,42,915,20,977,3,30,0,33,34,735,416,1185,405,15348,536,16289,161,12037,89,12287,90,1864,10,1964,225,9362,56,9643,87,2545,33,2665,79,1799,31,1909,11,57,0,68,69,1267,886,2222,722,28931,1105,30758
LGA10300,7,195,0,202,3,92,3,98,8,203,0,211,14,99,0,113,12,122,0,134,0,5,0,5,3,43,72,118,47,759,75,881,10,263,0,273,6,107,0,113,10,187,4,201,8,63,0,71,6,89,0,95,0,16,0,16,11,41,40,92,51,766,44,861,17,458,0,475,9,199,3,211,18,390,4,412,22,162,0,184,18,211,0,229,0,21,0,21,14,84,112,210,98,1525,119,1742
LGA10350,105,31620,335,32060,31,2834,43,2908,112,14003,172,14287,63,3616,41,3720,27,4771,72,4870,4,1546,28,1578,33,3391,3126,6550,375,61781,3817,65973,148,32795,316,33259,26,2724,32,2782,167,14270,136,14573,56,4230,39,4325,43,5864,94,6001,5,2300,38,2343,44,3561,2971,6576,489,65744,3626,69859,253,64415,651,65319,57,5558,75,5690,279,28273,308,28860,119,7846,80,8045,70,10635,166,10871,9,3846,66,3921,77,6952,6097,13126,864,127525,7443,135832
LGA10470,101,5447,30,5578,31,759,6,796,99,4199,35,4333,62,1026,10,1098,34,710,14,758,4,47,0,51,167,981,607,1755,498,13169,702,14369,125,6477,33,6635,37,710,3,750,135,3997,32,4164,69,1074,9,1152,40,647,13,700,0,39,4,43,34,544,575,1153,440,13488,669,14597,226,11924,63,12213,68,1469,9,1546,234,8196,67,8497,131,2100,19,2250,74,1357,27,1458,4,86,4,94,201,1525,1182,2908,938,26657,1371,28966
LGA10550,44,4137,39,4220,18,1027,9,1054,75,3781,35,3891,41,1069,10,1120,34,867,12,913,4,49,0,53,20,500,447,967,236,11430,552,12218,50,4763,47,4860,15,1165,9,1189,77,3790,35,3902,38,990,19,1047,32,747,13,792,3,19,0,22,33,611,428,1072,248,12085,551,12884,94,8900,86,9080,33,2192,18,2243,152,7571,70,7793,79,2059,29,2167,66,1614,25,1705,7,68,0,75,53,1111,875,2039,484,23515,1103,25102
LGA10600,23,1594,9,1626,13,303,0,316,41,1456,10,1507,11,458,5,474,14,307,9,330,0,17,0,17,8,172,110,290,110,4307,143,4560,29,2035,15,2079,6,319,4,329,27,1450,12,1489,18,455,3,476,11,281,7,299,0,12,0,12,11,223,77,311,102,4775,118,4995,52,3629,24,3705,19,622,4,645,68,2906,22,2996,29,913,8,950,25,588,16,629,0,29,0,29,19,395,187,601,212,9082,261,9555
LGA10650,8,781,5,794,3,398,6,407,10,848,10,868,4,363,8,375,6,355,3,364,0,11,3,14,7,201,107,315,38,2957,142,3137,12,1008,3,1023,5,438,0,443,15,801,12,828,5,295,0,300,4,276,10,290,0,9,0,9,0,227,106,333,41,3054,131,3226,20,1789,8,1817,8,836,6,850,25,1649,22,1696,9,658,8,675,10,631,13,654,0,20,3,23,7,428,213,648,79,6011,273,6363
LGA10750,392,52923,456,53771,164,5206,67,5437,664,24354,245,25263,334,6098,79,6511,249,5578,85,5912,18,914,23,955,331,4882,3652,8865,2152,99955,4607,106714,549,55822,502,56873,190,4783,59,5032,805,24291,231,25327,386,6715,95,7196,244,6792,124,7160,17,1536,37,1590,194,4778,3268,8240,2385,104717,4316,111418,941,108745,958,110644,354,9989,126,10469,1469,48645,476,50590,720,12813,174,13707,493,12370,209,13072,35,2450,60,2545,525,9660,6920,17105,4537,204672,8923,218132
LGA10800,10,508,6,524,8,130,0,138,23,847,5,875,9,272,4,285,10,201,0,211,0,9,0,9,7,89,59,155,67,2056,74,2197,16,693,0,709,4,126,0,130,24,768,10,802,10,230,3,243,3,163,0,166,0,4,0,4,3,89,40,132,60,2073,53,2186,26,1201,6,1233,12,256,0,268,47,1615,15,1677,19,502,7,528,13,364,0,377,0,13,0,13,10,178,99,287,127,4129,127,4383
LGA10850,3,738,3,744,4,143,0,147,19,926,4,949,11,257,4,272,11,214,3,228,0,4,0,4,6,108,115,229,54,2390,129,2573,11,951,3,965,6,152,0,158,27,845,17,889,6,227,3,236,0,151,0,151,0,7,0,7,0,112,86,198,50,2445,109,2604,14,1689,6,1709,10,295,0,305,46,1771,21,1838,17,484,7,508,11,365,3,379,0,11,0,11,6,220,201,427,104,4835,238,5177
LGA10900,127,14216,88,14431,25,1544,10,1579,147,7176,71,7394,33,1419,17,1469,21,707,16,744,3,72,4,79,22,726,1286,2034,378,25860,1492,27730,162,15984,102,16248,40,1532,15,1587,130,7723,71,7924,48,1631,18,1697,16,825,14,855,0,78,8,86,19,967,1221,2207,415,28740,1449,30604,289,30200,190,30679,65,3076,25,3166,277,14899,142,15318,81,3050,35,3166,37,1532,30,1599,3,150,12,165,41,1693,2507,4241,793,54600,2941,58334
LGA10950,11,229,3,243,10,57,3,70,38,346,6,390,17,99,0,116,22,96,0,118,0,8,0,8,15,47,65,127,113,882,77,1072,27,318,4,349,13,54,0,67,47,301,4,352,16,87,0,103,8,58,4,70,0,5,0,5,9,50,55,114,120,873,67,1060,38,547,7,592,23,111,3,137,85,647,10,742,33,186,0,219,30,154,4,188,0,13,0,13,24,97,120,241,233,1755,144,2132
LGA11000,0,262,3,265,3,58,3,64,4,303,0,307,3,111,3,117,4,118,0,122,0,7,3,10,0,47,25,72,14,906,37,957,3,327,3,333,3,69,0,72,3,271,3,277,3,90,3,96,3,92,3,98,0,0,0,0,0,45,13,58,15,894,25,934,3,589,6,598,6,127,3,136,7,574,3,584,6,201,6,213,7,210,3,220,0,7,3,10,0,92,38,130,29,1800,62,1891
LGA11050,3,279,0,282,0,48,3,51,4,301,3,308,0,98,0,98,0,105,0,105,0,6,0,6,4,37,25,66,11,874,31,916,4,326,0,330,0,51,0,51,6,286,5,297,0,91,8,99,5,76,0,81,0,3,0,3,0,42,22,64,15,875,35,925,7,605,0,612,0,99,3,102,10,587,8,605,0,189,8,197,5,181,0,186,0,9,0,9,4,79,47,130,26,1749,66,1841
LGA11100,57,8411,78,8546,16,647,12,675,67,2576,39,2682,14,619,8,641,12,881,11,904,0,205,0,205,18,731,825,1574,184,14070,973,15227,71,8607,79,8757,19,536,5,560,59,2514,30,2603,29,720,13,762,14,1214,23,1251,0,314,5,319,24,842,737,1603,216,14747,892,15855,128,17018,157,17303,35,1183,17,1235,126,5090,69,5285,43,1339,21,1403,26,2095,34,2155,0,519,5,524,42,1573,1562,3177,400,28817,1865,31082
LGA11150,32,225,3,260,10,49,0,59,59,204,4,267,55,66,0,121,54,65,3,122,5,12,0,17,30,38,131,199,245,659,141,1045,51,307,3,361,25,37,0,62,93,164,5,262,54,52,0,106,32,33,0,65,5,4,0,9,42,39,97,178,302,636,105,1043,83,532,6,621,35,86,0,121,152,368,9,529,109,118,0,227,86,98,3,187,10,16,0,26,72,77,228,377,547,1295,246,2088
LGA11200,39,92,3,134,13,8,0,21,101,90,3,194,72,34,3,109,81,31,0,112,8,3,0,11,13,14,26,53,327,272,35,634,42,116,0,158,24,24,0,48,112,65,3,180,68,14,0,82,72,21,0,93,6,0,0,6,18,9,29,56,342,249,32,623,81,208,3,292,37,32,0,69,213,155,6,374,140,48,3,191,153,52,0,205,14,3,0,17,31,23,55,109,669,521,67,1257
LGA11250,44,1402,12,1458,22,430,10,462,128,2348,24,2500,48,791,11,850,43,745,14,802,3,32,3,38,87,454,353,894,375,6202,427,7004,71,1635,8,1714,44,390,0,434,152,2368,29,2549,68,945,20,1033,53,696,8,757,3,21,0,24,50,625,410,1085,441,6680,475,7596,115,3037,20,3172,66,820,10,896,280,4716,53,5049,116,1736,31,1883,96,1441,22,1559,6,53,3,62,137,1079,763,1979,816,12882,902,14600
LGA11300,22,8602,108,8732,3,367,4,374,10,1293,15,1318,3,338,7,348,0,653,8,661,0,212,0,212,3,614,674,1291,41,12079,816,12936,16,8771,74,8861,0,311,4,315,12,1492,13,1517,7,389,5,401,8,909,14,931,0,318,4,322,3,713,531,1247,46,12903,645,13594,38,17373,182,17593,3,678,8,689,22,2785,28,2835,10,727,12,749,8,1562,22,1592,0,530,4,534,6,1327,1205,2538,87,24982,1461,26530
LGA11350,51,5336,34,5421,17,793,8,818,43,2654,26,2723,15,590,10,615,6,409,15,430,3,23,3,29,6,311,643,960,141,10116,739,10996,67,6100,44,6211,13,766,3,782,49,2771,27,2847,7,587,8,602,11,420,11,442,3,38,4,45,6,331,515,852,156,11013,612,11781,118,11436,78,11632,30,1559,11,1600,92,5425,53,5570,22,1177,18,1217,17,829,26,872,6,61,7,74,12,642,1158,1812,297,21129,1351,22777
LGA11400,17,1426,10,1453,5,270,0,275,39,1758,14,1811,13,484,4,501,21,380,0,401,0,13,0,13,7,178,97,282,102,4509,125,4736,23,1890,8,1921,8,279,6,293,43,1497,15,1555,13,382,0,395,6,271,3,280,0,15,0,15,9,214,102,325,102,4548,134,4784,40,3316,18,3374,13,549,6,568,82,3255,29,3366,26,866,4,896,27,651,3,681,0,28,0,28,16,392,199,607,204,9057,259,9520
LGA11450,103,7987,41,8131,22,1237,9,1268,108,6653,45,6806,27,1368,11,1406,28,828,14,870,3,97,0,100,6,506,653,1165,297,18676,773,19746,105,9194,54,9353,28,1107,11,1146,112,6441,46,6599,27,1504,15,1546,19,909,9,937,3,135,4,142,16,620,568,1204,310,19910,707,20927,208,17181,95,17484,50,2344,20,2414,220,13094,91,13405,54,2872,26,2952,47,1737,23,1807,6,232,4,242,22,1126,1221,2369,607,38586,1480,40673
LGA11500,264,21647,190,22101,97,3063,26,3186,376,14859,147,15382,167,3874,52,4093,103,2456,41,2600,5,390,15,410,72,2194,2147,4413,1084,48483,2618,52185,406,23437,185,24028,104,2917,31,3052,477,15074,125,15676,247,4357,44,4648,119,2925,57,3101,5,601,8,614,97,2694,2135,4926,1455,52005,2585,56045,670,45084,375,46129,201,5980,57,6238,853,29933,272,31058,414,8231,96,8741,222,5381,98,5701,10,991,23,1024,169,4888,4282,9339,2539,100488,5203,108230
