region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA10050,36,34,70,35,36,71,35,47,82,42,46,88,30,64,94,26,38,64,31,19,50,43,27,70,30,41,71,308,352,660
LGA10110,30,39,69,44,65,109,93,113,206,66,86,152,47,87,134,34,51,85,25,20,45,40,35,75,42,41,83,421,537,958
LGA10150,3,3,6,13,5,18,12,12,24,3,13,16,9,7,16,11,8,19,7,14,21,23,24,47,3,3,6,84,89,173
LGA10200,7,14,21,7,7,14,12,12,24,3,10,13,10,10,20,9,8,17,7,6,13,19,19,38,156,62,218,230,148,378
LGA10250,28,27,55,42,54,96,74,61,135,44,79,123,43,77,120,29,40,69,25,20,45,39,46,85,29,36,65,353,440,793
LGA10300,6,6,12,4,3,7,8,13,21,3,11,14,5,8,13,11,9,20,3,0,3,4,0,4,3,3,6,47,53,100
LGA10350,54,53,107,45,50,95,47,82,129,37,81,118,51,78,129,39,69,108,35,35,70,86,52,138,33,28,61,427,528,955
LGA10470,53,42,95,50,67,117,70,86,156,44,64,108,36,66,102,35,52,87,34,21,55,60,46,106,179,36,215,561,480,1041
LGA10550,25,18,43,44,30,74,48,52,100,39,45,84,24,52,76,17,16,33,20,11,31,28,18,46,22,35,57,267,277,544
LGA10600,14,14,28,19,19,38,15,19,34,22,20,42,12,19,31,12,11,23,15,4,19,12,3,15,3,3,6,124,112,236
LGA10650,5,7,12,4,7,11,6,9,15,6,10,16,5,4,9,7,0,7,6,0,6,4,5,9,6,0,6,49,42,91
LGA10750,280,259,539,249,286,535,345,416,761,240,384,624,218,390,608,212,278,490,181,139,320,310,236,546,345,198,543,2380,2586,4966
LGA10800,12,4,16,6,11,17,8,10,18,8,5,13,12,13,25,11,8,19,3,4,7,11,7,18,5,3,8,76,65,141
LGA10850,4,12,16,8,8,16,11,5,16,3,3,6,8,4,12,7,6,13,9,4,13,7,8,15,3,6,9,60,56,116
LGA10900,42,49,91,44,50,94,51,56,107,36,68,104,38,82,120,41,45,86,37,35,72,109,63,172,16,20,36,414,468,882
LGA10950,14,11,25,7,14,21,21,21,42,11,19,30,13,24,37,14,16,30,6,5,11,16,8,24,20,11,31,122,129,251
LGA11000,0,0,0,4,0,4,0,0,0,0,5,5,4,4,8,0,0,0,4,0,4,3,3,6,0,3,3,15,15,30
LGA11050,0,5,5,3,4,7,3,0,3,3,0,3,0,6,6,3,0,3,3,0,3,0,0,0,0,0,0,15,15,30
LGA11100,14,20,34,15,21,36,19,26,45,25,28,53,24,37,61,24,28,52,15,17,32,47,42,89,10,14,24,193,233,426
LGA11150,20,17,37,29,23,52,34,42,76,34,31,65,17,48,65,29,41,70,16,20,36,29,35,64,50,56,106,258,313,571
LGA11200,38,22,60,53,47,100,87,87,174,53,79,132,34,36,70,27,38,65,18,21,39,16,19,35,18,21,39,344,370,714
LGA11250,35,40,75,34,41,75,62,86,148,35,80,115,44,71,115,25,39,64,18,24,42,49,47,96,96,49,145,398,477,875
LGA11300,3,7,10,6,5,11,6,5,11,5,4,9,5,8,13,8,5,13,0,4,4,7,11,18,4,6,10,44,55,99
LGA11350,23,11,34,15,25,40,22,21,43,24,37,61,16,30,46,14,14,28,9,13,22,19,17,36,12,6,18,154,174,328
LGA11400,22,19,41,15,16,31,12,16,28,11,18,29,9,14,23,20,15,35,4,3,7,14,10,24,6,11,17,113,122,235
LGA11450,46,33,79,23,42,65,22,39,61,20,28,48,20,43,63,34,42,76,38,25,63,111,66,177,16,22,38,330,340,670
LGA11500,135,140,275,139,203,342,136,235,371,118,223,341,99,238,337,149,177,326,127,103,230,201,178,379,100,99,199,1204,1596,2800
LGA11520,10,11,21,9,5,14,8,15,23,6,11,17,9,11,20,12,8,20,5,12,17,29,39,68,3,5,8,91,117,208
LGA11550,34,21,55,28,24,52,24,29,53,28,47,75,17,42,59,26,33,59,22,25,47,62,56,118,28,30,58,269,307,576
LGA11600,7,6,13,6,8,14,3,10,13,7,12,19,7,7,14,7,5,12,3,3,6,4,3,7,3,3,6,47,57,104
LGA11700,21,13,34,37,39,76,55,63,118,37,58,95,27,40,67,10,19,29,14,8,22,20,19,39,43,12,55,264,271,535
LGA11720,63,66,129,60,105,165,94,83,177,67,141,208,73,127,200,65,71,136,47,39,86,157,50,207,156,62,218,782,744,1526
LGA11730,58,69,127,112,111,223,165,168,333,118,171,289,69,144,213,59,66,125,47,43,90,69,63,132,153,82,235,850,917,1767
LGA11750,22,30,52,12,21,33,31,50,81,17,22,39,16,20,36,19,14,33,11,4,15,64,25,89,14,6,20,206,192,398
LGA11800,84,76,160,92,118,210,150,143,293,82,135,217,93,181,274,94,89,183,43,53,96,106,92,198,65,57,122,809,944,1753
LGA11860,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,3,0,3,0,3,3,0,3,3,0,0,0,6,12,18
LGA12000,0,4,4,3,5,8,8,3,11,3,3,6,3,3,6,0,5,5,3,3,6,6,3,9,0,0,0,26,29,55
LGA12050,7,4,11,9,11,20,9,14,23,7,15,22,4,18,22,4,5,9,4,0,4,16,8,24,30,3,33,90,78,168
LGA12150,29,31,60,32,35,67,88,65,153,47,76,123,35,82,117,36,36,72,24,25,49,25,19,44,38,40,78,354,409,763
LGA12200,7,12,19,8,11,19,15,27,42,13,13,26,7,15,22,13,13,26,3,5,8,11,6,17,5,0,5,82,102,184
LGA12300,6,3,9,4,8,12,5,9,14,6,4,10,11,7,18,8,3,11,0,3,3,0,3,3,0,4,4,40,44,84
LGA12350,24,20,44,33,35,68,48,48,96,31,38,69,25,42,67,32,26,58,5,8,13,17,19,36,55,25,80,270,261,531
LGA12500,8,7,15,5,5,10,16,12,28,18,14,32,5,16,21,0,11,11,3,0,3,9,3,12,17,11,28,81,79,160
LGA12600,138,129,267,144,178,322,188,236,424,145,232,377,141,286,427,164,172,336,109,97,206,238,170,408,117,142,259,1384,1642,3026
LGA12700,7,11,18,9,9,18,12,9,21,9,15,24,11,12,23,19,11,30,0,6,6,14,4,18,6,4,10,87,81,168
LGA12750,38,45,83,87,62,149,117,128,245,75,85,160,53,97,150,36,53,89,29,23,52,39,48,87,57,58,115,531,599,1130
LGA12850,45,46,91,39,42,81,67,71,138,49,68,117,32,63,95,46,49,95,44,32,76,58,41,99,42,35,77,422,447,869
LGA12900,14,19,33,39,40,79,38,46,84,27,55,82,24,43,67,40,37,77,17,9,26,38,13,51,16,19,35,253,281,534
LGA12950,20,14,34,16,21,37,29,31,60,21,27,48,15,33,48,19,14,33,13,8,21,12,11,23,15,17,32,160,176,336
LGA13010,6,7,13,29,18,47,28,28,56,19,28,47,18,22,40,12,10,22,5,7,12,12,14,26,53,18,71,182,152,334
LGA13050,8,5,13,9,6,15,7,16,23,7,22,29,9,18,27,8,7,15,5,0,5,9,4,13,6,0,6,68,78,146
