region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
LGA10050,159,4320,4479,240,11818,12058,15,537,552,46,760,806,301,13115,13416,43,677,720,503,18112,18615
LGA10110,180,1682,1862,257,5409,5666,30,314,344,51,359,410,338,6082,6420,37,271,308,555,8035,8590
LGA10150,23,2594,2617,84,11156,11240,4,406,410,10,529,539,98,12091,12189,5,485,490,126,15170,15296
LGA10200,28,3856,3884,81,15825,15906,5,503,508,7,714,721,93,17042,17135,8,1052,1060,129,21950,22079
LGA10250,148,3429,3577,311,10125,10436,8,513,521,29,510,539,348,11148,11496,39,485,524,535,15062,15597
LGA10300,30,248,278,33,425,458,0,22,22,3,29,32,36,476,512,3,36,39,69,760,829
LGA10350,156,13144,13300,424,37724,38148,17,1486,1503,33,1580,1613,474,40790,41264,40,2632,2672,670,56566,57236
LGA10470,160,2947,3107,333,8654,8987,21,464,485,57,561,618,411,9679,10090,42,417,459,613,13043,13656
LGA10550,118,2968,3086,194,7990,8184,12,556,568,32,373,405,238,8919,9157,21,413,434,377,12300,12677
LGA10600,60,1164,1224,101,3184,3285,4,171,175,8,159,167,113,3514,3627,6,152,158,179,4830,5009
LGA10650,19,990,1009,48,1848,1896,3,120,123,4,92,96,55,2060,2115,4,117,121,78,3167,3245
LGA10750,913,15825,16738,1924,65794,67718,73,2092,2165,185,2950,3135,2182,70836,73018,198,3704,3902,3293,90365,93658
