region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA10050,12,182,194,20,267,287,27,599,626,43,1463,1506,73,2014,2087,56,1855,1911,46,1581,1627,40,1539,1579,34,1309,1343,37,2092,2129,18,1497,1515,12,929,941,12,1025,1037,42,1220,1262,31,541,572,503,18113,18616
LGA10110,4,97,101,23,149,172,28,277,305,43,619,662,75,875,950,85,837,922,54,717,771,40,690,730,26,586,612,55,877,932,24,581,605,14,426,440,10,490,500,40,617,657,33,198,231,554,8036,8590
LGA10150,0,269,269,0,255,255,4,371,375,7,767,774,11,1116,1127,6,1076,1082,13,1050,1063,13,1237,1250,7,1145,1152,16,1810,1826,15,1271,1286,4,1412,1416,14,2003,2017,11,1093,1104,4,295,299,125,15170,15295
LGA10200,3,552,555,4,457,461,9,619,628,3,1059,1062,18,1992,2010,6,2088,2094,4,1782,1786,5,1897,1902,9,1617,1626,17,2403,2420,9,1722,1731,11,1465,1476,10,1863,1873,13,1798,1811,8,635,643,129,21949,22078
LGA10250,3,169,172,9,195,204,22,428,450,39,1282,1321,71,1932,2003,68,1722,1790,52,1542,1594,40,1278,1318,33,1135,1168,53,1512,1565,25,940,965,16,624,640,18,761,779,58,1140,1198,28,402,430,535,15062,15597
LGA10300,3,11,14,0,7,7,3,27,30,6,62,68,14,78,92,11,93,104,8,78,86,3,70,73,4,57,61,3,86,89,7,40,47,0,27,27,0,28,28,5,53,58,3,42,45,70,759,829
LGA10350,13,834,847,9,1142,1151,40,1997,2037,36,3970,4006,59,5806,5865,61,5268,5329,45,4470,4515,60,4602,4662,43,3932,3975,66,6063,6129,53,4473,4526,46,3249,3295,45,4545,4590,68,4399,4467,27,1816,1843,671,56566,57237
LGA10470,11,108,119,14,180,194,23,406,429,45,945,990,67,1335,1402,71,1185,1256,52,1072,1124,54,1046,1100,45,980,1025,63,1535,1598,44,1141,1185,17,871,888,24,953,977,59,937,996,24,350,374,613,13044,13657
LGA10550,0,136,136,13,244,257,21,425,446,30,1131,1161,54,1751,1805,46,1475,1521,29,1358,1387,45,1082,1127,22,844,866,23,1144,1167,10,683,693,9,375,384,8,361,369,39,915,954,29,374,403,378,12298,12676
LGA10600,0,61,61,5,104,109,15,185,200,13,467,480,27,758,785,25,601,626,20,516,536,14,396,410,15,307,322,21,393,414,4,224,228,3,129,132,0,137,137,18,412,430,0,139,139,180,4829,5009
