region_id,F_IS_NS_25_34_PD_GD_GCL,F_IS_NS_25_34_BDL,F_IS_NS_25_34_ADip_DipL,F_IS_NS_25_34_CL_nfd,F_IS_NS_25_34_Crt_III_an_IV_L,F_IS_NS_25_34_Ct_I_II,F_IS_NS_25_34_LoE_NS,F_IS_NS_25_34_Tot,F_IS_NS_35_44_PD_GD_GCL,F_IS_NS_35_44_BDL,F_IS_NS_35_44_ADip_DipL,F_IS_NS_35_44_CL_nfd,F_IS_NS_35_44_Crt_III_an_IV_L,F_IS_NS_35_44_Ct_I_II,F_IS_NS_35_44_LoE_NS,F_IS_NS_35_44_Tot,F_IS_NS_45_54_PD_GD_GCL,F_IS_NS_45_54_BDL,F_IS_NS_45_54_ADip_DipL,F_IS_NS_45_54_CL_nfd,F_IS_NS_45_54_Crt_III_an_IV_L,F_IS_NS_45_54_Ct_I_II,F_IS_NS_45_54_Lev_of_ed_NS,F_IS_NS_45_54_Tot,F_IS_NS_55_64_PgDe_GdDp_GdC,F_IS_NS_55_64_BachelDegre_L,F_IS_NS_55_64_ADip_DipL,F_IS_NS_55_64_Certi_Level_nfd,F_IS_NS_55_64_Crt_III_and_IV,F_IS_NS_55_64_Crt_I_and_II,F_IS_NS_55_64_Lev_of_ed_NS,F_IS_NS_55_64_Tot,F_IS_NS_65ov_PtgDe_GdDp_GdCt,F_IS_NS_65ov_BDL,F_IS_NS_65ov_AdDip_and_DipL,F_IS_NS_65ov_CL_nfd,F_IS_NS_65ov_Ct_III_IV,F_IS_NS_65ov_Ct_I_II,F_IS_NS_65ov_Lev_of_ed_NS,F_IS_NS_65ov_Tot,F_IS_NS_Tot_PgDe_GdDp_GdCtL,F_IS_NS_Tot_BDL,F_IS_NS_Tot_ADip_DipL,F_IS_NS_Tot_CL_nfd,F_IS_NS_Tot_Ct_III_and_IV_L,F_IS_NS_Tot_Ct_I_and_II_L,F_IS_NS_Tot_Lev_of_ed_NS,F_IS_NS_Tot_Tot,F_T_15_19_PD_GD_GCL,F_T_15_19_BDL,F_T_15_19_ADip_DipL,F_T_15_19_CL_nfd,F_T_15_19_Ct_III_IV,F_T_15_19_Ct_I_II,F_T_15_19_LoE_NS,F_T_15_19_Tot,F_T_20_24_PD_GD_GCL,F_T_20_24_BDL,F_T_20_24_ADip_DipL,F_T_20_24_CL_nfd,F_T_20_24_Ct_III_IV,F_T_20_24_Ct_I_II,F_T_20_24_LoE_NS,F_T_20_24_Tot,F_T_25_34_PD_GD_GCL,F_T_25_34_BDL,F_T_25_34_ADip_DipL,F_T_25_34_CL_nfd,F_T_25_34_Ct_III_IV,F_T_25_34_Ct_I_II,F_T_25_34_LoE_NS,F_T_25_34_Tot,F_T_35_44_PD_GD_GCL,F_T_35_44_BDL,F_T_35_44_ADip_DipL,F_T_35_44_CL_nfd,F_T_35_44_Ct_III_IV,F_T_35_44_Ct_I_II,F_T_35_44_LoE_NS,F_T_35_44_Tot,F_T_45_54_PD_GD_GCL,F_T_45_54_BDL,F_T_45_54_ADip_DipL,F_T_45_54_CL_nfd,F_T_45_54_Ct_III_IV,F_T_45_54_Ct_I_II,F_T_45_54_LoE_NS,F_T_45_54_Tot,F_T_55_64_PD_GD_GCL,F_T_55_64_BDL,F_T_55_64_ADip_DipL,F_T_55_64_CL_nfd,F_T_55_64_Ct_III_IV,F_T_55_64_Ct_I_II,F_T_55_64_LoE_NS,F_T_55_64_Tot,F_T_65ov_PtgdDe_GdDp_GdCt,F_T_65ov_BDL,F_T_65ov_ADip_DipL,F_T_65ov_CL_nfd,F_T_65ov_Ct_III_IV,F_T_65ov_Ct_I_II,F_T_65ov_LoE_NS,F_T_65ov_Tot,F_T_Tot_PD_GD_GCL,F_T_Tot_BDL,F_T_Tot_ADip_DipL,F_T_Tot_CL_nfd,F_T_Tot_Ct_III_IV,F_T_Tot_Ct_I_II,F_T_Tot_LoE_NS,F_T_Tot_Tot,P_Ind_15_19_PD_GD_GCL,P_Ind_15_19_BDL,P_Ind_15_19_ADip_DipL,P_Ind_15_19_CL_nfd,P_Ind_15_19_Ct_III_IV,P_Ind_15_19_Ct_I_II,P_Ind_15_19_LoE_NS,P_Ind_15_19_Tot,P_Ind_20_24_PD_GD_GCL,P_Ind_20_24_BDL,P_Ind_20_24_ADip_DipL,P_Ind_20_24_CL_nfd,P_Ind_20_24_Ct_III_IV,P_Ind_20_24_Ct_I_II,P_Ind_20_24_LoE_NS,P_Ind_20_24_Tot,P_Ind_25_34_PD_GD_GCL,P_Ind_25_34_BDL,P_Ind_25_34_ADip_DipL,P_Ind_25_34_CL_nfd,P_Ind_25_34_Ct_III_IV,P_Ind_25_34_Ct_I_II,P_Ind_25_34_LoE_NS,P_Ind_25_34_Tot,P_Ind_35_44_PD_GD_GCL,P_Ind_35_44_BDL,P_Ind_35_44_ADip_DipL,P_Ind_35_44_CL_nfd,P_Ind_35_44_Ct_III_IV,P_Ind_35_44_Ct_I_II,P_Ind_35_44_LoE_NS,P_Ind_35_44_Tot,P_Ind_45_54_PD_GD_GCL,P_Ind_45_54_BDL,P_Ind_45_54_ADip_DipL,P_Ind_45_54_CL_nfd,P_Ind_45_54_Ct_III_IV,P_Ind_45_54_Ct_I_II,P_Ind_45_54_LoE_NS,P_Ind_45_54_Tot,P_Ind_55_64_PD_GD_GCL,P_Ind_55_64_BDL,P_Ind_55_64_ADip_DipL,P_Ind_55_64_CL_nfd,P_Ind_55_64_Ct_III_IV,P_Ind_55_64_Ct_I_II,P_Ind_55_64_LoE_NS,P_Ind_55_64_Tot,P_Ind_65ov_PtgdDe_GdDp_GdCt,P_Ind_65ov_BDL,P_Ind_65ov_ADip_DipL,P_Ind_65ov_CL_nfd,P_Ind_65ov_Ct_III_IV,P_Ind_65ov_Ct_I_II,P_Ind_65ov_LoE_NS,P_Ind_65ov_Tot,P_Ind_Tot_PD_GD_GCL,P_Ind_Tot_BDL,P_Ind_Tot_ADip_DipL,P_Ind_Tot_CL_nfd,P_Ind_Tot_Ct_III_IV,P_Ind_Tot_Ct_I_II,P_Ind_Tot_LoE_NS,P_Ind_Tot_Tot,P_NonI_15_19_PtgdDe_GdDp_GdCt,P_NonI_15_19_BDL,P_NonI_15_19_ADip_DipL,P_NonI_15_19_CL_nfd,P_NonI_15_19_Ct_III_IV,P_NonI_15_19_Ct_I_II,P_NonI_15_19_LoE_NS,P_NonI_15_19_Tot,P_NonI_20_24_PtgdDe_GdDp_GdCt,P_NonI_20_24_BDL,P_NonI_20_24_ADip_DipL,P_NonI_20_24_CL_nfd,P_NonI_20_24_Ct_III_IV,P_NonI_20_24_Ct_I_II,P_NonI_20_24_LoE_NS,P_NonI_20_24_Tot,P_NonI_25_34_PtgdDe_GdDp_GdCt,P_NonI_25_34_BDL,P_NonI_25_34_ADip_DipL,P_NonI_25_34_CL_nfd,P_NonI_25_34_Ct_III_IV,P_NonI_25_34_Ct_I_II,P_NonI_25_34_LoE_NS,P_NonI_25_34_Tot
LGA10050,0,3,0,0,3,0,85,91,0,3,0,0,3,0,92,98,0,3,3,3,0,0,75,84,3,0,0,0,3,0,96,102,0,3,0,3,3,0,168,177,3,12,3,6,15,0,630,669,0,0,15,10,98,41,141,305,11,193,118,28,329,93,119,891,182,733,333,63,557,99,193,2160,205,581,346,81,513,80,252,2058,215,477,397,92,420,75,330,2006,149,300,283,69,275,66,335,1477,48,191,188,54,117,18,1007,1623,810,2475,1680,397,2309,472,2377,10520,0,0,3,0,6,0,12,21,0,3,4,0,18,5,13,43,0,0,9,6,24,14,16,69,5,5,9,0,17,3,14,53,0,3,4,0,13,4,19,43,0,7,3,0,6,0,15,31,0,0,0,0,6,0,14,20,5,18,32,6,90,26,103,280,0,0,12,10,162,62,201,447,18,271,173,43,806,140,90,1541,304,1140,507,84,1482,148,194,3859
LGA10110,0,0,0,0,0,0,67,67,0,3,0,0,0,0,75,78,3,3,3,0,0,0,58,67,0,0,0,0,0,0,47,47,3,3,0,3,3,0,88,100,6,9,3,3,3,0,474,498,0,0,3,13,55,31,107,209,14,130,65,30,143,40,131,553,117,364,89,19,206,31,109,935,196,316,164,42,174,26,135,1053,254,325,208,47,161,34,176,1205,194,243,144,50,97,32,151,911,102,199,162,54,44,11,419,991,877,1577,835,255,880,205,1228,5857,0,0,0,4,6,6,23,39,0,0,3,0,19,12,10,44,0,4,13,6,35,5,16,79,5,8,12,3,26,8,23,85,0,4,15,3,16,0,32,70,0,7,10,3,5,3,16,44,0,0,3,0,0,0,9,12,5,23,56,19,107,34,129,373,0,0,6,13,88,43,81,231,14,206,109,36,287,53,68,773,214,619,139,26,480,55,79,1612
LGA10150,4,11,4,0,4,0,214,237,3,3,0,3,0,0,154,163,4,0,0,0,0,0,127,131,0,0,0,3,0,0,99,102,0,0,4,0,0,0,239,243,11,17,11,6,4,0,961,1010,3,4,7,4,14,4,98,134,58,423,171,18,92,19,150,931,732,1559,413,46,225,45,357,3377,586,1031,452,61,192,48,290,2660,457,674,405,61,182,27,323,2129,269,365,194,60,109,15,263,1275,72,156,126,40,79,7,833,1313,2177,4212,1768,290,893,165,2314,11819,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,15,3,6,3,0,6,3,6,27,3,6,7,0,6,3,0,25,0,7,8,0,0,0,0,15,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,19,18,0,18,12,15,88,3,4,11,4,28,10,127,187,85,686,386,29,212,33,134,1565,1442,2766,777,81,603,72,278,6019
LGA10200,6,8,8,3,0,0,373,398,3,3,4,3,3,0,235,251,0,3,3,0,6,0,212,224,0,0,0,0,0,0,120,120,0,4,4,0,0,0,163,171,9,25,31,6,16,0,1384,1471,5,11,27,7,46,18,262,376,66,528,332,34,228,59,386,1633,799,2084,748,70,413,87,806,5007,377,995,590,94,294,88,615,3053,177,512,383,73,257,71,579,2052,115,316,219,47,132,24,365,1218,24,159,120,32,59,10,559,963,1563,4605,2419,357,1429,357,3572,14302,0,0,0,0,0,0,7,7,0,0,0,0,3,3,44,50,3,7,5,0,3,3,86,107,0,4,0,0,6,0,59,69,0,0,4,0,3,0,23,30,3,0,0,0,3,0,8,14,0,0,6,0,0,0,5,11,6,11,15,0,18,6,232,288,5,14,36,11,98,33,362,559,107,937,720,54,518,86,540,2962,1685,3892,1582,119,1089,128,1173,9668
LGA10250,0,0,3,0,0,0,48,51,0,4,3,0,5,0,66,78,0,3,0,0,8,3,65,79,0,0,3,0,0,3,80,86,0,0,4,3,0,0,117,124,0,7,13,3,13,6,438,480,4,0,5,8,41,15,100,173,3,63,49,16,142,28,53,354,65,409,158,37,326,61,122,1178,168,600,349,62,373,57,188,1797,185,499,423,92,478,70,262,2009,188,416,362,109,261,56,350,1742,81,282,354,90,136,20,962,1925,694,2269,1700,414,1757,307,2037,9178,0,0,0,4,4,0,20,28,0,0,3,3,13,0,10,29,0,4,0,0,38,7,11,60,4,20,18,0,24,3,20,89,6,17,12,0,15,0,20,70,0,3,5,0,12,0,13,33,0,3,0,3,6,0,12,24,10,47,38,10,112,10,106,333,4,0,5,14,64,32,116,235,7,102,65,23,322,50,54,623,101,632,251,63,827,82,128,2084
LGA10300,0,0,0,0,0,0,5,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,10,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,39,39,0,0,0,0,4,0,9,13,0,3,3,0,8,0,7,21,4,12,12,3,24,3,11,69,5,22,9,4,18,3,11,72,5,9,9,5,19,4,30,81,6,0,10,0,16,0,17,49,0,8,6,3,0,0,30,47,20,54,49,15,89,10,115,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,0,0,3,0,3,0,0,6,0,0,0,0,0,3,3,6,0,0,3,0,3,0,0,6,0,0,0,0,0,0,6,6,0,0,6,0,12,3,12,33,0,0,0,0,8,0,8,16,0,6,6,0,19,0,6,37,4,25,16,3,45,6,8,107
LGA10350,4,21,11,3,9,0,554,602,3,13,12,3,0,3,520,554,3,4,0,3,7,5,468,490,3,0,6,0,9,0,349,367,3,0,3,3,4,3,642,658,16,45,37,12,40,14,3050,3214,0,10,100,27,216,63,690,1106,110,936,694,95,651,106,598,3190,815,2866,1606,212,1298,264,1193,8254,540,1966,1534,365,1095,267,1400,7167,379,1137,1128,366,921,236,1355,5522,204,645,629,275,453,109,1198,3513,75,324,378,168,330,41,2895,4211,2123,7884,6069,1508,4964,1086,9329,32963,0,0,0,0,11,3,8,22,0,5,6,0,25,0,10,46,4,5,12,0,29,7,19,76,0,14,11,3,34,0,16,78,10,7,12,6,24,0,22,81,0,3,10,6,12,4,12,47,0,5,3,0,11,0,18,37,14,39,54,15,146,14,105,387,0,24,136,41,419,103,852,1575,157,1533,1115,152,1534,172,733,5396,1401,4854,2741,326,3590,395,1385,14692
LGA10470,0,0,0,0,3,0,73,76,0,3,0,0,3,0,91,97,0,3,0,0,3,0,80,86,0,0,0,0,0,0,96,96,0,0,0,3,0,3,136,142,0,9,0,3,12,3,587,614,0,0,8,6,62,31,135,242,6,129,67,30,231,56,111,630,84,498,162,52,477,67,159,1499,147,476,251,98,374,74,209,1629,182,358,298,103,316,66,263,1586,149,288,232,86,160,43,303,1261,66,171,227,67,81,17,647,1276,634,1920,1245,442,1701,354,1827,8123,0,0,0,0,3,3,29,35,0,3,10,3,31,0,52,99,0,9,5,0,46,7,78,145,3,8,3,7,34,7,49,111,3,6,7,0,16,3,16,51,6,6,4,3,0,0,4,23,0,0,3,0,0,0,19,22,12,32,32,13,130,20,247,486,0,0,11,13,111,44,196,375,9,202,93,45,567,98,158,1172,125,746,262,66,1196,106,331,2832
LGA10550,0,0,0,0,3,0,45,48,3,3,0,0,6,0,49,61,3,4,3,0,3,0,69,82,0,0,0,0,3,0,83,86,0,3,6,0,0,0,146,155,6,10,9,0,18,0,437,480,0,0,3,3,29,18,108,161,3,20,34,16,109,24,41,247,48,188,97,31,253,46,100,763,100,304,199,56,301,62,152,1174,158,370,299,91,383,60,259,1620,167,335,318,85,215,48,305,1473,75,247,250,65,104,33,763,1537,551,1464,1200,347,1394,291,1728,6975,0,0,0,0,3,5,13,21,0,0,0,0,11,3,4,18,3,3,3,0,18,6,11,44,3,0,6,0,17,6,11,43,0,11,4,0,18,0,10,43,0,3,0,5,4,0,12,24,3,0,0,0,3,0,20,26,9,17,13,5,74,20,81,219,0,0,6,6,62,26,151,251,3,35,41,20,265,41,43,448,69,255,132,52,651,56,94,1309
LGA10600,0,0,0,0,0,0,10,10,0,0,0,0,3,0,11,14,3,0,0,0,0,0,18,21,3,0,3,0,0,0,13,19,0,0,0,0,3,0,21,24,6,0,3,0,6,0,80,95,0,0,4,0,14,3,39,60,0,14,14,7,35,7,8,85,17,78,42,17,73,12,32,271,54,187,98,19,136,22,50,566,88,192,147,40,170,29,90,756,96,143,108,29,85,13,79,553,30,94,101,19,48,7,241,540,285,708,514,131,561,93,539,2831,0,0,0,0,3,3,3,9,0,0,0,0,6,6,0,12,0,0,3,0,6,3,3,15,0,3,3,0,10,0,6,22,0,3,0,3,16,0,4,26,0,3,3,0,3,0,3,12,3,3,0,0,3,0,3,12,3,12,9,3,47,12,22,108,0,0,4,3,33,9,60,109,0,17,22,7,82,7,18,153,25,114,56,17,207,18,41,478
