region_id,P_NonI_35_44_PtgdDe_GdDp_GdCt,P_NonI_35_44_BDL,P_NonI_35_44_ADip_DipL,P_NonI_35_44_CL_nfd,P_NonI_35_44_Ct_III_IV,P_NonI_35_44_Ct_I_II,P_NonI_35_44_LoE_NS,P_NonI_35_44_Tot,P_NonI_45_54_PtgdDe_GdDp_GdCt,P_NonI_45_54_BDL,P_NonI_45_54_ADip_DipL,P_NonI_45_54_CL_nfd,P_NonI_45_54_Ct_III_IV,P_NonI_45_54_Ct_I_II,P_NonI_45_54_LoE_NS,P_NonI_45_54_Tot,P_NonI_55_64_PtgdDe_GdDp_GdCt,P_NonI_55_64_BDL,P_NonI_55_64_ADip_DipL,P_NonI_55_64_CL_nfd,P_NonI_55_64_Ct_III_IV,P_NonI_55_64_Ct_I_II,P_NonI_55_64_LoE_NS,P_NonI_55_64_Tot,P_NonI_65ov_PtgdDe_GdDp_GdCt,P_NonI_65ov_BDL,P_NonI_65ov_ADip_DipL,P_NonI_65ov_CL_nfd,P_NonI_65ov_Ct_III_IV,P_NonI_65ov_Ct_I_II,P_NonI_65ov_LoE_NS,P_NonI_65ov_Tot,P_NonI_Tot_PtgdDe_GdDp_GdCt,P_NonI_Tot_BDL,P_NonI_Tot_ADip_DipL,P_NonI_Tot_CL_nfd,P_NonI_Tot_Ct_III_IV,P_NonI_Tot_Ct_I_II,P_NonI_Tot_LoE_NS,P_NonI_Tot_Tot,P_IS_NS_15_19_PgdDe_GdDp_GdCt,P_IS_NS_15_19_BDL,P_IS_NS_15_19_ADip_DipL,P_IS_NS_15_19_CL_nfd,P_IS_NS_15_19_Ct_III_and_IV_L,P_IS_NS_15_19_Ct_I_II,P_IS_NS_15_19_LoE_NS,P_IS_NS_15_19_Tot,P_IS_NS_20_24_PgDe_GdDp_GdCtL,P_IS_NS_20_24_BDL,P_IS_NS_20_24_ADip_DipL,P_IS_NS_20_24_CL_nfd,P_IS_NS_20_24_Ct_III_and_IV_L,P_IS_NS_20_24_Ct_I_II,P_IS_NS_20_24_LoE_NS,P_IS_NS_20_24_Tot,P_IS_NS_25_34_PgDe_GdDp_GdCtL,P_IS_NS_25_34_BDL,P_IS_NS_25_34_ADip_DipL,P_IS_NS_25_34_CL_nfd,P_IS_NS_25_34_Ct_III_and_IV_L,P_IS_NS_25_34_Ct_I_II,P_IS_NS_25_34_LoE_NS,P_IS_NS_25_34_Tot,P_IS_NS_35_44_PgDe_GdDp_GdCtL,P_IS_NS_35_44_BDL,P_IS_NS_35_44_ADip_DipL,P_IS_NS_35_44_CL_nfd,P_IS_NS_35_44_Ct_III_and_IV_L,P_IS_NS_35_44_Ct_I_II,P_IS_NS_35_44_LoE_NS,P_IS_NS_35_44_Tot,P_IS_NS_45_54_PgDe_GdDp_GdCtL,P_IS_NS_45_54_BDL,P_IS_NS_45_54_ADip_DipL,P_IS_NS_45_54_CL_nfd,P_IS_NS_45_54_Ct_III_and_IV_L,P_IS_NS_45_54_Ct_I_II,P_IS_NS_45_54_LoE_NS,P_IS_NS_45_54_Tot,P_IS_NS_55_64_PgDe_GdDp_GdCtL,P_IS_NS_55_64_BDL,P_IS_NS_55_64_ADip_DipL,P_IS_NS_55_64_CL_nfd,P_IS_NS_55_64_Crt_III_and_IV,P_IS_NS_55_64_Ct_I_II,P_IS_NS_55_64_LoE_NS,P_IS_NS_55_64_Tot,P_IS_NS_65ov_PgdDe_GdDp_GdCt,P_IS_NS_65ov_BDL,P_IS_NS_65ov_ADip_DipL,P_IS_NS_65ov_CL_nfd,P_IS_NS_65ov_Crt_III_and_IV,P_IS_NS_65ov_Ct_I_II,P_IS_NS_65ov_LoE_NS,P_IS_NS_65ov_Tot,P_IS_NS_TotPdDe_GdDp_GdCt,P_IS_NS_Tot_BDL,P_IS_NS_Tot_ADip_DipL,P_IS_NS_Tot_CL_nfd,P_IS_NS_Tot_Ct_III_IV,P_IS_NS_Tot_Ct_I_II,P_IS_NS_Tot_LoE_NS,P_IS_NS_Tot_Tot,P_Tot_15_19_PgDe_GdDp_GdCtL,P_Tot_15_19_BDL,P_Tot_15_19_ADip_DipL,P_Tot_15_19_CL_nfd,P_Tot_15_19_Ct_III_and_IV_L,P_Tot_15_19_Ct_I_II,P_Tot_15_19_LoE_NS,P_Tot_15_19_Tot,P_Tot_20_24_PgDe_GdDp_GdCtL,P_Tot_20_24_BDL,P_Tot_20_24_ADip_DipL,P_Tot_20_24_CL_nfd,P_Tot_20_24_Ct_III_and_IV_L,P_Tot_20_24_Ct_I_II,P_Tot_20_24_LoE_NS,P_Tot_20_24_Tot,P_Tot_25_34_PgDe_GdDp_GdCtL,P_Tot_25_34_BDL,P_Tot_25_34_ADip_DipL,P_Tot_25_34_CL_nfd,P_Tot_25_34_Ct_III_and_IV_L,P_Tot_25_34_Ct_I_II,P_Tot_25_34_LoE_NS,P_Tot_25_34_Tot,P_Tot_35_44_PgDe_GdDp_GdCtL,P_Tot_35_44_BDL,P_Tot_35_44_ADip_DipL,P_Tot_35_44_CL_nfd,P_Tot_35_44_Ct_III_and_IV_L,P_Tot_35_44_Ct_I_II,P_Tot_35_44_LoE_NS,P_Tot_35_44_Tot,P_Tot_45_54_PgDe_GdDp_GdCtL,P_Tot_45_54_BDL,P_Tot_45_54_ADip_DipL,P_Tot_45_54_CL_nfd,P_Tot_45_54_Ct_III_and_IV_L,P_Tot_45_54_Ct_I_II,P_Tot_45_54_LoE_NS,P_Tot_45_54_Tot,P_Tot_55_64_PgDe_GdDp_GdCtL,P_Tot_55_64_BDL,P_Tot_55_64_ADip_DipL,P_Tot_55_64_CL_nfd,P_Tot_55_64_Ct_III_and_IV_L,P_Tot_55_64_Ct_I_II,P_Tot_55_64_LoE_NS,P_Tot_55_64_Tot,P_Tot_65ov_PtgdDe_GdDp_GdCt,P_Tot_65ov_BDL,P_Tot_65ov_ADip_DipL,P_Tot_65ov_CL_nfd,P_Tot_65ov_Ct_III_and_IV_L,P_Tot_65ov_Ct_I_II,P_Tot_65ov_LoE_NS,P_Tot_65ov_Tot,P_Tot_Tot_PgDe_GdDp_GdCtL,P_Tot_Tot_BDL,P_Tot_Tot_ADip_DipL,P_Tot_Tot_CL_nfd,P_Tot_Tot_Ct_III_and_IV_L,P_Tot_Tot_Ct_I_II,P_Tot_Tot_LoE_NS,P_Tot_Tot_Tot
LGA10050,339,969,557,114,1398,115,297,3789,385,752,616,130,1378,101,398,3760,284,562,495,119,988,90,392,2930,117,321,366,81,839,25,1260,3009,1447,4015,2726,581,7053,681,2832,19335,0,0,0,0,3,0,104,107,0,0,0,0,0,0,143,143,0,3,3,0,8,3,216,233,0,3,3,0,8,0,211,225,0,9,3,3,8,0,192,215,3,0,4,0,12,0,195,214,0,3,0,3,8,0,312,326,3,18,13,6,47,3,1373,1463,0,0,15,10,171,62,317,575,18,274,177,43,824,145,246,1727,304,1143,519,90,1514,165,426,4161,344,977,569,114,1423,118,522,4067,385,764,623,133,1399,105,609,4018,287,569,502,119,1006,90,602,3175,117,324,366,84,853,25,1586,3355,1455,4051,2771,593,7190,710,4308,21078
LGA10110,347,519,234,57,435,36,92,1720,459,525,300,69,564,45,166,2128,402,439,234,65,399,34,155,1728,282,319,251,78,296,14,498,1738,1718,2627,1273,344,2549,280,1139,9930,0,0,0,0,0,0,97,97,0,3,0,0,0,0,142,145,0,3,3,0,0,0,159,165,0,3,0,0,0,0,153,156,3,6,3,0,4,0,115,131,0,0,0,0,0,0,103,103,3,6,0,3,6,0,147,165,6,21,6,3,10,0,916,962,0,0,6,17,94,49,201,367,14,209,112,36,306,65,220,962,214,626,155,32,515,60,254,1856,352,530,246,60,461,44,268,1961,462,535,318,72,584,45,313,2329,402,446,244,68,404,37,274,1875,285,325,254,81,302,14,654,1915,1729,2671,1335,366,2666,314,2184,11265
LGA10150,1064,1877,752,95,571,68,242,4669,835,1256,643,111,613,45,357,3860,517,733,364,89,418,28,290,2439,181,348,208,72,380,13,932,2134,4127,7670,3141,481,2825,269,2360,20873,0,0,0,0,0,0,87,87,0,6,3,0,3,0,196,208,7,21,8,0,8,3,478,525,6,6,0,3,3,0,335,353,7,3,3,0,0,0,261,274,3,3,0,3,4,0,197,210,0,0,4,0,9,0,411,424,23,39,18,6,27,3,1965,2081,3,4,11,4,28,10,214,274,85,692,389,29,221,39,333,1788,1452,2793,788,81,617,78,762,6571,1073,1889,759,98,580,71,577,5047,842,1266,654,111,613,45,618,4149,520,736,364,92,422,28,490,2652,181,348,212,72,389,13,1346,2561,4156,7728,3177,487,2870,284,4340,23042
LGA10200,913,1942,1081,140,823,127,942,5968,483,1113,701,130,794,102,836,4159,282,702,413,79,563,40,544,2623,94,348,215,64,480,17,716,1934,3569,8948,4748,597,4365,533,5113,27873,0,0,3,0,6,0,244,253,0,10,14,0,7,3,465,499,18,31,14,7,4,0,970,1044,3,11,10,3,10,0,516,553,3,7,6,0,10,0,458,484,0,0,5,0,6,0,300,311,0,4,4,0,13,0,306,327,24,63,56,10,56,3,3259,3471,5,14,39,11,104,33,613,819,107,947,734,54,528,92,1049,3511,1706,3930,1601,126,1096,131,2229,10819,916,1957,1091,143,839,127,1517,6590,486,1120,711,130,807,102,1317,4673,285,702,418,79,572,40,852,2948,94,352,225,64,493,17,1027,2272,3599,9022,4819,607,4439,542,8604,31632
LGA10250,268,940,516,84,1021,78,206,3113,317,835,617,128,1348,84,319,3648,367,800,595,166,1022,74,413,3437,192,571,611,129,991,44,1281,3819,1256,3880,2660,607,5595,444,2517,16959,0,0,0,0,0,0,66,66,0,0,0,0,0,0,60,60,0,3,6,0,0,0,112,121,3,7,3,0,8,0,139,160,0,6,0,0,16,3,146,171,0,3,3,0,5,3,165,179,0,3,7,3,6,3,233,255,3,22,19,3,35,9,921,1012,4,0,5,18,68,32,202,329,7,102,68,26,335,50,124,712,101,639,257,63,865,89,251,2265,275,967,537,84,1053,81,365,3362,323,858,629,128,1379,87,485,3889,367,806,603,166,1039,77,591,3649,192,577,618,135,1003,47,1526,4098,1269,3949,2717,620,5742,463,3544,18304
LGA10300,5,28,12,7,50,6,8,116,5,13,16,8,54,7,25,128,9,6,13,0,38,0,25,91,0,11,6,3,22,0,39,81,23,89,69,21,236,19,119,576,0,0,0,0,0,0,9,9,0,0,0,0,0,0,11,11,0,0,0,0,0,0,9,9,0,0,0,0,0,0,15,15,0,0,0,0,0,0,27,27,0,0,0,0,0,0,16,16,0,0,0,0,0,0,21,21,0,0,0,0,0,0,108,108,0,0,0,0,8,0,17,25,0,6,6,0,19,0,17,48,4,25,16,3,51,6,20,125,5,28,15,7,53,6,23,137,5,13,16,8,54,10,55,161,9,6,16,0,41,0,41,113,0,11,6,3,22,0,66,108,23,89,75,21,248,22,239,717
LGA10350,1164,3563,2598,498,3636,376,1590,13425,879,2388,2082,515,3395,316,1668,11243,535,1386,1227,405,2431,145,1466,7595,206,708,717,282,2863,67,3647,8490,4342,14456,10616,2219,17868,1574,11341,62416,0,0,0,0,8,3,565,576,3,14,11,0,24,0,536,588,7,38,16,6,29,0,1129,1225,6,21,16,3,22,3,1059,1130,6,11,4,3,29,5,970,1028,3,5,10,4,28,0,808,858,3,0,8,3,43,3,1173,1233,28,89,65,19,183,14,6240,6638,0,24,136,41,438,109,1425,2173,160,1552,1132,152,1583,172,1279,6030,1412,4897,2769,332,3648,402,2533,15993,1170,3598,2625,504,3692,379,2665,14633,895,2406,2098,524,3448,321,2660,12352,538,1394,1247,415,2471,149,2286,8500,209,713,728,285,2917,70,4838,9760,4384,14584,10735,2253,18197,1602,17686,69441
LGA10470,241,731,421,112,1146,90,334,3075,315,596,490,135,1093,84,351,3064,293,488,407,139,776,57,337,2497,160,324,377,105,604,22,797,2389,1143,3087,2061,615,5493,501,2504,15404,0,0,0,0,3,0,100,103,0,3,0,0,5,0,149,157,0,0,0,0,10,0,161,171,0,3,3,4,8,0,184,202,0,6,3,0,9,0,173,191,0,0,0,0,4,0,186,190,0,0,0,3,4,3,248,258,0,12,6,7,43,3,1201,1272,0,0,11,13,117,47,325,513,9,208,103,48,603,98,359,1428,125,755,267,66,1252,113,570,3148,244,742,427,123,1188,97,567,3388,318,608,500,135,1118,87,540,3306,299,494,411,142,780,57,527,2710,160,324,380,108,608,25,1064,2669,1155,3131,2099,635,5666,524,3952,17162
LGA10550,147,454,282,71,876,72,162,2064,229,570,438,117,1172,84,283,2893,296,634,551,117,1004,71,371,3044,183,491,464,118,886,39,963,3144,927,2439,1914,501,4916,389,2067,13153,0,0,0,0,0,0,53,53,0,0,0,0,3,0,45,48,0,0,0,0,6,0,90,96,3,3,4,0,11,0,110,131,3,4,3,0,13,0,143,166,3,6,0,0,6,0,194,209,0,6,6,0,12,0,259,283,9,19,13,0,51,0,894,986,0,0,6,6,65,31,217,325,3,35,41,20,279,44,92,514,72,258,135,52,675,62,195,1449,153,457,292,71,904,78,283,2238,232,585,445,117,1203,84,436,3102,299,643,551,122,1014,71,577,3277,186,497,470,118,901,39,1242,3453,945,2475,1940,506,5041,409,3042,14358
LGA10600,82,276,144,29,332,26,65,954,122,279,218,47,515,37,115,1333,144,258,190,43,376,20,111,1142,71,166,179,30,322,10,339,1117,444,1110,813,176,1867,127,749,5286,0,0,0,0,0,0,11,11,0,0,0,0,0,0,15,15,0,0,0,0,0,0,18,18,0,3,0,0,3,0,27,33,3,0,3,0,0,0,44,50,3,0,6,0,0,0,41,50,0,0,3,0,6,0,39,48,6,3,12,0,9,0,195,225,0,0,4,3,36,12,74,129,0,17,22,7,88,13,33,180,25,114,59,17,213,21,62,511,82,282,147,29,345,26,98,1009,125,282,221,50,531,37,163,1409,147,261,199,43,379,20,155,1204,74,169,182,30,331,10,381,1177,453,1125,834,179,1923,139,966,5619
