region_id,C01_OS_visit_Divorc_F,C01_OS_visito_Widow_M,C01_OS_visito_Widow_F,C01_OS_vis_Nvr_marr_M,C01_OS_vis_Nvr_marr_F,C01_OS_vis_T_M,C01_OS_vis_T_F,C01_OS_vis_T_P,C01_T_Married_M,C01_T_Married_F,C01_Tot_Sep_M,C01_Tot_Sep_F,C01_Tot_Div_M,C01_Tot_Div_F,C01_Tot_Wid_M,C01_Tot_Wid_F,C01_Tot_nver_marrie_M,C01_Tot_nver_marrie_F,C01_Tot_T_M,C01_Tot_T_F,C01_Tot_T_P,C06_15_19_Married_M,C06_15_19_Married_F,C06_15_19_Sep_M,C06_15_19_Sep_F,C06_15_19_Div_M,C06_15_19_Div_F,C06_15_19_Wid_M,C06_15_19_Wid_F,C06_15_19_Nvr_marrd_M,C06_15_19_Nvr_marrd_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Married_M,C06_20_24_Married_F,C06_20_24_Sep_M,C06_20_24_Sep_F,C06_20_24_Div_M,C06_20_24_Div_F,C06_20_24_Wid_M,C06_20_24_Wid_F,C06_20_24_Nvr_marrd_M,C06_20_24_Nvr_marrd_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Married_M,C06_25_29_Married_F,C06_25_29_Sep_M,C06_25_29_Sep_F,C06_25_29_Div_M,C06_25_29_Div_F,C06_25_29_Wid_M,C06_25_29_Wid_F,C06_25_29_Nvr_marrd_M,C06_25_29_Nvr_marrd_F,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Married_M,C06_30_34_Married_F,C06_30_34_Sep_M,C06_30_34_Sep_F,C06_30_34_Div_M,C06_30_34_Div_F,C06_30_34_Wid_M,C06_30_34_Wid_F,C06_30_34_Nvr_marrd_M,C06_30_34_Nvr_marrd_F,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Married_M,C06_35_39_Married_F,C06_35_39_Sep_M,C06_35_39_Sep_F,C06_35_39_Div_M,C06_35_39_Div_F,C06_35_39_Wid_M,C06_35_39_Wid_F,C06_35_39_Nvr_marrd_M,C06_35_39_Nvr_marrd_F,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Married_M,C06_40_44_Married_F,C06_40_44_Sep_M,C06_40_44_Sep_F,C06_40_44_Div_M,C06_40_44_Div_F,C06_40_44_Wid_M,C06_40_44_Wid_F,C06_40_44_Nvr_marrd_M,C06_40_44_Nvr_marrd_F,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Married_M,C06_45_49_Married_F,C06_45_49_Sep_M,C06_45_49_Sep_F,C06_45_49_Div_M,C06_45_49_Div_F,C06_45_49_Wid_M,C06_45_49_Wid_F,C06_45_49_Nvr_marrd_M,C06_45_49_Nvr_marrd_F,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Married_M,C06_50_54_Married_F,C06_50_54_Sep_M,C06_50_54_Sep_F,C06_50_54_Div_M,C06_50_54_Div_F,C06_50_54_Wid_M,C06_50_54_Wid_F,C06_50_54_Nvr_marrd_M,C06_50_54_Nvr_marrd_F,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Married_M,C06_55_59_Married_F,C06_55_59_Sep_M,C06_55_59_Sep_F,C06_55_59_Div_M,C06_55_59_Div_F,C06_55_59_Wid_M,C06_55_59_Wid_F,C06_55_59_Nvr_marrd_M,C06_55_59_Nvr_marrd_F,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Married_M,C06_60_64_Married_F,C06_60_64_Sep_M,C06_60_64_Sep_F,C06_60_64_Div_M,C06_60_64_Div_F,C06_60_64_Wid_M,C06_60_64_Wid_F,C06_60_64_Nvr_marrd_M,C06_60_64_Nvr_marrd_F,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_69_Married_M,C06_65_69_Married_F,C06_65_69_Sep_M,C06_65_69_Sep_F,C06_65_69_Div_M,C06_65_69_Div_F,C06_65_69_Wid_M,C06_65_69_Wid_F,C06_65_69_Nvr_marrd_M,C06_65_69_Nvr_marrd_F,C06_65_69_T_M,C06_65_69_T_F,C06_65_69_T_P,C06_70_74_Married_M,C06_70_74_Married_F,C06_70_74_Sep_M,C06_70_74_Sep_F,C06_70_74_Div_M,C06_70_74_Div_F,C06_70_74_Wid_M,C06_70_74_Wid_F,C06_70_74_Nvr_marrd_M,C06_70_74_Nvr_marrd_F,C06_70_74_T_M,C06_70_74_T_F,C06_70_74_T_P,C06_75_79_Married_M,C06_75_79_Married_F,C06_75_79_Sep_M,C06_75_79_Sep_F,C06_75_79_Div_M,C06_75_79_Div_F,C06_75_79_Wid_M,C06_75_79_Wid_F,C06_75_79_Nvr_marrd_M,C06_75_79_Nvr_marrd_F,C06_75_79_T_M,C06_75_79_T_F,C06_75_79_T_P,C06_80_84_Married_M,C06_80_84_Married_F,C06_80_84_Sep_M,C06_80_84_Sep_F,C06_80_84_Div_M,C06_80_84_Div_F,C06_80_84_Wid_M,C06_80_84_Wid_F,C06_80_84_Nvr_marrd_M,C06_80_84_Nvr_marrd_F
LGA10050,6,0,5,25,34,53,76,129,8358,8391,628,756,1166,1580,433,2057,5916,5302,16501,18086,34587,3,12,0,5,4,0,0,3,1791,1825,1798,1845,3643,55,129,14,14,3,3,0,3,1567,1705,1639,1854,3493,374,506,23,30,21,29,3,3,1060,845,1481,1413,2894,690,817,41,58,69,90,3,5,630,495,1433,1465,2898,872,926,69,80,134,164,3,10,478,401,1556,1581,3137,952,996,96,110,154,253,5,16,369,239,1576,1614,3190,1103,1158,82,138,209,305,14,30,271,190,1679,1821,3500,1060,1000,96,100,263,298,16,58,197,119,1632,1575,3207,1001,894,61,57,221,260,35,97,126,77,1444,1385,2829,746,661,43,37,130,167,30,113,66,48,1015,1026,2041,581,479,23,17,98,115,35,197,56,37,793,845,1638,426,372,23,13,64,80,50,237,36,29,599,731,1330,402,298,9,10,54,39,75,355,37,31,577,733,1310,247,170,4,0,17,33,97,382,20,35
LGA10110,6,0,3,48,84,74,123,197,4152,4187,262,344,456,758,203,913,3830,3871,8903,10073,18976,0,4,0,0,0,3,0,3,1282,1476,1282,1486,2768,39,63,0,6,0,4,0,0,1262,1382,1301,1455,2756,120,181,7,7,4,6,3,4,433,373,567,571,1138,276,355,20,24,20,29,3,0,268,243,587,651,1238,384,410,14,33,41,63,0,9,198,173,637,688,1325,484,539,31,42,65,120,3,5,189,129,772,835,1607,481,521,36,58,100,168,6,19,131,112,754,878,1632,523,506,36,50,102,122,13,27,90,72,764,777,1541,456,415,34,28,102,117,6,46,66,49,664,655,1319,370,347,20,23,60,89,15,52,36,29,501,540,1041,317,270,18,13,43,57,24,86,25,19,427,445,872,235,197,12,7,18,28,18,107,19,19,302,358,660,183,145,7,4,18,23,32,175,15,11,255,358,613,111,65,0,0,5,11,43,145,12,18
LGA10150,11,0,17,106,130,199,266,465,7440,7494,470,579,1075,1384,368,1939,6722,5901,16075,17297,33372,0,5,0,0,0,3,3,0,1095,928,1098,936,2034,92,204,3,6,4,0,0,4,1481,1265,1580,1479,3059,495,708,8,27,14,22,0,0,1233,1037,1750,1794,3544,906,978,26,50,45,78,0,0,789,719,1766,1825,3591,867,985,45,53,78,155,0,6,568,541,1558,1740,3298,980,981,61,76,119,229,5,12,427,390,1592,1688,3280,822,867,53,72,173,205,7,12,341,288,1396,1444,2840,716,664,56,76,172,236,5,39,267,236,1216,1251,2467,620,581,47,44,172,225,19,56,219,155,1077,1061,2138,438,412,39,31,119,128,17,79,148,109,761,759,1520,377,400,22,23,71,64,24,141,114,60,608,688,1296,444,322,29,13,46,63,47,212,80,61,646,671,1317,322,236,15,10,38,51,61,240,79,70,515,607,1122,211,125,8,0,22,24,54,336,38,81
LGA10200,8,6,25,106,55,268,218,486,12315,11289,710,710,1106,1311,454,1984,8564,5950,23149,21244,44393,13,70,0,4,4,3,0,0,2534,2160,2551,2237,4788,306,715,14,39,8,15,0,5,2891,2046,3219,2820,6039,1163,1439,34,76,50,57,0,6,2041,1097,3288,2675,5963,1784,1762,79,108,89,128,7,11,1020,537,2979,2546,5525,1768,1736,115,133,146,186,4,27,638,326,2671,2408,5079,1811,1556,99,125,203,253,12,38,449,267,2574,2239,4813,1656,1439,91,113,242,282,10,59,306,208,2305,2101,4406,1364,1270,93,71,204,241,13,81,209,181,1883,1844,3727,1106,954,78,65,187,195,22,112,144,124,1537,1450,2987,915,643,48,27,118,103,22,129,104,64,1207,966,2173,638,477,37,17,86,64,34,197,76,54,871,809,1680,484,350,17,16,51,47,51,246,59,25,662,684,1346,343,247,17,18,32,42,66,315,51,42,509,664,1173,231,150,4,5,29,29,77,369,20,25
LGA10250,9,0,7,39,41,79,95,174,7920,7914,479,577,1140,1537,495,1985,4185,3536,14219,15549,29768,3,3,3,0,0,0,0,3,1260,1134,1266,1140,2406,22,50,0,12,0,0,0,6,868,795,890,863,1753,168,249,7,12,10,17,3,0,619,488,807,766,1573,376,500,20,42,29,67,3,3,493,419,921,1031,1952,586,732,41,80,70,160,3,4,381,352,1081,1328,2409,751,801,66,81,147,200,8,29,306,262,1278,1373,2651,868,938,79,102,181,293,12,27,273,212,1413,1572,2985,935,1058,74,66,232,306,11,37,158,124,1410,1591,3001,984,918,54,53,249,288,19,66,98,67,1404,1392,2796,850,786,20,36,114,181,29,110,57,30,1070,1143,2213,725,654,31,25,109,144,41,164,36,41,942,1028,1970,598,513,19,11,76,86,54,252,41,26,788,888,1676,537,464,23,7,55,69,117,404,34,19,766,963,1729,422,278,6,8,25,36,118,449,11,22
LGA10300,0,0,0,0,3,3,6,9,608,556,47,27,76,51,34,101,400,237,1165,972,2137,0,0,0,0,0,0,0,0,105,70,105,70,175,0,6,0,0,0,0,0,0,65,42,65,48,113,23,30,0,3,0,3,0,0,66,35,89,71,160,35,55,0,3,4,3,0,0,37,29,76,90,166,40,50,5,5,8,4,0,0,31,20,84,79,163,58,60,5,4,7,12,0,3,27,15,97,94,191,80,70,8,7,7,10,0,3,24,10,119,100,219,82,72,3,0,6,16,3,5,14,6,108,99,207,73,61,0,0,18,10,0,0,3,6,94,77,171,42,32,4,3,6,4,3,7,6,0,61,46,107,38,41,0,3,8,3,0,11,4,0,50,58,108,33,24,0,0,4,0,10,13,7,5,54,42,96,25,14,0,4,4,0,5,22,3,0,37,40,77,12,4,0,0,0,0,3,25,3,3
LGA10350,15,5,46,120,128,289,375,664,35364,35273,1797,2416,3302,4640,1847,7581,21135,16467,63445,66377,129822,19,123,0,0,4,3,0,5,6112,5850,6135,5981,12116,419,1266,21,91,16,42,3,7,5361,4464,5820,5870,11690,1875,2799,113,239,91,212,8,18,3405,2388,5492,5656,11148,3228,3935,183,328,228,402,9,22,1962,1452,5610,6139,11749,3797,4169,204,364,305,551,6,39,1318,945,5630,6068,11698,4218,4240,203,330,476,690,23,100,1081,678,6001,6038,12039,4221,3957,259,323,626,821,22,159,831,575,5959,5835,11794,3645,3521,226,254,531,790,48,221,603,386,5053,5172,10225,3482,3148,167,196,547,691,95,321,390,299,4681,4655,9336,2820,2276,149,148,367,453,101,442,255,154,3692,3473,7165,2190,1858,115,100,254,287,126,673,170,108,2855,3026,5881,1882,1593,72,66,156,232,219,929,125,84,2454,2904,5358,1729,1246,52,50,141,148,334,1510,122,81,2378,3035,5413,1113,728,28,29,73,98,448,1594,68,47
LGA10470,0,0,4,32,58,51,74,125,6634,6484,413,509,805,1021,287,1275,5227,4497,13366,13786,27152,5,3,0,0,0,3,0,0,1760,1754,1765,1760,3525,78,100,0,12,3,4,3,0,1532,1487,1616,1603,3219,316,367,15,30,13,12,0,4,726,549,1070,962,2032,584,636,36,55,52,76,0,0,489,309,1161,1076,2237,681,738,50,73,76,106,3,14,356,227,1166,1158,2324,725,787,50,70,109,159,4,11,298,191,1186,1218,2404,804,850,75,81,147,185,13,33,216,138,1255,1287,2542,856,759,53,60,146,188,10,32,132,83,1197,1122,2319,772,710,54,39,125,187,24,63,87,54,1062,1053,2115,584,515,40,29,113,107,25,113,60,44,822,808,1630,434,350,19,24,64,78,32,107,31,28,580,587,1167,347,317,12,10,31,58,39,171,33,32,462,588,1050,284,190,9,8,28,36,46,237,22,24,389,495,884,161,115,9,8,5,12,48,230,23,26
LGA10550,3,0,4,15,19,31,39,70,6831,6867,419,487,914,1009,377,1336,3196,2627,11737,12326,24063,3,4,3,0,0,0,3,0,1027,975,1036,979,2015,22,55,3,8,3,0,0,0,544,449,572,512,1084,112,192,3,11,6,7,0,0,338,320,459,530,989,310,408,16,23,19,39,3,3,340,236,688,709,1397,490,587,32,53,44,92,0,12,315,227,881,971,1852,619,671,32,71,83,160,4,14,252,218,990,1134,2124,758,854,58,82,175,212,7,28,242,234,1240,1410,2650,824,835,62,55,195,219,18,46,180,125,1279,1280,2559,835,868,61,47,189,212,25,50,90,55,1200,1232,2432,799,782,39,27,151,138,31,109,59,33,1079,1089,2168,768,658,30,15,91,84,41,151,43,21,973,929,1902,574,470,15,19,66,54,50,207,37,20,742,770,1512,456,328,20,12,33,37,73,280,35,9,617,666,1283,294,186,5,0,18,15,87,262,17,15
LGA10600,0,0,0,11,12,15,19,34,2427,2443,191,185,451,557,181,521,1400,1062,4650,4768,9418,3,0,0,0,0,0,0,0,390,377,393,377,770,4,13,0,3,0,0,0,0,195,160,199,176,375,29,45,3,5,0,8,0,0,118,103,150,161,311,108,142,6,19,5,20,0,0,117,123,236,304,540,140,208,16,18,29,56,0,0,127,116,312,398,710,240,261,22,29,46,91,3,3,114,128,425,512,937,273,291,33,45,79,113,3,15,111,117,499,581,1080,295,299,37,29,91,125,10,19,83,51,516,523,1039,261,267,24,24,89,89,14,23,76,40,464,443,907,289,286,17,12,63,71,7,23,41,21,417,413,830,267,243,19,14,43,44,14,60,13,7,356,368,724,207,179,4,7,34,26,22,68,19,4,286,284,570,162,100,9,5,16,18,39,104,12,4,238,231,469,83,63,0,0,6,11,45,94,10,4
