region_id,C06_Tot_resp_Bplace_ns,C06_Tot_resp_Tot_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Polish_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Russian_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_Sinha_BP_B_OS,C11_Sinh_Fa_O_B_OS,C11_Sinh_Mo_O_B_OS,C11_Sinh_BP_B_Aus,C11_Sinha_Bplace_NS,C11_Sinha_Tot_resp,C11_S_Afr_BP_B_OS,C11_S_Af_Fa_O_B_OS,C11_S_Af_Mo_O_B_OS,C11_S_Af_BP_B_Aus,C11_S_Af_Bplace_NS,C11_S_Af_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Welsh_BP_B_OS,C11_Wels_Fa_O_B_OS,C11_Wels_Mo_O_B_OS,C11_Wels_BP_B_Aus,C11_Welsh_Bplace_NS,C11_Welsh_Tot_resp,C11_Other_BP_B_OS,C11_Othr_Fa_O_B_OS,C11_Othr_Mo_O_B_OS,C11_Othr_BP_B_Aus,C11_Other_Bplace_NS,C11_Other_Tot_resp,C11_Anc_ns_Bo_pa_born_os,C11_Anc_ns_Fa_on_born_os,C11_Anc_ns_Mo_on_born_os,C11_Anc_ns_Bo_pa_bor_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp
LGA10050,3214,60584,5474,2494,1575,33996,2965,46501,133,1242,926,16403,607,19311,3,0,0,110,13,126,142,14,16,101,17,290,86,28,14,36,8,172,356,126,64,244,10,800,1808,1194,779,14422,413,18616,222,9,40,3,7,281,41,18,3,103,0,165,453,213,103,2777,68,3614,145,45,15,117,11,333,65,15,8,16,0,104,367,18,15,17,8,425,338,257,155,5457,118,6325,262,135,45,607,20,1069,30,0,0,3,3,36,47,23,7,60,7,144,11,0,0,0,0,11,34,19,0,34,3,90,74,13,21,27,12,147,123,70,65,24,6,288,146,46,19,95,15,321,42,7,5,30,3,87,461,317,204,3965,66,5013,51,5,3,15,0,74,6,0,0,0,0,6,71,0,7,4,4,86,47,7,5,81,8,148,4,4,3,3,0,14,20,0,0,0,0,20,56,29,14,130,3,232,1332,223,141,477,67,2240,117,39,22,870,2009,3057
LGA10110,1543,31865,2762,1218,982,17529,1424,23924,70,734,556,8836,241,10437,0,0,3,210,9,222,330,22,9,63,14,438,8,4,3,4,0,19,107,41,39,98,3,288,951,607,457,7331,226,9572,60,3,16,4,4,87,42,14,4,59,0,119,229,71,61,868,23,1252,26,10,0,33,0,69,21,9,3,8,0,41,90,9,6,10,3,118,169,150,95,2708,52,3174,60,28,14,181,6,289,14,0,0,3,0,17,16,7,12,30,0,65,0,0,0,0,0,0,8,6,4,21,0,39,27,8,9,8,0,52,82,36,41,14,0,173,35,6,6,33,0,80,30,6,7,16,3,62,270,181,115,2245,61,2872,3,0,0,0,0,3,9,0,0,0,0,9,63,13,7,10,4,97,24,4,3,26,0,57,5,3,0,4,0,12,52,0,0,0,0,52,34,14,6,88,8,150,996,171,128,201,42,1538,43,22,20,401,1333,1819
LGA10150,4011,48442,21833,2301,1436,10208,3826,39607,355,1232,790,5082,182,7641,0,3,0,56,0,59,6377,67,120,100,148,6812,234,20,8,55,11,328,148,50,25,65,6,294,2011,878,569,4051,157,7666,898,8,43,8,13,970,150,9,14,55,7,235,283,79,44,413,7,826,861,111,31,274,22,1299,127,30,12,23,5,197,1613,34,24,6,27,1704,618,326,207,2346,58,3555,2885,431,166,757,114,4353,535,4,16,8,13,576,559,81,37,112,23,812,29,10,0,8,0,47,144,42,28,64,8,286,126,15,10,4,7,162,220,59,47,13,7,346,350,37,17,44,7,455,142,13,15,29,5,204,485,222,148,1295,24,2174,115,4,11,16,0,146,16,0,0,0,0,16,67,13,18,3,0,101,338,13,17,28,21,417,162,12,7,5,3,189,334,3,16,3,5,361,54,27,22,75,7,185,4540,387,241,288,124,5580,390,28,26,177,2465,3086
LGA10200,9158,71647,45660,1968,1204,7168,8949,64951,1402,765,565,3298,197,6227,3,6,0,45,0,54,15736,72,157,82,350,16397,632,40,27,81,12,792,80,24,13,28,0,145,2223,478,333,2709,217,5960,1589,11,80,9,55,1744,74,4,5,24,8,115,277,39,32,226,14,588,424,51,25,85,11,596,52,10,0,7,0,69,3013,32,15,14,72,3146,318,111,66,1135,34,1664,765,156,72,239,19,1251,3639,3,24,6,92,3764,3826,584,189,304,204,5107,82,3,3,9,3,100,155,23,14,37,8,237,217,15,24,8,16,280,119,29,18,15,5,186,219,23,19,28,5,294,352,8,16,18,5,399,270,111,81,687,17,1166,122,10,4,4,3,143,103,0,0,0,0,103,91,5,7,5,0,108,303,6,8,22,3,342,4138,247,168,116,141,4810,1750,11,18,13,48,1840,27,9,6,32,4,78,14890,354,251,207,503,16205,1647,78,60,202,5960,7947
LGA10250,2349,51133,4701,2442,1793,27710,2120,38756,113,1370,1037,13786,395,16701,0,5,3,271,3,282,117,16,22,72,6,233,29,13,9,19,3,73,312,90,62,127,10,601,2322,1239,934,12191,347,17033,87,3,23,5,0,118,59,19,12,108,0,198,294,103,85,1130,30,1642,46,16,8,75,7,152,42,11,4,10,0,67,59,12,6,24,0,101,389,326,224,4540,94,5573,244,124,34,572,23,997,11,0,4,3,0,18,11,6,4,19,3,43,3,0,0,3,0,6,68,19,10,45,3,145,58,33,31,16,4,142,168,66,45,31,5,315,76,15,13,33,3,140,21,8,3,14,3,49,528,315,234,3165,76,4318,19,5,0,0,0,24,3,0,0,0,0,3,89,16,3,6,0,114,48,13,5,33,3,102,3,3,0,0,0,6,25,4,4,0,0,33,97,30,29,96,3,255,776,236,195,410,32,1649,96,46,33,661,1410,2246
LGA10300,205,3234,287,113,72,1900,188,2556,13,32,22,860,39,966,0,0,0,13,0,13,14,0,0,4,0,18,0,0,0,0,0,0,13,7,3,3,0,26,46,27,25,666,21,785,0,0,0,0,0,0,4,0,0,6,0,10,7,4,6,72,4,93,6,0,0,12,0,18,3,0,0,0,0,3,0,0,0,0,0,0,12,7,7,236,8,270,111,19,13,150,7,300,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,3,0,0,3,0,6,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,7,14,9,5,151,3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,0,6,0,0,0,0,0,0,44,8,0,17,11,80,9,3,3,71,174,260
LGA10350,15338,199096,94445,9948,5123,45812,14544,169868,3495,3889,2230,21924,962,32500,0,8,11,191,8,218,12628,118,187,211,313,13457,817,79,48,133,32,1109,327,93,48,158,4,630,5867,2546,1559,15942,887,26801,1693,41,160,11,40,1945,338,41,34,135,6,554,1028,218,111,1178,75,2610,5017,685,304,1547,151,7704,274,39,16,28,12,369,2531,57,43,21,62,2714,1034,641,320,6045,173,8213,3911,790,334,1612,152,6799,1291,7,26,4,27,1355,23558,3727,1328,2225,1099,31937,2826,283,113,331,78,3631,774,180,85,239,29,1307,858,89,69,21,36,1073,405,120,102,62,14,703,983,87,40,137,24,1271,356,28,16,47,13,460,1027,556,342,3516,101,5542,400,20,26,14,14,474,38,0,0,0,0,38,218,28,19,19,6,290,709,50,45,60,25,889,611,62,22,44,35,774,14701,70,139,77,422,15409,122,41,20,147,4,334,22677,1614,828,998,805,26922,3691,314,239,1008,9462,14714
LGA10470,2857,47266,3490,1900,1269,26785,2627,36076,106,1053,771,14725,395,17050,0,3,6,142,11,162,202,17,23,106,3,351,33,11,8,15,0,67,211,84,50,184,6,535,1414,972,753,11929,403,15471,93,9,35,10,3,150,38,11,3,104,3,159,239,112,56,910,19,1336,36,29,14,81,0,160,41,7,8,19,0,75,111,3,3,6,4,127,287,218,171,4851,115,5642,141,114,35,373,4,667,12,0,0,0,3,15,70,31,6,45,6,158,5,0,3,3,0,11,54,13,23,34,4,128,84,17,6,10,3,120,75,63,36,37,8,219,68,31,8,40,3,150,30,10,13,19,3,75,398,233,201,2886,77,3795,32,5,3,6,0,46,10,0,0,0,0,10,62,12,10,7,0,91,23,3,3,21,0,50,14,3,0,4,0,21,26,0,0,0,0,26,68,23,12,112,3,218,676,187,138,317,23,1341,69,27,28,806,2328,3258
LGA10550,1827,41453,4555,1927,1311,22138,1640,31577,93,1032,759,11225,301,13410,0,3,0,109,10,122,67,18,8,55,0,148,37,10,4,12,0,63,378,99,72,126,8,683,2213,1036,755,9665,281,13950,79,0,23,0,0,102,45,11,13,95,3,167,395,84,82,1061,28,1650,52,7,10,46,3,118,45,9,5,16,0,75,34,3,4,12,3,56,355,218,135,3239,66,4013,187,73,27,269,13,569,8,4,0,0,0,12,13,0,3,22,0,38,6,3,0,3,0,12,64,8,0,22,0,94,44,20,9,21,0,94,109,54,27,17,3,210,91,18,10,43,3,165,38,10,0,17,3,68,502,274,165,2612,69,3622,12,3,0,0,0,15,4,0,0,0,0,4,54,3,3,5,0,65,23,0,3,15,0,41,3,0,0,0,0,3,19,3,3,0,3,28,80,18,15,90,3,206,612,150,108,332,16,1218,60,31,26,568,1270,1955
LGA10600,744,16565,1726,856,571,8574,660,12388,44,463,337,4430,124,5398,0,0,0,36,0,36,22,4,4,24,0,54,12,3,0,6,0,21,134,30,16,45,3,228,961,456,317,3732,106,5572,12,0,3,0,0,15,28,3,8,47,0,86,160,36,34,339,12,581,11,7,3,13,0,34,13,7,6,10,4,40,3,3,0,3,0,9,160,137,60,1374,40,1771,37,25,10,105,3,180,0,0,0,0,0,0,7,4,0,10,3,24,0,0,0,0,0,0,4,7,4,17,0,32,21,12,8,5,0,46,45,17,21,17,5,105,40,10,0,18,0,68,12,7,3,16,0,38,222,118,78,1062,19,1499,4,0,0,0,0,4,0,0,0,0,0,0,19,4,3,0,3,29,13,0,3,14,0,30,3,3,0,0,0,6,8,0,0,0,0,8,43,18,6,45,4,116,253,108,58,132,13,564,30,14,8,208,265,525
