region_id,C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
LGA10050,7093,4116,2699,46231,3506,63645,6111,2520,1663,34132,3211,47637
LGA10110,3874,2179,1624,23513,2032,33222,3220,1300,957,17135,1876,24488
LGA10150,25166,4248,2729,15463,3476,51082,22924,2578,1648,10631,3315,41096
LGA10200,58538,3318,2300,9695,8006,81857,55157,2367,1603,7158,7825,74110
LGA10250,6213,4162,3076,37465,2463,53379,5108,2537,1852,27721,2238,39456
LGA10300,315,119,87,2271,267,3059,271,89,55,1729,246,2390
LGA10350,114205,16521,8864,58085,15071,212746,105987,11750,6126,43772,14430,182065
LGA10470,4728,3301,2426,37802,3427,51684,3909,1988,1461,28128,3198,38684
LGA10550,5722,3202,2269,29697,2086,42976,4737,1988,1393,21987,1917,32022
LGA10600,2321,1496,990,11708,604,17119,1854,891,579,8563,543,12430
LGA10650,836,564,368,7832,510,10110,717,349,227,6043,468,7804
LGA10750,169401,26682,17996,131898,20243,366220,153742,16691,11191,99509,18765,299898
LGA10800,396,343,225,6504,288,7756,333,214,135,4955,248,5885
LGA10850,607,553,367,7103,463,9093,508,335,211,5376,430,6860
LGA10900,19778,12113,7860,60117,5347,105215,16006,7088,4634,42415,4833,74976
LGA10950,200,141,98,3116,277,3832,162,87,59,2435,256,2999
LGA11000,249,175,129,2383,135,3071,234,104,80,1830,121,2369
LGA11050,210,145,101,2532,100,3088,174,85,64,1905,93,2321
LGA11100,24465,3552,2559,14637,3214,48427,22136,2218,1582,10740,3014,39690
LGA11150,202,124,113,2962,529,3930,179,89,72,2300,505,3145
LGA11200,72,78,33,1832,120,2135,66,49,21,1553,114,1803
LGA11250,1401,1166,610,18825,1762,23764,1222,745,384,14755,1655,18761
LGA11300,23158,2307,1542,8051,2410,37468,21781,1520,997,5786,2332,32416
LGA11350,8220,4432,2986,23331,2619,41588,6462,2665,1776,16757,2340,30000
LGA11400,1168,932,675,13114,659,16548,961,582,410,9991,579,12523
LGA11450,15805,7730,4880,42664,2970,74049,13642,4781,2979,32090,2695,56187
LGA11500,64483,15243,10359,82998,11687,184770,57153,9423,6402,62090,10730,145798
LGA11520,41086,8241,5402,33974,5720,94423,37266,5241,3325,24170,5447,75449
LGA11550,100322,9796,5879,28446,11916,156359,93897,6753,3946,21057,11363,137016
LGA11600,294,171,139,2628,151,3383,249,106,79,1997,142,2573
LGA11700,238,117,69,2248,212,2884,189,72,45,1844,198,2348
LGA11720,5236,4116,2776,49994,4100,66222,4337,2543,1713,38330,3771,50694
LGA11730,5468,4071,2891,50601,3382,66413,4525,2509,1790,38210,3108,50142
LGA11750,502,258,252,4939,519,6470,416,157,143,3778,494,4988
LGA11800,12997,7092,4914,62531,5113,92647,11009,4334,3070,46467,4636,69516
LGA11860,100,71,95,1706,54,2026,88,48,66,1256,55,1513
LGA12000,272,229,188,4225,255,5169,221,136,115,3266,240,3978
LGA12050,2039,945,679,8391,875,12929,1719,588,416,6233,825,9781
LGA12150,200,111,113,4386,337,5147,150,62,58,3422,308,4000
LGA12200,541,431,244,7528,516,9260,445,268,149,5829,481,7172
LGA12300,1240,751,568,11126,596,14281,1051,477,354,8531,556,10969
LGA12350,1123,808,583,12209,997,15720,940,499,358,9360,943,12100
LGA12500,644,462,285,7138,581,9110,563,289,192,5500,539,7083
LGA12600,3221,2505,1642,41369,2824,51561,2759,1513,1007,31490,2606,39375
LGA12700,646,596,397,8748,478,10865,524,364,249,6619,436,8192
LGA12750,6964,3672,2519,31168,2688,47011,5879,2233,1534,23224,2460,35330
LGA12850,152533,9774,5843,29277,13214,210641,141614,6776,4040,22341,12506,187277
LGA12900,559,442,307,9903,600,11811,456,284,208,7601,521,9070
LGA12950,254,204,170,4729,335,5692,212,132,101,3620,290,4355
LGA13010,733,496,384,8948,720,11281,614,312,239,6730,652,8547
LGA13050,507,356,225,4839,235,6162,431,228,136,3756,215,4766
LGA13100,37978,20587,13846,130648,12214,215273,31445,12447,8415,96600,11161,160068
LGA13310,3466,2212,1532,26650,2379,36239,2908,1336,916,20245,2240,27645
LGA13320,5175,3311,2174,31666,2761,45087,4338,2092,1365,24135,2531,34461
LGA13340,851,638,508,10142,629,12768,686,395,301,7720,570,9672
LGA13380,5522,3756,2609,44761,3362,60010,4669,2308,1599,34168,3072,45816
LGA13450,7259,2150,1099,18413,2085,31006,6621,1469,714,13583,1949,24336
LGA13500,222,125,120,3983,246,4696,192,80,80,3117,205,3674
