region_id,Spks_Engl_only_C01_M,Spks_Engl_only_C01_F,Spks_Engl_only_C01_P,Spks_Engl_only_C06_M,Spks_Engl_only_C06_F,Spks_Engl_only_C06_P,Spks_Engl_only_C11_M,Spks_Engl_only_C11_F,Spks_Engl_only_C11_P,SOL_Ar_in_Le_C01_M,SOL_Ar_in_Le_C01_F,SOL_Ar_in_Le_C01_P,SOL_Ar_in_Le_C06_M,SOL_Ar_in_Le_C06_F,SOL_Ar_in_Le_C06_P,SOL_Ar_in_Le_C11_M,SOL_Ar_in_Le_C11_F,SOL_Ar_in_Le_C11_P,SOL_Assyr_C01_M,SOL_Assyr_C01_F,SOL_Assyr_C01_P,SOL_Assyr_C06_M,SOL_Assyr_C06_F,SOL_Assyr_C06_P,SOL_Assyr_C11_M,SOL_Assyr_C11_F,SOL_Assyr_C11_P,SOL_Aus_In_La_C01_M,SOL_Aus_In_La_C01_F,SOL_Aus_In_La_C01_P,SOL_Aus_In_La_C06_M,SOL_Aus_In_La_C06_F,SOL_Aus_In_La_C06_P,SOL_Aus_In_La_C11_M,SOL_Aus_In_La_C11_F,SOL_Aus_In_La_C11_P,SOL_Canton_C01_M,SOL_Canton_C01_F,SOL_Canton_C01_P,SOL_Canton_C06_M,SOL_Canton_C06_F,SOL_Canton_C06_P,SOL_Canton_C11_M,SOL_Canton_C11_F,SOL_Canton_C11_P,SOL_Mandar_C01_M,SOL_Mandar_C01_F,SOL_Mandar_C01_P,SOL_Mandar_C06_M,SOL_Mandar_C06_F,SOL_Mandar_C06_P,SOL_Mandar_C11_M,SOL_Mandar_C11_F,SOL_Mandar_C11_P,SOL_CL_Oth_C01_M,SOL_CL_Oth_C01_F,SOL_CL_Oth_C01_P,SOL_CL_Oth_C06_M,SOL_CL_Oth_C06_F,SOL_CL_Oth_C06_P,SOL_CL_Oth_C11_M,SOL_CL_Oth_C11_F,SOL_CL_Oth_C11_P,SOL_CL_Tot_C01_M,SOL_CL_Tot_C01_F,SOL_CL_Tot_C01_P,SOL_CL_Tot_C06_M,SOL_CL_Tot_C06_F,SOL_CL_Tot_C06_P,SOL_CL_Tot_C11_M,SOL_CL_Tot_C11_F,SOL_CL_Tot_C11_P,SOL_Croatian_C01_M,SOL_Croatian_C01_F,SOL_Croatian_C01_P,SOL_Croatian_C06_M,SOL_Croatian_C06_F,SOL_Croatian_C06_P,SOL_Croatian_C11_M,SOL_Croatian_C11_F,SOL_Croatian_C11_P,SOL_Dut_C01_M,SOL_Dut_C01_F,SOL_Dut_C01_P,SOL_Dut_C06_M,SOL_Dut_C06_F,SOL_Dut_C06_P,SOL_Dut_C11_M,SOL_Dut_C11_F,SOL_Dut_C11_P,SOL_French_C01_M,SOL_French_C01_F,SOL_French_C01_P,SOL_French_C06_M,SOL_French_C06_F,SOL_French_C06_P,SOL_French_C11_M,SOL_French_C11_F,SOL_French_C11_P,SOL_German_C01_M,SOL_German_C01_F,SOL_German_C01_P,SOL_German_C06_M,SOL_German_C06_F,SOL_German_C06_P,SOL_German_C11_M,SOL_German_C11_F,SOL_German_C11_P,SOL_Gre_C01_M,SOL_Gre_C01_F,SOL_Gre_C01_P,SOL_Gre_C06_M,SOL_Gre_C06_F,SOL_Gre_C06_P,SOL_Gre_C11_M,SOL_Gre_C11_F,SOL_Gre_C11_P,SOL_Hindi_C01_M,SOL_Hindi_C01_F,SOL_Hindi_C01_P,SOL_Hindi_C06_M,SOL_Hindi_C06_F,SOL_Hindi_C06_P,SOL_Hindi_C11_M,SOL_Hindi_C11_F,SOL_Hindi_C11_P,SOL_Indon_C01_M,SOL_Indon_C01_F,SOL_Indon_C01_P,SOL_Indon_C06_M,SOL_Indon_C06_F,SOL_Indon_C06_P,SOL_Indon_C11_M,SOL_Indon_C11_F,SOL_Indon_C11_P,SOL_Italian_C01_M,SOL_Italian_C01_F,SOL_Italian_C01_P,SOL_Italian_C06_M,SOL_Italian_C06_F,SOL_Italian_C06_P,SOL_Italian_C11_M,SOL_Italian_C11_F,SOL_Italian_C11_P,SOL_Japanes_C01_M,SOL_Japanes_C01_F,SOL_Japanes_C01_P,SOL_Japanes_C06_M,SOL_Japanes_C06_F,SOL_Japanes_C06_P,SOL_Japanes_C11_M,SOL_Japanes_C11_F,SOL_Japanes_C11_P,SOL_Khmer_C01_M,SOL_Khmer_C01_F,SOL_Khmer_C01_P,SOL_Khmer_C06_M,SOL_Khmer_C06_F,SOL_Khmer_C06_P,SOL_Khmer_C11_M,SOL_Khmer_C11_F,SOL_Khmer_C11_P,SOL_Korean_C01_M,SOL_Korean_C01_F,SOL_Korean_C01_P,SOL_Korean_C06_M,SOL_Korean_C06_F,SOL_Korean_C06_P,SOL_Korean_C11_M,SOL_Korean_C11_F,SOL_Korean_C11_P,SOL_Mac_C01_M,SOL_Mac_C01_F,SOL_Mac_C01_P,SOL_Mac_C06_M,SOL_Mac_C06_F,SOL_Mac_C06_P,SOL_Mac_C11_M,SOL_Mac_C11_F,SOL_Mac_C11_P,SOL_Maltes_C01_M,SOL_Maltes_C01_F,SOL_Maltes_C01_P,SOL_Maltes_C06_M,SOL_Maltes_C06_F,SOL_Maltes_C06_P,SOL_Maltes_C11_M,SOL_Maltes_C11_F,SOL_Maltes_C11_P,SOL_Pe_in_Da_C01_M,SOL_Pe_in_Da_C01_F,SOL_Pe_in_Da_C01_P,SOL_Pe_in_Da_C06_M,SOL_Pe_in_Da_C06_F,SOL_Pe_in_Da_C06_P,SOL_Pe_in_Da_C11_M,SOL_Pe_in_Da_C11_F,SOL_Pe_in_Da_C11_P,SOL_Polish_C01_M,SOL_Polish_C01_F
LGA10050,19661,20894,40555,20733,21964,42697,20637,22360,42997,29,21,50,39,33,72,56,36,92,3,3,6,0,0,0,0,0,0,3,0,3,5,9,14,5,5,10,26,28,54,24,27,51,32,27,59,14,17,31,15,21,36,38,33,71,6,3,9,0,0,0,3,5,8,46,48,94,39,48,87,73,65,138,20,21,41,18,23,41,26,22,48,26,42,68,22,45,67,29,32,61,23,22,45,19,28,47,26,36,62,76,92,168,67,88,155,61,75,136,93,97,190,83,84,167,79,87,166,17,8,25,16,14,30,62,50,112,3,0,3,0,0,0,3,12,15,92,86,178,76,77,153,73,83,156,5,9,14,3,6,9,6,6,12,3,0,3,3,0,3,3,3,6,3,0,3,0,3,3,11,16,27,0,3,3,0,3,3,5,0,5,0,3,3,4,3,7,3,0,3,0,4,4,10,9,19,6,8,14,35,35
LGA10110,10580,11510,22090,10354,11452,21806,10241,11296,21537,9,6,15,29,24,53,121,79,200,0,0,0,0,0,0,0,0,0,9,5,14,0,0,0,3,10,13,38,40,78,49,35,84,36,33,69,36,33,69,71,56,127,74,75,149,5,5,10,14,17,31,47,48,95,79,78,157,134,108,242,157,156,313,0,4,4,0,0,0,0,0,0,4,12,16,12,17,29,8,11,19,5,14,19,14,18,32,17,28,45,40,53,93,51,54,105,49,57,106,19,12,31,10,14,24,16,10,26,5,5,10,11,13,24,17,12,29,25,33,58,10,15,25,17,20,37,15,24,39,27,10,37,12,19,31,17,32,49,20,24,44,16,26,42,3,3,6,0,0,0,0,0,0,11,6,17,14,19,33,8,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14,10,24,14,13,27,25,18,43,4,7
LGA10150,9341,9996,19337,9450,9986,19436,9992,10381,20373,485,430,915,377,353,730,369,323,692,3,3,6,7,6,13,5,4,9,3,3,6,11,6,17,3,4,7,865,1035,1900,885,1054,1939,824,1030,1854,1173,1196,2369,1633,1856,3489,1723,2004,3727,150,183,333,151,139,290,184,215,399,2188,2414,4602,2669,3049,5718,2731,3249,5980,108,105,213,114,102,216,84,86,170,13,16,29,19,16,35,14,19,33,66,63,129,60,72,132,72,68,140,66,59,125,58,52,110,45,65,110,487,521,1008,450,495,945,442,474,916,192,143,335,245,162,407,238,215,453,76,97,173,72,106,178,81,108,189,1758,1823,3581,1459,1600,3059,1289,1498,2787,44,64,108,60,94,154,58,106,164,12,12,24,10,14,24,10,7,17,301,311,612,207,293,500,205,306,511,8,11,19,11,9,20,4,7,11,26,28,54,21,21,42,16,24,40,30,22,52,22,15,37,36,19,55,181,185
LGA10200,7060,6922,13982,7342,7078,14420,8161,7306,15467,4034,3581,7615,4214,3884,8098,4012,3840,7852,21,19,40,23,14,37,28,18,46,3,4,7,24,24,48,0,0,0,3090,3242,6332,3324,3522,6846,3479,3785,7264,1372,1316,2688,2233,2330,4563,3278,3489,6767,289,293,582,290,298,588,426,454,880,4751,4851,9602,5847,6150,11997,7183,7728,14911,421,378,799,309,289,598,340,317,657,14,8,22,8,9,17,9,6,15,31,21,52,38,32,70,50,51,101,29,28,57,38,46,84,43,36,79,305,315,620,266,267,533,235,233,468,246,221,467,378,285,663,536,484,1020,66,78,144,141,180,321,218,247,465,375,343,718,321,292,613,299,295,594,8,14,22,33,40,73,42,48,90,6,10,16,10,12,22,13,12,25,520,578,1098,1031,1056,2087,1788,1925,3713,50,47,97,46,42,88,45,34,79,49,46,95,39,47,86,31,38,69,553,286,839,1039,777,1816,747,587,1334,85,99
LGA10250,16956,17928,34884,17540,18852,36392,17611,19074,36685,5,0,5,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,16,7,23,28,31,59,27,28,55,22,28,50,0,0,0,12,14,26,20,22,42,3,0,3,0,0,0,3,4,7,31,31,62,39,42,81,45,54,99,3,0,3,6,9,15,10,14,24,25,35,60,30,35,65,43,49,92,17,22,39,25,29,54,25,30,55,45,53,98,54,74,128,52,67,119,14,8,22,9,10,19,18,16,34,4,5,9,0,0,0,4,3,7,0,0,0,0,7,7,4,10,14,56,70,126,69,82,151,65,80,145,15,16,31,12,21,33,37,36,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,4,4,5,4,9,4,6,10,12,12,24,4,11,15,5,5,10,6,12,18,5,0
LGA10300,1327,1105,2432,1193,1060,2253,1060,978,2038,0,0,0,4,0,4,5,3,8,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,3,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,10,14,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,3,3,0,0,0,0,3,3,3,5,8,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,80,166,72,59,131,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA10350,39095,40622,79717,36193,37760,73953,35659,36626,72285,13630,13089,26719,16630,16187,32817,19472,19154,38626,105,90,195,104,100,204,122,119,241,3,6,9,19,29,48,5,0,5,2395,2541,4936,2581,2771,5352,2789,3058,5847,1292,1355,2647,1573,1711,3284,1950,2184,4134,274,286,560,203,206,409,247,295,542,3961,4182,8143,4357,4688,9045,4986,5537,10523,368,322,690,338,355,693,344,348,692,54,74,128,42,63,105,43,59,102,207,260,467,181,234,415,220,264,484,229,295,524,183,227,410,155,228,383,3369,3403,6772,3213,3290,6503,3199,3366,6565,435,449,884,496,530,1026,574,660,1234,220,219,439,306,312,618,509,597,1106,1805,1832,3637,1583,1663,3246,1475,1562,3037,32,44,76,46,57,103,54,93,147,95,99,194,84,98,182,73,87,160,710,693,1403,635,696,1331,618,689,1307,1603,1535,3138,1488,1480,2968,1654,1612,3266,163,174,337,138,155,293,128,154,282,86,77,163,124,124,248,176,164,340,440,541
LGA10470,15391,16182,31573,16139,16905,33044,17224,17848,35072,66,57,123,52,43,95,70,40,110,0,0,0,0,0,0,0,0,0,5,5,10,9,14,23,6,3,9,50,35,85,53,35,88,35,35,70,21,19,40,23,20,43,50,46,96,9,10,19,3,4,7,9,5,14,80,64,144,79,59,138,94,86,180,10,6,16,14,7,21,12,7,19,25,23,48,26,26,52,26,23,49,11,9,20,11,18,29,13,22,35,32,41,73,34,39,73,42,38,80,17,13,30,21,20,41,16,19,35,9,20,29,11,16,27,20,24,44,3,3,6,0,4,4,0,4,4,50,30,80,37,30,67,35,35,70,11,11,22,16,20,36,12,11,23,3,0,3,5,3,8,5,4,9,15,8,23,26,12,38,3,10,13,0,0,0,4,5,9,0,0,0,5,4,9,8,9,17,8,6,14,6,11,17,4,11,15,9,8,17,3,7
LGA10550,13950,14315,28265,14571,15098,29669,14616,15129,29745,3,3,6,6,4,10,6,3,9,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,3,0,3,16,13,29,13,4,17,9,12,21,3,3,6,9,6,15,10,5,15,0,0,0,6,9,15,3,3,6,19,16,35,28,19,47,22,20,42,13,9,22,7,11,18,5,10,15,44,56,100,46,59,105,48,59,107,23,18,41,14,25,39,22,21,43,84,91,175,82,95,177,73,100,173,23,25,48,10,18,28,25,16,41,0,0,0,0,3,3,3,3,6,0,3,3,0,0,0,0,6,6,47,39,86,54,29,83,66,45,111,4,7,11,13,13,26,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,0,0,0,0,3,3,8,8,16,6,7,13,8,6,14,0,0,0,0,0,0,0,3,3,8,9
LGA10600,5727,5707,11434,5665,6004,11669,5687,6052,11739,3,3,6,0,3,3,3,6,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,10,10,20,7,7,14,12,7,19,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,3,10,10,20,7,11,18,12,10,22,0,0,0,0,0,0,4,0,4,9,15,24,9,14,23,19,24,43,6,13,19,7,9,16,12,19,31,43,50,93,30,47,77,33,52,85,3,3,6,3,3,6,0,0,0,0,0,0,0,0,0,3,0,3,6,5,11,4,3,7,9,7,16,12,12,24,3,6,9,6,8,14,0,0,0,3,0,3,3,9,12,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
