region_id,SOL_Polish_C01_P,SOL_Polish_C06_M,SOL_Polish_C06_F,SOL_Polish_C06_P,SOL_Polish_C11_M,SOL_Polish_C11_F,SOL_Polish_C11_P,SOL_Port_C01_M,SOL_Port_C01_F,SOL_Port_C01_P,SOL_Port_C06_M,SOL_Port_C06_F,SOL_Port_C06_P,SOL_Port_C11_M,SOL_Port_C11_F,SOL_Port_C11_P,SOL_Punjabi_C01_M,SOL_Punjabi_C01_F,SOL_Punjabi_C01_P,SOL_Punjabi_C06_M,SOL_Punjabi_C06_F,SOL_Punjabi_C06_P,SOL_Punjabi_C11_M,SOL_Punjabi_C11_F,SOL_Punjabi_C11_P,SOL_Russian_C01_M,SOL_Russian_C01_F,SOL_Russian_C01_P,SOL_Russian_C06_M,SOL_Russian_C06_F,SOL_Russian_C06_P,SOL_Russian_C11_M,SOL_Russian_C11_F,SOL_Russian_C11_P,SOL_Samoan_C01_M,SOL_Samoan_C01_F,SOL_Samoan_C01_P,SOL_Samoan_C06_M,SOL_Samoan_C06_F,SOL_Samoan_C06_P,SOL_Samoan_C11_M,SOL_Samoan_C11_F,SOL_Samoan_C11_P,SOL_Serbian_C01_M,SOL_Serbian_C01_F,SOL_Serbian_C01_P,SOL_Serbian_C06_M,SOL_Serbian_C06_F,SOL_Serbian_C06_P,SOL_Serbian_C11_M,SOL_Serbian_C11_F,SOL_Serbian_C11_P,SOL_Sinhalese_C01_M,SOL_Sinhalese_C01_F,SOL_Sinhalese_C01_P,SOL_Sinhalese_C06_M,SOL_Sinhalese_C06_F,SOL_Sinhalese_C06_P,SOL_Sinhalese_C11_M,SOL_Sinhalese_C11_F,SOL_Sinhalese_C11_P,SOL_Spanish_C01_M,SOL_Spanish_C01_F,SOL_Spanish_C01_P,SOL_Spanish_C06_M,SOL_Spanish_C06_F,SOL_Spanish_C06_P,SOL_Spanish_C11_M,SOL_Spanish_C11_F,SOL_Spanish_C11_P,SOL_Ta_in_Fi_C01_M,SOL_Ta_in_Fi_C01_F,SOL_Ta_in_Fi_C01_P,SOL_Ta_in_Fi_C06_M,SOL_Ta_in_Fi_C06_F,SOL_Ta_in_Fi_C06_P,SOL_Ta_in_Fi_C11_M,SOL_Ta_in_Fi_C11_F,SOL_Ta_in_Fi_C11_P,SOL_Tamil_C01_M,SOL_Tamil_C01_F,SOL_Tamil_C01_P,SOL_Tamil_C06_M,SOL_Tamil_C06_F,SOL_Tamil_C06_P,SOL_Tamil_C11_M,SOL_Tamil_C11_F,SOL_Tamil_C11_P,SOL_Thai_C01_M,SOL_Thai_C01_F,SOL_Thai_C01_P,SOL_Thai_C06_M,SOL_Thai_C06_F,SOL_Thai_C06_P,SOL_Thai_C11_M,SOL_Thai_C11_F,SOL_Thai_C11_P,SOL_Turkish_C01_M,SOL_Turkish_C01_F,SOL_Turkish_C01_P,SOL_Turkish_C06_M,SOL_Turkish_C06_F,SOL_Turkish_C06_P,SOL_Turkish_C11_M,SOL_Turkish_C11_F,SOL_Turkish_C11_P,SOL_Viet_C01_M,SOL_Viet_C01_F,SOL_Viet_C01_P,SOL_Viet_C06_M,SOL_Viet_C06_F,SOL_Viet_C06_P,SOL_Viet_C11_M,SOL_Viet_C11_F,SOL_Viet_C11_P,SOL_Other_C01_M,SOL_Other_C01_F,SOL_Other_C01_P,SOL_Other_C06_M,SOL_Other_C06_F,SOL_Other_C06_P,SOL_Other_C11_M,SOL_Other_C11_F,SOL_Other_C11_P,SOL_Tot_C01_M,SOL_Tot_C01_F,SOL_Tot_C01_P,SOL_Tot_C06_M,SOL_Tot_C06_F,SOL_Tot_C06_P,SOL_Tot_C11_M,SOL_Tot_C11_F,SOL_Tot_C11_P,Lang_spoke_home_NS_C01_M,Lang_spoke_home_NS_C01_F,Lang_spoke_home_NS_C01_P,Lang_spoke_home_NS_C06_M,Lang_spoke_home_NS_C06_F,Lang_spoke_home_NS_C06_P,Lang_spoke_home_NS_C11_M,Lang_spoke_home_NS_C11_F,Lang_spoke_home_NS_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA10050,70,31,21,52,17,19,36,0,0,0,0,4,4,3,9,12,7,3,10,0,5,5,56,34,90,6,4,10,6,3,9,10,14,24,0,0,0,4,0,4,0,0,0,25,22,47,23,19,42,17,13,30,7,4,11,3,4,7,11,11,22,22,27,49,31,25,56,29,24,53,22,52,74,30,62,92,54,105,159,8,7,15,11,3,14,14,14,28,4,9,13,3,16,19,8,36,44,0,0,0,3,0,3,4,0,4,10,10,20,5,10,15,14,10,24,224,248,472,247,288,535,510,488,998,812,880,1692,801,933,1734,1274,1313,2587,976,1053,2029,1146,922,2068,1089,971,2060,65,81,146,77,88,165,64,67,131,21514,22908,44422,22757,23907,46664,23064,24711,47775
LGA10110,11,4,3,7,3,4,7,5,0,5,4,5,9,3,3,6,3,9,12,4,11,15,10,5,15,5,7,12,11,11,22,8,9,17,0,0,0,3,7,10,0,6,6,3,0,3,3,3,6,0,3,3,5,4,9,8,6,14,13,9,22,13,16,29,16,18,34,8,21,29,7,12,19,4,11,15,12,28,40,5,8,13,8,12,20,3,8,11,7,14,21,8,16,24,21,20,41,0,3,3,4,0,4,0,0,0,3,4,7,5,0,5,32,21,53,156,136,292,117,111,228,217,201,418,471,517,988,545,543,1088,800,789,1589,399,436,835,547,488,1035,644,712,1356,84,130,214,75,93,168,145,170,315,11534,12593,24127,11521,12576,24097,11830,12967,24797
LGA10150,366,143,161,304,117,141,258,141,146,287,120,121,241,114,129,243,20,9,29,18,14,32,38,17,55,48,81,129,49,75,124,47,62,109,12,15,27,6,6,12,12,11,23,70,78,148,63,52,115,55,49,104,21,13,34,27,21,48,16,25,41,359,376,735,282,324,606,305,318,623,289,361,650,257,372,629,248,420,668,112,85,197,106,96,202,92,77,169,53,90,143,69,102,171,97,173,270,88,85,173,70,65,135,87,72,159,135,122,257,136,154,290,144,166,310,995,779,1774,1101,840,1941,1610,1301,2911,8390,8550,16940,8319,8868,17187,8684,9543,18227,1350,1356,2706,1596,1386,2982,1323,1174,2497,223,290,513,245,262,507,180,259,439,19304,20192,39496,19610,20502,40112,20179,21357,41536
LGA10200,184,57,90,147,56,76,132,38,49,87,43,44,87,50,39,89,138,80,218,169,107,276,405,283,688,222,259,481,184,230,414,159,185,344,103,140,243,107,124,231,74,110,184,92,99,191,61,74,135,56,66,122,43,27,70,37,47,84,66,61,127,262,301,563,228,255,483,260,288,548,519,664,1183,439,622,1061,531,715,1246,648,563,1211,707,650,1357,800,812,1612,27,45,72,31,57,88,61,112,173,2118,2089,4207,2335,2291,4626,2442,2449,4891,822,852,1674,787,889,1676,903,1008,1911,2036,1811,3847,2691,2304,4995,4794,3859,8653,18635,17906,36541,21681,21230,42911,26276,25962,52238,3405,1923,5328,4832,2784,7616,4030,2368,6398,287,241,528,302,351,653,335,482,817,29387,26992,56379,34157,31443,65600,38802,36118,74920
LGA10250,5,3,3,6,10,4,14,4,4,8,3,3,6,14,15,29,11,9,20,7,6,13,8,4,12,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,10,0,10,3,5,8,0,0,0,4,3,7,6,0,6,16,18,34,23,27,50,33,35,68,7,22,29,3,25,28,11,41,52,0,0,0,8,4,12,7,4,11,11,15,26,7,13,20,25,37,62,0,0,0,0,0,0,0,0,0,3,7,10,7,12,19,16,18,34,74,69,143,90,107,197,121,138,259,355,403,758,427,526,953,602,706,1308,654,702,1356,675,739,1414,733,722,1455,95,106,201,98,121,219,93,103,196,18060,19139,37199,18740,20238,38978,19039,20605,39644
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,4,11,3,14,3,3,6,16,19,35,112,95,207,103,79,182,87,95,182,72,49,121,69,61,130,110,65,175,3,4,7,6,0,6,15,5,20,1514,1253,2767,1371,1200,2571,1272,1143,2415
LGA10350,981,383,470,853,286,376,662,156,142,298,189,201,390,219,240,459,98,95,193,129,120,249,214,176,390,111,152,263,101,139,240,116,144,260,385,410,795,426,434,860,405,493,898,180,177,357,190,190,380,199,195,394,41,39,80,34,37,71,75,76,151,614,648,1262,585,652,1237,645,731,1376,332,510,842,356,558,914,503,740,1243,106,88,194,120,118,238,115,118,233,36,79,115,74,129,203,113,192,305,232,234,466,271,289,560,325,333,658,5813,5998,11811,6858,7234,14092,7982,8595,16577,2250,2309,4559,2600,2678,5278,3839,3764,7603,37869,38265,76134,42283,43537,85820,48843,50866,99709,4492,4498,8990,5219,4880,10099,5308,4763,10071,343,420,763,334,414,748,376,523,899,81799,83805,165604,84029,86591,170620,90186,92778,182964
LGA10470,10,7,8,15,3,6,9,0,3,3,0,5,5,3,3,6,0,0,0,0,0,0,0,3,3,7,4,11,13,7,20,10,12,22,6,7,13,0,0,0,9,3,12,3,6,9,15,5,20,15,12,27,3,7,10,3,3,6,7,8,15,23,26,49,17,19,36,16,20,36,6,18,24,15,29,44,16,36,52,5,6,11,5,7,12,11,10,21,8,11,19,6,7,13,5,13,18,0,3,3,0,0,0,7,6,13,11,10,21,7,8,15,13,17,30,124,94,218,118,116,234,164,155,319,547,507,1054,563,550,1113,650,644,1294,1213,708,1921,1328,588,1916,1500,816,2316,70,106,176,56,90,146,71,105,176,17221,17503,34724,18086,18133,36219,19445,19413,38858
LGA10550,17,8,12,20,13,9,22,3,3,6,3,3,6,5,0,5,0,0,0,0,0,0,3,0,3,3,3,6,9,3,12,5,5,10,3,3,6,0,3,3,3,3,6,0,0,0,7,3,10,3,10,13,3,0,3,0,0,0,0,0,0,7,8,15,8,11,19,20,18,38,3,18,21,8,29,37,7,36,43,3,4,7,3,3,6,0,3,3,3,3,6,3,3,6,0,17,17,0,0,0,3,0,3,0,0,0,3,3,6,13,13,26,10,14,24,56,61,117,67,77,144,81,86,167,366,390,756,409,446,855,444,513,957,683,743,1426,518,532,1050,651,669,1320,36,41,77,45,35,80,50,58,108,15035,15489,30524,15543,16111,31654,15761,16369,32130
LGA10600,6,5,3,8,0,6,6,0,0,0,3,3,6,3,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,9,16,25,21,14,35,3,5,8,0,3,3,4,5,9,0,0,0,0,0,0,0,0,0,0,3,3,9,3,12,3,5,8,0,0,0,3,0,3,0,0,0,0,3,3,0,4,4,6,0,6,21,19,40,27,37,64,29,39,68,124,164,288,122,168,290,176,210,386,228,227,455,228,198,426,156,147,303,16,21,37,30,37,67,29,32,61,6095,6119,12214,6045,6407,12452,6048,6441,12489
LGA10650,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,4,4,3,10,13,3,7,10,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,18,14,32,11,16,27,26,22,48,76,75,151,70,89,159,94,80,174,163,153,316,104,86,190,161,157,318,9,8,17,13,13,26,7,4,11,3890,3826,7716,3936,3897,7833,3910,3915,7825
LGA10750,1585,624,766,1390,574,729,1303,203,201,404,179,221,400,210,236,446,1041,891,1932,1549,1352,2901,3852,3119,6971,175,242,417,206,259,465,247,300,547,1078,1265,2343,1510,1627,3137,1697,1812,3509,505,468,973,559,505,1064,524,496,1020,402,378,780,531,506,1037,836,813,1649,1450,1596,3046,1378,1541,2919,1380,1643,3023,6117,6915,13032,7061,8317,15378,8407,9861,18268,564,581,1145,961,998,1959,1603,1587,3190,62,114,176,93,172,265,142,287,429,1049,1004,2053,1080,1065,2145,1133,1157,2290,475,480,955,526,591,1117,532,647,1179,5429,5502,10931,7438,7662,15100,11133,11342,22475,36093,37708,73801,42676,45121,87797,54009,56871,110880,7355,6827,14182,7876,6714,14590,6867,5643,12510,496,673,1169,657,924,1581,771,1232,2003,127251,129113,256364,134963,137366,272329,149504,152391,301895
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,9,6,15,12,6,18,27,20,47,44,22,66,38,35,73,158,137,295,120,78,198,89,58,147,5,4,9,7,6,13,8,4,12,3253,3187,6440,3211,3062,6273,2971,2928,5899
LGA10850,5,0,5,5,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,8,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,3,5,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,14,7,21,14,15,29,10,6,16,37,28,65,39,47,86,57,54,111,100,120,220,71,60,131,161,125,286,9,15,24,5,5,10,3,4,7,3106,3032,6138,3159,3205,6364,3459,3413,6872
LGA10900,160,81,98,179,84,88,172,9,5,14,19,20,39,21,24,45,3,3,6,8,3,11,3,4,7,49,54,103,44,58,102,61,68,129,7,8,15,7,3,10,4,7,11,17,16,33,20,9,29,12,15,27,7,6,13,6,10,16,6,4,10,95,116,211,102,114,216,143,175,318,12,32,44,20,60,80,23,75,98,13,10,23,10,3,13,5,0,5,9,14,23,18,32,50,27,54,81,9,8,17,11,7,18,6,5,11,9,13,22,19,26,45,27,38,65,368,386,754,361,338,699,363,395,758,1639,1779,3418,1670,1848,3518,1739,2119,3858,1254,1347,2601,1338,1411,2749,1742,1671,3413,294,348,642,285,341,626,226,268,494,36099,38219,74318,35641,38069,73710,36389,39075,75464
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,3,8,18,4,22,12,15,27,10,12,22,38,29,67,55,43,98,18,25,43,112,89,201,4,0,4,0,5,5,6,8,14,1612,1488,3100,1535,1390,2925,1588,1431,3019
LGA11000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,10,8,18,9,3,12,25,29,54,27,23,50,26,25,51,42,37,79,68,51,119,39,25,64,4,3,7,0,7,7,8,5,13,1252,1224,2476,1240,1244,2484,1209,1172,2381
LGA11050,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,7,6,13,6,5,11,10,12,22,14,17,31,13,19,32,28,21,49,21,17,38,31,25,56,7,3,10,3,8,11,0,0,0,1194,1139,2333,1129,1127,2256,1166,1156,2322
