region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA10050,71,76,1063,42998,2249,398,50,2697,1947,47642
LGA10110,20,26,465,21537,1390,224,30,1644,1302,24483
LGA10150,509,65,1191,20374,14645,3600,202,18447,2280,41101
LGA10200,358,39,851,15466,38214,13757,666,52637,6002,74105
LGA10250,50,110,1402,36683,1249,122,16,1387,1377,39447
LGA10300,7,5,36,2036,159,31,0,190,169,2395
LGA10350,1076,296,3883,72285,79372,19971,1189,100532,9250,182067
LGA10470,26,33,653,35072,1197,137,26,1360,2250,38682
LGA10550,46,78,827,29745,936,79,16,1031,1247,32023
LGA10600,9,11,322,11739,388,25,3,416,272,12427
LGA10650,12,18,259,7322,159,24,6,189,301,7812
LGA10750,1177,167,2780,176503,96577,14166,1415,112158,11236,299897
LGA10800,0,8,152,5665,79,9,4,92,133,5890
LGA10850,3,7,95,6470,119,10,3,132,265,6867
LGA10900,113,123,1541,67699,3584,340,71,3995,3274,74968
LGA10950,0,3,48,2738,71,9,0,80,185,3003
LGA11000,0,11,89,2251,50,4,0,54,61,2366
LGA11050,0,0,45,2234,36,0,0,36,50,2320
LGA11100,234,41,667,20073,14431,2867,192,17490,2124,39687
LGA11150,0,4,21,2646,67,0,6,73,432,3151
LGA11200,0,3,21,1671,45,0,3,48,82,1801
LGA11250,25,59,490,17103,432,59,7,498,1154,18755
LGA11300,370,56,797,11659,15121,3887,258,19266,1492,32417
LGA11350,16,31,567,26403,1780,132,34,1946,1641,29990
LGA11400,0,20,236,11994,218,28,9,255,272,12521
LGA11450,84,42,759,48578,5149,695,72,5916,1693,56187
LGA11500,239,270,1375,101808,32203,4661,462,37326,6665,145799
LGA11520,532,113,1557,43964,22818,4274,256,27348,4133,75445
LGA11550,973,220,2201,40709,67086,20170,1089,88345,7968,137022
LGA11600,0,3,32,2394,64,27,3,94,78,2566
LGA11700,0,3,12,2105,90,13,3,106,137,2348
LGA11720,32,54,872,47146,871,136,31,1038,2512,50696
LGA11730,27,60,1265,47145,968,110,20,1098,1892,50135
LGA11750,4,3,57,4433,144,15,0,159,402,4994
LGA11800,82,97,1744,62717,3387,651,77,4115,2681,69513
LGA11860,0,3,11,1450,14,3,0,17,40,1507
LGA12000,0,5,100,3754,53,0,0,53,165,3972
LGA12050,30,7,247,8574,582,53,7,642,563,9779
LGA12150,0,3,71,3758,47,6,0,53,192,4003
LGA12200,0,10,195,6751,96,15,4,115,306,7172
LGA12300,15,17,289,10387,212,23,3,238,343,10968
LGA12350,13,20,320,11129,270,34,4,308,662,12099
LGA12500,10,24,214,6528,164,28,4,196,356,7080
LGA12600,17,56,715,36451,1118,151,15,1284,1643,39378
LGA12700,3,7,162,7813,94,12,3,109,276,8198
LGA12750,60,91,1138,32292,1246,130,27,1403,1639,35334
LGA12850,1665,128,2488,48573,92043,38246,1675,131964,6734,187271
LGA12900,6,15,221,8652,141,24,3,168,244,9064
LGA12950,0,18,113,4032,69,11,3,83,239,4354
LGA13010,5,6,223,7967,136,13,3,152,425,8544
LGA13050,7,9,142,4588,66,9,3,78,104,4770
LGA13100,256,533,5112,144024,7831,942,136,8909,7133,160066
LGA13310,24,75,569,24961,870,138,29,1037,1649,27647
LGA13320,28,207,1347,31855,814,93,24,931,1669,34455
LGA13340,4,7,209,9116,162,17,3,182,377,9675
LGA13380,59,126,1254,42772,1041,126,22,1189,1847,45808
LGA13450,188,26,468,17932,4036,916,74,5026,1379,24337
LGA13500,0,4,83,3517,47,7,6,60,105,3682
LGA13550,4,67,271,11308,167,28,0,195,671,12174
LGA13650,0,3,85,4060,39,7,3,49,165,4274
LGA13660,3,7,134,4726,62,3,4,69,75,4870
LGA13700,0,9,88,3286,68,15,0,83,112,3481
LGA13800,66,53,870,56055,3032,353,50,3435,2529,62019
LGA13850,0,3,59,2838,84,13,0,97,102,3037
LGA13950,418,300,1562,42547,42233,8032,621,50886,5185,98618
LGA14000,505,166,3807,106601,37903,6422,347,44672,3303,154576
LGA14100,156,17,632,10210,2048,339,32,2419,385,13014
LGA14150,368,84,2077,37119,30490,7932,298,38720,2458,78297
LGA14200,9,12,362,14972,317,86,6,409,446,15827
LGA14250,3,0,28,1299,49,3,0,52,60,1411
LGA14300,0,22,103,4722,61,19,6,86,941,5749
LGA14350,60,55,727,26199,618,63,11,692,1581,28472
LGA14400,31,28,629,18326,696,68,14,778,470,19574
LGA14450,240,144,1354,25900,22735,5022,292,28049,2164,56113
LGA14500,378,236,3512,81711,20159,2862,183,23204,2963,107878
LGA14550,5,14,198,8453,224,16,6,246,352,9051
LGA14600,3,14,157,6110,98,8,3,109,256,6475
LGA14650,265,371,4739,173087,6539,854,124,7517,4951,185555
LGA14700,102,49,773,23688,6091,756,58,6905,985,31578
LGA14750,20,25,191,9644,578,96,10,684,564,10892
LGA14800,160,50,642,40955,6748,1105,112,7965,2496,51416
LGA14850,60,37,887,39263,1675,227,42,1944,1477,42684
LGA14870,13,31,369,18001,573,67,4,644,1172,19817
LGA14900,669,141,1556,79987,73649,15735,1071,90455,9420,179862
LGA14920,4,3,165,6910,97,14,0,111,249,7270
LGA14950,3,3,91,2754,37,3,0,40,77,2871
LGA15050,77,67,1068,62511,1917,285,39,2241,2255,67007
LGA15150,68,50,859,32344,4457,418,58,4933,2219,39496
LGA15200,411,57,899,47115,17992,5384,263,23639,4866,75620
LGA15270,22,32,461,20342,585,87,11,683,1115,22140
LGA15300,4,12,161,12161,340,68,9,417,1045,13623
LGA15350,70,44,825,21798,3188,285,40,3513,1673,26984
LGA15500,0,10,147,6449,125,14,0,139,298,6886
LGA15550,0,0,26,2033,48,9,0,57,104,2194
LGA15650,3,15,168,14348,431,49,10,490,1222,16060
LGA15700,22,35,618,17473,420,48,6,474,601,18548
LGA15750,6,19,226,12244,206,33,4,243,676,13163
LGA15800,0,17,154,5356,137,12,3,152,355,5863
LGA15850,4,6,95,6075,87,7,3,97,265,6437
LGA15900,417,254,3909,129150,10707,2023,174,12904,6100,148154
LGA15950,132,100,1057,44909,10958,1278,111,12347,5035,62291
LGA16100,0,9,84,4601,252,12,0,264,256,5121
LGA16150,61,53,783,34374,1699,292,32,2023,2065,38462
LGA16180,3,3,104,13110,603,42,15,660,817,14587
LGA16200,9,22,361,13368,330,42,6,378,792,14538
LGA16250,649,320,3024,73287,68488,15015,1058,84561,10076,167924
LGA16350,328,176,1912,143999,23139,2944,347,26430,7553,177982
LGA16370,149,89,1504,49549,3906,386,44,4336,1777,55662
LGA16380,66,265,2457,68178,1812,156,17,1985,2650,72813
LGA16400,50,180,1356,59261,1802,211,28,2041,2761,64063
LGA16470,105,37,442,30857,4723,737,92,5552,1633,38042
LGA16550,779,251,2753,79961,33822,4845,391,39058,9910,128929
LGA16610,26,68,559,20911,387,66,13,466,868,22245
LGA16650,692,128,2405,38546,44061,8523,610,53194,5366,97106
LGA16700,512,204,2486,55359,36000,7151,385,43536,4195,103090
LGA16900,193,41,915,54145,5862,1034,96,6992,1558,62695
LGA16950,112,239,2557,82773,2894,373,52,3319,4766,90858
LGA17000,0,12,264,21415,583,81,12,676,857,22948
LGA17050,8,7,80,14964,855,64,12,931,2652,18547
LGA17100,270,35,658,11188,17356,3845,239,21440,2310,34938
LGA17150,386,319,4604,177672,21860,2545,245,24650,5873,208195
LGA17200,456,338,1543,103567,43034,8359,551,51944,26250,181761
LGA17310,28,92,1180,52230,1072,161,22,1255,2482,55967
LGA17350,0,7,167,5391,101,11,4,116,146,5653
LGA17400,0,15,149,6202,162,14,6,182,328,6712
LGA17420,424,68,1856,115995,42212,5909,427,48548,3625,168168
LGA17450,0,7,79,2973,92,9,3,104,217,3294
LGA17500,19,12,256,10081,340,50,6,396,389,10866
LGA17550,96,280,2937,79240,2988,357,59,3404,3750,86394
LGA17620,3,7,281,12866,247,72,7,326,554,13746
LGA17640,0,10,147,6577,138,16,0,154,254,6985
LGA17650,0,13,83,5528,109,11,0,120,180,5828
