region_id,C06_Oth_rel_affi_0_14,C06_Oth_rel_aff_15_24,C06_Oth_rel_aff_25_34,C06_Oth_rel_aff_35_44,C06_Oth_rel_aff_45_54,C06_Oth_rel_aff_55_64,C06_Oth_rel_aff_65_74,C06_Oth_rel_aff_75_84,C06_Oth_rel_affil_85ov,C06_Oth_rel_affil_Tot,C06_Rel_NS_0_14,C06_Rel_NS_15_24,C06_Rel_NS_25_34,C06_Rel_NS_35_44,C06_Rel_NS_45_54,C06_Rel_NS_55_64,C06_Rel_NS_65_74,C06_Rel_NS_75_84,C06_Rel_NS_85ov,C06_Rel_NS_T,C06_OS_vis_0_14,C06_OS_vis_15_24,C06_OS_vis_25_34,C06_OS_vis_35_44,C06_OS_vis_45_54,C06_OS_vis_55_64,C06_OS_vis_65_74,C06_OS_vis_75_84,C06_OS_vis_85ov,C06_OS_vis_Tot,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85oe,C11_Buddhism_Tot,C11_Christ_Angli_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Anglic_85oe,C11_Christ_Anglic_Tot,C11_Chr_Ass_Apo_0_14,C11_Chr_Ass_Apo_15_24,C11_Chr_Ass_Apo_25_34,C11_Chr_Ass_Apo_35_44,C11_Chr_Ass_Apo_45_54,C11_Chr_Ass_Apo_55_64,C11_Chr_Ass_Apo_65_74,C11_Chr_Ass_Apo_75_84,C11_Chr_Ass_Apo_85ov,C11_Chr_Ass_Apo_Tot,C11_Christ_Bapt_0_14,C11_Christ_Bapt_15_24,C11_Christ_Bapt_25_34,C11_Christ_Bapt_35_44,C11_Christ_Bapt_45_54,C11_Christ_Bapt_55_64,C11_Christ_Bapt_65_74,C11_Christ_Bapt_75_84,C11_Christ_Bapt_85ov,C11_Christ_Bapt_Tot,C11_Christ_Breth_0_14,C11_Christ_Bret_15_24,C11_Christ_Bret_25_34,C11_Christ_Bret_35_44,C11_Christ_Bret_45_54,C11_Christ_Bret_55_64,C11_Christ_Bret_65_74,C11_Christ_Bret_75_84,C11_Christ_Breth_85ov,C11_Christ_Bret_To,C11_Christ_Cath_0_14,C11_Christ_Cath_15_24,C11_Christ_Cath_25_34,C11_Christ_Cath_35_44,C11_Christ_Cath_45_54,C11_Christ_Cath_55_64,C11_Christ_Cath_65_74,C11_Christ_Cath_75_84,C11_Christ_Catho_85ov,C11_Christ_Catho_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_Chr_Jeh_Wit_0_14,C11_Chr_Jeh_Wit_15_24,C11_Chr_Jeh_Wit_25_34,C11_Chr_Jeh_Wit_35_44,C11_Chr_Jeh_Wit_45_54,C11_Chr_Jeh_Wit_55_64,C11_Chr_Jeh_Wit_65_74,C11_Chr_Jeh_Wit_75_84,C11_Chr_Jeh_Wit_85ov,C11_Chr_Jeh_Wit_Tot,C11_Ch_La_Da_Sai_0_14,C11_Ch_La_Da_Sa_15_24,C11_Ch_La_Da_Sa_25_34,C11_Ch_La_Da_Sa_35_44,C11_Ch_La_Da_Sa_45_54,C11_Ch_La_Da_Sa_55_64,C11_Ch_La_Da_Sa_65_74,C11_Ch_La_Da_Sa_75_84,C11_Chr_Lat_Da_Sa_85ov,C11_Chr_Lat_Da_Sa_Tot,C11_C_Luthe_0_14,C11_C_Luthe_15_24,C11_C_Luthe_25_34,C11_C_Luthe_35_44,C11_C_Luthe_45_54,C11_C_Luthe_55_64,C11_C_Luthe_65_74,C11_C_Luthe_75_84,C11_C_Luthe_85ov,C11_C_Luthe_Tot,C11_ch_Ori_Orth_0_14,C11_ch_Ori_Orth_15_24,C11_ch_Ori_Orth_25_34,C11_ch_Ori_Orth_35_44,C11_ch_Ori_Orth_45_54,C11_ch_Ori_Orth_55_64,C11_ch_Ori_Orth_65_74,C11_ch_Ori_Orth_75_84,C11_ch_Ori_Orth_85ov,C11_ch_Ori_Ort_To,C11_C_Oth_Pro_0_14,C11_C_Oth_Pro_15_24,C11_C_Oth_Pro_25_34,C11_C_Oth_Pro_35_44,C11_C_Oth_Pro_45_54,C11_C_Oth_Pro_55_64,C11_C_Oth_Pro_65_74,C11_C_Oth_Pro_75_84,C11_C_Oth_Pro_85ov,C11_C_Oth_Pro_Tot,C11_C_Pent_0_14,C11_C_Pent_15_24,C11_C_Pent_25_34,C11_C_Pent_35_44,C11_C_Pent_45_54,C11_C_Pent_55_64,C11_C_Pent_65_74,C11_C_Pent_75_84,C11_C_Pent_85ov,C11_C_Pent_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot
LGA10050,75,91,90,55,35,16,6,6,0,374,977,699,546,588,587,402,252,221,67,4339,16,32,25,15,26,25,19,3,3,164,9569,7165,5816,6343,6741,4889,2988,2318,835,46664,72,57,80,90,68,49,18,8,0,442,1490,1070,928,1284,1468,1444,999,683,322,9688,0,0,0,0,0,0,0,0,0,0,115,72,66,73,81,58,63,30,7,565,20,33,19,3,14,8,8,7,3,115,2939,2040,1603,1767,1820,1458,951,633,255,13466,6,7,9,5,12,8,9,15,4,75,61,32,29,58,50,44,33,38,11,356,33,9,25,22,14,25,13,13,10,164,5,0,6,10,3,9,5,4,0,42,258,205,151,196,201,180,115,116,56,1478,4,3,3,3,0,0,3,0,0,16,25,11,18,10,15,6,5,0,0,90,105,100,64,75,77,67,27,13,3,531,198,155,144,241,340,380,283,208,102,2051,24,10,15,14,26,30,25,5,7,156
LGA10110,40,110,31,29,25,9,0,0,0,244,566,439,273,262,292,220,115,90,74,2331,17,75,22,18,19,11,4,4,0,170,4642,5600,2400,2946,3188,2371,1543,1026,381,24097,42,69,40,58,39,31,10,4,0,293,1164,1246,541,720,929,803,599,403,184,6589,0,0,0,0,0,0,0,0,0,0,31,40,27,15,30,33,22,15,4,217,79,44,7,22,20,5,4,6,4,191,1110,1257,573,611,701,498,391,208,83,5432,0,10,0,4,9,8,0,0,0,31,8,13,8,11,10,12,6,3,0,71,18,13,11,8,16,13,10,4,0,93,5,14,5,5,5,4,0,3,3,44,13,15,9,22,13,9,9,12,0,102,0,3,4,3,0,0,0,0,0,10,3,13,0,3,5,5,0,0,0,29,35,33,25,27,27,22,12,5,0,186,114,152,68,122,213,203,164,146,58,1240,15,20,10,21,22,14,9,6,4,121
LGA10150,25,58,69,54,38,18,4,3,0,269,749,678,804,709,612,388,242,231,212,4625,47,119,113,43,54,73,51,5,3,508,6165,5211,7251,6621,5364,3731,2662,2026,1080,40111,167,271,522,349,391,232,93,81,33,2139,444,284,369,549,485,449,283,200,186,3249,0,0,3,0,0,0,0,0,0,3,56,32,70,71,61,53,42,22,29,436,0,0,4,0,3,4,0,0,0,11,1985,1330,1658,1810,1722,1411,1152,1085,493,12646,0,0,0,9,0,0,0,4,0,13,240,124,121,268,198,119,189,184,38,1481,17,13,19,29,12,7,8,5,0,110,7,12,10,0,14,0,0,4,0,47,14,0,13,31,15,24,9,8,10,124,6,9,15,4,9,9,4,5,5,66,23,20,26,19,15,8,10,4,0,125,49,30,59,35,31,24,11,6,3,248,125,80,128,116,140,104,71,51,72,887,0,3,8,3,7,6,0,3,3,33
LGA10200,42,46,31,28,22,10,4,0,0,183,1574,1680,2051,1525,1047,619,270,198,60,9024,107,89,120,78,79,99,70,14,0,656,13718,10915,11602,9967,8212,5261,3094,2127,706,65602,821,938,1084,1054,1286,885,361,228,77,6734,303,276,440,387,475,539,291,284,186,3181,5,0,3,0,0,0,0,0,0,8,167,130,197,156,176,98,51,45,11,1031,4,11,0,4,6,4,0,0,0,29,2441,1837,2134,1891,1804,1538,977,653,295,13570,6,3,7,3,4,5,3,0,4,35,193,116,204,214,154,183,236,119,39,1458,33,23,22,29,28,18,22,4,0,179,24,13,14,11,12,10,5,0,3,92,5,7,14,12,17,10,15,12,11,103,42,32,47,33,24,20,21,8,0,227,29,43,25,33,25,12,6,4,4,181,129,93,117,112,68,51,18,10,3,601,268,190,334,267,266,166,110,65,41,1707,11,8,7,12,11,10,8,12,5,84
LGA10250,50,77,87,53,44,19,10,3,0,343,760,412,312,435,508,406,251,258,88,3430,35,37,45,31,25,27,13,8,0,221,7266,4191,3571,5091,6013,5037,3663,3106,1040,38978,90,53,63,97,96,98,19,4,0,520,1214,696,535,1133,1403,1647,1392,1031,487,9538,0,0,0,0,0,0,0,0,0,0,75,40,49,71,77,83,70,48,22,535,9,5,3,4,4,0,3,3,0,31,2079,1146,788,1260,1455,1273,974,656,240,9871,3,8,3,3,6,4,6,7,3,43,14,6,9,19,16,14,12,7,3,100,35,25,23,35,32,33,24,22,4,233,26,4,0,8,5,5,5,6,8,67,23,16,12,17,20,27,26,24,7,172,0,0,3,0,0,3,0,0,0,6,6,0,9,7,5,6,0,6,3,42,107,67,62,47,84,63,26,15,5,476,171,97,95,215,319,389,341,293,151,2071,16,26,6,21,12,22,25,17,6,151
LGA10300,0,0,0,0,0,3,0,0,0,3,66,37,42,27,45,19,17,12,9,274,0,5,3,3,0,0,0,0,0,11,519,286,329,363,425,284,203,127,35,2571,0,0,10,3,3,4,0,0,0,20,28,28,36,49,79,82,59,33,13,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,84,97,124,131,112,66,44,11,911,0,0,0,0,0,4,0,0,0,4,0,0,3,3,3,0,0,3,3,15,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,0,5,0,0,20,26,11,3,17,49,36,32,15,6,195,0,0,0,0,0,0,3,0,0,3
LGA10350,113,113,102,85,64,23,8,8,3,519,3376,2003,1903,1865,1743,1173,772,789,261,13885,86,150,124,99,79,115,71,23,0,747,37412,23957,23022,23844,22100,16610,11309,9661,2705,170620,2412,1723,1747,2212,2524,1576,572,434,125,13325,2014,1749,1607,1995,2655,3039,2302,2002,1103,18466,10,4,5,8,8,8,4,0,0,47,635,381,392,425,458,343,205,145,75,3059,6,10,5,6,7,14,0,8,4,60,10290,7122,6118,6760,7011,5655,3925,2990,1177,51048,30,13,21,19,22,22,14,6,3,150,3104,1732,2006,2545,1876,1653,1505,827,148,15396,66,45,54,55,64,65,42,30,9,430,148,77,50,55,62,30,10,12,5,449,24,29,28,34,65,84,97,107,62,530,284,206,281,168,198,159,70,35,7,1408,108,85,80,83,86,74,41,45,25,627,414,314,205,246,245,140,64,34,8,1670,309,271,223,339,490,497,356,320,155,2960,32,22,32,27,37,43,31,51,19,294
LGA10470,27,102,49,22,14,10,4,0,0,228,573,595,560,486,392,272,155,111,37,3181,54,47,17,11,6,10,0,0,0,145,7504,6794,4280,4739,4871,3752,2219,1520,539,36218,37,46,52,48,46,27,12,4,0,272,1519,1219,911,1163,1225,1213,878,574,230,8932,0,0,0,0,0,0,0,0,0,0,106,95,56,62,77,86,38,18,6,544,54,34,33,18,18,14,6,4,0,181,3146,2284,1389,1637,1705,1317,910,580,207,13175,0,5,3,0,3,12,0,6,5,34,37,20,22,24,19,26,8,7,0,163,32,13,23,21,25,7,21,9,3,154,11,12,9,8,9,6,8,0,0,63,22,16,17,15,17,24,19,6,0,136,3,0,3,0,3,3,0,0,0,12,24,3,9,10,9,3,0,0,0,58,57,41,13,28,34,13,6,5,0,197,225,194,127,224,286,294,184,156,65,1755,31,12,13,16,16,26,13,5,3,135
LGA10550,32,31,28,39,48,23,6,10,3,220,747,368,254,341,565,427,317,192,56,3267,4,16,4,8,13,19,9,6,0,79,6065,3113,2388,3989,5224,4619,3415,2195,646,31654,65,42,24,52,83,94,18,3,0,381,1178,666,504,927,1337,1527,1406,870,324,8739,0,0,0,0,0,0,0,0,0,0,61,32,30,36,53,67,67,47,12,405,0,0,0,0,3,0,0,0,3,6,1082,720,472,766,1039,1060,721,452,125,6437,3,3,3,0,3,7,10,3,3,35,23,8,10,14,17,19,17,0,0,108,37,22,29,27,36,29,15,9,4,208,16,5,6,5,14,3,6,0,3,58,12,9,4,10,53,43,50,32,4,217,0,0,0,0,0,0,0,0,0,0,5,3,3,5,6,3,9,5,0,39,12,10,3,5,23,16,8,3,3,83,41,41,23,85,169,260,277,151,56,1103,22,7,3,16,22,24,16,12,3,125
LGA10600,28,21,18,30,33,18,3,4,0,155,319,137,94,161,230,173,103,66,35,1318,8,14,10,12,4,4,10,0,3,65,2529,1158,863,1658,2126,1746,1304,785,282,12451,29,25,13,42,55,67,12,6,4,253,384,226,160,298,459,529,450,315,136,2957,0,0,0,0,0,0,0,0,0,0,5,6,0,8,9,23,14,9,6,80,4,0,0,0,0,0,0,0,0,4,366,201,128,260,325,280,271,152,44,2027,5,0,0,0,0,3,3,0,0,11,0,3,0,3,3,3,0,0,0,12,6,5,0,6,3,4,0,4,0,28,0,0,0,0,0,3,0,0,0,3,4,0,0,7,9,3,11,10,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,13,18,14,14,7,28,19,8,5,3,116,37,19,13,36,80,92,69,41,17,404,5,0,0,3,0,7,4,3,0,22
