region_id,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85ov,C11_C_Sev_day_Adv_Tot,C11_Chr_Unit_Ch_0_14,C11_Chr_Unit_Ch_15_24,C11_Chr_Unit_Ch_25_34,C11_Chr_Unit_Ch_35_44,C11_Chr_Unit_Ch_45_54,C11_Chr_Unit_Ch_55_64,C11_Chr_Unit_Ch_65_74,C11_Chr_Unit_Ch_75_84,C11_Chr_Unit_Ch_85ov,C11_Chr_Unit_Ch_Tot,C11_Chr_Chi_nfd_0_14,C11_Chr_Chi_nfd_15_24,C11_Chr_Chi_nfd_25_34,C11_Chr_Chi_nfd_35_44,C11_Chr_Chi_nfd_45_54,C11_Chr_Chi_nfd_55_64,C11_Chr_Chi_nfd_65_74,C11_Chr_Chi_nfd_75_84,C11_Chr_Chi_nfd_85ov,C11_Chr_Chi_nfd_Tot,C11_Chr_Oth_Chi_0_14,C11_Chr_Oth_Chi_15_24,C11_Chr_Oth_Chi_25_34,C11_Chr_Oth_Chi_35_44,C11_Chr_Oth_Chi_45_54,C11_Chr_Oth_Chi_55_64,C11_Chr_Oth_Chi_65_74,C11_Chr_Oth_Chi_75_84,C11_Chr_Oth_Chi_85ov,C11_Chr_Oth_Chi_Tot,C11_Christ_Tot_0_14,C11_Christ_Tot_15_24,C11_Christ_Tot_25_34,C11_Christ_Tot_35_44,C11_Christ_Tot_45_54,C11_Christ_Tot_55_64,C11_Christ_Tot_65_74,C11_Christ_Tot_75_84,C11_Christ_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_O_R_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_Oth_Rel_Tot_0_14,C11_Oth_Rel_Tot_15_24,C11_Oth_Rel_Tot_25_34,C11_Oth_Rel_Tot_35_44,C11_Oth_Rel_Tot_45_54,C11_Oth_Rel_Tot_55_64,C11_Oth_Rel_Tot_65_74,C11_Oth_Rel_Tot_75_84,C11_Oth_Rel_Tot_85ov,C11_Other_Rel_T_T,C11_No_religion_0_14,C11_No_religion_15_24,C11_No_religion_25_34,C11_No_religion_35_44,C11_No_religion_45_54,C11_No_religion_55_64,C11_No_religion_65_74,C11_No_religion_75_84,C11_No_religion_85ov,C11_No_religion_Tot,C11_Oth_rel_affi_0_14,C11_Oth_rel_aff_15_24,C11_Oth_rel_aff_25_34,C11_Oth_rel_aff_35_44,C11_Oth_rel_aff_45_54,C11_Oth_rel_aff_55_64,C11_Oth_rel_aff_65_74,C11_Oth_rel_aff_75_84,C11_Oth_rel_affil_85ov,C11_Oth_rel_affil_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_T,C11_OS_vis_0_14,C11_OS_vis_15_24,C11_OS_vis_25_34,C11_OS_vis_35_44,C11_OS_vis_45_54,C11_OS_vis_55_64,C11_OS_vis_65_74,C11_OS_vis_75_84,C11_OS_vis_85ov,C11_OS_vis_Tot,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T
LGA10050,36,22,26,27,25,36,23,10,4,209,322,335,230,287,420,415,270,221,99,2599,237,145,109,138,129,107,52,35,9,961,12,4,3,5,10,10,4,0,0,48,5890,4253,3448,4218,4705,4285,2888,2031,892,32610,93,75,165,63,29,16,7,3,6,457,58,38,80,43,16,4,3,0,0,242,3,3,3,3,3,7,4,3,0,29,3,0,0,0,0,0,0,0,0,3,22,37,74,27,25,13,6,4,0,208,25,37,74,27,25,13,6,4,0,211,2323,1951,1638,1224,1099,781,323,163,72,9574,61,116,107,74,25,23,8,3,0,417,759,584,434,462,480,401,258,191,91,3660,13,39,29,10,19,13,10,0,0,133,9297,7153,6058,6214,6469,5592,3525,2406,1061,47775
LGA10110,46,18,15,22,14,18,12,6,0,151,125,167,63,79,163,125,106,70,36,934,78,84,39,46,64,64,29,17,4,425,3,3,4,3,6,5,6,0,0,30,2847,3145,1409,1744,2247,1841,1379,904,380,15896,18,16,27,24,8,5,5,0,0,103,103,42,123,54,30,4,0,3,0,359,0,4,5,0,0,4,3,0,0,16,0,0,0,0,3,0,3,0,0,6,18,28,18,23,27,19,0,0,3,136,18,28,18,23,30,19,3,0,3,142,1069,1493,685,513,605,508,229,87,43,5232,38,99,41,30,26,14,9,3,0,260,475,444,260,265,249,218,143,87,38,2179,21,196,43,17,24,7,5,3,0,316,4631,5536,2651,2728,3258,2651,1786,1091,464,24796
LGA10150,3,12,11,7,4,12,0,3,5,57,104,71,98,103,120,99,65,60,52,772,78,71,109,89,70,32,26,21,19,515,5,9,5,8,3,11,0,0,3,44,3156,2100,2726,3151,2909,2372,1870,1665,918,20867,338,391,1212,284,89,63,17,13,0,2407,120,92,230,94,74,46,19,12,6,693,24,12,20,19,18,17,3,4,4,121,0,0,0,0,5,0,0,0,0,5,28,38,88,59,33,25,3,3,3,280,28,38,88,59,38,25,3,3,3,285,1738,1676,2237,1767,1567,1010,342,191,69,10597,36,69,100,68,30,21,9,3,3,339,594,459,702,531,478,333,207,190,156,3650,29,85,78,35,48,102,50,12,0,439,6230,5193,7915,6357,5642,4221,2613,2174,1192,41537
LGA10200,29,15,22,25,17,13,7,7,0,135,293,233,264,222,202,180,81,50,30,1555,224,239,260,206,143,83,35,10,6,1206,15,14,9,15,10,5,3,4,0,75,4221,3283,4120,3632,3442,2945,1889,1287,638,25457,495,647,1519,442,299,216,87,45,14,3764,5666,3366,3805,2591,1737,952,482,143,20,18762,6,5,6,5,3,4,7,0,0,36,0,0,5,0,0,0,0,0,0,5,94,169,335,87,43,46,16,0,3,793,94,169,340,87,43,46,16,0,3,798,1907,1801,2335,1550,1616,981,346,156,46,10738,43,58,79,53,35,19,7,4,3,301,1246,1251,1859,1154,985,571,251,145,48,7510,100,97,162,64,133,171,68,24,0,819,14599,11615,15309,10632,9579,6790,3514,2032,849,74919
LGA10250,41,17,20,22,43,19,38,37,33,270,205,146,120,203,314,417,362,314,162,2243,227,142,104,125,152,126,82,40,10,1008,7,5,13,7,7,7,3,3,3,55,4258,2446,1854,3197,3954,4138,3389,2529,1147,26912,8,4,12,7,8,5,4,0,0,48,13,3,9,8,8,0,0,0,0,41,7,3,5,4,10,11,10,3,4,57,6,3,4,4,0,3,0,0,0,20,20,24,22,30,28,33,7,3,0,167,26,27,26,34,28,36,7,3,0,187,2080,1087,996,1171,1206,1059,485,215,84,8383,85,65,80,93,71,39,12,11,0,456,563,250,253,317,353,408,292,244,165,2845,38,22,34,34,36,15,13,0,4,196,7168,3960,3332,4962,5770,5809,4231,3009,1404,39645
LGA10300,0,0,0,0,0,0,0,0,0,0,8,15,3,11,21,34,22,9,0,123,15,11,3,13,11,9,3,0,0,65,0,0,0,0,0,3,0,0,0,3,325,157,148,227,301,283,190,104,33,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,51,50,53,42,28,10,3,3,339,0,0,0,0,0,4,0,0,0,4,43,41,20,25,40,41,33,15,0,258,0,9,10,3,0,0,0,0,0,22,467,258,238,311,386,364,233,122,36,2415
LGA10350,66,52,40,36,42,32,23,13,6,310,468,412,291,334,455,441,360,320,175,3256,484,325,334,278,308,203,84,53,29,2098,52,43,43,38,43,38,19,26,13,315,18544,12892,11815,13451,14132,12540,9152,7024,3023,102573,308,204,366,295,229,167,57,28,12,1666,12072,5952,6154,4518,3186,1847,777,256,67,34829,10,6,9,4,10,9,11,4,5,68,0,0,0,0,3,0,3,0,0,6,185,173,253,143,160,119,40,17,3,1093,185,173,253,143,163,119,43,17,3,1099,3013,2634,2387,2039,2306,1489,646,428,154,15096,98,110,109,75,70,44,12,9,3,530,2904,1780,1798,1650,1593,1231,744,687,490,12877,92,156,146,98,113,154,101,29,9,898,39638,25630,24784,24485,24326,19176,12115,8916,3891,182961
LGA10470,9,11,4,7,12,7,6,6,0,62,229,246,161,199,286,282,217,115,44,1779,134,104,82,65,76,81,40,17,7,606,3,3,0,3,0,3,3,0,0,15,5642,4312,2875,3500,3820,3417,2357,1508,570,28001,22,7,14,16,11,5,0,0,0,75,33,19,18,20,8,6,4,0,0,108,0,7,0,0,4,6,0,0,0,17,3,0,3,4,0,4,0,0,0,14,18,24,29,19,23,13,7,0,0,133,21,24,32,23,23,17,7,0,0,147,1610,1523,894,740,690,523,228,88,26,6322,46,110,65,47,26,11,10,3,0,318,613,616,554,486,395,348,224,137,50,3423,52,80,9,11,7,9,4,0,4,176,8076,6744,4513,4891,5030,4369,2846,1740,650,38859
LGA10550,32,14,7,17,12,12,8,7,3,112,142,107,53,110,222,305,296,196,65,1496,136,71,36,76,98,106,71,36,7,637,0,0,4,3,7,4,8,3,0,29,2802,1718,1190,2102,3114,3485,2985,1826,615,19837,6,4,5,5,10,5,0,3,0,38,3,4,4,6,10,3,3,0,0,33,0,3,0,3,6,3,4,3,0,22,3,3,0,0,0,4,0,0,0,10,12,9,26,25,33,35,10,0,0,150,15,12,26,25,33,39,10,0,0,160,2027,1004,793,989,1321,1327,639,258,112,8470,52,41,55,49,41,37,9,9,0,293,566,263,235,283,390,466,291,195,100,2789,10,17,22,10,13,14,14,3,4,107,5546,3108,2354,3524,5021,5473,3973,2300,831,32130
LGA10600,5,5,3,0,7,0,15,3,0,38,112,63,43,79,121,152,145,87,48,850,77,40,23,33,60,59,26,10,6,334,10,4,3,5,9,5,4,3,0,43,1038,586,387,745,1118,1187,1020,645,263,6989,3,0,3,3,0,3,3,0,0,15,4,0,0,3,4,0,0,0,0,11,11,5,0,7,6,4,0,0,0,33,4,3,0,3,0,0,0,0,0,10,27,9,20,28,27,18,4,0,0,133,31,12,20,31,27,18,4,0,0,143,1027,436,326,470,619,577,279,112,36,3882,41,30,34,39,40,27,5,0,5,221,190,105,45,101,149,139,87,51,14,881,4,6,17,3,10,14,9,0,0,63,2378,1205,845,1444,2028,2036,1419,814,322,12491
