region_id,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T
LGA10050,402,10806,0,0,0,0,0,0,5,0,0,0,0,5,192,29,13,0,0,234,91,48,18,5,3,165,5,3,0,0,0,8,0,0,0,0,0,0,293,80,31,5,3,412,5,5,0,0,0,10,42,5,0,0,0,47,476,131,44,7,0,658,102,49,27,10,3,191,4,4,3,0,3,14,14,3,3,0,3,23,643,197,77,17,9,943,0,0,0,0,0,0,7,0,0,0,0,7,6,3,0,0,0,9,6,3,3,4,0,16,3,0,0,0,0,3,0,0,0,0,0,0,22,6,3,4,0,35,0,5,3,0,0,8,5848,2527,2403,1012,414,12204
LGA10110,224,5171,0,0,0,0,3,3,6,0,0,0,0,6,70,16,10,4,0,100,36,8,9,4,0,57,9,9,0,0,0,18,0,0,0,0,0,0,121,33,19,8,3,184,0,0,0,0,0,0,23,4,0,0,0,27,135,39,23,7,0,204,28,23,13,3,0,67,4,0,0,3,0,7,3,0,0,0,0,3,193,66,36,13,0,308,3,0,0,0,0,3,3,0,0,0,0,3,3,3,0,0,0,6,0,3,3,0,0,6,0,0,3,3,0,6,0,0,0,0,0,0,9,6,6,3,0,24,0,0,0,4,0,4,2723,1135,1081,525,227,5691
LGA10150,252,4667,3,0,0,0,0,3,35,5,3,0,0,43,279,143,94,13,5,534,176,143,178,37,15,549,25,27,33,23,7,115,9,3,0,0,0,12,527,321,308,73,27,1256,20,8,3,0,3,34,343,66,19,0,3,431,1613,887,489,108,20,3117,126,131,122,46,20,445,3,11,7,8,3,32,21,16,8,0,3,48,2126,1119,648,162,52,4107,0,0,0,0,0,0,4,0,0,0,0,4,15,3,0,0,0,18,9,4,8,0,0,21,3,0,0,0,3,6,0,0,0,0,0,0,31,7,8,0,3,49,7,3,5,0,0,15,4219,2501,2269,771,334,10094
LGA10200,1286,9157,0,0,0,3,0,3,17,3,3,0,0,23,194,149,86,33,11,473,288,327,356,151,105,1227,66,84,113,60,56,379,9,4,5,5,3,26,574,567,563,252,175,2131,23,7,12,3,3,48,270,52,3,0,0,325,1646,1136,864,299,110,4055,300,310,332,165,126,1233,0,23,27,14,9,73,37,31,27,12,23,130,2276,1559,1265,493,271,5864,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,15,0,0,3,0,0,3,0,0,0,5,5,10,0,0,0,0,0,0,6,5,7,5,5,28,6,4,0,0,4,14,5029,4125,4204,2095,1741,17194
LGA10250,334,8631,0,0,3,0,0,3,7,0,3,0,0,10,285,72,24,0,0,381,352,168,86,26,7,639,19,10,18,8,5,60,8,0,0,0,0,8,671,250,134,34,12,1101,0,0,0,0,0,0,21,0,0,0,0,21,343,65,10,6,0,424,209,88,52,13,3,365,5,5,6,4,0,20,4,0,0,0,3,7,582,158,68,23,6,837,3,0,0,0,0,3,34,0,0,0,0,34,80,15,0,0,0,95,41,13,5,0,0,59,3,0,5,0,0,8,4,0,0,0,0,4,165,28,10,0,0,203,3,0,0,0,0,3,5633,2088,1912,790,352,10775
LGA10300,27,574,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,295,116,101,53,27,592
LGA10350,3650,32483,6,0,0,0,3,9,62,8,3,0,0,73,502,206,173,56,16,953,1125,924,934,461,252,3696,373,461,615,404,350,2203,38,32,19,20,8,117,2106,1631,1744,941,629,7051,15,4,4,3,0,26,151,23,6,3,3,186,1444,995,742,242,76,3499,227,267,272,116,77,959,7,25,30,22,22,106,52,22,18,7,8,107,1896,1336,1072,393,186,4883,0,0,0,0,0,0,10,0,3,0,0,13,19,11,14,4,0,48,13,12,8,13,7,53,3,8,8,0,7,26,0,0,0,0,0,0,45,31,33,17,14,140,16,24,13,6,4,63,13813,9754,10566,6004,4483,44620
LGA10470,437,8828,0,0,0,0,0,0,10,3,0,0,0,13,114,36,5,0,0,155,121,51,25,6,3,206,19,5,17,9,3,53,8,0,3,0,3,14,272,95,50,15,9,441,3,0,0,0,0,3,13,0,3,0,0,16,128,20,12,3,0,163,28,17,5,3,0,53,4,0,0,3,0,7,0,0,0,0,0,0,176,37,20,9,0,242,0,3,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,4,0,0,3,0,7,0,0,0,0,0,0,3,3,0,0,0,6,16,6,0,3,0,25,10,3,0,3,0,16,4363,1929,1909,905,446,9552
LGA10550,256,7915,0,0,0,0,0,0,16,4,0,0,0,20,122,23,5,0,0,150,149,17,22,4,0,192,34,10,6,5,3,58,4,0,0,0,0,4,325,54,33,9,3,424,0,0,0,0,0,0,6,3,0,0,0,9,179,34,14,3,0,230,76,30,23,5,0,134,19,3,12,0,3,37,3,0,0,0,0,3,283,70,49,8,3,413,4,0,4,0,3,11,23,0,0,0,0,23,22,9,3,3,0,37,21,7,3,0,3,34,7,0,0,0,0,7,4,0,0,0,0,4,81,16,10,3,6,116,9,0,0,0,0,9,5011,1604,1367,627,268,8877
LGA10600,116,3311,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,20,10,0,0,0,0,10,0,4,0,0,0,4,0,0,0,0,0,0,24,10,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,3,29,3,0,3,0,35,3,0,0,3,0,6,3,0,0,0,0,3,0,0,0,0,0,0,38,3,0,6,0,47,4,0,0,0,0,4,12,0,0,0,0,12,26,6,0,0,0,32,10,6,0,0,0,16,0,0,5,0,0,5,0,0,0,0,0,0,52,12,5,0,0,69,0,0,0,0,0,0,1816,665,599,265,116,3461
