region_id,C01_OO_DS_Sep_house,C01_OO_DS_SemiDRTHT,C01_OO_DS_FUA,C01_OO_DS_OD,C01_OO_DS_NS_,C01_Owned_Outright_Tot,C01_OWM_DS_Sep_house,C01_OWM_DS_SemiDRTHT,C01_OWM_DS_FUA,C01_OWM_DS_OD,C01_OWM_DS_NS_,C01_Owned_with_mortgage_Tot,C01_R_REA_DS_Sep_house,C01_R_REA_DS_SemiDRTHT,C01_R_REA_DS_FUA,C01_R_REA_DS_OD,C01_R_REA_DS_NS_,C01_R_Real_Estate_Agent_Tot,C01_R_STHA_DS_Sep_house,C01_R_STHA_DS_SemiDRTHT,C01_R_STHA_DS_FUA,C01_R_STHA_DS_OD,C01_R_STHA_DS_NS_,C01_R_ST_House_Auth_Tot,C01_R_PNISH_DS_Sep_house,C01_R_PNISH_DS_SemiDRTHT,C01_R_PNISH_DS_FUA,C01_R_PNISH_DS_OD,C01_R_PNISH_DS_NS_,C01_R_Psn_NI_SameHsehld_Tot,C01_R_HCCCG_DS_Sep_house,C01_R_HCCCG_DS_SemiDRTHT,C01_R_HCCCG_DS_FUA,C01_R_HCCCG_DS_OD,C01_R_HCCCG_DS_NS_,C01_R_HCCCG_Tot,C01_R_OLT_DS_Sep_house,C01_R_OLT_DS_SemiDRTHT,C01_R_OLT_DS_FUA,C01_R_OLT_DS_OD,C01_R_OLT_DS_NS_,C01_R_Oth_Llord_Type_Tot,C01_R_LT_NS_DS_Sep_house,C01_R_LT_NS_DS_SemiDRTHT,C01_R_LT_NS_DS_FUA,C01_R_LT_NS_DS_OD,C01_R_LT_NS_DS_NS_,C01_R_Llord_Type_NS_T,C01_R_Tot_DS_Sep_house,C01_R_Tot_DS_SemiDRTHT,C01_R_Tot_DS_FUA,C01_R_Tot_DS_OD,C01_R_Tot_DS_NS_,C01_R_T_T,C01_OTT_DS_Sep_house,C01_OTT_DS_SemiDRTHT,C01_OTT_DS_FUA,C01_OTT_DS_OD,C01_OTT_DS_NS_,C01_OTT_Tot,C01_TT_NS_DS_Sep_house,C01_TT_NS_DS_SemiDRTHT,C01_TT_NS_DS_FUA,C01_TT_NS_DS_OD,C01_TT_NS_DS_NS_,C01_TT_NS_T,C01_Tot_DS_Sep_house,C01_Tot_DS_SemiDRTHT,C01_Tot_DS_FUA,C01_Tot_DS_OD,C01_Tot_DS_NS_,C01_T_T,C06_OO_DS_Sep_house,C06_OO_DS_SemiDRTHT,C06_OO_DS_FUA,C06_OO_DS_OD,C06_OO_DS_NS_,C06_OO_Tot,C06_OWM_DS_Sep_house,C06_OWM_DS_SemiDRTHT,C06_OWM_DS_FUA,C06_OWM_DS_OD,C06_OWM_DS_NS_,C06_OWM_Tot,C06_R_REA_DS_Sep_house,C06_R_REA_DS_SemiDRTHT,C06_R_REA_DS_FUA,C06_R_REA_DS_OD,C06_R_REA_DS_NS_,C06_R_REA_Tot,C06_R_STHA_DS_Sep_house,C06_R_STHA_DS_SemiDRTHT,C06_R_STHA_DS_FUA,C06_R_STHA_DS_OD,C06_R_STHA_DS_NS_,C06_R_STHA_Tot,C06_R_PNISH_DS_Sep_house,C06_R_PNISH_DS_SemiDRTHT,C06_R_PNISH_DS_FUA,C06_R_PNISH_DS_OD,C06_R_PNISH_DS_NS_,C06_R_PNISH_Tot,C06_R_HCCCG_DS_Sep_house,C06_R_HCCCG_DS_SemiDRTHT,C06_R_HCCCG_DS_FUA,C06_R_HCCCG_DS_OD,C06_R_HCCCG_DS_NS_,C06_R_HCCCG_Tot,C06_R_OLT_DS_Sep_house,C06_R_OLT_DS_SemiDRTHT,C06_R_OLT_DS_FUA,C06_R_OLT_DS_OD,C06_R_OLT_DS_NS_,C06_R_OLT_Tot,C06_R_LT_NS_DS_Sep_house,C06_R_LT_NS_DS_SemiDRTHT,C06_R_LT_NS_DS_FUA,C06_R_LT_NS_DS_OD,C06_R_LT_NS_DS_NS_,C06_R_LT_NS_T,C06_R_Tot_DS_Sep_house,C06_R_Tot_DS_SemiDRTHT,C06_R_Tot_DS_FUA,C06_R_Tot_DS_OD,C06_R_Tot_DS_NS_,C06_R_T_T,C06_OTT_DS_Sep_house,C06_OTT_DS_SemiDRTHT,C06_OTT_DS_FUA,C06_OTT_DS_OD,C06_OTT_DS_NS_,C06_OTT_Tot,C06_TT_NS_DS_Sep_house,C06_TT_NS_DS_SemiDRTHT,C06_TT_NS_DS_FUA,C06_TT_NS_DS_OD,C06_TT_NS_DS_NS_,C06_TT_NS_T,C06_Tot_DS_Sep_house,C06_Tot_DS_SemiDRTHT,C06_Tot_DS_FUA,C06_Tot_DS_OD,C06_Tot_DS_NS_,C06_T_T,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_FUA,C11_OO_DS_OD,C11_OO_DS_NS_,C11_OO_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_FUA,C11_OWM_DS_OD,C11_OWM_DS_NS_,C11_OWM_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_FUA,C11_R_REA_DS_OD,C11_R_REA_DS_NS_,C11_R_REA_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_FUA,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS_,C11_R_STHA_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemiDRTHT,C11_R_PNISH_DS_FUA,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS_,C11_R_PNISH_Tot,C11_R_HCCCG_DS_Sep_house,C11_R_HCCCG_DS_SemiDRTHT,C11_R_HCCCG_DS_FUA,C11_R_HCCCG_DS_OD,C11_R_HCCCG_DS_NS_,C11_R_HCCCG_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemiDRTHT,C11_R_OLT_DS_FUA,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS_,C11_R_OLT_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemiDRTHT,C11_R_LT_NS_DS_FUA,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS_,C11_R_LT_NS_T,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemiDRTHT,C11_R_Tot_DS_FUA,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS_,C11_R_T_T,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT
LGA10050,5173,341,419,60,27,6020,4655,119,195,15,18,5002,1029,426,1390,14,16,2875,736,45,192,0,0,973,638,126,378,47,12,1201,62,10,32,0,0,104,164,13,50,27,4,258,52,7,44,3,0,106,2681,627,2086,91,32,5517,134,14,36,18,0,202,457,44,151,21,18,691,13100,1145,2887,205,95,17432,4616,288,382,59,4,5349,5652,184,294,23,3,6156,1331,490,1497,22,3,3343,707,55,172,4,0,938,590,117,279,10,0,996,57,18,39,0,0,114,70,14,19,66,0,169,68,8,30,3,0,109,2823,702,2036,105,3,5669,117,18,24,4,0,163,679,91,296,27,0,1093,13887,1283,3032,218,10,18430,4857,234,343,59,0,5493,5923,161,340,5,0,6429,1736,436,1661,10,6,3849,586,13,232,0,0,831,695,101,278,8,4,1086,47,41,56,0,0,144,107,18,31,33,3,192,66,3,16,0,0,85,3237,612,2274,51,13,6187,131,21
LGA10110,3026,80,48,19,22,3195,1697,22,22,5,9,1755,824,262,485,6,8,1585,328,5,91,0,3,427,487,64,132,19,14,716,64,11,25,0,0,100,166,15,21,11,11,224,52,7,14,4,3,80,1921,364,768,40,39,3132,51,18,4,7,3,83,185,21,32,3,27,268,6880,505,874,74,100,8433,2750,54,62,26,0,2892,2106,28,41,7,0,2182,939,259,523,10,0,1731,317,22,63,0,0,402,424,36,80,11,0,551,57,23,8,0,0,88,95,9,10,28,0,142,76,10,9,6,0,101,1908,359,693,55,0,3015,54,11,3,3,0,71,362,37,81,8,0,488,7180,489,880,99,0,8648,2769,77,61,24,4,2935,2246,36,53,7,4,2346,1038,211,582,7,0,1838,278,63,110,0,0,451,413,37,81,8,0,539,40,35,26,0,3,104,88,10,15,31,0,144,63,9,7,0,0,79,1920,365,821,46,3,3155,54,12
LGA10150,3424,631,1244,23,103,5425,1177,497,822,8,39,2543,407,366,3116,41,74,4004,18,28,133,0,8,187,258,186,870,47,33,1394,24,13,77,0,7,121,62,23,103,8,11,207,23,12,50,5,5,95,792,628,4349,101,138,6008,73,21,66,3,64,227,328,105,725,29,69,1256,5794,1882,7206,164,413,15459,2971,507,942,13,0,4433,1756,547,1345,17,0,3665,659,559,3513,55,0,4786,22,39,152,0,0,213,259,134,536,25,0,954,40,31,91,0,0,162,28,11,34,0,0,73,31,8,58,0,0,97,1039,782,4384,80,0,6285,24,80,29,0,0,133,403,169,806,40,3,1421,6193,2085,7506,150,3,15937,2891,484,1050,4,3,4432,1860,639,1742,8,3,4252,597,479,3538,47,16,4677,31,40,164,0,0,235,239,131,596,18,7,991,31,9,114,3,0,157,25,12,47,8,0,92,31,4,30,3,0,68,954,675,4489,79,23,6220,31,11
LGA10200,5671,372,776,17,32,6868,1931,379,554,4,22,2890,1084,428,2027,43,28,3610,235,217,312,0,0,764,635,132,411,32,12,1222,9,17,56,0,0,82,128,26,94,9,3,260,68,16,58,0,0,142,2159,836,2958,84,43,6080,168,29,49,3,0,249,540,107,378,11,16,1052,10469,1723,4715,119,113,17139,4252,325,642,27,30,5276,3280,674,1396,32,60,5442,1543,483,3127,25,28,5206,290,239,250,3,0,782,621,112,426,18,8,1185,45,19,46,0,0,110,130,24,65,4,0,223,74,22,54,0,0,150,2703,899,3968,50,36,7656,71,9,21,0,0,101,915,169,1181,26,20,2311,11221,2076,7208,135,146,20786,4143,547,833,9,5,5537,3873,971,2295,7,3,7149,1407,601,3883,13,8,5912,246,249,341,3,6,845,684,166,585,17,4,1456,39,36,56,0,0,131,126,20,94,5,0,245,62,15,53,0,0,130,2564,1087,5012,38,18,8719,79,18
LGA10250,5095,789,295,497,24,6700,2569,236,123,31,4,2963,876,659,579,23,8,2145,223,140,182,0,10,555,661,253,199,126,5,1244,54,45,11,0,0,110,127,33,32,75,0,267,47,21,23,12,0,103,1988,1151,1026,236,23,4424,93,170,21,38,5,327,296,88,76,59,6,525,10041,2434,1541,861,62,14939,4754,580,487,537,0,6358,3362,291,234,33,0,3920,1052,527,783,24,3,2389,227,145,200,0,0,572,590,187,205,35,0,1017,52,38,44,0,0,134,73,7,21,192,3,296,89,19,25,4,0,137,2083,923,1278,255,6,4545,53,101,74,10,0,238,447,98,179,55,0,779,10699,1993,2252,890,6,15840,4963,575,464,447,3,6452,3587,354,231,35,0,4207,1173,653,615,14,4,2459,226,115,264,0,0,605,670,216,176,30,0,1092,50,29,59,0,0,138,143,9,15,111,0,278,71,14,14,5,0,104,2333,1036,1143,160,4,4676,68,17
LGA10300,431,0,0,25,0,456,179,0,0,3,0,182,7,0,5,0,0,12,14,0,4,0,0,18,93,3,17,13,0,126,13,0,5,0,0,18,84,0,17,11,0,112,17,0,0,3,0,20,228,3,48,27,0,306,10,0,0,3,0,13,22,0,3,6,0,31,870,3,51,64,0,988,342,0,3,14,0,359,231,0,0,0,0,231,27,0,6,0,0,33,19,0,6,0,0,25,93,0,11,5,0,109,12,0,5,0,0,17,57,4,8,10,0,79,28,0,0,0,0,28,236,4,36,15,0,291,14,0,0,3,0,17,61,0,9,0,0,70,884,4,48,32,0,968,330,0,0,7,0,337,212,3,0,3,0,218,31,6,7,0,0,44,12,3,5,0,0,20,82,3,0,0,0,85,17,4,4,0,0,25,42,0,5,5,0,52,18,3,0,3,0,24,202,19,21,8,0,250,10,0
LGA10350,22846,1816,865,51,117,25695,8796,1321,769,26,56,10968,2793,974,1596,84,34,5481,2865,895,1875,0,24,5659,1874,344,375,68,10,2671,156,86,57,0,4,303,394,78,111,26,3,612,167,43,62,8,3,283,8249,2420,4076,186,78,15009,548,80,130,7,3,768,1648,288,525,25,81,2567,42087,5925,6365,295,335,55007,17487,1837,724,49,17,20114,12464,2713,1431,34,4,16646,3301,1344,2143,73,11,6872,2731,910,1738,5,0,5384,1718,415,329,26,8,2496,145,102,114,0,0,361,299,58,50,29,0,436,277,56,86,4,3,426,8471,2885,4460,137,22,15975,181,88,68,0,0,337,2596,622,1015,37,5,4275,41199,8145,7698,257,48,57347,16553,2063,872,39,13,19540,13465,3647,1871,29,30,19042,3473,1477,2215,86,34,7285,2408,1079,1839,0,4,5330,1820,496,399,36,7,2758,113,168,193,3,0,477,309,98,70,36,0,513,206,50,52,4,0,312,8329,3368,4768,165,45,16675,248,61
LGA10470,4316,157,138,34,20,4665,3284,83,41,12,19,3439,962,262,501,51,3,1779,413,96,122,0,3,634,488,94,211,38,7,838,55,7,21,0,3,86,159,25,29,18,0,231,61,4,11,6,0,82,2138,488,895,113,16,3650,109,8,20,5,0,142,312,48,55,23,10,448,10159,784,1149,187,65,12344,4021,187,124,48,10,4390,4101,116,56,17,14,4304,1203,352,545,23,3,2126,367,104,72,3,16,562,529,80,89,22,0,720,54,11,5,0,0,70,84,10,12,17,0,123,102,7,14,0,0,123,2339,564,737,65,19,3724,75,6,5,0,0,86,460,59,58,5,3,585,10996,932,980,135,46,13089,4169,179,122,33,6,4509,4484,136,83,3,8,4714,1486,434,489,7,6,2422,392,71,94,6,0,563,674,100,75,4,4,857,43,29,4,0,0,76,88,7,9,3,3,110,89,8,6,3,0,106,2772,649,677,23,13,4134,63,7
LGA10550,4786,340,327,325,25,5803,2210,83,71,49,9,2422,688,210,287,25,4,1214,241,13,57,0,3,314,655,79,283,80,10,1107,46,7,24,3,13,93,188,12,58,45,7,310,59,10,16,8,3,96,1877,331,725,161,40,3134,106,0,85,40,4,235,374,36,91,69,29,599,9353,790,1299,644,107,12193,4789,192,280,314,5,5580,3043,54,88,62,0,3247,887,101,378,9,0,1375,256,15,62,0,3,336,636,39,151,26,4,856,45,27,30,0,9,111,88,6,16,71,3,184,130,6,18,14,0,168,2042,194,655,120,19,3030,65,20,15,14,0,114,469,31,94,60,3,657,10408,491,1132,570,27,12628,4975,315,282,235,10,5817,3344,112,123,37,0,3616,887,205,410,10,4,1516,245,58,44,0,0,347,654,67,132,31,0,884,40,44,22,0,0,106,100,9,17,59,0,185,91,11,10,3,0,115,2017,394,635,103,4,3153,69,34
LGA10600,2192,36,44,106,49,2427,928,5,3,16,11,963,345,40,52,7,8,452,62,19,22,0,0,103,358,14,37,32,25,466,18,5,0,3,0,26,68,3,7,18,3,99,36,0,4,5,3,48,887,81,122,65,39,1194,46,6,3,12,3,70,121,7,14,32,9,183,4174,135,186,231,111,4837,2095,15,60,131,0,2301,1263,4,3,17,0,1287,419,34,76,10,0,539,62,13,31,0,0,106,361,3,23,31,0,418,13,3,9,0,0,25,35,3,7,41,0,86,44,0,3,6,0,53,934,56,149,88,0,1227,27,0,4,4,0,35,210,4,19,16,0,249,4529,79,235,256,0,5099,2101,11,48,159,0,2319,1294,10,8,11,4,1327,452,47,74,5,0,578,61,11,28,0,0,100,394,14,37,26,0,471,17,5,3,6,0,31,50,0,0,32,0,82,42,0,4,9,0,55,1016,77,146,78,0,1317,39,0
