region_id,C01_0_74_REA,C01_0_74_ST_HA,C01_0_74_Per_no_sa_ho,C01_0_74_Ho_co_op_c_c_g,C01_0_74_Oth_land_typ,C01_0_74_LLT_NS,C01_0_74_Tot,C01_75_99_REA,C01_75_99_ST_HA,C01_75_99_Pe_no_sa_ho,C01_75_99_H_c_op_c_c_gr,C01_75_99_Oth_lan_typ,C01_75_99_Lan_type_ns,C01_75_99_Tot,C01_100_149_REA,C01_100_149_ST_HA,C01_100_149_Pe_no_sa_ho,C01_100_149_H_c_o_c_c_g,C01_100_149_Ot_lan_ty,C01_100_149_Lan_typ_ns,C01_100_149_Tot,C01_150_199_REA,C01_150_199_ST_HA,C01_150_199_Pe_no_sa_ho,C01_150_199_H_c_o_c_c_g,C01_150_199_Ot_lan_ty,C01_150_199_Lan_ty_ns,C01_150_199_Tot,C01_200_224_REA,C01_200_224_ST_HA,C01_200_224_Pe_no_sa_ho,C01_200_224_H_c_o_c_c_g,C01_200_224_Ot_lan_ty,C01_200_224_Lan_ty_ns,C01_200_224_Tot,C01_225_274_REA,C01_225_274_ST_HA,C01_225_274_Pe_no_sa_ho,C01_225_274_H_c_o_c_c_g,C01_225_274_Ot_la_typ,C01_225_274_Lan_ty_ns,C01_225_274_Tot,C01_275_349_REA,C01_275_349_ST_HA,C01_275_349_Pe_no_sa_ho,C01_275_349_H_c_o_c_c_g,C01_275_349_Ot_lan_ty,C01_275_349_Lan_ty_ns,C01_275_349_Tot,C01_350_449_REA,C01_350_449_ST_HA,C01_350_449_Pe_no_sa_ho,C01_350_449_H_c_o_c_c_g,C01_350_449_Ot_lan_ty,C01_350_449_Lan_ty_ns,C01_350_449_Tot,C01_450_549_REA,C01_450_549_ST_HA,C01_450_549_Pe_no_sa_ho,C01_450_549_H_c_o_c_c_g,C01_450_549_Oth_lan_typ,C01_450_549_Lan_ty_ns,C01_450_549_Tot,C01_550_649_REA,C01_550_649_ST_HA,C01_550_649_Pe_no_sa_ho,C01_550_649_H_c_o_c_c_g,C01_550_649_Ot_lan_ty,C01_550_649_Lan_ty_ns,C01_550_649_Tot,C01_650_over_REA,C01_650over_ST_HA,C01_650over_Pe_no_sa_ho,C01_650ov_H_co_op_c_ch_gr,C01_650over_Oth_lan_typ,C01_650over_LLT_NS,C01_650_over_Tot,C01_R_NS_REA,C01_R_NS_ST_HA,C01_R_NS_Pe_no_sa_ho,C01_R_NS_H_co_op_c_ch_gr,C01_R_NS_Oth_lan_typ,C01_R_NS_Land_typ_ns,C01_Rent_not_statd_Tot,C01_Tot_REA,C01_Tot_ST_HA,C01_T_Pe_no_sa_ho,C01_Tot_Ho_co_op_co_ch_gr,C01_Tot_Oth_lan_typ,C01_Tot_LLT_NS,C01_T_T,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_over_REA,C06_650over_ST_HA,C06_650over_Pe_no_sa_ho,C06_650ov_H_co_op_c_ch_gr,C06_650over_Oth_lan_typ,C06_650over_LLT_NS,C06_650_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g
LGA10050,178,581,115,40,115,54,1083,673,160,168,19,20,24,1064,942,153,466,27,55,11,1654,778,12,310,8,30,0,1138,112,0,42,0,7,0,161,60,3,26,0,4,0,93,29,0,11,0,3,0,43,10,0,7,0,0,0,17,0,3,8,0,3,0,14,0,3,3,0,0,0,6,20,3,8,0,3,0,34,72,60,37,5,20,14,208,2874,978,1201,99,260,103,5515,29,280,58,48,31,63,509,234,204,40,12,18,11,519,971,258,252,30,36,12,1559,951,75,290,15,29,9,1369,331,25,116,0,11,0,483,448,4,97,0,18,0,567,246,3,55,0,3,4,311,62,0,24,0,3,0,89,7,3,15,0,0,0,25,3,3,3,0,3,0,12,14,24,11,0,4,0,53,47,62,35,8,13,9,174,3343,941,996,113,169,108,5670,10,100,59,11,28,40,248,27,238,29,43,14,3,354,718,227,157,31
LGA10110,17,231,90,60,129,49,576,138,73,88,17,16,4,336,606,88,282,20,37,7,1040,668,5,199,3,16,3,894,82,0,22,0,0,3,107,32,0,7,0,5,0,44,9,3,3,0,3,0,18,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,6,0,6,0,3,0,15,25,24,14,0,14,13,90,1583,424,717,103,223,79,3129,15,124,56,25,56,74,350,59,80,27,19,3,3,191,383,93,149,32,32,11,700,666,59,151,4,20,5,905,267,3,80,3,5,0,358,213,3,34,0,7,0,257,84,3,12,0,3,0,102,18,0,9,0,5,0,32,0,0,3,0,0,0,3,0,3,0,0,0,0,3,9,11,10,0,0,0,30,17,25,18,6,11,9,86,1731,404,549,89,142,102,3017,3,40,53,6,44,59,205,15,99,11,3,6,0,134,126,115,69,31
LGA10150,12,103,55,48,91,34,343,10,17,22,20,9,0,78,113,13,152,23,22,3,326,945,16,333,9,19,8,1330,886,7,223,3,17,9,1145,1123,6,268,3,14,11,1425,542,3,195,3,13,11,767,217,0,82,0,5,3,307,34,0,19,0,3,0,56,12,0,6,4,0,0,22,36,0,13,0,0,0,49,74,21,26,8,14,14,157,4004,186,1394,121,207,93,6005,17,89,57,46,10,65,284,7,29,11,35,0,3,85,82,41,68,39,9,0,239,499,15,132,15,15,3,679,741,5,138,5,5,3,897,1742,8,192,5,9,9,1965,960,4,164,0,11,3,1142,491,0,100,4,6,0,601,112,0,28,3,0,3,146,30,0,13,0,0,0,43,43,4,5,3,0,3,58,61,18,45,7,10,4,145,4785,213,953,162,75,96,6284,10,19,67,14,10,37,157,9,64,8,17,4,4,106,17,40,49,30
LGA10200,26,385,46,30,102,43,632,14,129,29,13,5,0,190,199,86,116,14,20,9,444,1364,52,357,3,51,26,1853,599,21,234,0,27,15,896,854,21,238,7,25,11,1156,267,3,93,0,6,4,373,75,3,27,0,0,4,109,35,3,12,0,0,0,50,13,3,5,0,0,0,21,57,0,21,3,6,3,90,107,58,44,10,15,28,262,3610,764,1222,80,257,143,6076,28,263,74,28,8,70,471,18,102,14,5,5,3,147,117,192,93,37,16,6,461,1146,74,177,13,53,12,1475,644,20,169,5,32,8,878,1322,38,278,9,51,12,1710,1138,24,183,0,28,19,1392,483,9,78,0,4,3,577,146,0,27,0,3,0,176,25,3,8,0,0,0,36,40,15,16,0,3,0,74,98,39,69,13,21,18,258,5205,779,1186,110,224,151,7655,32,98,111,19,11,48,319,4,201,3,12,3,3,226,27,200,46,17
LGA10250,6,344,88,44,122,63,667,29,83,63,35,19,0,229,548,49,399,13,64,19,1092,931,33,423,9,28,11,1435,296,3,112,0,8,3,422,212,0,76,0,3,0,291,55,0,27,0,5,0,87,27,0,11,0,3,0,41,5,0,3,0,0,0,8,0,0,5,0,0,0,5,5,0,10,0,3,0,18,31,41,27,7,15,10,131,2145,553,1244,108,270,106,4426,5,205,81,51,19,104,465,3,85,20,25,18,0,151,135,132,117,29,87,4,504,437,48,220,9,71,6,791,368,26,152,3,21,5,575,621,14,197,3,17,5,857,533,3,140,3,14,5,698,203,0,47,0,10,0,260,23,0,9,0,9,0,41,6,3,4,0,3,0,16,13,19,6,0,6,0,44,39,36,27,12,21,8,143,2386,571,1020,135,296,137,4545,5,59,71,30,25,74,264,3,207,9,20,9,0,248,26,121,61,41
LGA10300,0,11,33,10,54,17,125,3,3,14,5,29,0,54,6,5,69,3,16,3,102,3,0,7,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,13,15,19,126,18,111,20,309,0,15,16,10,43,28,112,0,4,7,3,10,0,24,17,8,49,4,14,3,95,11,0,22,0,0,0,33,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,12,0,22,31,27,108,17,79,31,293,0,3,14,6,26,20,69,0,6,0,6,0,0,12,19,3,21,12
LGA10350,29,2972,135,106,270,142,3654,19,842,43,69,36,5,1014,93,619,207,67,74,11,1071,836,341,553,14,57,21,1822,1351,225,638,14,61,20,2309,2289,125,734,10,57,24,3239,589,18,192,4,8,6,817,91,17,40,0,11,0,159,13,13,7,0,3,0,36,5,4,4,0,0,0,13,49,19,24,0,6,3,101,117,464,94,16,29,51,771,5481,5659,2671,300,612,283,15006,15,1854,209,77,23,238,2416,10,685,26,89,9,19,838,76,1359,149,94,37,37,1752,420,423,278,36,49,17,1223,1164,204,419,17,74,16,1894,2792,283,709,12,117,43,3956,1724,95,412,4,66,9,2310,485,4,115,3,17,3,627,25,3,26,0,5,0,59,13,14,3,0,0,3,33,32,119,12,3,3,9,178,115,341,137,28,37,31,689,6871,5384,2495,363,437,425,15975,23,660,248,32,25,182,1170,4,1430,10,45,11,5,1505,49,1087,92,97
LGA10470,38,352,101,37,155,48,731,87,108,106,16,15,3,335,531,57,294,17,20,7,926,806,53,225,6,16,3,1109,174,3,40,0,7,4,228,84,0,15,0,3,0,102,21,4,4,0,5,0,34,3,0,9,0,0,0,12,3,0,0,0,0,0,3,0,3,3,0,0,0,6,7,3,11,0,0,0,21,27,51,30,6,8,15,137,1781,634,838,82,229,80,3644,17,193,103,19,46,88,466,50,106,30,13,6,0,205,349,120,190,22,20,4,705,673,75,191,5,20,9,973,366,12,89,0,9,3,479,394,0,56,4,4,3,461,209,0,20,0,0,3,232,33,0,3,3,4,0,43,3,0,0,0,0,0,3,0,4,4,0,0,0,8,6,8,5,3,3,3,28,25,41,30,3,12,10,121,2125,559,721,72,124,123,3724,12,67,88,22,29,79,297,13,136,15,9,5,0,178,162,143,108,12
LGA10550,20,169,160,56,167,61,633,72,52,107,12,17,6,266,687,62,433,11,46,8,1247,310,6,177,5,20,0,518,47,0,65,0,4,0,116,27,3,39,0,6,0,75,12,0,35,0,14,0,61,8,3,20,0,10,0,41,0,0,9,0,3,0,12,0,0,4,0,0,0,4,7,0,15,0,3,3,28,23,21,43,8,19,17,131,1213,316,1107,92,309,95,3132,13,91,108,50,51,135,448,19,75,42,15,5,0,156,201,77,213,19,29,8,547,587,61,252,8,21,8,937,194,4,87,0,6,3,294,231,3,74,3,12,3,326,95,0,21,0,5,0,121,11,0,6,0,7,0,24,0,0,4,0,11,0,15,0,0,4,0,4,0,8,6,6,9,3,9,5,38,18,18,39,12,24,5,116,1375,335,859,110,184,167,3030,5,26,87,11,42,96,267,5,88,26,24,13,0,156,69,89,122,32
LGA10600,6,51,89,7,63,35,251,28,16,50,12,8,4,118,165,20,170,0,15,3,373,219,7,134,3,3,3,369,14,0,6,0,0,0,20,6,0,3,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,9,8,3,6,4,40,451,103,463,25,95,52,1189,3,38,52,10,24,45,172,4,18,15,0,14,0,51,75,21,96,9,22,0,223,202,12,116,4,8,4,346,107,3,58,3,3,0,174,113,4,43,0,5,0,165,28,0,9,0,0,0,37,3,0,0,0,3,0,6,0,0,3,0,0,0,3,0,0,4,0,0,0,4,3,3,3,0,0,0,9,3,7,17,0,6,4,37,541,106,416,26,85,53,1227,0,7,44,6,15,43,115,0,40,8,0,10,0,58,31,19,59,7
