region_id,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650ov_CF_NC,C11_650ov_CF_Cu15DS_,C11_650ov_CF_CU15_NDS,C11_650ov_CF_NCU15_DS,C11_650ov_CF_NDCO,C11_650ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_Tot
LGA10050,85,14,10,165,7,3,23,0,5,38,3,0,10,0,0,13,4,0,7,0,3,14,24,0,18,3,3,48,937,93,765,72,73,1940
LGA10110,85,8,8,155,0,3,9,4,0,16,0,0,3,0,0,3,4,0,0,0,0,4,12,0,14,0,4,30,482,59,468,39,51,1099
LGA10150,393,41,29,1266,249,12,168,15,19,463,69,4,79,5,6,163,38,12,80,12,10,152,31,0,6,5,3,45,1707,83,976,104,94,2964
LGA10200,768,88,77,1662,411,76,358,49,41,935,91,20,121,29,20,281,43,12,76,16,10,157,62,13,65,9,14,163,1989,382,2266,292,276,5205
LGA10250,291,27,34,588,43,15,85,9,5,157,13,3,13,3,0,32,10,0,10,0,0,20,6,3,17,0,3,29,802,118,711,70,99,1800
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,4,46,12,40,3,8,109
LGA10350,1447,189,207,2867,213,149,523,80,89,1054,46,35,139,9,22,251,21,15,62,8,7,113,99,26,111,32,32,300,2467,802,3597,539,658,8063
LGA10470,103,6,9,200,4,3,14,3,0,24,0,0,3,3,0,6,0,0,0,0,0,0,13,3,8,0,3,27,622,92,664,52,68,1498
LGA10550,34,4,0,79,3,3,3,0,0,9,0,0,0,0,0,0,4,0,6,0,0,10,14,3,16,3,3,39,519,71,452,50,53,1145
LGA10600,44,5,0,67,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,6,155,38,216,24,12,445
