region_id,C01_0_74_1PF_CU15_DSs,C01_0_74_1PF_CU15_NDS,C01_0_74_1PFnoCU15_DS,C01_0_74_1PF_NDCO,C01_0_74_T,C01_75_99_1PF_CU15_DS,C01_75_99_1PF_CU15_NDS,C01_75_99_1PFnoCU15_DS,C01_75_99_1PF_NDCO,C01_75_99_T,C01_100_149_1PF_CU15_DS,C01_100_149_1PF_CU15_NDS,C01_100_149_1PFnoCU15_DS,C01_100_149_1PF_NDCO,C01_100_149_T,C01_150_199_1PF_CU15_DS,C01_150_199_1PF_CU15_NDS,C01_150_199_1PFnoCU15_DS,C01_150_199_1PF_NDCO,C01_150_199_T,C01_200_224_1PF_CU15_DS,C01_200_224_1PF_CU15_NDS,C01_200_224_1PFnoCU15_DS,C01_200_224_1PF_NDCO,C01_200_224_T,C01_225_274_1PF_CU15_DS,C01_225_274_1PF_CU15_NDS,C01_225_274_1PFnoCU15_DS,C01_225_274_1PF_NDCO,C01_225_274_T,C01_275_349_1PF_CU15_DS,C01_275_349_1PF_CU15_NDS,C01_275_349_1PFnoCU15_DS,C01_275_349_1PF_NDCO,C01_275_349_T,C01_350_449_1PF_CU15_DS,C01_350_449_1PF_CU15_NDS,C01_350_449_1PFnoCU15_DS,C01_350_449_1PF_NDCO,C01_350_449_T,C01_450_549_1PF_CU15_DS,C01_450_549_1PF_CU15_NDS,C01_450_549_1PFnoCU15_DS,C01_450_549_1PF_NDCO,C01_450_549_T,C01_550_649_1PF_CU15_DS,C01_550_649_1PF_CU15_NDS,C01_550_649_1PFnoCU15_DS,C01_550_649_1PF_NDCO,C01_550_649_T,C01_650ov_1PF_CU15_DS,C01_650ov_1PF_CU15_NDS,C01_650ov_1PFnoCU15_DS,C01_650ov_1PF_NDCO,C01_650over_T,C01_Rns_1PF_CU15_DS,C01_Rns_1PF_CU15_NDS,C01_Rns_1PFnoCU15_DS,C01_Rns_1PF_NDCO,C01_Rns_T,C01_Tot_1PF_CU15_DS,C01_Tot_1PF_CU15_NDS,C01_Tot_1PFnoCU15_DS,C01_Tot_1_pa_f_NDCO,C01_Tot_T,C06_0_74_1PF_CU15_DSs,C06_0_74_1PF_CU15_NDS,C06_0_74_1PFnoCU15_DS,C06_0_74_1PF_NDCO,C06_0_74_T,C06_75_99_1PF_CU15_DS,C06_75_99_1PF_CU15_NDS,C06_75_99_1PFnoCU15_DS,C06_75_99_1PF_NDCO,C06_75_99_T,C06_100_149_1PF_CU15_DS,C06_100_149_1PF_CU15_NDS,C06_100_149_1PFnoCU15_DS,C06_100_149_1PF_NDCO,C06_100_149_T,C06_150_199_1PF_CU15_DS,C06_150_199_1PF_CU15_NDS,C06_150_199_1PFnoCU15_DS,C06_150_199_1PF_NDCO,C06_150_199_T,C06_200_224_1PF_CU15_DS,C06_200_224_1PF_CU15_NDS,C06_200_224_1PFnoCU15_DS,C06_200_224_1PF_NDCO,C06_200_224_T,C06_225_274_1PF_CU15_DS,C06_225_274_1PF_CU15_NDS,C06_225_274_1PFnoCU15_DS,C06_225_274_1PF_NDCO,C06_225_274_T,C06_275_349_1PF_CU15_DS,C06_275_349_1PF_CU15_NDS,C06_275_349_1PFnoCU15_DS,C06_275_349_1PF_NDCO,C06_275_349_T,C06_350_449_1PF_CU15_DS,C06_350_449_1PF_CU15_NDS,C06_350_449_1PFnoCU15_DS,C06_350_449_1PF_NDCO,C06_350_449_T,C06_450_549_1PF_CU15_DS,C06_450_549_1PF_CU15_NDS,C06_450_549_1PFnoCU15_DS,C06_450_549_1PF_NDCO,C06_450_549_T,C06_550_649_1PF_CU15_DS,C06_550_649_1PF_CU15_NDS,C06_550_649_1PFnoCU15_DS,C06_550_649_1PF_NDCO,C06_550_649_T,C06_650ov_1PF_CU15_DS,C06_650ov_1PF_CU15_NDS,C06_650ov_1PFnoCU15_DS,C06_650ov_1PF_NDCO,C06_650ove_T,C06_Rns_1PF_CU15_DS,C06_Rns_1PF_CU15_NDS,C06_Rns_1PFnoCU15_DS,C06_Rns_1PF_NDCO,C06_Rns_T,C06_Tot_1PF_CU15_DS,C06_Tot_1PF_CU15_NDS,C06_Tot_1PFnoCU15_DS,C06_Tot_1_pa_f_NDCO,C06_Tot_T,C11_0_74_1PF_CU15_DSs,C11_0_74_1PF_CU15_NDS,C11_0_74_1PFnoCU15_DS,C11_0_74_1PF_NDCO,C11_0_74_T,C11_75_99_1PF_CU15_DS,C11_75_99_1PF_CU15_NDS,C11_75_99_1PFnoCU15_DS,C11_75_99_1PF_NDCO,C11_75_99_T,C11_100_149_1PF_CU15_DS,C11_100_149_1PF_CU15_NDS,C11_100_149_1PFnoCU15_DS,C11_100_149_1PF_NDCO,C11_100_149_T,C11_150_199_1PF_CU15_DS,C11_150_199_1PF_CU15_NDS,C11_150_199_1PFnoCU15_DS,C11_150_199_1PF_NDCO,C11_150_199_T,C11_200_224_1PF_CU15_DS,C11_200_224_1PF_CU15_NDS,C11_200_224_1PFnoCU15_DS,C11_200_224_1PF_NDCO,C11_200_224_T,C11_225_274_1PF_CU15_DS,C11_225_274_1PF_CU15_NDS,C11_225_274_1PFnoCU15_DS,C11_225_274_1PF_NDCO,C11_225_274_T,C11_275_349_1PF_CU15_DS,C11_275_349_1PF_CU15_NDS,C11_275_349_1PFnoCU15_DS,C11_275_349_1PF_NDCO,C11_275_349_T,C11_350_449_1PF_CU15_DS,C11_350_449_1PF_CU15_NDS,C11_350_449_1PFnoCU15_DS,C11_350_449_1PF_NDCO,C11_350_449_T,C11_450_549_1PF_CU15_DS,C11_450_549_1PF_CU15_NDS,C11_450_549_1PFnoCU15_DS,C11_450_549_1PF_NDCO,C11_450_549_T,C11_550_649_1PF_CU15_DS,C11_550_649_1PF_CU15_NDS,C11_550_649_1PFnoCU15_DS,C11_550_649_1PF_NDCO,C11_550_649_T,C11_650ov_1PF_CU15_DS,C11_650ov_1PF_CU15_NDS,C11_650ov_1PFnoCU15_DS,C11_650ov_1PF_NDCO,C11_650ov_T,C11_Rns_1PF_CU15_DS,C11_Rns_1PF_CU15_NDS,C11_Rns_1PFnoCU15_DS,C11_Rns_1PF_NDCO,C11_Rns_T,C11_Tot_1PF_CU15_DS,C11_Tot_1PF_CU15_NDS,C11_Tot_1PFnoCU15_DS,C11_Tot_1_PF_NDCO,C11_Tot_T
LGA10050,16,191,17,24,248,17,87,9,33,146,20,226,33,37,316,22,178,27,33,260,6,8,3,0,17,3,11,0,0,14,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,7,0,28,5,9,42,87,736,97,140,1060,3,25,0,22,50,16,123,4,15,158,18,170,25,51,264,14,219,21,59,313,10,92,10,11,123,11,60,8,14,93,9,22,4,4,39,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,28,0,6,34,81,751,77,182,1091,3,11,3,15,26,3,34,7,18,56,6,125,16,46,176,15,153,20,72,242,19,120,20,48,185,19,161,33,91,273,27,109,30,44,178,7,28,0,9,49,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,15,7,11,28,100,754,139,368,1222
LGA10110,9,87,9,11,116,7,40,3,7,57,10,118,20,31,179,22,114,23,16,175,6,10,4,3,23,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,20,57,388,63,68,576,3,13,3,12,31,3,48,4,3,58,12,75,8,11,106,8,123,28,21,180,3,42,10,8,63,8,25,4,5,42,3,11,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,3,6,0,5,14,43,350,60,69,522,0,11,3,9,17,0,9,0,10,12,7,48,3,12,68,8,84,7,26,118,11,54,3,19,87,12,87,9,27,132,8,57,9,17,84,0,27,0,6,39,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,5,0,4,12,47,388,43,133,563
LGA10150,3,21,6,15,45,3,11,3,0,17,3,19,6,6,34,3,71,16,36,126,9,63,26,31,129,9,89,30,29,157,6,44,14,25,89,4,21,11,8,44,0,5,0,5,10,0,0,0,0,0,0,5,3,0,8,0,11,0,6,17,40,360,115,161,676,0,11,9,9,29,0,25,7,0,32,0,19,3,6,28,0,21,3,12,36,8,50,14,25,97,5,115,41,54,215,11,65,17,36,129,3,34,21,24,82,4,4,0,4,12,0,3,0,0,3,0,3,0,0,3,3,9,3,3,18,34,359,118,173,684,0,4,3,3,12,0,0,3,4,4,0,11,5,8,15,0,30,7,11,39,0,8,3,4,14,3,19,4,16,38,4,46,22,57,108,20,108,49,115,240,0,36,17,41,80,5,22,6,14,49,3,10,4,15,26,0,13,10,16,25,38,303,132,303,650
LGA10200,12,80,16,24,132,8,22,6,19,55,4,32,6,12,54,18,141,35,57,251,14,88,23,30,155,23,103,22,48,196,6,33,7,9,55,0,6,0,3,9,0,5,3,0,8,0,0,0,3,3,3,8,3,0,14,0,23,5,9,37,88,541,126,214,969,6,13,15,15,49,11,27,8,11,57,5,29,10,18,62,17,123,27,56,223,11,75,19,35,140,27,160,38,69,294,22,97,30,46,195,6,21,11,13,51,0,10,3,7,20,3,3,0,0,6,3,3,3,3,12,6,16,4,18,44,117,577,168,291,1153,0,13,0,12,25,0,8,7,14,27,7,28,10,28,65,5,24,12,52,75,4,23,8,16,35,12,38,21,46,96,18,127,31,106,256,54,152,54,123,331,21,76,32,68,168,6,28,9,20,56,4,11,3,5,20,6,23,13,25,55,135,546,204,512,1192
LGA10250,6,72,13,19,110,5,23,4,14,46,11,156,24,32,223,49,306,35,46,436,16,51,10,7,84,5,35,7,0,47,3,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,15,5,5,25,98,670,98,123,989,3,17,6,6,32,6,34,8,11,59,13,61,6,38,118,15,114,25,26,180,8,90,18,24,140,34,146,25,31,236,31,91,24,15,161,0,28,7,8,43,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,5,13,3,6,27,115,598,122,168,1003,3,7,3,13,22,3,5,6,17,27,5,39,6,20,65,9,37,6,33,82,3,26,9,17,45,7,79,15,51,132,35,154,52,98,280,31,152,29,79,256,9,33,5,19,54,0,5,0,0,5,0,9,0,0,7,3,6,0,6,19,94,554,133,341,991
LGA10300,0,10,3,5,18,0,8,0,0,8,3,14,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,6,5,46,0,0,3,3,6,3,6,0,0,9,4,17,0,0,21,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,3,3,44,3,5,0,4,3,0,3,0,4,3,0,3,0,0,5,3,10,7,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,3,6,35
LGA10350,65,396,83,125,669,43,132,23,126,324,32,125,29,83,269,20,209,37,118,384,41,292,35,142,510,63,359,50,150,622,17,94,15,45,171,3,17,3,3,26,3,3,0,0,6,0,0,0,0,0,3,13,4,6,26,18,74,23,45,160,308,1714,302,843,3167,11,67,42,112,232,38,229,44,45,356,68,189,50,166,473,30,145,29,94,298,31,238,45,97,411,90,560,86,233,969,53,327,45,133,558,21,75,12,31,139,0,4,0,8,12,0,0,3,3,6,4,13,0,15,32,20,77,18,49,164,366,1924,374,986,3650,15,49,24,64,126,3,44,38,114,161,45,144,64,174,369,49,146,56,213,414,29,66,25,78,180,22,119,33,125,268,67,341,89,312,717,143,611,126,399,1150,44,179,51,138,367,3,41,13,22,74,4,14,5,6,26,21,65,24,78,164,453,1811,550,1745,4010
LGA10470,10,102,14,20,146,7,51,0,13,71,10,107,13,25,155,22,175,23,30,250,14,18,3,3,38,3,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,4,31,66,485,56,95,702,0,22,6,14,42,6,63,4,7,80,4,75,11,25,115,13,138,23,34,208,11,74,10,10,105,11,70,9,10,100,7,23,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,18,3,10,40,61,486,70,110,727,0,12,5,11,18,4,17,7,10,24,9,58,10,22,91,5,85,12,51,140,9,100,17,40,147,23,144,14,40,206,28,93,14,34,150,7,38,5,17,55,0,6,0,0,6,0,0,0,0,0,3,0,0,0,8,3,14,5,12,27,90,560,90,230,873
LGA10550,14,87,11,14,126,3,40,5,4,52,26,199,23,30,278,13,73,9,13,108,0,8,0,0,8,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,11,3,3,17,56,424,51,67,598,5,23,0,10,38,3,52,3,6,64,13,79,6,33,131,10,156,20,19,205,12,50,4,9,75,10,39,7,7,63,3,15,0,3,21,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,3,5,17,56,426,43,96,621,0,11,4,8,18,0,6,4,5,10,4,41,10,19,67,7,90,14,43,143,5,64,17,31,100,21,107,28,45,173,15,60,17,25,101,3,7,0,3,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,10,27,61,404,88,185,653
LGA10600,4,26,3,4,37,0,16,3,4,23,6,74,6,9,95,19,106,4,10,139,0,7,0,0,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,29,238,16,27,310,0,8,8,7,23,0,10,0,3,13,4,24,8,11,47,15,74,17,6,112,10,40,9,9,68,3,47,5,3,58,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,35,213,47,39,334,0,10,3,7,16,0,3,3,0,4,3,14,0,19,32,3,22,7,15,43,7,24,11,19,48,4,41,4,17,64,12,53,10,22,90,3,31,0,3,37,0,8,0,0,4,0,0,3,3,3,0,0,0,0,0,0,3,0,3,7,34,205,46,112,346
