region_id,C01_N_inc_R0_74,C01_N_inc_R75_99,C01_Ne_Ni_inc_R100_149,C01_Ne_Ni_inc_R150_199,C01_Ne_Ni_inc_R200_224,C01_Ne_Ni_inc_R225_274,C01_Ne_Ni_inc_R275_349,C01_Ne_Ni_inc_R350_449,C01_Ne_Ni_inc_R450_549,C01_Ne_Ni_inc_R550_649,C01_Ne_Ni_inc_R650m,C01_Ne_Nil_inc_R_NS,C01_N_inc_Re_Tot,C01_1_199_R0_74,C01_1_199_R75_99,C01_1_199_R100_149,C01_1_199_R150_199,C01_1_199_R200_224,C01_1_199_R225_274,C01_1_199_R275_349,C01_1_199_R350_449,C01_1_199_R450_549,C01_1_199_R550_649,C01_1_199_R650m,C01_1_199_R_NS,C01_1_199_R_Tot,C01_200_299_R0_74,C01_200_299_R75_99,C01_200_299_R100_149,C01_200_299_R150_199,C01_200_299_R200_224,C01_200_299_R225_274,C01_200_299_R275_349,C01_200_299_R350_449,C01_200_299_R450_549,C01_200_299_R550_649,C01_200_299_R650m,C01_200_299_R_NS,C01_200_299_R_Tot,C01_300_399_R0_74,C01_300_399_R75_99,C01_300_399_R100_149,C01_300_399_R150_199,C01_300_399_R200_224,C01_300_399_R225_274,C01_300_399_R275_349,C01_300_399_R350_449,C01_300_399_R450_549,C01_300_399_R550_649,C01_300_399_R650m,C01_300_399_R_NS,C01_300_399_R_Tot,C01_400_599_R0_74,C01_400_599_R75_99,C01_400_599_R100_149,C01_400_599_R150_199,C01_400_599_R200_224,C01_400_599_R225_274,C01_400_599_R275_349,C01_400_599_R350_449,C01_400_599_R450_549,C01_400_599_R550_649,C01_400_599_R650m,C01_400_599_R_NS,C01_400_599_R_Tot,C01_600_799_R0_74,C01_600_799_R75_99,C01_600_799_R100_149,C01_600_799_R150_199,C01_600_799_R200_224,C01_600_799_R225_274,C01_600_799_R275_349,C01_600_799_R350_449,C01_600_799_R450_549,C01_600_799_R550_649,C01_600_799_R650m,C01_600_799_R_NS,C01_600_799_R_Tot,C01_800_999_R0_74,C01_800_999_R75_99,C01_800_999_R100_149,C01_800_999_R150_199,C01_800_999_R200_224,C01_800_999_R225_274,C01_800_999_R275_349,C01_800_999_R350_449,C01_800_999_R450_549,C01_800_999_R550_649,C01_800_999_R650m,C01_800_999_R_NS,C01_800_999_R_Tot,C01_1000_1249_R0_74,C01_1000_1249_R75_99,C01_1000_1249_R_100_149,C01_1000_1249_R_150_199,C01_1000_1249_R_200_224,C01_1000_1249_R_225_274,C01_1000_1249_R_275_349,C01_1000_1249_R_350_449,C01_1000_1249_R_450_549,C01_1000_1249_R_550_649,C01_1000_1249_R650m,C01_1000_1249_R_NS,C01_1000_1249_R_Tot,C01_1250_1499_R0_74,C01_1250_1499_R75_99,C01_1250_1499_R_100_149,C01_1250_1499_R_150_199,C01_1250_1499_R_200_224,C01_1250_1499_R_225_274,C01_1250_1499_R_275_349,C01_1250_1499_R_350_449,C01_1250_1499_R_450_549,C01_1250_1499_R_550_649,C01_1250_1499_R650m,C01_1250_1499_R_NS,C01_1250_1499_R_Tot,C01_1500_1999_R0_74,C01_1500_1999_R75_99,C01_1500_1999_R_100_149,C01_1500_1999_R_150_199,C01_1500_1999_R_200_224,C01_1500_1999_R_225_274,C01_1500_1999_R_275_349,C01_1500_1999_R_350_449,C01_1500_1999_R_450_549,C01_1500_1999_R_550_649,C01_1500_1999_R650m,C01_1500_1999_R_NS,C01_1500_1999_R_Tot,C01_2000_2499_R0_74,C01_2000_2499_R75_99,C01_2000_2499_R100_149,C01_2000_2499_R150_199,C01_2000_2499_R200_224,C01_2000_2499_R225_274,C01_2000_2499_R275_349,C01_2000_2499_R350_449,C01_2000_2499_R450_549,C01_2000_2499_R550_649,C01_2000_2499_R650m,C01_2000_2499_R_NS,C01_2000_2499_R_Tot,C01_2500_2999_R0_74,C01_2500_2999_R75_99,C01_2500_2999_R_100_149,C01_2500_2999_R_150_199,C01_2500_2999_R_200_224,C01_2500_2999_R_225_274,C01_2500_2999_R_275_349,C01_2500_2999_R_350_449,C01_2500_2999_R_450_549,C01_2500_2999_R_550_649,C01_2500_2999_Re_650mo,C01_2500_2999_R_NS,C01_2500_2999_Re_Tot,C01_3000m_R0_74,C01_3000m_R75_99,C01_3000m_R100_149,C01_3000m_R150_199,C01_3000m_R200_224,C01_3000m_R225_274,C01_3000m_R275_349,C01_3000m_R350_449,C01_3000m_R450_549,C01_3000m_R550_649,C01_3000m_R650m,C01_3000m_R_NS,C01_3000m_R_Tot,C01_PI_S_R0_74,C01_PI_S_R75_99,C01_PI_S_R100_149,C01_PI_S_R150_199,C01_PI_S_R200_224,C01_PI_S_R225_274,C01_PI_S_R275_349,C01_PI_S_R350_449,C01_PI_S_R450_549,C01_PI_S_R550_649,C01_PI_S_Re_650mo,C01_PI_S_R_NS,C01_PI_S_Re_Tot,C01_AI_NS_R0_74,C01_AI_NS_R75_99,C01_AI_NS_R100_149,C01_AI_NS_R150_199,C01_AI_NS_R200_224,C01_AI_NS_R225_274,C01_AI_NS_R275_349,C01_AI_NS_R350_449,C01_AI_NS_R450_549,C01_AI_NS_R550_649,C01_AI_NS_R650m,C01_AI_NS_R_NS,C01_AI_NS_R_Tot,C01_Tot_R0_74,C01_Tot_R75_99,C01_Tot_R100_149,C01_Tot_R150_199,C01_Tot_R200_224
LGA10050,6,11,12,6,3,0,0,3,0,0,0,3,44,228,147,73,29,3,0,0,3,0,0,3,30,516,295,248,182,40,3,3,0,0,0,0,6,23,800,168,159,218,92,4,3,3,0,0,0,0,18,665,141,227,391,187,13,5,4,3,0,3,9,31,1014,59,120,271,191,19,11,0,0,3,0,4,12,690,21,40,182,160,18,15,4,3,0,3,0,9,455,31,27,124,155,23,7,9,0,0,0,0,5,381,6,7,57,64,14,9,4,0,0,0,0,0,161,17,8,35,83,34,15,9,4,3,0,3,5,216,7,3,5,18,9,4,3,3,0,0,0,0,52,0,3,0,6,3,0,0,3,0,0,0,0,15,0,0,3,3,0,3,0,0,0,0,0,0,9,33,32,61,79,12,10,4,0,0,0,0,17,248,63,33,39,27,6,3,0,0,0,3,4,52,230,1075,1065,1653,1140,164
LGA10110,0,3,11,0,0,0,0,0,0,0,0,3,17,118,45,89,16,0,0,0,0,0,0,3,13,284,112,76,119,31,3,0,0,0,0,0,3,15,359,75,59,153,99,3,3,0,0,0,0,0,12,404,73,74,236,168,14,0,0,0,0,3,0,19,587,49,22,144,157,15,0,0,0,0,0,0,6,393,36,17,93,109,10,3,0,3,0,0,3,0,274,28,10,65,107,17,5,0,0,0,0,0,3,235,14,4,19,58,7,8,3,0,0,0,3,3,119,10,4,21,56,12,6,0,0,0,0,0,0,109,9,0,0,13,4,4,0,3,0,0,0,3,36,0,0,0,3,0,4,3,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,0,0,0,6,23,9,46,63,16,4,6,0,0,0,0,6,173,25,13,38,10,3,0,0,0,0,0,3,7,99,575,336,1037,890,104
LGA10150,6,0,5,22,27,24,17,5,3,0,0,5,114,65,7,20,35,29,24,8,3,0,0,3,21,215,71,13,40,87,51,38,11,5,3,3,3,21,346,35,15,41,112,72,71,17,8,0,3,0,9,383,38,20,69,216,162,154,42,18,4,0,7,17,747,14,5,51,232,175,178,78,18,4,3,13,16,787,20,4,29,184,130,170,81,19,3,0,4,9,653,19,3,25,158,165,216,103,34,6,3,0,13,745,9,3,5,49,73,114,61,25,0,0,0,5,344,16,3,14,83,94,211,137,51,10,5,7,4,635,10,3,5,33,39,66,75,45,4,3,3,3,289,3,0,0,10,11,32,40,26,0,0,0,3,125,0,0,3,3,8,3,15,9,3,3,4,0,51,12,3,7,67,73,90,62,41,9,4,4,13,385,23,0,14,36,33,34,18,3,3,0,3,19,186,341,79,328,1327,1142
LGA10200,10,3,10,32,22,33,14,3,4,0,3,9,143,152,11,26,66,20,16,6,4,0,0,3,27,331,129,14,40,106,32,24,5,3,3,0,5,14,375,94,57,62,247,78,96,20,6,3,0,3,29,695,55,46,94,352,147,168,33,7,3,3,19,27,954,36,21,79,268,117,141,28,12,4,0,7,25,738,20,7,26,193,107,105,38,4,0,0,9,20,529,16,8,24,171,108,149,50,11,3,3,4,15,562,14,3,8,70,59,88,26,4,4,0,6,3,285,14,4,9,69,65,117,49,21,10,5,10,8,381,12,0,5,23,15,33,14,6,4,0,0,3,115,0,0,0,6,3,18,9,7,0,0,3,0,46,3,0,0,0,3,3,11,4,4,3,3,4,38,33,12,39,169,88,130,51,15,7,3,12,28,587,43,6,19,73,35,35,18,4,3,0,7,48,291,631,192,441,1845,899
LGA10250,3,3,15,6,6,0,0,0,0,0,0,3,36,127,25,79,31,9,7,0,0,3,3,3,24,311,180,47,224,73,7,10,5,3,0,0,0,17,566,86,41,196,179,33,18,5,0,0,0,3,16,577,97,38,226,370,80,41,11,4,0,0,4,14,885,54,27,156,263,61,43,12,3,0,0,4,9,632,17,11,63,176,62,34,6,5,3,0,0,7,384,19,8,32,120,56,33,7,0,0,0,0,5,280,9,4,6,54,28,18,6,0,3,0,0,0,128,10,4,6,43,24,32,8,8,3,0,0,6,144,4,0,0,6,11,19,6,7,3,0,0,3,59,0,0,0,3,0,3,5,0,0,0,0,0,11,0,0,0,3,0,3,3,0,0,0,0,0,9,20,14,45,89,30,29,10,3,0,0,3,6,249,35,9,39,20,7,3,3,4,3,0,4,24,151,661,231,1087,1436,414
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,15,19,8,10,0,0,0,0,0,0,0,0,0,37,9,3,11,0,0,0,0,0,0,0,0,3,26,26,3,14,0,0,0,0,0,0,0,0,3,46,14,13,18,3,0,0,0,0,0,0,0,3,51,8,7,12,3,0,0,0,0,0,0,0,3,33,15,10,10,3,0,0,0,0,0,0,0,0,38,5,3,7,3,0,0,0,0,0,0,0,0,18,4,3,3,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,0,0,0,24,4,3,3,0,0,0,0,0,0,0,0,3,13,124,59,104,12,0
LGA10350,28,7,18,22,21,29,8,3,0,0,0,10,146,957,81,67,50,55,41,9,8,6,0,3,101,1378,924,76,78,84,78,62,11,9,4,0,5,78,1409,623,283,168,186,183,178,44,9,3,3,14,84,1778,310,280,285,312,375,405,75,14,0,0,12,89,2157,154,82,179,324,368,463,76,12,3,3,11,49,1724,79,35,69,253,294,361,76,21,4,0,9,32,1233,64,19,49,175,277,467,93,13,0,0,13,31,1201,36,8,18,101,154,273,66,5,3,0,3,20,687,48,7,16,94,192,363,143,22,3,0,8,25,921,16,3,4,15,42,134,66,12,0,0,3,6,301,9,3,0,0,13,50,22,3,0,3,0,0,103,3,4,3,7,8,15,16,7,0,0,0,3,66,124,79,76,142,180,321,88,18,5,0,16,66,1115,275,48,40,53,65,71,22,7,3,3,3,173,763,3650,1015,1070,1818,2305
LGA10470,6,0,8,6,0,0,0,0,0,0,0,3,23,150,49,70,28,5,0,0,3,0,0,4,22,331,173,67,116,37,6,0,0,0,0,0,3,22,424,113,55,160,95,12,3,3,3,0,3,3,18,468,76,65,182,188,30,8,0,0,0,0,7,6,562,50,26,139,213,28,17,3,3,0,3,0,7,489,31,14,68,146,25,17,0,0,0,0,0,8,309,30,11,62,142,29,13,3,3,0,0,3,4,300,13,3,18,72,22,8,0,0,0,0,0,3,139,23,5,22,63,29,11,12,3,0,0,0,3,171,5,0,3,12,13,4,3,0,0,0,0,3,43,3,0,0,3,3,4,3,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,3,6,19,19,51,83,21,14,9,0,0,0,0,12,228,39,19,25,17,4,0,0,3,0,0,3,29,139,731,333,924,1108,227
LGA10550,5,3,5,3,0,0,0,0,0,0,0,0,16,91,30,61,9,0,3,0,0,0,0,3,10,207,134,51,166,23,0,0,0,0,0,0,0,25,399,90,56,200,59,8,9,5,4,0,0,6,10,447,101,69,278,109,26,16,12,4,3,0,6,20,644,51,13,206,91,18,10,15,5,0,0,0,12,421,37,14,109,66,17,8,8,7,0,0,0,3,269,26,6,69,51,9,8,5,3,3,0,3,5,188,17,4,30,26,8,0,3,5,0,3,0,5,101,14,4,20,30,18,8,6,5,4,0,0,0,109,6,0,7,13,0,3,3,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,33,7,61,31,8,4,4,3,0,0,0,10,161,28,10,32,6,3,3,3,3,0,0,3,28,119,633,267,1244,517,115
LGA10600,0,0,3,0,0,0,0,0,0,0,0,0,3,56,16,22,16,0,0,0,0,0,0,0,0,110,49,32,59,26,3,0,0,0,0,0,0,7,176,34,22,70,64,3,3,0,0,0,0,0,5,201,29,26,84,94,3,0,0,0,0,0,3,5,244,20,3,57,51,8,3,0,0,0,0,0,3,145,16,5,27,31,0,0,0,0,0,3,0,3,85,10,4,11,26,3,0,3,0,0,0,0,3,60,4,0,5,8,0,3,0,0,0,0,0,0,20,4,0,7,11,0,0,0,0,3,0,0,3,28,5,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,27,3,0,0,0,0,0,0,3,61,13,4,12,9,0,3,0,0,0,0,0,9,50,247,118,375,366,23
