region_id,C01_Tot_R225_274,C01_Tot_R275_349,C01_Tot_R350_449,C01_Tot_R450_549,C01_Tot_R550_649,C01_Tot_R650m,C01_Tot_R_NS,C01_Tot_R_Tot,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_Re_650mo,C06_Ne_Nil_inc_R_NS,C06_N_inc_Re_Tot,C06_1_199_R0_74,C06_1_199_R75_99,C06_1_199_R100_149,C06_1_199_R150_199,C06_1_199_R200_224,C06_1_199_R225_274,C06_1_199_R275_349,C06_1_199_R350_449,C06_1_199_R450_549,C06_1_199_R550_649,C06_1_199_R650m,C06_1_199_R_NS,C06_1_199_R_Tot,C06_200_299_R0_74,C06_200_299_R75_99,C06_200_299_R100_149,C06_200_299_R150_199,C06_200_299_R200_224,C06_200_299_R225_274,C06_200_299_R275_349,C06_200_299_R350_449,C06_200_299_R450_549,C06_200_299_R550_649,C06_200_299_R650me,C06_200_299_R_NS,C06_200_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650me,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_599_R0_74,C06_400_599_R75_99,C06_400_599_R100_149,C06_400_599_R150_199,C06_400_599_R200_224,C06_400_599_R225_274,C06_400_599_R275_349,C06_400_599_R350_449,C06_400_599_R450_549,C06_400_599_R550_649,C06_400_599_R650m,C06_400_599_R_NS,C06_400_599_R_Tot,C06_600_799_R0_74,C06_600_799_R75_99,C06_600_799_R100_149,C06_600_799_R150_199,C06_600_799_R200_224,C06_600_799_R225_274,C06_600_799_R275_349,C06_600_799_R350_449,C06_600_799_R450_549,C06_600_799_R550_649,C06_600_799_R650m,C06_600_799_R_NS,C06_600_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R_100_149,C06_1000_1249_R_150_199,C06_1000_1249_R_200_224,C06_1000_1249_R_225_274,C06_1000_1249_R_275_349,C06_1000_1249_R_350_449,C06_1000_1249_R_450_549,C06_1000_1249_R_550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R_100_149,C06_1250_1499_R_150_199,C06_1250_1499_R_200_224,C06_1250_1499_R_225_274,C06_1250_1499_R_275_349,C06_1250_1499_R_350_449,C06_1250_1499_R_450_549,C06_1250_1499_R_550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R_100_149,C06_1500_1999_R_150_199,C06_1500_1999_R_200_224,C06_1500_1999_R_225_274,C06_1500_1999_R_275_349,C06_1500_1999_R_350_449,C06_1500_1999_R_450_549,C06_1500_1999_R_550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R_100_149,C06_2500_2999_R_150_199,C06_2500_2999_R_200_224,C06_2500_2999_R_225_274,C06_2500_2999_R_275_349,C06_2500_2999_R_350_449,C06_2500_2999_R_450_549,C06_2500_2999_R_550_649,C06_2500_2999_Re_650mo,C06_2500_2999_R_NS,C06_2500_2999_Re_Tot,C06_3000m_R0_74,C06_3000m_R75_99,C06_3000m_R100_149,C06_3000m_R150_199,C06_3000m_R200_224,C06_3000m_R225_274,C06_3000m_R275_349,C06_3000m_R350_449,C06_3000m_R450_549,C06_3000m_R550_649,C06_3000m_R650mo,C06_3000m_R_NS,C06_3000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650me,C06_PI_S_R_NS,C06_PI_S_Re_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649
LGA10050,88,40,22,6,9,29,205,5496,3,4,20,10,4,4,0,0,0,0,0,5,50,27,10,37,12,4,9,3,0,3,0,4,5,114,180,111,202,62,16,11,5,0,0,0,9,19,615,89,162,276,116,26,19,13,0,3,0,6,30,740,63,109,364,273,65,56,20,4,3,3,5,24,989,30,44,204,194,59,50,21,5,3,0,6,11,627,12,16,135,165,63,56,25,3,0,0,0,3,478,16,23,123,204,96,104,43,11,3,0,3,7,633,11,0,52,99,44,66,28,4,0,0,0,4,308,6,5,27,94,46,71,51,13,0,3,7,0,323,12,0,4,23,18,28,21,12,0,0,0,4,122,5,3,4,16,5,19,27,14,3,3,0,7,106,3,0,3,3,0,6,10,7,3,3,3,3,44,18,15,63,72,30,60,40,14,3,0,3,20,338,33,17,47,24,6,9,3,0,0,0
LGA10110,37,12,6,0,3,15,90,3105,3,3,17,10,3,3,0,0,0,0,0,3,42,13,4,21,23,0,0,3,0,0,0,0,3,67,104,43,121,52,14,8,3,3,0,0,9,9,366,46,58,125,82,20,10,3,7,3,0,6,8,368,46,31,150,203,46,28,9,0,0,0,3,11,527,37,9,76,152,56,31,9,0,0,0,3,12,385,25,14,40,89,48,17,4,0,0,0,0,7,244,24,7,54,137,63,41,14,3,0,0,0,3,346,6,3,16,44,28,24,14,3,0,0,3,3,144,18,3,14,33,36,37,12,3,0,0,0,7,163,3,0,4,8,3,16,4,3,0,0,3,0,44,3,0,0,4,3,9,15,8,0,0,0,0,42,4,0,0,6,3,0,3,0,0,0,0,0,16,12,11,33,51,28,28,9,0,0,0,0,5,177,8,5,23,10,5,4,0,3,0,0
LGA10150,1425,765,310,52,27,51,158,6005,10,3,8,22,20,49,29,21,0,0,3,18,183,18,7,10,6,20,24,7,10,3,0,3,6,114,82,24,25,43,38,50,18,10,0,0,3,15,308,40,19,38,62,57,79,44,19,0,0,3,13,374,27,11,46,130,118,204,73,26,10,0,8,13,666,17,8,27,93,136,237,91,33,4,7,4,4,661,14,0,16,76,99,197,99,37,3,3,0,3,547,14,7,23,92,146,348,167,52,15,0,7,4,875,14,0,7,44,79,203,136,45,7,3,3,9,550,6,0,12,45,55,215,159,78,23,0,3,12,608,7,0,0,16,27,107,94,82,18,5,3,4,363,10,0,3,3,21,72,82,68,22,9,3,6,299,7,0,3,7,5,31,43,43,24,15,4,6,188,11,3,16,25,49,123,83,68,14,0,10,15,417,6,3,6,15,23,23,18,8,3,0
LGA10200,1156,372,111,52,17,94,260,6070,19,4,10,61,34,49,64,30,6,0,4,17,298,31,7,25,38,17,31,17,10,0,0,4,7,187,168,37,34,98,52,58,37,7,3,0,7,30,531,72,20,59,136,54,84,41,11,3,0,3,17,500,39,26,152,303,169,292,146,28,8,4,9,35,1211,29,8,51,210,117,216,121,39,3,3,4,29,830,18,5,28,140,88,160,131,29,12,0,0,12,623,15,4,26,147,102,243,186,60,12,0,4,20,819,7,4,13,61,41,125,126,42,13,0,5,7,444,12,3,8,68,52,111,165,74,18,9,5,9,534,4,0,8,24,23,70,88,49,19,0,0,3,288,4,0,0,12,9,23,53,72,24,7,4,4,212,8,4,0,8,8,21,36,52,28,0,5,6,176,12,15,35,112,90,173,145,60,22,9,9,31,713,32,11,12,50,22,49,35,11,4,4
LGA10250,293,87,37,18,3,21,134,4422,0,0,6,8,8,5,9,3,0,0,0,4,43,22,7,22,6,3,9,6,3,0,0,3,9,90,142,26,71,59,20,18,17,3,0,0,8,26,390,86,31,105,145,50,63,27,7,0,4,7,15,540,60,38,111,189,116,170,80,22,6,0,5,14,811,32,11,67,122,105,103,82,16,4,0,5,14,561,11,3,26,74,74,107,64,17,0,0,3,0,379,26,7,30,73,92,149,120,36,4,0,0,11,548,29,0,5,28,33,64,65,22,3,0,0,4,253,19,3,8,23,27,56,68,44,8,5,0,6,267,3,0,3,4,5,22,33,15,0,4,3,0,92,3,3,4,3,4,12,19,23,5,3,0,3,82,3,0,3,0,0,3,9,21,0,0,0,4,43,8,14,25,35,33,67,84,23,5,0,9,8,311,20,10,20,18,5,9,14,7,7,0
LGA10300,0,0,0,0,0,0,15,314,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,11,0,12,0,0,0,0,0,0,0,0,0,23,8,8,8,3,0,0,0,0,0,0,0,0,27,10,6,22,6,0,0,0,0,0,0,0,7,51,11,0,13,3,0,0,0,0,0,0,0,3,30,9,0,7,3,0,0,0,0,0,0,0,3,22,12,0,11,9,0,0,0,0,0,0,0,0,32,11,3,7,0,5,0,0,0,0,0,0,0,26,8,0,4,0,0,0,0,0,0,0,0,3,15,5,0,3,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,3,9,11,5,9,8,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0
LGA10350,3233,815,163,34,12,100,767,14982,34,10,23,24,32,69,31,15,0,0,4,30,272,154,45,81,26,24,67,20,4,3,0,13,40,477,1090,206,180,81,95,125,45,12,3,9,39,94,1979,430,240,143,108,132,228,76,12,3,0,19,66,1457,208,165,720,287,339,591,231,43,3,8,33,99,2727,63,42,194,187,282,488,217,49,4,0,11,50,1587,51,16,60,112,207,398,216,31,6,3,5,36,1141,65,15,74,125,257,618,352,76,3,4,13,40,1642,37,4,36,56,114,338,231,59,8,0,6,19,908,35,0,16,58,119,366,333,93,9,4,0,23,1056,6,0,10,24,56,141,151,68,5,0,6,6,473,23,4,5,7,20,80,92,48,3,0,0,4,286,15,0,5,5,9,40,62,37,4,0,0,3,180,71,46,146,96,146,317,217,68,4,0,11,59,1181,133,44,61,29,58,84,36,12,3,3
LGA10470,99,36,18,0,6,23,143,3648,10,3,5,8,4,3,0,0,0,0,0,5,38,26,9,21,18,11,0,3,0,0,0,3,7,98,146,53,88,66,13,16,6,4,0,3,0,16,411,69,43,106,92,22,13,6,0,0,0,6,20,377,48,45,180,182,68,62,14,4,0,3,3,17,626,23,21,95,158,63,58,22,5,0,0,3,7,455,6,10,56,102,61,52,22,6,0,0,3,3,321,27,3,62,137,88,71,31,4,0,0,3,3,429,24,7,16,56,45,56,25,3,0,0,0,0,232,15,0,16,44,36,53,37,6,0,0,4,4,215,10,0,4,8,14,21,13,3,0,0,0,3,76,12,0,0,10,9,9,14,4,0,3,0,0,61,0,0,0,0,0,6,13,0,0,0,0,0,19,25,5,27,65,33,42,27,0,0,0,0,8,232,27,6,27,26,11,0,3,4,0,0
LGA10550,75,64,39,10,3,24,128,3119,6,3,6,5,0,0,0,0,0,0,0,3,23,15,0,12,16,0,0,0,0,0,0,0,4,47,96,26,82,71,7,8,3,0,0,0,8,11,312,90,48,122,124,25,15,0,3,0,0,4,19,450,71,33,125,220,65,43,12,3,3,0,3,21,599,37,14,60,136,34,42,10,0,3,0,3,8,347,13,5,33,94,31,28,19,4,0,0,0,4,231,34,3,46,128,50,62,23,3,3,3,7,11,373,15,3,9,27,22,35,10,4,3,3,0,7,138,23,3,5,26,24,32,18,8,0,3,0,3,145,5,0,3,8,9,14,5,0,3,0,3,3,53,4,0,3,12,0,8,3,0,0,0,0,0,30,3,0,0,0,3,0,3,0,0,0,3,3,15,18,8,29,55,20,37,10,0,0,0,5,6,188,18,9,13,14,3,0,5,0,3,0
LGA10600,12,3,0,3,3,3,41,1194,0,0,0,3,3,0,0,0,0,0,0,4,10,6,0,10,3,0,0,0,0,0,0,3,0,22,65,27,37,30,10,7,0,3,0,0,0,8,187,33,9,48,37,21,15,3,0,0,3,3,6,178,19,9,57,93,35,35,8,0,0,0,0,5,261,8,3,30,55,20,24,3,0,0,0,0,3,146,13,0,7,31,18,13,3,0,0,0,0,0,85,6,0,13,32,19,25,6,0,0,0,0,0,101,6,3,3,12,4,12,3,0,0,0,0,0,43,7,0,0,11,17,9,0,0,0,0,0,0,44,0,0,0,7,3,3,3,3,0,0,0,0,19,0,0,0,3,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,12,29,20,13,4,0,0,0,0,5,89,4,3,5,0,0,6,3,0,0,0
