region_id,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650me,C11_Ne_Nil_inc_R_NS,C11_N_inc_Re_Tot,C11_1_199_R0_74,C11_1_199_R75_99,C11_1_199_R100_149,C11_1_199_R150_199,C11_1_199_R200_224,C11_1_199_R225_274,C11_1_199_R275_349,C11_1_199_R350_449,C11_1_199_R450_549,C11_1_199_R550_649,C11_1_199_R650m,C11_1_199_R_NS,C11_1_199_R_Tot,C11_200_299_R0_74,C11_200_299_R75_99,C11_200_299_R100_149,C11_200_299_R150_199,C11_200_299_R200_224,C11_200_299_R225_274,C11_200_299_R275_349,C11_200_299_R350_449,C11_200_299_R450_549,C11_200_299_R550_649,C11_200_299_R650m,C11_200_299_R_NS,C11_200_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_599_R0_74,C11_400_599_R75_99,C11_400_599_R100_149,C11_400_599_R150_199,C11_400_599_R200_224,C11_400_599_R225_274,C11_400_599_R275_349,C11_400_599_R350_449,C11_400_599_R450_549,C11_400_599_R550_649,C11_400_599_R650m,C11_400_599_R_NS,C11_400_599_R_Tot,C11_600_799_R0_74,C11_600_799_R75_99,C11_600_799_R100_149,C11_600_799_R150_199,C11_600_799_R200_224,C11_600_799_R225_274,C11_600_799_R275_349,C11_600_799_R350_449,C11_600_799_R450_549,C11_600_799_R550_649,C11_600_799_R650m,C11_600_799_R_NS,C11_600_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R_100_149,C11_1000_1249_R_150_199,C11_1000_1249_R_200_224,C11_1000_1249_R_225_274,C11_1000_1249_R_275_349,C11_1000_1249_R_350_449,C11_1000_1249_R_450_549,C11_1000_1249_R_550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R_100_149,C11_1250_1499_R_150_199,C11_1250_1499_R_200_224,C11_1250_1499_R_225_274,C11_1250_1499_R_275_349,C11_1250_1499_R_350_449,C11_1250_1499_R_450_549,C11_1250_1499_R_550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R_100_149,C11_1500_1999_R_150_199,C11_1500_1999_R_200_224,C11_1500_1999_R_225_274,C11_1500_1999_R_275_349,C11_1500_1999_R_350_449,C11_1500_1999_R_450_549,C11_1500_1999_R_550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R_100_149,C11_2500_2999_R_150_199,C11_2500_2999_R_200_224,C11_2500_2999_R_225_274,C11_2500_2999_R_275_349,C11_2500_2999_R_350_449,C11_2500_2999_R_450_549,C11_2500_2999_R_550_649,C11_2500_2999_Re_650mo,C11_2500_2999_R_NS,C11_2500_2999_Re_Tot,C11_3000m_R0_74,C11_3000m_R75_99,C11_3000m_R100_149,C11_3000m_R150_199,C11_3000m_R200_224,C11_3000m_R225_274,C11_3000m_R275_349,C11_3000m_R350_449,C11_3000m_R450_549,C11_3000m_R550_649,C11_3000m_R650m,C11_3000m_R_NS,C11_3000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650me,C11_PI_S_R_NS,C11_PI_S_Re_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99
LGA10050,7,30,176,508,519,1561,1367,482,568,310,87,24,12,53,172,5663,5,0,16,17,6,9,7,6,0,0,0,7,73,22,16,53,22,5,10,7,3,0,0,3,12,153,41,74,124,81,18,17,7,3,0,3,3,13,384,44,136,225,126,36,42,13,3,0,0,3,21,649,28,49,285,282,121,115,51,11,0,3,4,9,958,23,21,175,232,117,156,88,15,4,0,0,16,847,9,14,86,150,99,137,72,14,5,0,0,13,599,8,3,58,121,86,138,87,28,3,0,5,10,547,9,9,44,63,66,118,82,34,0,3,5,9,442,9,4,16,63,68,138,147,47,11,3,3,14,523,7,0,9,14,29,46,92,43,0,0,3,3,246,7,0,7,10,15,22,45,24,17,7,4,3,161,10,0,0,3,6,5,28,31,6,5,3,6,103,14,10,28,44,32,71,60,43,11,3,3,18,337,11,17
LGA10110,4,16,78,352,191,694,904,356,256,102,33,3,0,31,87,3009,7,3,5,15,6,3,5,6,0,0,3,7,60,14,10,14,17,14,9,4,3,0,0,0,6,91,22,22,57,57,17,14,10,0,0,0,0,4,203,26,44,60,80,19,38,7,3,0,0,0,14,291,18,16,83,140,56,70,42,11,0,0,4,13,453,27,13,42,107,72,95,57,19,0,0,0,12,444,13,5,27,66,49,63,53,19,0,0,0,3,298,14,3,17,58,47,72,62,29,0,0,0,3,305,17,3,11,33,20,53,51,19,0,0,0,4,211,15,3,12,33,23,50,57,39,8,3,3,6,252,6,3,3,9,10,17,34,36,3,0,0,3,124,3,3,3,3,10,10,12,32,6,0,3,4,89,7,0,3,4,3,0,12,19,4,0,0,0,52,10,3,18,24,22,35,40,25,4,3,3,11,198,7,5
LGA10150,0,17,122,283,85,240,679,893,1962,1143,600,146,42,57,145,6275,4,5,3,4,5,10,20,54,13,7,3,18,146,11,3,6,6,3,9,11,24,8,4,3,8,96,11,25,17,16,11,18,32,38,4,0,3,13,188,25,37,30,26,13,30,32,38,11,3,0,22,267,16,18,31,49,28,53,100,114,25,4,9,8,455,11,4,13,33,35,50,137,192,27,9,8,8,527,14,3,6,24,13,50,160,187,47,15,3,10,532,8,0,7,14,22,51,179,280,58,23,19,4,665,12,0,8,7,9,25,148,254,71,7,12,6,559,17,3,8,8,13,31,191,396,120,31,16,11,845,5,0,3,5,4,18,86,268,100,44,35,8,576,5,0,3,7,7,10,59,185,101,53,39,5,474,7,0,0,0,5,9,28,133,99,48,59,9,397,7,3,7,7,10,13,60,145,56,33,33,25,399,7,6
LGA10200,8,34,272,470,148,461,1468,878,1705,1391,574,175,36,71,261,7638,20,6,17,9,5,25,54,80,46,11,6,17,296,21,10,22,17,8,27,39,40,13,3,3,14,217,41,70,34,23,18,16,52,52,28,4,3,21,362,57,77,47,24,23,33,70,74,15,8,0,13,441,35,20,78,67,26,94,196,216,81,26,7,30,876,24,17,37,52,41,101,253,324,110,19,9,33,1020,22,3,18,23,26,83,186,250,98,10,12,30,761,23,3,10,32,22,81,209,254,125,23,13,17,812,19,0,5,10,9,39,144,225,122,22,9,18,622,9,3,4,10,19,50,184,328,181,48,15,17,868,14,0,3,10,3,27,74,193,146,41,20,9,540,0,0,3,3,3,15,35,159,164,64,45,13,504,9,0,5,4,7,12,33,112,132,83,56,6,459,11,8,16,27,7,53,147,189,131,39,11,55,694,14,10
LGA10250,0,25,135,464,153,506,787,575,857,697,262,42,16,43,143,4545,3,7,0,5,6,4,11,13,3,3,0,11,66,4,14,8,10,0,9,12,11,4,3,3,3,81,29,48,26,45,15,17,21,4,0,0,0,11,216,62,105,55,50,33,45,31,21,0,0,5,21,428,30,27,86,74,76,117,128,72,18,0,9,16,653,30,21,40,72,53,117,158,130,15,3,0,14,653,27,7,20,43,23,80,149,101,21,6,6,8,491,17,3,13,19,18,60,149,138,22,3,4,13,459,11,0,10,17,13,23,103,126,21,3,9,7,343,12,3,8,10,15,30,109,155,36,9,5,0,392,11,0,3,3,3,19,46,82,30,5,3,0,205,7,0,3,4,4,7,20,46,35,3,6,3,138,3,3,0,0,3,4,12,33,24,9,4,0,95,12,4,8,22,13,22,87,112,23,9,3,4,319,7,6
LGA10300,0,3,7,112,22,96,35,5,3,0,0,0,0,0,22,295,4,4,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0,0,0,0,0,0,0,0,3,9,5,0,9,6,0,0,0,0,0,0,0,0,20,3,3,5,3,3,0,0,0,0,0,0,0,17,8,0,7,11,3,0,0,0,0,0,0,0,29,3,3,12,8,3,0,0,0,0,0,3,3,35,9,0,8,16,0,3,0,0,0,0,0,0,36,11,0,4,4,0,0,0,0,0,0,0,3,22,3,0,0,8,0,0,0,0,0,0,0,0,11,8,0,3,3,3,0,0,0,0,0,0,3,20,4,0,0,3,0,0,0,0,0,0,0,0,7,3,0,3,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,3,0,0,0,0,0,0,0,0,12,4,0
LGA10350,17,114,594,2415,837,1754,1225,1890,3950,2310,627,61,31,177,683,15960,36,32,29,18,6,21,63,74,35,7,4,42,367,102,82,85,36,16,19,43,71,24,0,0,35,513,248,417,134,75,34,28,58,81,21,6,6,62,1170,223,633,201,87,45,60,98,146,32,9,13,73,1620,117,114,424,242,113,135,288,458,93,25,10,87,2106,101,60,200,275,87,161,384,528,147,21,12,60,2036,46,18,77,121,46,117,285,467,122,27,10,42,1378,34,15,32,53,51,115,358,534,134,26,15,42,1409,40,3,25,46,31,64,256,452,122,19,13,31,1102,57,5,25,31,28,67,317,557,220,55,16,40,1418,24,0,9,14,17,32,153,404,155,37,10,23,878,24,0,8,3,7,16,64,182,137,23,16,10,490,18,0,6,9,6,12,70,151,123,42,18,6,461,40,33,71,77,46,56,187,350,157,36,27,71,1151,62,91
LGA10470,0,28,132,468,205,703,972,478,462,236,43,0,9,25,121,3722,12,3,9,12,7,0,3,0,0,0,0,4,50,13,14,21,15,9,4,5,4,0,0,0,3,88,32,34,60,36,25,19,7,4,3,0,3,12,235,62,70,77,68,31,25,12,5,0,0,3,21,374,37,21,103,120,83,110,57,8,0,0,0,14,553,24,6,56,125,81,114,76,22,3,0,0,3,510,23,4,29,71,56,105,75,20,0,0,5,5,393,13,5,28,91,63,117,70,20,0,3,0,5,415,15,0,16,43,53,79,83,27,3,0,0,4,323,26,3,12,26,39,97,123,69,3,0,0,6,404,7,0,9,14,16,39,54,45,3,4,0,3,194,14,0,7,11,9,23,44,32,14,0,0,5,159,0,0,3,5,4,5,29,28,6,0,4,4,88,13,6,13,30,27,43,48,39,8,0,3,15,245,5,13
LGA10550,0,14,79,448,155,548,936,293,324,121,25,18,9,36,117,3030,7,3,3,3,4,6,4,0,0,0,3,3,36,9,8,13,18,7,3,3,0,0,0,0,4,65,25,37,40,38,16,11,10,0,0,0,3,8,188,40,58,69,103,32,27,12,5,0,0,0,18,364,42,19,69,141,84,92,40,4,0,0,0,23,514,25,10,46,105,81,102,62,6,5,0,6,14,462,26,3,28,79,56,70,63,10,0,0,0,4,339,17,3,16,46,41,86,63,19,0,0,4,9,304,13,4,11,33,24,44,38,8,6,0,3,8,192,20,3,13,25,24,39,64,29,0,0,3,5,225,8,0,3,18,12,11,16,7,3,0,3,3,84,4,0,0,6,4,11,10,14,0,5,0,5,59,3,0,3,3,0,3,6,12,0,0,3,0,33,16,3,14,28,24,50,40,8,4,0,3,11,201,12,6
LGA10600,0,6,27,173,54,222,346,173,165,39,6,0,3,6,37,1224,5,0,0,4,0,0,0,4,0,0,0,3,16,4,5,6,3,4,3,0,3,0,0,0,3,31,13,10,16,15,10,7,9,3,0,0,0,4,87,17,29,24,18,19,26,15,7,3,0,0,3,161,19,7,42,44,38,34,45,8,0,0,0,4,241,8,3,15,36,32,44,37,13,3,0,3,3,197,11,0,9,20,10,29,33,24,0,0,4,7,147,5,0,5,12,14,23,27,10,3,0,0,3,102,10,0,5,5,6,10,24,7,0,0,0,0,67,7,0,3,6,6,10,23,21,0,0,3,0,79,0,0,0,0,3,5,8,11,0,0,0,0,27,7,0,0,0,0,0,3,0,4,0,0,3,17,0,0,0,0,0,5,9,0,0,0,0,0,14,9,0,9,3,19,20,23,16,0,0,0,0,99,0,7
