region_id,C01_CFNC_0_299,C01_CFNC_300_449,C01_CFNC_450_599,C01_CFNC_600_799,C01_CFNC_800_999,C01_CFNC_1000_1399,C01_CFNC_1400_1799,C01_CFNC_1800_2399,C01_CFNC_2400_2999,C01_CFNC_3000_3999,C01_CFNC_4000ov,C01_CFNC_NS,C01_CFNC_Tot,C01_CF_Cu15DS_0_299,C01_CF_Cu15DS_300_449,C01_CF_Cu15DS_450_599,C01_CF_Cu15DS_600_799,C01_CF_Cu15DS_800_999,C01_CF_Cu15DS_1000_1399,C01_CF_Cu15DS_1400_1799,C01_CF_Cu15DS_1800_2399,C01_CF_Cu15DS_2400_2999,C01_CF_Cu15DS_3000_3999,C01_CF_Cu15DS_4000ov,C01_CF_Cu15DS_NS,C01_CF_Cu15DS_Tot,C01_CF_Cu15NDS_0_299,C01_CF_Cu15NDS_300_449,C01_CF_Cu15NDS_450_599,C01_CF_Cu15NDS_600_799,C01_CF_Cu15NDS_800_999,C01_CF_Cu15NDS_1000_1399,C01_CF_Cu15NDS_1400_1799,C01_CF_Cu15NDS_1800_2399,C01_CF_Cu15NDS_2400_2999,C01_CF_Cu15NDS_3000_3999,C01_CF_Cu15NDS_4000ov,C01_CF_Cu15NDS_NS,C01_CF_Cu15NDS_Tot,C01_CF_NCu15DS_0_299,C01_CF_NCu15DS_300_449,C01_CF_NCu15DS_450_599,C01_CF_NCu15DS_600_799,C01_CF_NCu15DS_800_999,C01_CF_NCu15DS_1000_1399,C01_CF_NCu15DS_1400_1799,C01_CF_NCu15DS_1800_2399,C01_CF_NCu15DS_2400_2999,C01_CF_NCu15DS_3000_3999,C01_CF_NCu15DS_4000ov,C01_CF_NCu15DS_NS,C01_CF_NCu15DS_Tot,C01_CF_NDCO_0_299,C01_CF_NDCO_300_449,C01_CF_NDCO_450_599,C01_CF_NDCO_600_799,C01_CF_NDCO_800_999,C01_CF_NDCO_1000_1399,C01_CF_NDCO_1400_1799,C01_CF_NDCO_1800_2399,C01_CF_NDCO_2400_2999,C01_CF_NDCO_3000_3999,C01_CF_NDCO_4000ov,C01_CF_NDCO_NS,C01_CF_NDCO_Tot,C01_CF_T_0_299,C01_CF_T_300_449,C01_CF_T_450_599,C01_CF_T_600_799,C01_CF_T_800_999,C01_CF_T_1000_1399,C01_CF_T_1400_1799,C01_CF_T_1800_2399,C01_CF_T_2400_2999,C01_CF_T_3000_3999,C01_CF_T_4000ov,C01_CF_T_NS,C01_CF_T_T,C01_1PF_Cu15DS_0_299,C01_1PF_Cu15DS_300_449,C01_1PF_Cu15DS_450_599,C01_1PF_Cu15DS_600_799,C01_1PF_Cu15DS_800_999,C01_1PF_Cu15DS_1000_1399,C01_1PF_Cu15DS_1400_1799,C01_1PF_Cu15DS_1800_2399,C01_1PF_Cu15DS_2400_2999,C01_1PF_Cu15DS_3000_3999,C01_1PF_Cu15DS_4000ov,C01_1PF_Cu15DS_NS,C01_1PF_Cu15DS_Tot,C01_1PF_CU15_NDS_0_299,C01_1PF_CU15_NDS_300_449,C01_1PF_CU15_NDS_450_599,C01_1PF_CU15_NDS_600_799,C01_1PF_CU15_NDS_800_999,C01_1PF_CU15_NDS_1000_1399,C01_1PF_CU15_NDS_1400_1799,C01_1PF_CU15_NDS_1800_2399,C01_1PF_CU15_NDS_2400_2999,C01_1PF_CU15_NDS_3000_3999,C01_1PF_CU15_NDS_4000ov,C01_1PF_CU15_NDS_NS,C01_1PF_CU15_NDS_Tot,C01_1PF_NCu15DS_0_299,C01_1PF_NCu15DS_300_449,C01_1PF_NCu15DS_450_599,C01_1PF_NCu15DS_600_799,C01_1PF_NCu15DS_800_999,C01_1PF_NCu15DS_1000_1399,C01_1PF_NCu15DS_1400_1799,C01_1PF_NCu15DS_1800_2399,C01_1PF_NCu15DS_2400_2999,C01_1PF_NCu15DS_3000_3999,C01_1PF_NCu15DS_4000ov,C01_1PF_NCu15DS_NS,C01_1PF_NCu15DS_Tot,C01_1PF_NDCO_0_299,C01_1PF_NDCO_300_449,C01_1PF_NDCO_450_599,C01_1PF_NDCO_600_799,C01_1PF_NDCO_800_999,C01_1PF_NDCO_1000_1399,C01_1PF_NDCO_1400_1799,C01_1PF_NDCO_1800_2399,C01_1PF_NDCO_2400_2999,C01_1PF_NDCO_3000_3999,C01_1PF_NDCO_4000ov,C01_1PF_NDCO_NS,C01_1PF_NDCO_Tot,C01_1PF_T0_299,C01_1PF_T300_449,C01_1PF_T450_599,C01_1PF_T600_799,C01_1PF_T800_999,C01_1PF_T1000_1399,C01_1PF_T1400_1799,C01_1PF_T1800_2399,C01_1PF_T2400_2999,C01_1PF_T3000_3999,C01_1PF_T4000ov,C01_1PF_TNS,C01_1PF_TT,C01_T_0_299,C01_T_300_449,C01_T_450_599,C01_T_600_799,C01_T_800_999,C01_T_1000_1399,C01_T_1400_1799,C01_T_1800_2399,C01_T_2400_2999,C01_T_3000_3999,C01_T_4000ov,C01_T_NS,C01_T_T,C06_CFNC_0_299,C06_CFNC_300_449,C06_CFNC_450_599,C06_CFNC_600_799,C06_CFNC_800_999,C06_CFNC_1000_1399,C06_CFNC_1400_1799,C06_CFNC_1800_2399,C06_CFNC_2400_2999,C06_CFNC_3000_3999,C06_CFNC_4000ov,C06_CFNC_NS,C06_CFNC_T,C06_CF_Cu15DS_0_299,C06_CF_Cu15DS_300_449,C06_CF_Cu15DS_450_599,C06_CF_Cu15DS_600_799,C06_CF_Cu15DS_800_999,C06_CF_Cu15DS_1000_1399,C06_CF_Cu15DS_1400_1799,C06_CF_Cu15DS_1800_2399,C06_CF_Cu15DS_2400_2999,C06_CF_Cu15DS_3000_3999,C06_CF_Cu15DS_4000ov,C06_CF_Cu15DS_NS,C06_CF_Cu15DS_T,C06_CF_Cu15NDS_0_299,C06_CF_Cu15NDS_300_449,C06_CF_Cu15NDS_450_599,C06_CF_Cu15NDS_600_799,C06_CF_Cu15NDS_800_999,C06_CF_Cu15NDS_1000_1399,C06_CF_Cu15NDS_1400_1799,C06_CF_Cu15NDS_1800_2399,C06_CF_Cu15NDS_2400_2999,C06_CF_Cu15NDS_3000_3999,C06_CF_Cu15NDS_4000ov,C06_CF_Cu15NDS_NS,C06_CF_Cu15NDS_Tot,C06_CF_NCu15DS_0_299,C06_CF_NCu15DS_300_449,C06_CF_NCu15DS_450_599,C06_CF_NCu15DS_600_799,C06_CF_NCu15DS_800_999
LGA10050,56,70,99,226,180,197,59,36,9,8,6,56,1002,14,24,43,66,67,93,30,7,7,3,3,18,375,37,111,204,432,423,384,90,49,16,8,10,74,1838,11,21,37,53,48,46,8,9,0,3,0,19,255,20,29,27,54,39,37,11,6,3,0,3,12,241,82,185,311,605,577,560,139,71,26,14,16,123,2709,5,9,12,13,7,7,3,0,0,0,0,3,59,9,29,49,75,42,26,8,3,0,0,0,12,253,9,11,11,21,10,13,3,0,0,0,0,5,83,15,11,16,26,13,12,3,0,0,3,0,7,106,38,60,88,135,72,58,17,3,0,3,0,27,501,176,315,498,966,829,815,215,110,35,25,22,206,4212,50,51,60,120,169,324,242,132,39,15,15,108,1325,8,11,19,45,61,104,69,61,15,16,9,34,452,29,50,66,145,245,600,428,226,60,31,21,136,2037,12,24,17,30,41
LGA10110,15,18,45,71,54,74,20,11,4,0,3,17,332,3,8,17,36,39,41,15,7,0,0,0,7,173,17,48,64,148,165,125,41,20,7,5,0,23,663,5,8,12,14,28,21,14,3,0,0,3,0,108,4,0,5,13,7,12,8,0,0,0,0,0,49,29,64,98,211,239,199,78,30,7,5,3,30,993,0,4,3,9,4,7,0,0,0,0,0,3,30,4,9,12,26,9,9,3,0,0,3,0,5,80,3,7,8,5,3,3,0,0,0,0,0,4,33,5,3,3,5,7,4,0,0,0,0,0,4,31,12,23,26,45,23,23,3,0,0,3,0,16,174,56,105,169,327,316,296,101,41,11,8,6,63,1499,17,16,24,67,64,101,33,48,15,11,5,40,441,4,6,6,28,36,50,24,8,6,4,3,7,182,7,18,33,73,115,231,123,60,13,10,9,43,735,5,7,7,17,23
LGA10150,11,12,18,34,47,131,121,115,42,29,16,17,593,5,5,3,9,12,30,18,20,9,4,3,6,124,16,15,16,31,77,198,166,170,56,42,20,40,847,0,3,8,5,16,26,20,15,8,4,3,7,115,3,5,7,4,8,21,8,8,3,5,0,5,77,24,28,34,49,113,275,212,213,76,55,26,58,1163,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,8,8,16,21,13,10,3,3,0,5,87,0,3,3,0,5,7,3,3,0,0,0,3,27,0,0,0,5,10,10,7,8,3,0,0,7,50,0,3,11,13,31,43,23,21,6,3,0,15,169,35,43,63,96,191,449,356,349,124,87,42,90,1925,24,15,15,21,38,79,117,172,85,96,47,44,753,3,14,8,6,11,26,26,42,18,23,15,19,211,17,17,11,31,48,132,151,256,155,179,112,68,1177,5,9,4,10,16
LGA10200,18,18,19,36,57,148,98,61,9,10,4,27,505,4,9,11,33,29,69,32,24,7,5,4,23,250,20,51,40,121,165,333,187,117,33,26,16,73,1182,8,8,11,31,32,61,56,24,4,5,3,17,260,8,3,8,19,23,53,30,14,4,4,3,15,184,40,71,70,204,249,516,305,179,48,40,26,128,1876,3,3,3,0,4,4,5,0,0,0,3,0,25,0,4,9,19,23,27,15,10,0,0,0,6,113,0,0,6,10,7,12,5,3,0,0,0,4,47,7,5,5,10,11,20,9,0,0,0,0,10,77,10,12,23,39,45,63,34,13,0,0,3,20,262,68,101,112,279,351,727,437,253,57,50,33,175,2643,25,22,20,31,73,158,160,226,136,145,39,58,1093,8,11,11,29,20,76,60,81,43,42,18,41,440,14,35,37,69,117,328,313,407,196,161,83,146,1906,7,16,18,21,29
LGA10250,45,43,48,102,103,170,74,27,8,3,6,32,661,3,19,18,34,48,83,14,12,4,0,3,11,249,16,51,52,165,182,314,94,50,9,11,11,45,1000,6,20,19,33,54,50,15,7,0,3,0,6,213,9,11,14,18,28,36,14,7,3,3,0,7,150,34,101,103,250,312,483,137,76,16,17,14,69,1612,0,0,6,7,7,7,5,0,0,0,0,4,36,7,18,17,39,36,28,6,3,4,0,0,7,165,3,7,8,19,17,13,3,0,0,0,0,3,73,4,7,5,13,10,10,3,3,0,0,0,8,63,14,32,36,78,70,58,17,6,4,0,0,22,337,93,176,187,430,485,711,228,109,28,20,20,123,2610,36,36,40,68,90,179,160,142,39,40,24,109,963,3,13,18,15,42,76,60,40,20,10,5,16,318,23,31,25,83,109,291,220,223,64,51,26,67,1213,9,11,8,29,16
LGA10300,3,9,10,0,4,6,0,0,0,0,0,0,32,3,0,0,5,0,3,0,0,0,0,0,0,11,3,24,17,21,7,8,3,3,0,0,3,4,93,0,3,4,0,0,0,0,0,0,0,0,3,10,0,3,3,0,0,0,0,0,0,0,0,0,6,6,30,24,26,7,11,3,3,0,0,3,7,120,0,3,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,3,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,0,6,18,12,45,34,26,11,17,3,6,0,0,3,13,170,5,8,6,12,7,11,0,0,0,0,0,19,68,0,3,3,0,0,3,0,3,0,0,0,5,17,4,5,10,12,13,10,0,3,4,0,0,7,68,0,0,3,3,3
LGA10350,84,51,43,122,193,520,413,317,63,60,38,105,2009,17,45,57,85,150,293,148,67,25,17,14,60,978,72,131,157,375,604,1526,898,494,120,77,67,216,4737,21,37,48,73,96,208,94,53,19,11,8,42,710,47,37,38,77,98,199,110,74,12,14,9,54,769,157,250,300,610,948,2226,1250,688,176,119,98,372,7194,3,10,5,11,8,23,9,3,0,0,0,7,79,19,10,16,56,74,122,55,32,3,5,4,31,427,3,15,11,27,22,37,15,8,0,0,3,7,148,23,25,22,40,55,83,39,19,4,4,5,16,335,48,60,54,134,159,265,118,62,7,9,12,61,989,289,361,397,866,1300,3011,1781,1067,246,188,148,538,10192,58,78,51,99,135,396,414,583,388,254,118,225,2799,30,40,45,89,104,317,243,252,125,111,55,124,1535,75,92,106,224,350,1102,1220,1555,763,503,212,398,6600,25,59,54,80,115
LGA10470,28,41,52,96,160,181,66,30,7,10,5,31,707,8,22,22,64,74,69,32,18,3,3,0,17,332,25,54,81,234,303,349,99,45,12,12,12,59,1285,4,14,12,29,47,67,22,5,3,3,0,18,224,9,12,12,26,31,35,19,9,0,0,0,9,162,46,102,127,353,455,520,172,77,18,18,12,103,2003,3,4,3,13,4,8,0,0,0,0,0,3,38,8,26,24,40,20,16,8,3,3,0,0,5,153,0,8,7,9,9,16,4,0,0,0,0,3,56,5,8,4,11,10,7,3,0,0,0,0,4,52,16,46,38,73,43,47,15,3,3,0,0,15,299,90,189,217,522,658,748,253,110,28,28,17,149,3009,25,47,29,68,105,215,206,144,39,18,19,82,997,3,8,7,30,30,79,56,49,19,9,5,11,306,21,21,34,84,177,394,338,269,56,31,15,68,1508,10,17,8,26,38
LGA10550,50,53,52,104,84,88,33,18,4,9,5,29,529,9,25,18,66,47,33,10,7,3,3,3,3,227,35,82,93,213,188,148,37,19,5,3,5,33,861,10,14,11,30,21,23,5,5,0,3,0,6,128,4,11,15,21,17,22,5,6,0,0,0,8,109,58,132,137,330,273,226,57,37,8,9,8,50,1325,3,8,6,9,3,7,0,0,0,0,0,0,36,8,30,25,27,11,10,5,0,0,0,3,6,125,3,6,7,8,6,5,0,0,0,0,0,0,35,5,3,4,4,3,0,0,0,0,0,0,6,25,19,47,42,48,23,22,5,0,0,0,3,12,221,127,232,231,482,380,336,95,55,12,18,16,91,2075,45,68,48,101,103,164,90,78,17,18,7,80,819,8,15,16,34,36,70,41,19,6,3,6,11,265,23,43,43,111,144,283,172,108,22,16,12,66,1043,3,13,18,16,28
LGA10600,12,16,23,37,28,38,13,6,3,0,0,7,183,0,12,11,21,19,14,5,3,0,0,0,6,91,11,26,38,88,64,56,12,6,3,0,3,9,316,3,5,8,10,14,7,4,0,0,0,0,3,54,3,3,5,4,6,6,0,0,3,3,0,0,33,17,46,62,123,103,83,21,9,6,3,3,18,494,0,4,5,6,4,0,0,0,0,0,0,3,22,7,17,18,13,11,17,3,0,0,3,0,7,96,0,5,5,6,5,3,0,0,0,0,0,0,24,0,3,4,4,0,0,0,0,0,0,0,0,11,7,29,32,29,20,20,3,0,0,3,0,10,153,36,91,117,189,151,141,37,15,9,6,3,35,830,20,20,20,35,45,54,37,30,8,3,8,24,304,7,4,3,7,18,39,12,8,4,3,3,7,115,9,14,15,47,41,96,56,43,18,3,3,21,366,0,4,10,7,7
