region_id,Pers_age_15andOver_C01_M,Pers_age_15over_C01_F,Pers_age_15over_C01_P,Pers_age_15over_C06_M,Pers_age_15over_C06_F,Pers_age_15over_C06_P,Pers_age_15over_C11_M,Pers_age_15over_C11_F,Pers_age_15over_C11_P,Lfs_Em_FT_C01_M,Lfs_Em_FT_C01_F,Lfs_Em_FT_C01_P,Lfs_Em_FT_C06_M,Lfs_Em_FT_C06_F,Lfs_Em_FT_C06_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Emp_wor_pt_C01_M,Lfs_Emp_wor_pt_C01_F,Lfs_Emp_wor_pt_C01_P,Lfs_Emp_wor_pt_C06_M,Lfs_Emp_wor_pt_C06_F,Lfs_Emp_wor_pt_C06_P,Lfs_Emp_wor_pt_C11_M,Lfs_Emp_wor_pt_C11_F,Lfs_Emp_wor_pt_C11_P,Lfs_Em_AFWr_C01_M,Lfs_Em_AFWr_C01_F,Lfs_Em_AFWr_C01_P,Lfs_Em_AFWr_C06_M,Lfs_Em_AFWr_C06_F,Lfs_Em_AFWr_C06_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Unem_loo_f_wor_C01_M,Lfs_Unem_loo_f_wor_C01_F,Lfs_Unem_loo_f_wor_C01_P,Lfs_Unem_loo_f_wor_C06_M,Lfs_Unem_loo_f_wor_C06_F,Lfs_Unem_loo_f_wor_C06_P,Lfs_Unem_loo_f_wor_C11_M,Lfs_Unem_loo_f_wor_C11_F,Lfs_Unem_loo_f_wor_C11_P,Lfs_Tot_lab_for_C01_M,Lfs_Tot_lab_for_C01_F,Lfs_Tot_lab_for_C01_P,Lfs_Tot_lab_for_C06_M,Lfs_Tot_lab_for_C06_F,Lfs_Tot_lab_for_C06_P,Lfs_Tot_lab_for_C11_M,Lfs_Tot_lab_for_C11_F,Lfs_Tot_lab_for_C11_P,N_the_labo_forc_C01_M,N_the_labo_forc_C01_F,N_the_labo_forc_C01_P,N_the_labo_forc_C06_M,N_the_labo_forc_C06_F,N_the_labo_forc_C06_P,N_the_labo_forc_C11_M,N_the_labo_forc_C11_F,N_the_labo_forc_C11_P,Percnt_Unemploy_C01_M,Percnt_Unemploy_C01_F,Percnt_Unemploy_C01_P,Percnt_Unemploy_C06_M,Percnt_Unemploy_C06_F,Percnt_Unemploy_C06_P,Percnt_Unemploy_C11_M,Percnt_Unemploy_C11_F,Percnt_Unemploy_C11_P,Prcnt_LForc_prt_C01_M,Prcnt_LForc_prt_C01_F,Prcnt_LForc_prt_C01_P,Prcnt_LForc_prt_C06_M,Prcnt_LForc_prt_C06_F,Prcnt_LForc_prt_C06_P,Prcnt_LForc_prt_C11_M,Prcnt_LForc_prt_C11_F,Prcnt_LForc_prt_C11_P,Pcnt_Emp_to_pop_C01_M,Pcnt_Emp_to_pop_C01_F,Pcnt_Emp_to_pop_C01_P,Pcnt_Emp_to_pop_C06_M,Pcnt_Emp_to_pop_C06_F,Pcnt_Emp_to_pop_C06_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,No_sc_qu_Po_De_C01_M,No_sc_qu_Po_De_C01_F,No_sc_qu_Po_De_C01_P,No_sc_qu_Po_De_C06_M,No_sc_qu_Po_De_C06_F,No_sc_qu_Po_De_C06_P,No_sc_qu_Po_De_C11_M,No_sc_qu_Po_De_C11_F,No_sc_qu_Po_De_C11_P,N_s_q_Gr_D_G_Ce_C01_M,N_s_q_Gr_D_G_Ce_C01_F,N_s_q_Gr_D_G_Ce_C01_P,N_s_q_Gr_D_G_Ce_C06_M,N_s_q_Gr_D_G_Ce_C06_F,N_s_q_Gr_D_G_Ce_C06_P,N_s_q_Gr_D_G_Ce_C11_M,N_s_q_Gr_D_G_Ce_C11_F,N_s_q_Gr_D_G_Ce_C11_P,N_s_q_Bach_Deg_C01_M,N_s_q_Bach_Deg_C01_F,N_s_q_Bach_Deg_C01_P,N_s_q_Bach_Deg_C06_M,N_s_q_Bach_Deg_C06_F,N_s_q_Bach_Deg_C06_P,N_s_q_Bach_Deg_C11_M,N_s_q_Bach_Deg_C11_F,N_s_q_Bach_Deg_C11_P,N_s_q_AdD_DL_2001_Cens_M,N_s_q_AdD_DL_2001_Cens_F,N_s_q_AdD_DL_2001_Cens_P,N_s_q_AdD_DL_2006_Cens_M,N_s_q_AdD_DL_2006_Cens_F,N_s_q_AdD_DL_2006_Cens_P,N_s_q_AdD_DL_2011_Cens_M,N_s_q_AdD_DL_2011_Cens_F,N_s_q_AdD_DL_2011_Cens_P,N_s_q_Cert_Leve_C01_M,N_s_q_Cert_Leve_C01_F,N_s_q_Cert_Leve_C01_P,N_s_q_Cert_Leve_C06_M,N_s_q_Cert_Leve_C06_F,N_s_q_Cert_Leve_C06_P,N_s_q_Cert_Leve_C11_M,N_s_q_Cert_Leve_C11_F,N_s_q_Cert_Leve_C11_P,Mig_Liv_SA_1yr_ag_01_Cen_M,Mig_Liv_SA_1yr_ag_01_Cen_F,Mig_Liv_SA_1yr_ag_01_Cen_P,Mig_Liv_SA_1yr_ag_06_Cen_M,Mig_Liv_SA_1yr_ag_06_Cen_F,Mig_Liv_SA_1yr_ag_06_Cen_P,Mig_Liv_SA_1yr_ag_11_Cen_M,Mig_Liv_SA_1yr_ag_11_Cen_F,Mig_Liv_SA_1yr_ag_11_Cen_P,Mig_Liv_DA_1yr_ag_01_Cen_M,Mig_Liv_DA_1yr_ag_01_Cen_F,Mig_Liv_DA_1yr_ag_01_Cen_P,Mig_Liv_DA_1yr_ag_06_Cen_M,Mig_Liv_DA_1yr_ag_06_Cen_F,Mig_Liv_DA_1yr_ag_06_Cen_P,Mig_Liv_DA_1yr_ag_11_Cen_M,Mig_Liv_DA_1yr_ag_11_Cen_F,Mig_Liv_DA_1yr_ag_11_Cen_P,Mi_Liv_SA_5yrs_ag_2001_Ce_M,Mi_Liv_SA_5yrs_ag_2001_Ce_F,Mi_Liv_SA_5yrs_ag_2001_Ce_P,Mi_Liv_SA_5yrs_ag_2006_Ce_M,Mi_Liv_SA_5yrs_ag_2006_Ce_F,Mi_Liv_SA_5yrs_ag_2006_Ce_P,Mi_Liv_SA_5yrs_ag_2011_Ce_M,Mi_Liv_SA_5yrs_ag_2011_Ce_F,Mi_Liv_SA_5yrs_ag_2011_Ce_P,Mi_Liv_DA_5yrs_ag_2001_Ce_M,Mi_Liv_DA_5yrs_ag_2001_Ce_F,Mi_Liv_DA_5yrs_ag_2001_Ce_P,Mi_Liv_DA_5yrs_ag_2006_Ce_M,Mi_Liv_DA_5yrs_ag_2006_Ce_F,Mi_Liv_DA_5yrs_ag_2006_Ce_P,Mi_Liv_DA_5yrs_ag_2011_Ce_M,Mi_Liv_DA_5yrs_ag_2011_Ce_F,Mi_Liv_DA_5yrs_ag_2011_Ce_P
LGA10050,16448,18006,34454,17839,19105,36944,18264,20094,38358,8320,4149,12469,9127,4584,13711,8973,4903,13876,1630,4298,5928,1867,4963,6830,1952,5256,7208,637,546,1183,667,655,1322,674,720,1394,931,748,1679,731,683,1414,746,656,1402,11518,9741,21259,12392,10885,23277,12345,11535,23880,4301,7479,11780,4334,7268,11602,4955,7649,12604,8.1,7.7,7.9,5.9,6.3,6.1,6.0,5.7,5.9,70.0,54.1,61.7,69.5,57.0,63.0,67.6,57.4,62.3,64.4,49.9,56.8,65.4,53.4,59.2,63.5,54.1,58.6,209,141,350,271,201,472,387,367,754,193,279,472,206,367,573,238,446,684,1108,1524,2632,1409,2000,3409,1608,2479,4087,763,1119,1882,985,1412,2397,1088,1675,2763,4333,1990,6323,4899,2552,7451,5266,3161,8427,16111,17120,33231,17316,18253,35569,18013,19226,37239,4266,4579,8845,3817,4239,8056,3575,4139,7714,10017,10536,20553,10896,11432,22328,11656,12397,24053,9011,9815,18826,8867,9719,18586,8443,9428,17871
LGA10110,8830,9952,18782,9098,10204,19302,9341,10527,19868,3705,2187,5892,3622,2253,5875,3692,2420,6112,1039,2203,3242,1193,2335,3528,1249,2399,3648,312,324,636,316,342,658,299,350,649,555,412,967,475,448,923,455,395,850,5611,5126,10737,5606,5378,10984,5695,5564,11259,2985,4532,7517,2980,4342,7322,3055,4300,7355,9.9,8.0,9.0,8.5,8.3,8.4,8.0,7.1,7.5,63.5,51.5,57.2,61.6,52.7,56.9,61.0,52.8,56.7,57.3,47.4,52.0,56.4,48.3,52.1,56.1,49.1,52.4,574,320,894,608,426,1034,679,542,1221,142,279,421,100,236,336,140,310,450,872,1174,2046,992,1378,2370,1085,1552,2637,366,687,1053,473,829,1302,492,832,1324,1763,906,2669,1918,1146,3064,2026,1389,3415,8329,9033,17362,8502,9238,17740,8696,9362,18058,2658,2964,5622,2246,2544,4790,2198,2584,4782,5101,5542,10643,5218,5685,10903,5501,5987,11488,5262,5878,11140,4869,5503,10372,4748,5337,10085
LGA10150,15882,17033,32915,16216,17271,33487,16827,18070,34897,7458,5218,12676,7375,5453,12828,7672,5642,13314,1713,2788,4501,2008,3097,5105,2393,3719,6112,647,605,1252,574,572,1146,560,595,1155,718,476,1194,620,501,1121,714,633,1347,10536,9087,19623,10577,9623,20200,11339,10589,21928,4359,6785,11144,4135,6252,10387,4291,6327,10618,6.8,5.2,6.1,5.9,5.2,5.5,6.3,6.0,6.1,66.3,53.3,59.6,65.2,55.7,60.3,67.4,58.6,62.8,61.8,50.6,56.0,61.4,52.8,57.0,63.1,55.1,59.0,904,753,1657,1380,1269,2649,1681,1652,3333,205,403,608,260,422,682,284,499,783,2657,2830,5487,3111,3451,6562,3487,4183,7670,1050,1395,2445,1156,1604,2760,1413,1765,3178,2401,1361,3762,2141,1265,3406,2316,1350,3666,14068,14887,28955,14336,15310,29646,15494,16471,31965,3450,3448,6898,3170,3289,6459,2992,3235,6227,8707,9338,18045,9086,9803,18889,9609,10397,20006,7942,8219,16161,7410,7803,15213,7755,8157,15912
LGA10200,22876,21023,43899,26845,24495,51340,30995,28609,59604,8432,4706,13138,9828,5694,15522,11880,6990,18870,2027,2348,4375,2860,3027,5887,4130,4132,8262,980,697,1677,997,713,1710,1133,856,1989,1645,945,2590,1372,938,2310,1494,1227,2721,13084,8696,21780,15057,10372,25429,18637,13205,31842,8531,11112,19643,9122,11848,20970,9779,13486,23265,12.6,10.9,11.9,9.1,9.0,9.1,8.0,9.3,8.5,57.2,41.4,49.6,56.1,42.3,49.5,60.1,46.2,53.4,50.0,36.9,43.7,51.0,38.5,45.0,55.3,41.9,48.9,451,251,702,1083,666,1749,1777,1274,3051,98,134,232,155,179,334,261,278,539,2049,1831,3880,3054,2985,6039,4450,4597,9047,1125,1162,2287,1479,1716,3195,2435,2449,4884,3156,1399,4555,3134,1662,4796,3485,2168,5653,20473,20215,40688,23401,22967,46368,28137,27499,55636,4982,4422,9404,4992,4768,9760,5747,5302,11049,12536,12628,25164,13982,14074,28056,16825,16738,33563,11100,10245,21345,12158,11609,23767,14524,13607,28131
LGA10250,14141,15456,29597,14989,16536,31525,15280,17040,32320,5216,2927,8143,5843,3284,9127,5717,3320,9037,1734,3299,5033,2073,3999,6072,2131,4281,6412,511,479,990,516,519,1035,538,547,1085,986,604,1590,673,592,1265,602,506,1108,8447,7309,15756,9105,8394,17499,8988,8654,17642,5229,7562,12791,5194,7311,12505,5567,7654,13221,11.7,8.3,10.1,7.4,7.1,7.2,6.7,5.8,6.3,59.7,47.3,53.2,60.8,50.8,55.5,58.8,50.8,54.6,52.8,43.4,47.9,56.3,47.2,51.5,54.9,47.8,51.2,233,150,383,314,242,556,356,354,710,156,228,384,175,298,473,219,331,550,1100,1286,2386,1465,1796,3261,1676,2287,3963,708,1143,1851,888,1490,2378,1031,1710,2741,3809,1572,5381,4218,2042,6260,4384,2469,6853,13664,14506,28170,14688,15896,30584,15195,16573,31768,3602,3818,7420,3062,3247,6309,2765,3058,5823,8277,8750,17027,9188,9925,19113,10136,10975,21111,8077,8722,16799,7573,8250,15823,6781,7658,14439
LGA10300,1151,969,2120,1070,967,2037,1006,925,1931,678,264,942,581,258,839,492,233,725,77,189,266,88,210,298,95,192,287,65,41,106,50,42,92,47,34,81,33,19,52,26,33,59,24,18,42,853,513,1366,745,543,1288,658,477,1135,246,409,655,239,363,602,243,389,632,3.9,3.7,3.8,3.5,6.1,4.6,3.6,3.8,3.7,74.1,52.9,64.4,69.6,56.1,63.2,65.5,51.6,58.8,71.2,51.0,62.0,67.2,52.7,60.3,63.1,49.6,56.7,7,5,12,4,9,13,6,9,15,4,17,21,6,9,15,3,14,17,38,56,94,32,65,97,38,68,106,29,39,68,33,48,81,33,50,83,197,52,249,192,80,272,208,120,328,1225,1027,2252,1133,980,2113,998,918,1916,209,182,391,141,141,282,128,139,267,863,719,1582,827,703,1530,731,658,1389,467,418,885,344,345,689,320,329,649
LGA10350,63154,66001,129155,64436,68111,132547,69390,73128,142518,28434,15724,44158,27709,15357,43066,28777,16157,44934,5598,10070,15668,6360,10898,17258,7712,12444,20156,2743,2042,4785,2834,2106,4940,2616,2188,4804,3456,2103,5559,3053,2208,5261,3264,2482,5746,40231,29939,70170,39956,30569,70525,42369,33271,75640,20159,32616,52775,20080,32980,53060,22669,35425,58094,8.6,7.0,7.9,7.6,7.2,7.5,7.7,7.5,7.6,63.7,45.4,54.3,62.0,44.9,53.2,61.1,45.5,53.1,58.2,42.2,50.0,57.3,41.6,49.2,56.4,42.1,49.0,859,494,1353,1134,829,1963,1835,1526,3361,302,446,748,300,508,808,428,585,1013,4311,4637,8948,5255,5965,11220,6695,7879,14574,3042,3543,6585,3536,4717,8253,4639,6034,10673,14718,5616,20334,14200,6234,20434,14462,7538,22000,66096,68068,134164,68457,70899,139356,74493,77552,152045,10497,10436,20933,8681,9153,17834,8848,8809,17657,45697,47628,93325,48356,50490,98846,52493,54947,107440,25926,26286,52212,23020,24095,47115,24642,25587,50229
LGA10470,13316,13714,27030,14143,14476,28619,15230,15429,30659,6164,3262,9426,6498,3476,9974,7060,3816,10876,1324,3204,4528,1492,3711,5203,1648,4003,5651,553,542,1095,525,564,1089,510,534,1044,777,608,1385,561,541,1102,542,503,1045,8818,7616,16434,9076,8292,17368,9760,8856,18616,4100,5620,9720,4526,5616,10142,4719,5829,10548,8.8,8.0,8.4,6.2,6.5,6.3,5.6,5.7,5.6,66.2,55.5,60.8,64.2,57.3,60.7,64.1,57.4,60.7,60.4,51.1,55.7,60.2,53.5,56.8,60.5,54.1,57.3,290,165,455,307,224,531,351,328,679,113,239,352,129,236,365,147,311,458,863,1299,2162,1016,1642,2658,1214,1907,3121,586,880,1466,642,1071,1713,859,1227,2086,3407,1514,4921,3823,1976,5799,4313,2488,6801,12487,12977,25464,13394,13951,27345,14613,15014,29627,3332,3641,6973,2998,3251,6249,2986,3204,6190,7571,7815,15386,8256,8542,16798,9408,9594,19002,7252,7839,15091,7038,7645,14683,7032,7475,14507
LGA10550,11703,12287,23990,12424,13091,25515,12877,13606,26483,4285,2050,6335,4617,2240,6857,4584,2386,6970,1347,2616,3963,1635,3201,4836,1720,3372,5092,507,429,936,510,411,921,453,483,936,715,440,1155,550,392,942,476,335,811,6854,5535,12389,7312,6244,13556,7233,6576,13809,4381,6142,10523,4569,6273,10842,5008,6315,11323,10.4,7.9,9.3,7.5,6.3,6.9,6.6,5.1,5.9,58.6,45.0,51.6,58.9,47.7,53.1,56.2,48.3,52.1,52.5,41.5,46.8,54.4,44.7,49.4,52.5,45.9,49.1,113,79,192,153,140,293,219,212,431,119,183,302,140,233,373,172,325,497,694,848,1542,853,1176,2029,1014,1430,2444,590,769,1359,703,1014,1717,762,1200,1962,3251,1302,4553,3679,1711,5390,3910,2013,5923,11601,11855,23456,12570,13015,25585,12773,13237,26010,2700,2802,5502,2207,2346,4553,2126,2256,4382,7710,7818,15528,8253,8387,16640,8866,8965,17831,5828,6159,11987,5760,6240,12000,5247,5739,10986
LGA10600,4631,4751,9382,4753,5111,9864,4794,5258,10052,1443,710,2153,1468,815,2283,1477,865,2342,519,1013,1532,645,1192,1837,731,1352,2083,163,157,320,180,131,311,154,150,304,439,243,682,281,235,516,225,183,408,2564,2123,4687,2574,2373,4947,2587,2550,5137,1903,2454,4357,1943,2469,4412,2047,2555,4602,17.1,11.4,14.6,10.9,9.9,10.4,8.7,7.2,7.9,55.4,44.7,50.0,54.2,46.4,50.2,54.0,48.5,51.1,45.9,39.6,42.7,48.3,41.8,44.9,49.3,45.0,47.0,46,51,97,79,81,160,105,131,236,41,98,139,47,109,156,64,148,212,273,414,687,380,541,921,422,712,1134,214,331,545,260,471,731,332,509,841,1227,495,1722,1332,630,1962,1442,785,2227,4794,4830,9624,4891,5120,10011,4947,5239,10186,1061,1055,2116,860,970,1830,846,960,1806,3125,3070,6195,3260,3367,6627,3451,3549,7000,2395,2496,4891,2171,2410,4581,2003,2327,4330
