region_id,C01_CFNC_BF_N,C01_CFNC_BF_1_199,C01_CFNC_BF_200_399,C01_CFNC_BF_400_599,C01_CFNC_BF_600_799,C01_CFNC_BF_800_999,C01_CFNC_BF_1000_1499,C01_CFNC_BF_1500_1999,C01_CFNC_BF_2000_2499,C01_CFNC_BF_2500_2999,C01_CFNC_BF_3000m,C01_CFNC_BF_Ns,C01_CFNC_BF_T,C01_CFNC_BPT_N,C01_CFNC_BPT_1_199,C01_CFNC_BPT_200_399,C01_CFNC_BPT_400_599,C01_CFNC_BPT_600_799,C01_CFNC_BPT_800_999,C01_CFNC_BPT_1000_1499,C01_CFNC_BPT_1500_1999,C01_CFNC_BPT_2000_2499,C01_CFNC_BPT_2500_2999,C01_CFNC_BPT_3000M,C01_CFNC_BPT_Ns,C01_CFNC_BPT_T,C01_CFNC_1F1P_Ne_Ni,C01_CFNC_1F1P_1_199,C01_CFNC_1F1P_200_399,C01_CFNC_1F1P_400_599,C01_CFNC_1F1P_600_799,C01_CFNC_1F1P_800_999,C01_CFNC_1F1P_1000_1499,C01_CFNC_1F1P_1500_1999,C01_CFNC_1F1P_2000_2499,C01_CFNC_1F1P_2500_2999,C01_CFNC_1F1P_3000m,C01_CFNC_1F1P_Ns,C01_CFNC_1F1P_T,C01_CFNC_1E1A_Ni,C01_CFNC_1E1A_1_199,C01_CFNC_1E1A_200_399,C01_CFNC_1E1A_400_599,C01_CFNC_1E1A_600_799,C01_CFNC_1E1A_800_999,C01_CFNC_1E1A_1000_1499,C01_CFNC_1E1A_1500_1999,C01_CFNC_1E1A_2000_2499,C01_CFNC_1E1A_2500_2999,C01_CFNC_1E1A_3000m,C01_CFNC_1E1A_Ns,C01_CFNC_1E1A_T,C01_CFNC_1F1NW_N,C01_CFNC_1F1NW_1_199,C01_CFNC_1F1NW_200_399,C01_CFNC_1F1NW_400_599,C01_CFNC_1F1NW_600_799,C01_CFNC_1F1NW_800_999,C01_CFNC_1F1NW_1000_1499,C01_CFNC_1F1NW_1500_1999,C01_CFNC_1F1NW_2000_2499,C01_CFNC_1F1NW_2500_2999,C01_CFNC_1F1NW_3000m,C01_CFNC_1F1NW_Ns,C01_CFNC_1F1NW_T,C01_CFNC_1P1NW_N,C01_CFNC_1P1NW_1_199,C01_CFNC_1P1NW_200_399,C01_CFNC_1P1NW_400_599,C01_CFNC_1P1NW_600_799,C01_CFNC_1P1NW_800_999,C01_CFNC_1P1NW_1000_1499,C01_CFNC_1P1NW_1500_1999,C01_CFNC_1P1NW_2000_2499,C01_CFNC_1P1NW_2500_2999,C01_CFNC_1P1NW_3000M,C01_CFNC_1P1NW_Ns,C01_CFNC_1P1NW_T,C01_CFNC_1A1NW_N,C01_CFNC_1A1NW_1_199,C01_CFNC_1A1NW_200_399,C01_CFNC_1A1NW_400_599,C01_CFNC_1A1NW_600_799,C01_CFNC_1A1NW_800_999,C01_CFNC_1A1NW_1000_1499,C01_CFNC_1A1NW_1500_1999,C01_CFNC_1A1NW_2000_2499,C01_CFNC_1A1NW_2500_2999,C01_CFNC_1A1NW_3000_mr,C01_CFNC_1A1NW_Ns,C01_CFNC_1A1NW_T,C01_CFNC_BA_N,C01_CFNC_BA_1_199,C01_CFNC_BA_200_399,C01_CFNC_BA_400_599,C01_CFNC_BA_600_799,C01_CFNC_BA_800_999,C01_CFNC_BA_1000_1499,C01_CFNC_BA_1500_1999,C01_CFNC_BA_2000_2499,C01_CFNC_BA_2500_2999,C01_CFNC_BA_3000_mr,C01_CFNC_BA_Ns,C01_CFNC_BA_T,C01_CFNC_BNW_N,C01_CFNC_BNW_1_199,C01_CFNC_BNW_200_399,C01_CFNC_BNW_400_599,C01_CFNC_BNW_600_799,C01_CFNC_BNW_800_999,C01_CFNC_BNW_1000_1499,C01_CFNC_BNW_1500_1999,C01_CFNC_BNW_2000_2499,C01_CFNC_BNW_2500_2999,C01_CFNC_BNW_3000m,C01_CFNC_BNW_Ns,C01_CFNC_BNW_T,C01_CFNC_LFns_N,C01_CFNC_LFns_1_199,C01_CFNC_LFns_200_399,C01_CFNC_LFns_400_599,C01_CFNC_LFns_600_799,C01_CFNC_LFns_800_999,C01_CFNC_LFns_1000_1499,C01_CFNC_LFns_1500_1999,C01_CFNC_LFns_2000_2499,C01_CFNC_LFns_2500_2999,C01_CFNC_LFns_3000m,C01_CFNC_LFns_Ns,C01_CFNC_LFns_T,C01_CFNC_T_N,C01_CFNC_T_1_199,C01_CFNC_T_200_399,C01_CFNC_T_400_599,C01_CFNC_T_600_799,C01_CFNC_T_800_999,C01_CFNC_T_1000_1499,C01_CFNC_T_1500_1999,C01_CFNC_T_2000_2499,C01_CFNC_T_2500_2999,C01_CFNC_T_3000_m,C01_CFNC_T_Ns,C01_CFNC_T_T,C01_CF_BFT_N,C01_CF_BFT_1_199,C01_CF_BFT_200_399,C01_CF_BFT_400_599,C01_CF_BFT_600_799,C01_CF_BFT_800_999,C01_CF_BFT_1000_1499,C01_CF_BFT_1500_1999,C01_CF_BFT_2000_2499,C01_CF_BFT_2500_2999,C01_CF_BFT_3000m,C01_CF_BFT_Ns,C01_CF_BFT_Tot,C01_CF_BPT_N,C01_CF_BPT_1_199,C01_CF_BPT_200_399,C01_CF_BPT_400_599,C01_CF_BPT_600_799,C01_CF_BPT_800_999,C01_CF_BPT_1000_1499,C01_CF_BPT_1500_1999,C01_CF_BPT_2000_2499,C01_CF_BPT_2500_2999,C01_CF_BPT_3000m,C01_CF_BPT_Ns,C01_CF_BPT_T,C01_CF_1F1P_N,C01_CF_1F1P_1_199,C01_CF_1F1P_200_399,C01_CF_1F1P_400_599,C01_CF_1F1P_600_799,C01_CF_1F1P_800_999,C01_CF_1F1P_1000_1499,C01_CF_1F1P_1500_1999,C01_CF_1F1P_2000_2499,C01_CF_1F1P_2500_2999,C01_CF_1F1P_3000m,C01_CF_1F1P_Ns,C01_CF_1F1P_T,C01_CF_1E1A_N,C01_CF_1E1A_1_199,C01_CF_1E1A_200_399,C01_CF_1E1A_400_599,C01_CF_1E1A_600_799,C01_CF_1E1A_800_999,C01_CF_1E1A_1000_1499,C01_CF_1E1A_1500_1999,C01_CF_1E1A_2000_2499,C01_CF_1E1A_2500_2999,C01_CF_1E1A_3000_mr,C01_CF_1E1A_Ns,C01_CF_1E1A_T,C01_CF_1F1NW_N,C01_CF_1F1NW_1_199,C01_CF_1F1NW_200_399,C01_CF_1F1NW_400_599,C01_CF_1F1NW_600_799
LGA10050,3,3,5,14,45,114,346,249,108,22,13,23,945,0,0,5,19,30,16,15,10,5,0,3,3,106,0,0,8,35,88,109,190,79,30,5,0,18,562,0,0,0,0,13,16,43,26,13,4,0,9,124,0,3,7,73,112,66,70,30,13,0,0,39,413,3,0,34,66,32,25,15,6,4,0,0,7,192,0,0,4,10,9,6,3,5,3,0,3,6,49,0,0,0,0,3,8,8,6,6,3,3,0,37,10,14,533,367,200,53,43,13,6,3,3,85,1330,0,0,20,13,5,3,3,0,0,0,0,204,248,16,20,616,597,537,416,736,424,188,37,25,394,4006,0,0,3,15,33,70,301,306,152,42,22,120,1064,0,3,4,14,14,18,34,20,6,0,0,16,129,0,0,8,23,131,224,590,295,123,35,19,145,1593,0,0,0,6,18,25,61,33,20,0,3,28,194,0,0,10,79,203
LGA10110,3,3,5,15,25,70,146,105,50,25,11,10,468,0,0,5,10,11,12,13,9,3,0,0,0,63,3,0,6,15,53,40,77,42,22,3,5,6,272,0,0,0,5,8,8,12,11,5,0,0,3,52,0,0,12,36,45,21,47,22,10,3,0,8,204,0,3,28,38,14,3,10,5,3,0,3,4,111,0,0,5,5,5,5,0,3,3,0,0,0,26,0,0,3,3,0,4,8,0,3,3,0,0,24,8,12,240,146,71,50,33,13,9,0,3,30,615,0,0,13,5,3,4,0,0,0,0,0,133,158,14,18,317,278,235,217,346,210,108,34,22,194,1993,3,0,3,11,29,34,160,145,107,23,16,78,609,0,0,0,14,18,10,19,10,3,3,3,10,90,0,0,3,17,74,91,256,121,47,14,7,59,689,0,0,0,0,11,7,38,19,7,3,0,16,101,3,3,3,35,96
LGA10150,3,3,3,11,20,47,236,305,254,130,46,6,1064,0,0,9,28,18,25,20,7,5,3,3,0,118,0,0,0,11,33,35,117,85,49,17,7,4,358,0,0,0,4,3,11,18,22,10,10,4,4,86,3,0,8,58,63,56,78,51,12,10,3,26,368,0,7,28,32,26,10,12,0,0,0,0,10,125,0,0,3,3,4,0,9,4,3,0,0,4,30,3,0,0,4,3,5,8,7,7,3,4,6,50,46,28,469,198,97,36,40,8,6,3,3,53,987,0,0,13,8,3,0,3,0,3,0,0,178,208,55,38,533,357,270,225,541,489,349,176,70,291,3394,3,0,3,8,23,62,178,207,181,120,82,100,967,0,0,4,13,18,19,25,15,10,8,3,10,125,0,0,3,16,53,85,216,202,167,91,52,58,943,0,0,0,8,15,14,39,28,23,17,11,15,170,0,3,21,95,113
LGA10200,0,0,3,8,36,58,217,186,79,45,11,20,663,0,0,5,7,16,10,20,6,4,0,0,0,68,0,0,0,13,39,38,75,35,12,6,0,7,225,0,0,0,3,11,6,14,14,0,5,0,4,57,0,0,29,94,99,60,66,28,6,3,3,41,429,3,6,40,41,19,7,5,4,3,3,0,11,142,0,0,5,16,13,6,8,0,0,0,0,10,58,0,0,0,3,5,3,3,8,3,0,3,4,32,75,43,741,230,122,30,39,5,0,0,3,87,1375,3,0,18,17,4,0,4,0,0,0,0,148,194,81,49,841,432,364,218,451,286,107,62,20,332,3243,0,0,9,21,70,128,400,319,153,62,59,150,1371,0,0,11,18,26,16,46,15,7,0,4,19,162,0,0,3,37,66,80,242,148,55,30,20,79,760,3,0,0,14,12,22,52,42,26,9,5,18,203,3,3,52,308,355
LGA10250,9,5,18,34,63,76,209,140,66,19,12,12,663,3,0,13,36,29,23,29,13,6,0,3,3,158,3,0,7,33,79,95,129,63,27,5,5,6,452,0,0,4,8,17,9,18,11,8,0,0,3,78,3,3,12,63,80,51,59,32,12,3,0,14,332,3,5,41,90,37,10,29,5,3,0,0,10,233,0,3,6,6,7,12,9,5,0,0,0,5,53,0,3,4,7,6,6,13,3,3,0,0,0,45,14,23,754,598,339,139,89,29,13,3,7,83,2091,0,0,34,20,21,3,3,0,0,0,0,214,295,35,42,893,895,678,424,587,301,138,30,27,350,4400,4,4,7,35,44,64,203,184,105,27,13,99,789,0,3,11,27,39,27,53,18,4,3,5,18,208,3,6,8,42,117,156,354,164,73,18,13,103,1057,0,0,0,12,17,11,43,24,15,4,3,17,146,0,3,8,76,147
LGA10300,3,0,3,0,12,10,19,10,4,0,3,3,67,3,0,0,3,3,0,3,0,0,0,0,0,12,0,0,0,4,9,5,6,0,0,0,3,0,27,0,0,3,0,3,0,3,0,0,0,0,0,9,0,0,3,6,6,3,3,3,0,0,0,3,27,0,0,7,5,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,37,10,4,3,0,0,0,0,0,8,62,0,0,0,0,0,0,0,0,0,0,0,22,22,6,0,53,28,37,24,37,13,7,0,6,39,250,0,0,0,6,10,10,22,13,8,0,4,16,89,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,8,16,15,16,9,0,0,0,9,76,0,0,0,3,0,0,5,4,0,0,0,3,15,0,0,3,12,22
LGA10350,3,3,7,26,80,185,788,770,366,142,47,62,2479,0,3,16,36,43,45,40,27,9,4,3,8,234,3,0,6,26,120,181,383,191,66,27,7,14,1024,0,0,4,8,23,36,76,64,29,7,0,13,260,3,5,27,225,282,186,235,102,21,4,5,128,1223,0,7,101,149,98,44,40,12,0,0,0,37,488,0,3,20,31,32,19,17,7,6,3,0,12,150,0,3,3,9,11,19,36,24,12,5,0,13,135,123,103,2764,1318,616,189,140,33,12,3,11,329,5641,0,0,94,42,20,8,4,3,0,0,0,570,741,132,127,3042,1870,1325,912,1759,1233,521,195,73,1186,12375,3,0,13,48,142,263,1034,1130,716,303,225,487,4364,0,0,9,51,74,61,127,98,48,10,9,55,542,8,3,13,64,248,371,1268,956,596,183,93,393,4196,0,0,3,20,44,79,198,155,105,50,27,103,784,4,8,113,523,834
LGA10470,0,0,6,14,37,88,252,196,96,19,12,18,738,0,0,5,24,18,19,20,4,6,0,0,0,96,4,3,4,14,61,70,131,80,25,7,3,15,417,0,0,5,5,9,14,26,13,15,4,0,5,96,0,0,10,36,62,49,60,25,9,0,3,22,276,0,5,30,45,19,8,20,11,3,0,0,9,150,0,0,8,8,15,6,10,3,3,0,0,3,56,0,0,4,0,3,6,8,10,3,0,0,3,37,17,15,446,244,116,36,34,5,10,0,5,48,976,0,0,8,4,0,4,0,0,0,0,0,146,162,21,23,526,394,340,300,561,347,170,30,23,269,3004,3,0,3,13,32,55,237,257,175,39,23,130,967,0,0,0,11,18,15,24,10,3,0,3,9,93,0,0,3,18,87,139,468,258,87,31,8,112,1211,0,0,0,3,10,18,69,37,22,3,3,26,191,0,3,8,48,121
LGA10550,4,0,28,44,69,68,141,61,33,8,7,13,476,0,0,20,35,35,32,16,7,5,0,3,6,159,0,0,6,35,74,70,109,42,17,3,3,9,368,3,0,3,6,9,14,20,10,4,0,0,0,69,3,3,13,51,69,46,38,14,5,0,0,24,266,0,3,57,87,55,17,16,5,0,0,0,14,254,0,0,12,11,12,4,8,3,0,0,0,3,53,0,0,4,7,0,6,6,6,3,0,0,6,38,14,14,657,453,280,98,79,29,8,3,0,79,1714,0,0,13,13,6,4,0,0,0,0,0,204,240,24,20,813,742,609,359,433,177,75,14,13,358,3637,3,3,14,24,45,63,167,101,51,6,11,65,553,0,3,3,31,44,28,36,10,3,0,3,14,175,0,0,15,38,117,128,281,98,35,7,12,93,824,0,0,3,7,18,19,41,13,8,4,0,16,129,0,0,12,74,159
LGA10600,4,0,10,9,14,22,47,38,12,3,3,0,162,0,0,9,18,12,10,15,3,0,0,0,0,67,0,0,3,8,28,18,39,13,5,0,0,3,117,0,0,0,7,3,6,4,3,0,0,0,0,23,0,0,6,16,29,11,16,4,0,3,0,8,93,0,3,12,41,12,9,4,0,0,0,0,4,85,0,0,3,6,3,0,4,3,0,0,0,0,19,0,0,3,4,3,3,0,3,3,0,0,3,22,0,10,299,180,111,30,17,3,3,3,0,33,689,0,0,7,4,3,0,3,0,0,0,0,78,95,4,13,352,293,218,109,149,70,23,9,3,129,1372,0,0,6,14,10,18,57,34,23,0,5,32,199,0,3,4,12,22,7,12,3,3,3,0,0,69,0,3,5,17,46,40,97,31,8,0,3,32,282,0,0,0,4,10,8,16,5,6,0,0,4,53,0,0,11,29,57
