region_id,C01_CF_1F1NW_800_999,C01_CF_1F1NW_1000_1499,C01_CF_1F1NW_1500_1999,C01_CF_1F1NW_2000_2499,C01_CF_1F1NW_2500_2999,C01_CF_1F1NW_3000mo,C01_CF_1F1NW_Ns,C01_CF_1F1NW_Tot,C01_CF_1P1NW_N,C01_CF_1P1NW_1_199,C01_CF_1P1NW_200_399,C01_CF_1P1NW_400_599,C01_CF_1P1NW_600_799,C01_CF_1P1NW_800_999,C01_CF_1P1NW_1000_1499,C01_CF_1P1NW_1500_1999,C01_CF_1P1NW_2000_2499,C01_CF_1P1NW_2500_2999,C01_CF_1P1NW_3000_mr,C01_CF_1P1NW_Ns,C01_CF_1P1NW_T,C01_CF_1A1NW_N,C01_CF_1A1NW__1_199,C01_CF_1A1NW_200_399,C01_CF_1A1NW_400_599,C01_CF_1A1NW_600_799,C01_CF_1A1NW_800_999,C01_CF_1A1NW_1000_1499,C01_CF_1A1NW_1500_1999,C01_CF_1A1NW_2000_2499,C01_CF_1A1NW_2500_2999,C01_CF_1A1NW_3000m,C01_CF_1A1NW_Ns,C01_CF_1A1NW_T,C01_CF_BA_N,C01_CF_BA_1_199,C01_CF_BA_200_399,C01_CF_BA_400_599,C01_CF_BA_600_799,C01_CF_BA_800_999,C01_CF_BA_1000_1499,C01_CF_BA_1500_1999,C01_CF_BA_2000_2499,C01_CF_BA_2500_2999,C01_CF_BA_3000_more,C01_CF_BA_Ns,C01_fc_BA_Tot,C01_CF_BNW_N,C01_CF_BNW_1_199,C01_CF_BNW_200_399,C01_CF_BNW_400_599,C01_CF_BNW_600_799,C01_CF_BNW_800_999,C01_CF_BNW_1000_1499,C01_CF_BNW_1500_1999,C01_CF_BNW_2000_2499,C01_CF_BNW_2500_2999,C01_CF_BNW_3000_more,C01_CF_BNW_Ns,C01_CF_BNW_Tot,C01_CF_LFns_N,C01_CF_LFns_1_199,C01_CF_LFns_200_399,C01_CF_LFns_400_599,C01_CF_LFns_600_799,C01_CF_LFns_800_999,C01_CF_LFns_1000_1499,C01_CF_LFns_1500_1999,C01_CF_LFns_2000_2499,C01_CF_LFns_2500_2999,C01_CF_LFns_3000_more,C01_CF_LFns_Ns,C01_CF_LFns_Tot,C01_CF_Tot_N,C01_CF_Tot_1_199,C01_CF_Tot_200_399,C01_CF_Tot_400_599,C01_CF_Tot_600_799,C01_CF_Tot_800_999,C01_CF_Tot_1000_1499,C01_CF_Tot_1500_1999,C01_CF_Tot_2000_2499,C01_CF_Tot_2500_2999,C01_CF_Tot_3000_more,C01_CF_TFI_Ns,C01_CF_T_T,C01_1PF_F_N,C01_1PF_F_1_199,C01_1PF_F_200_399,C01_1PF_F_400_599,C01_1PF_F_600_799,C01_1PF_F_800_999,C01_1PF_F_1000_1499,C01_1PF_F_1500_1999,C01_1PF_F_2000_2499,C01_1PF_F_2500_2999,C01_1PF_F_3000_more,C01_1PF_F_Ns,C01_1PF_F_T,C01_1PF_P_N,C01_1PF_P_1_199,C01_1PF_P_200_399,C01_1PF_P_400_599,C01_1PF_P_600_799,C01_1PF_P_800_999,C01_1PF_P_1000_1499,C01_1PF_P_1500_1999,C01_1PF_P_2000_2499,C01_1PF_P_2500_2999,C01_1PF_P_3000_more,C01_1PF_P_Ns,C01_1PF_P_T,C01_1PF_A_N,C01_1PF_A_1_199,C01_1PF_A_200_399,C01_1PF_A_400_599,C01_1PF_A_600_799,C01_1PF_A_800_999,C01_1PF_A_1000_1499,C01_1PF_A_1500_1999,C01_1PF_A_2000_2499,C01_1PF_A_2500_2999,C01_1PF_A_3000_more,C01_1PF_A_Ns,C01_1PF_A_T,C01_1PF_U_N,C01_1PF_U_1_199,C01_1PF_U_200_399,C01_1PF_U_400_599,C01_1PF_U_600_799,C01_1PF_U_800_999,C01_1PF_U_1000_1499,C01_1PF_U_1500_1999,C01_1PF_U_2000_2499,C01_1PF_U_2500_2999,C01_1PF_U_3000_more,C01_1PF_U_Ns,C01_1PF_U_T,C01_1PF_N_lf_Fi_N,C01_1PF_N_lf_Fi_1_199,C01_1PF_N_lf_Fi_200_399,C01_1PF_N_lf_Fi_400_599,C01_1PF_N_lf_Fi_600_799,C01_1PF_N_lf_Fi_800_999,C01_1PF_N_lf_Fi_1000_1499,C01_1PF_N_lf_Fi_1500_1999,C01_1PF_N_lf_Fi_2000_2499,C01_1PF_N_lf_Fi_2500_2999,C01_1PF_N_lf_Fi_3000_more,C01_1PF_N_lf_Fi_Ns,C01_1PF_N_the_lf_Tot,C01_1PF_LFns_N,C01_1PF_LFns_1_199,C01_1PF_LFns_200_399,C01_1PF_LFns_400_599,C01_1PF_LFns_600_799,C01_1PF_LFns_800_999,C01_1PF_LFns_1000_1499,C01_1PF_LFns_1500_1999,C01_1PF_LFns_2000_2499,C01_1PF_LFns_2500_2999,C01_1PF_LFns_3000mo,C01_1PF_LFns_Ns,C01_1PF_LF_NS_T,C01_1PF_TFI_N,C01_1PF_TFI_1_199,C01_1PF_TFI_200_399,C01_1PF_TFI_400_599,C01_1PF_TFI_600_799,C01_1PF_TFI_800_999,C01_1PF_T_Fi_1000_1499,C01_1PF_T_Fi_1500_1999,C01_1PF_T_Fi_2000_2499,C01_1PF_T_Fi_2500_2999,C01_1PF_TFI_3000_mr,C01_One_par_f_TFI_Ns,C01_One_parent_f_T_T,C01_TFI_N,C01_TFI_1_199,C01_TFI_200_399,C01_TFI_400_599,C01_TFI_600_799,C01_TFI_800_999,C01_TFI_1000_1499,C01_TFI_1500_1999,C01_TFI_2000_2499,C01_TFI_2500_2999,C01_TFI_3000_more,C01_TFI_Ns,C01_T_T,C06_CFNC_BF_N,C06_CFNC_BF_1_199,C06_CFNC_BF_200_399,C06_CFNC_BF_400_599,C06_CFNC_BF_600_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999
LGA10050,241,262,125,23,10,7,74,1034,0,0,15,53,46,31,33,9,3,0,0,25,215,0,0,0,9,13,19,29,4,0,0,0,22,96,0,0,0,0,3,0,15,13,7,0,0,9,47,0,0,66,99,74,40,52,16,0,0,4,51,402,0,0,0,0,4,3,6,0,0,0,0,245,258,0,3,106,298,539,671,1383,821,334,87,55,735,5032,0,3,10,78,120,97,104,23,11,0,0,46,492,0,4,112,146,70,28,15,3,0,0,0,41,419,0,0,16,9,9,4,11,3,0,0,0,5,57,3,11,94,25,7,0,3,0,0,0,0,16,159,3,47,347,210,99,27,24,17,0,0,3,93,870,0,0,0,3,0,0,0,0,0,0,0,21,24,6,65,579,471,305,156,157,46,11,0,3,222,2021,22,88,1301,1366,1381,1243,2276,1291,533,124,83,1351,11059,4,0,0,10,11,16,401,293,174,76
LGA10110,86,106,47,10,3,3,39,434,3,3,10,34,32,24,16,3,3,0,0,11,139,0,0,0,6,7,9,7,0,0,0,0,7,36,0,0,0,0,0,3,5,6,3,0,0,4,21,0,0,32,74,37,11,22,6,0,0,3,17,202,0,0,3,0,3,0,0,0,0,0,0,145,151,9,6,54,191,307,275,629,357,180,46,32,386,2472,0,0,12,37,56,46,51,17,3,0,0,25,247,0,9,54,71,30,19,13,3,0,0,0,24,223,0,0,3,11,5,3,0,0,0,0,3,0,25,0,4,29,15,5,0,0,0,0,0,0,8,61,3,27,181,107,30,23,17,0,3,0,0,46,437,0,0,0,0,0,0,0,0,0,0,0,11,11,3,40,279,241,126,91,81,20,6,0,3,114,1004,26,64,650,710,668,583,1056,587,294,80,57,694,5469,4,0,4,7,9,9,169,86,69,38
LGA10150,124,209,169,46,25,9,97,911,0,3,33,44,30,20,27,20,11,3,6,28,225,0,3,4,10,19,10,17,12,3,0,0,18,96,0,0,3,3,6,6,13,8,8,4,3,8,62,14,12,72,86,76,65,126,74,29,12,18,98,682,0,0,0,0,0,3,6,3,0,0,0,201,213,17,21,143,283,353,408,856,738,478,280,184,633,4394,3,3,6,46,80,68,119,56,25,7,0,36,449,0,3,31,47,32,18,25,11,4,3,0,26,200,0,0,5,6,7,6,3,4,3,0,0,6,40,0,3,31,7,3,3,4,4,0,3,0,7,65,17,30,157,104,72,52,101,17,16,3,4,52,625,3,0,3,0,0,0,0,3,0,0,0,21,30,23,39,233,210,194,147,252,95,48,16,4,148,1409,95,98,909,850,817,780,1649,1322,875,472,258,1072,9197,3,0,3,0,13,12,211,215,236,174
LGA10200,294,319,156,43,18,16,202,1769,3,14,90,168,92,39,55,23,11,5,5,66,571,0,0,25,41,38,28,44,16,3,0,3,52,250,0,0,3,5,10,16,21,19,5,3,3,28,113,43,48,371,351,240,183,283,129,41,20,19,328,2056,0,0,5,10,6,6,7,3,4,0,0,313,354,52,65,569,973,915,812,1469,870,348,147,134,1255,7609,0,0,18,72,87,53,89,37,10,7,0,56,429,0,6,45,53,20,13,19,5,3,0,0,26,190,0,0,9,12,9,7,3,3,3,0,0,7,53,3,5,33,23,9,5,6,4,0,0,0,18,106,32,79,309,233,117,94,113,30,22,4,4,133,1170,3,0,3,0,0,3,3,0,0,0,0,30,42,38,90,417,393,242,175,233,79,38,11,4,270,1990,171,204,1827,1798,1521,1205,2153,1235,493,220,158,1857,12842,3,5,0,0,14,8,266,211,214,115
LGA10250,164,158,65,20,4,0,57,702,3,3,27,87,82,37,32,8,3,0,0,19,301,0,0,3,16,18,15,15,3,0,0,0,10,80,0,0,0,3,3,3,11,10,4,0,0,12,46,5,3,71,142,99,46,49,7,3,0,3,48,476,0,0,0,3,0,0,0,0,0,0,0,166,169,15,22,135,443,566,523,918,483,227,56,37,549,3974,3,3,12,47,88,60,71,11,0,0,0,40,335,0,10,103,172,64,31,16,0,0,0,0,43,439,0,0,5,12,6,4,0,3,0,0,0,7,37,4,20,93,30,7,3,3,0,0,0,0,15,175,5,40,270,209,65,27,22,8,0,3,0,68,717,0,0,0,4,0,0,0,0,0,0,0,13,17,12,73,483,474,230,125,112,22,0,3,0,186,1720,62,137,1511,1812,1474,1072,1617,806,365,89,64,1085,10094,7,5,6,16,29,10,276,152,113,63
LGA10300,9,18,3,0,3,0,9,79,0,0,3,3,3,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,10,6,5,0,3,3,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,28,28,3,0,19,38,60,34,67,32,8,3,4,71,339,3,3,0,3,3,3,7,3,3,0,0,3,31,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,17,7,5,3,3,0,0,0,0,8,46,0,0,0,3,0,0,0,0,0,0,0,5,8,3,9,23,20,8,6,10,3,3,0,0,16,101,12,9,95,86,105,64,114,48,18,3,10,126,690,3,0,0,5,3,3,34,8,11,4
LGA10350,869,1272,694,215,91,64,578,5265,3,20,126,361,244,126,227,96,33,20,10,169,1435,0,6,44,88,93,76,107,47,26,6,5,149,647,0,3,3,8,18,17,54,40,16,20,11,58,248,58,88,653,771,574,511,805,336,127,54,39,678,4694,3,3,15,26,17,19,15,9,5,0,3,893,1008,79,131,992,1960,2288,2392,5107,3561,1887,737,486,3563,23183,3,4,35,201,240,188,374,177,70,20,16,180,1508,3,18,145,249,133,74,94,35,15,3,0,94,863,3,4,17,29,21,13,27,7,6,3,0,37,167,10,40,126,69,34,13,22,4,0,0,0,33,351,43,266,989,770,440,332,394,139,61,10,15,466,3925,3,0,9,6,10,4,6,3,0,0,0,79,120,65,332,1321,1324,878,624,917,365,152,36,31,889,6934,276,590,5355,5154,4491,3928,7783,5159,2560,968,590,5638,42492,12,3,0,10,28,33,662,601,535,267
LGA10470,164,205,87,20,4,3,72,735,0,0,13,42,42,23,23,5,0,3,0,20,171,0,0,6,5,18,11,18,12,0,0,0,9,79,0,0,0,0,6,5,12,8,11,0,0,13,55,3,3,42,82,58,33,27,9,4,0,0,43,304,0,0,0,0,3,4,0,3,0,0,0,206,216,6,6,75,222,395,467,1083,686,322,80,40,640,4022,0,0,15,38,74,60,63,16,4,0,0,35,305,0,5,65,88,43,17,18,3,0,0,0,17,256,0,0,12,12,9,6,7,0,3,0,0,6,55,0,14,52,25,9,0,0,0,0,0,0,10,110,7,47,250,144,54,31,34,10,3,0,0,51,631,0,0,0,3,0,3,0,0,0,0,0,13,19,7,66,394,310,189,117,122,29,10,0,0,132,1376,34,95,995,926,924,884,1766,1062,502,110,63,1041,8402,3,6,3,5,21,18,244,188,148,88
LGA10550,131,115,26,8,0,0,64,589,0,0,26,72,53,21,23,3,0,0,0,23,221,3,0,5,13,12,14,11,0,0,0,0,11,69,0,0,0,3,5,3,7,6,4,0,0,11,39,4,6,99,113,60,37,29,5,3,0,0,48,404,0,0,0,0,3,0,0,0,0,0,0,171,174,10,12,177,375,516,444,710,262,112,17,26,516,3177,3,4,10,42,42,27,32,7,0,0,0,20,187,3,9,95,128,30,13,13,0,0,0,0,20,311,0,0,7,8,3,4,3,0,0,0,0,0,25,0,11,58,23,5,0,0,0,0,0,0,10,107,3,37,224,123,35,14,13,3,3,0,0,76,531,0,3,3,0,3,0,0,0,0,0,0,9,18,9,64,397,324,118,58,61,10,3,0,0,135,1179,43,96,1387,1441,1243,861,1204,449,190,31,39,1009,7993,5,6,4,31,37,16,207,98,58,37
LGA10600,56,52,8,3,0,0,21,237,0,0,19,46,23,10,11,3,0,0,0,7,119,0,0,0,6,7,4,4,0,0,0,0,4,25,0,0,0,3,0,0,5,0,0,0,0,6,14,3,3,47,85,40,30,5,0,0,0,0,22,235,0,0,0,0,3,0,0,0,0,0,0,56,59,3,9,92,216,218,173,259,84,43,3,8,184,1292,0,3,6,16,22,18,12,4,0,3,0,6,90,0,6,61,60,18,4,7,3,0,0,0,20,179,0,0,5,6,3,0,0,0,0,0,0,3,17,0,6,35,18,0,0,0,0,0,0,0,9,68,0,22,129,78,21,5,3,3,0,0,0,37,298,0,0,0,3,0,0,0,0,0,0,0,4,7,0,37,236,181,64,27,22,10,0,3,0,79,659,7,59,680,690,500,309,430,164,66,15,11,392,3323,3,0,5,13,11,3,59,30,23,11
