region_id,C06_CFNC_BF_3000_mr,C06_CFNC_BF_Ns,C06_CFNC_BF_Tot,C06_CFNC_BPT_N,C06_CFNC_BPT_1_199,C06_CFNC_BPT_200_399,C06_CFNC_BPT_400_599,C06_CFNC_BPT_600_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_Tot,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_199,C06_CFNC_1F1P_200_399,C06_CFNC_1F1P_400_599,C06_CFNC_1F1P_600_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_Tot,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_199,C06_CFNC_1E1A_200_399,C06_CFNC_1E1A_400_599,C06_CFNC_1E1A_600_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_Tot,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_199,C06_CFNC_1F1NW_200_399,C06_CFNC_1F1NW_400_599,C06_CFNC_1F1NW_600_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_i3000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_Tot,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_199,C06_CFNC_1P1NW_200_399,C06_CFNC_1P1NW_400_599,C06_CFNC_1P1NW_600_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_mr,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_199,C06_CFNC_1A1NW_200_399,C06_CFNC_1A1NW_400_599,C06_CFNC_1A1NW_600_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_mr,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_Tot,C06_CFNC_BA_N,C06_CFNC_BA_1_199,C06_CFNC_BA_200_399,C06_CFNC_BA_400_599,C06_CFNC_BA_600_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_mr,C06_CFNC_BA_Ns,C06_CFNC_BA_Tot,C06_CFNC_BNW_Ne_Nil,C06_CFNC_BNW_1_199,C06_CFNC_BNW_200_399,C06_CFNC_BNW_400_599,C06_CFNC_BNW_600_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000mr,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_199,C06_CFNC_LFns_200_399,C06_CFNC_LFns_400_599,C06_CFNC_LFns_600_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_199,C06_CFNC_T_200_399,C06_CFNC_T_400_599,C06_CFNC_T_600_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CFC_BFT_N,C06_CFC_BFT_1_199,C06_CFC_BFT_200_399,C06_CFC_BFT_400_599,C06_CFC_BFT_600_799,C06_CFC_BFT_800_999,C06_CFC_BFT_1000_1499,C06_CFC_BFT_1500_1999,C06_CFC_BFT_2000_2499,C06_CFC_BFT_2500_2999,C06_CFC_BFT_3000_mr,C06_CFC_BFT_Ns,C06_CFC_BFT_Tot,C06_CFC_BPT_N,C06_CFC_BPT_1_199,C06_CFC_BPT_200_399,C06_CFC_BPT_400_599,C06_CFC_BPT_600_799,C06_CFC_BPT_800_999,C06_CFC_BPT_1000_1499,C06_CFC_BPT_1500_1999,C06_CFC_BPT_2000_2499,C06_CFC_BPT_2500_2999,C06_CFC_BPT_3000m,C06_CFC_BPT_Ns,C06_CFC_BPT_T,C06_CFC_1F1P_N,C06_CFC_1F1P_1_199,C06_CFC_1F1P_200_399,C06_CFC_1F1P_400_599,C06_CFC_1F1P_600_799,C06_CFC_1F1P_800_999,C06_CFC_1F1P_1000_1499,C06_CFC_1F1P_1500_1999,C06_CFC_1F1P_2000_2499,C06_CFC_1F1P_2500_2999,C06_CFC_1F1P_3000m,C06_CFC_1F1P_Ns,C06_CFC_1F1P_Tot,C06_CF_1E1A_N,C06_CF_1E1A_1_199,C06_CF_1E1A_200_399,C06_CF_1E1A_400_599,C06_CF_1E1A_600_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000m,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_199,C06_CF_1F1NW_200_399,C06_CF_1F1NW_400_599,C06_CF_1F1NW_600_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_T,C06_CF_1P1NW_N,C06_CF_1P1NW_1_199
LGA10050,66,19,1070,0,3,0,12,21,15,60,15,3,4,6,3,142,3,0,3,14,47,61,307,123,55,31,34,12,690,0,0,0,4,3,10,38,20,17,9,7,4,112,3,0,7,67,78,56,131,47,10,18,13,17,447,0,4,24,56,47,32,42,5,6,4,3,12,235,0,0,0,15,8,13,12,0,0,4,0,3,55,0,3,0,3,3,3,19,4,7,3,0,3,48,22,40,27,658,307,60,187,18,8,12,8,43,1390,0,0,3,21,13,3,8,3,3,0,0,286,340,32,50,64,860,538,269,1205,528,283,161,137,402,4529,0,0,3,6,11,11,199,249,204,156,109,116,1064,0,4,5,6,12,12,45,30,17,5,10,15,161,0,3,3,6,36,77,585,433,212,102,104,130,1691,0,0,0,6,5,7,64,48,32,11,16,28,217,5,0,3,41,99,122,347,132,34,63,27,71,944,0,3
LGA10110,40,7,442,0,0,4,7,18,13,40,5,7,0,0,0,94,3,4,0,10,15,19,122,45,35,13,16,9,291,0,3,0,3,3,0,10,10,11,5,3,3,51,3,0,7,17,33,29,42,22,13,25,7,3,201,0,5,11,46,23,16,21,8,7,0,3,3,143,0,0,0,4,4,3,11,4,0,0,0,0,26,3,0,0,3,3,0,3,3,0,3,3,0,21,5,24,12,259,123,34,115,23,5,7,7,33,647,0,0,3,15,3,0,4,0,0,0,3,133,161,18,36,41,371,234,123,537,206,147,91,82,191,2077,0,0,0,3,15,3,135,124,107,63,69,68,587,0,0,3,10,12,9,23,9,4,3,3,12,88,0,0,5,3,21,34,221,171,75,51,36,48,665,0,0,0,3,0,6,20,20,17,8,7,8,89,0,6,0,14,55,37,144,47,11,31,9,23,377,0,0
LGA10150,214,13,1094,0,3,10,18,15,8,28,7,7,8,4,3,111,0,0,3,10,17,41,175,86,61,29,44,4,470,0,0,0,3,3,3,22,13,9,11,10,4,78,3,3,8,45,53,50,129,29,15,27,20,15,397,6,4,33,37,27,24,17,6,3,0,0,4,161,3,0,3,4,3,3,5,4,0,3,0,0,28,0,0,0,4,3,0,7,3,8,4,0,0,29,78,69,35,446,157,26,88,13,11,6,7,27,963,0,0,0,12,6,5,7,3,0,0,0,209,242,93,79,95,579,297,172,689,379,350,262,299,279,3573,6,4,0,6,10,10,148,130,163,124,261,76,938,0,4,4,9,15,5,37,23,10,7,18,21,153,5,0,4,16,18,33,193,187,155,127,242,73,1053,0,4,0,3,0,7,36,36,40,23,51,15,215,0,0,23,44,95,94,257,95,32,154,43,64,901,0,5
LGA10200,140,11,987,3,4,4,17,19,16,27,13,0,5,0,6,114,0,0,7,10,18,30,136,59,31,16,21,4,332,0,0,0,3,4,8,30,12,5,9,9,4,84,4,0,23,106,106,103,147,41,11,24,8,19,592,11,11,39,65,26,21,21,11,6,4,0,7,222,0,0,0,16,10,4,8,0,3,5,0,3,49,0,0,0,3,3,3,7,9,3,0,9,0,37,125,106,79,681,170,25,100,12,0,0,8,56,1362,4,3,8,12,12,4,4,0,3,3,0,244,297,150,129,160,913,382,222,746,368,276,181,195,354,4076,4,4,6,11,25,32,332,299,246,140,192,124,1415,0,0,8,30,29,22,47,27,13,11,12,23,222,4,3,3,14,39,59,281,178,103,75,86,78,923,3,0,0,4,12,12,40,34,33,28,25,19,210,6,19,55,220,298,281,512,197,97,102,59,163,2009,6,20
LGA10250,53,23,753,3,0,0,25,33,29,79,32,11,8,4,3,227,0,0,4,15,51,41,236,103,43,27,38,12,570,0,3,3,4,3,5,30,15,15,8,3,3,92,3,3,6,39,56,46,106,32,14,23,8,11,347,0,3,11,75,46,34,53,22,4,3,4,10,265,0,0,6,7,5,8,15,5,3,0,4,3,56,0,0,0,0,3,0,18,9,4,0,0,0,34,26,49,40,787,532,131,288,44,25,14,20,81,2037,0,3,0,26,16,0,16,0,0,0,0,226,287,39,66,76,994,774,304,1117,414,232,146,134,372,4668,0,3,5,10,24,24,161,162,117,77,85,93,761,3,0,7,13,32,23,82,28,16,4,8,25,241,3,0,0,20,53,69,420,246,129,59,73,143,1215,0,0,3,3,10,11,51,30,24,12,3,15,162,3,4,0,28,80,97,215,77,23,44,21,47,639,0,0
LGA10300,3,5,79,0,0,0,0,3,3,4,0,0,0,0,0,10,0,0,0,5,3,4,22,4,0,0,0,0,38,0,0,0,0,3,0,4,0,0,0,0,0,7,0,0,0,5,4,3,6,3,0,3,0,0,24,0,0,3,6,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,8,3,6,3,25,14,0,3,3,0,0,0,4,61,3,0,0,0,0,3,0,0,0,0,0,21,27,9,6,6,46,33,16,79,18,11,7,3,35,269,0,3,0,0,3,0,14,11,14,0,3,19,67,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,9,29,14,0,4,0,13,80,0,0,0,0,0,0,6,3,0,3,0,3,15,0,0,0,5,12,5,17,5,0,0,0,8,52,0,0
LGA10350,226,38,2415,0,3,9,21,28,21,110,26,14,4,7,5,248,7,0,0,15,65,98,431,236,117,56,31,18,1074,5,0,4,9,16,14,82,55,28,22,15,12,262,5,3,27,171,228,194,355,95,27,57,19,64,1245,6,13,60,169,118,64,98,25,9,8,0,24,594,3,3,8,34,15,26,35,10,3,5,3,15,160,0,3,0,3,0,3,29,17,17,7,9,9,97,161,310,182,2729,927,183,443,44,17,6,20,206,5228,13,17,13,86,33,5,18,4,3,0,0,640,832,212,355,303,3247,1458,641,2263,1113,770,432,330,1031,12155,15,13,7,32,63,62,726,877,785,513,617,427,4137,3,5,11,37,55,44,174,91,59,37,28,57,601,8,11,18,45,120,190,1129,973,607,372,391,387,4251,0,0,5,15,26,39,171,161,129,92,77,65,780,18,23,112,451,649,634,1490,615,247,349,146,486,5220,8,19
LGA10470,66,12,802,0,0,4,13,29,14,41,18,8,5,6,0,138,3,0,3,12,23,36,222,83,64,18,26,7,497,0,0,0,3,3,4,30,27,12,4,8,3,94,3,4,6,31,57,40,105,48,16,23,8,19,360,0,0,20,50,31,23,43,4,0,3,5,4,183,0,0,4,5,6,5,8,3,0,3,0,4,38,4,0,0,3,3,3,12,4,3,4,0,0,36,20,46,27,486,212,42,126,15,11,7,16,33,1041,0,0,0,12,9,3,3,0,0,0,0,201,228,33,56,67,620,394,188,834,390,262,155,135,283,3417,0,3,0,6,4,9,168,233,188,152,108,101,972,0,0,0,11,7,13,33,22,4,5,3,13,111,3,3,0,10,51,67,365,330,175,87,87,88,1266,0,0,0,3,5,7,60,47,28,26,13,16,205,0,4,10,27,67,92,264,80,23,50,15,55,687,0,0
LGA10550,15,9,523,3,3,5,25,35,22,68,20,4,6,4,9,204,0,0,9,23,32,48,209,67,42,10,17,9,466,0,0,3,4,7,7,32,12,11,5,3,5,89,3,3,5,50,65,34,84,16,3,13,0,21,297,3,6,30,93,51,22,45,10,3,3,3,11,280,3,0,7,8,8,10,12,3,3,0,0,0,54,0,0,0,0,6,3,11,0,4,0,0,0,24,23,50,53,737,398,108,299,46,23,6,13,58,1814,0,3,3,18,9,6,7,3,0,0,0,261,310,40,71,119,989,648,276,974,275,151,80,55,383,4061,4,3,4,13,23,19,172,107,75,34,23,64,541,0,0,3,25,41,30,61,17,6,5,4,26,218,3,0,3,23,51,76,354,207,75,46,30,91,959,0,5,0,9,13,11,43,22,10,0,0,21,134,0,0,15,40,72,108,189,50,8,18,3,46,549,3,0
LGA10600,12,4,174,0,0,0,15,24,8,24,7,4,0,0,0,82,5,0,0,5,17,17,65,25,20,3,0,0,157,0,0,0,3,0,3,9,4,3,3,0,3,28,0,0,0,8,16,17,37,7,7,3,0,7,102,0,0,11,37,19,12,17,6,0,0,0,4,106,0,0,3,5,3,3,3,3,0,0,0,3,23,0,0,3,3,0,0,3,3,0,0,0,3,15,11,29,16,318,148,28,94,12,5,3,7,16,687,0,0,0,12,0,0,6,0,0,0,0,94,112,19,29,38,419,238,91,317,97,62,23,19,134,1486,0,0,3,5,14,7,50,48,30,13,11,9,190,0,0,3,12,12,16,30,15,3,0,0,15,106,3,0,3,12,19,21,111,56,22,4,3,29,283,0,0,0,5,0,5,13,10,5,3,3,3,47,0,0,3,15,32,43,72,13,3,5,3,24,213,0,0
