region_id,C06_CF_1P1NW_200_399,C06_CF_1P1NW_400_599,C06_CF_1P1NW_600_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_Tot,C06_CF_1A1NW_N,C06_CF_1A1NW__1_199,C06_CF_1A1NW_200_399,C06_CF_1A1NW_400_599,C06_CF_1A1NW_600_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_Tot,C06_CF_BA_N,C06_CF_BA_1_199,C06_CF_BA_200_399,C06_CF_BA_400_599,C06_CF_BA_600_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_more,C06_CF_BA_Ns,C06_CF_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_199,C06_CF_BNW_200_399,C06_CF_BNW_400_599,C06_CF_BNW_600_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_199,C06_CF_LFns_200_399,C06_CF_LFns_400_599,C06_CF_LFns_600_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_C_f_c_T_Fi_N,C06_C_f_c_T_Fi_1_199,C06_C_f_c_T_Fi_200_399,C06_C_f_c_T_Fi_400_599,C06_C_f_c_T_Fi_600_799,C06_C_f_c_T_Fi_800_999,C06_CF_c_T_Fi_1000_1499,C06_CF_c_T_Fi_1500_1999,C06_CF_c_T_Fi_2000_2499,C06_CF_c_T_Fi_2500_2999,C06_CF_c_T_Fi_3000_more,C06_C_f_with_c_TFI_Ns,C06_C_f_with_c_T_T,C06_1PF_F_N,C06_1PF_F_1_199,C06_1PF_F_200_399,C06_1PF_F_400_599,C06_1PF_F_600_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_more,C06_1PF_F_Ns,C06_1PF_F_Tot,C06_1PF_P_N,C06_1PF_P_1_199,C06_1PF_P_200_399,C06_1PF_P_400_599,C06_1PF_P_600_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_more,C06_1PF_P_Ns,C06_1PF_P_Tot,C06_1PF_A_N,C06_1PF_A_1_199,C06_1PF_A_200_399,C06_1PF_A_400_599,C06_1PF_A_600_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_more,C06_1PF_A_Ns,C06_1PF_A_Tot,C06_1PF_U_N,C06_1PF_U_1_199,C06_1PF_U_200_399,C06_1PF_U_400_599,C06_1PF_U_600_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_more,C06_1PF_U_Ns,C06_1PF_U_To,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_199,C06_1PF_N_lf_Fi_200_399,C06_1PF_N_lf_Fi_400_599,C06_1PF_N_lf_Fi_600_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_more,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_the_lf_Tot,C06_1PF_LFns_N,C06_1PF_LFns_1_199,C06_1PF_LFns_200_399,C06_1PF_LFns_400_599,C06_1PF_LFns_600_799,C06_1PF_LFns_800_999,C06_1PF_lf_ns_Fi_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_lf_ns_Fi_2500_2999,C06_1PF_LFns_3000mo,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_199,C06_1PF_TFI_200_399,C06_1PF_TFI_400_599,C06_1PF_TFI_600_799,C06_1PF_TFI_800_999,C06_1PF_T_Fi_1000_1499,C06_1PF_T_Fi_1500_1999,C06_1PF_T_Fi_2000_2499,C06_1PF_T_Fi_2500_2999,C06_1PF_TFI_3000_mr,C06_One_par_f_TFI_Ns,C06_One_parent_f_T_T,C06_TFI_N,C06_TFI_1_199,C06_TFI_200_399,C06_TFI_400_599,C06_TFI_600_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_more,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_199,C11_CFNC_BF_200_399,C11_CFNC_BF_400_599,C11_CFNC_BF_600_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_mr,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_N,C11_CFNC_BPT_1_199,C11_CFNC_BPT_200_399,C11_CFNC_BPT_400_599,C11_CFNC_BPT_600_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499
LGA10050,7,25,26,36,37,15,10,7,0,19,185,0,0,3,6,8,15,23,10,5,8,3,6,87,0,0,0,0,3,5,11,18,3,4,4,14,62,5,4,11,68,61,35,49,21,6,0,7,38,305,0,0,0,0,0,0,3,10,3,4,3,265,288,10,14,35,164,261,320,1363,966,526,360,283,702,5004,3,3,4,52,99,83,171,52,12,9,4,59,551,0,0,105,132,83,42,60,7,3,0,0,51,483,0,3,11,9,6,7,11,3,0,0,0,5,55,3,7,68,50,7,4,4,0,0,0,0,18,161,8,11,296,224,81,50,56,22,0,9,0,78,835,0,0,3,3,3,0,3,3,0,0,0,26,41,14,24,487,470,279,186,305,87,15,18,4,237,2126,56,88,586,1494,1078,775,2873,1581,824,539,424,1341,11659,0,0,4,7,9,36,176,278,305,113,165,16,1109,0,3,3,8,25,40,51
LGA10110,11,15,36,17,23,9,0,0,5,7,123,0,0,0,9,5,5,13,4,3,0,0,0,39,0,0,0,0,0,3,12,3,3,3,3,3,30,9,0,10,40,34,26,24,5,3,3,0,24,178,0,0,0,0,0,4,0,5,0,0,0,169,178,9,6,29,97,178,144,615,397,223,162,132,362,2354,0,0,7,25,50,35,73,18,4,6,0,41,259,0,6,40,73,36,15,32,6,0,0,0,17,225,0,0,0,0,7,3,5,3,0,0,0,5,23,0,0,29,17,6,5,0,0,0,0,0,12,69,9,10,124,107,37,24,26,6,0,5,3,31,382,0,0,3,0,3,3,0,0,0,0,0,7,16,9,16,203,222,139,85,136,33,4,11,3,113,974,36,58,273,690,551,352,1288,636,374,264,217,666,5405,5,6,0,3,13,20,90,109,115,42,86,8,497,0,0,0,7,25,29,21
LGA10150,23,64,29,21,49,17,10,12,12,14,256,0,0,3,4,13,5,12,5,0,7,5,13,67,0,0,0,0,4,3,4,11,3,3,19,14,61,12,10,22,54,59,42,96,57,30,13,23,72,490,3,0,0,3,3,3,10,4,3,0,0,245,274,26,27,79,203,246,223,842,565,446,470,674,607,4408,0,0,8,45,50,53,146,48,21,37,9,49,466,0,0,42,61,41,16,50,19,5,3,3,24,264,0,0,4,4,5,4,5,6,3,4,0,6,41,3,4,32,15,5,4,4,0,0,0,0,3,70,18,20,129,100,62,54,95,34,13,10,5,64,604,3,0,0,3,3,0,4,0,0,0,0,16,29,24,24,215,228,166,131,304,107,42,54,17,162,1474,143,130,389,1010,709,526,1835,1051,838,786,990,1048,9455,3,0,0,3,8,22,93,154,292,164,403,5,1147,3,3,3,16,40,47,58
LGA10200,96,167,125,69,107,31,16,4,7,89,737,7,3,29,42,38,22,31,15,3,10,0,43,243,0,3,0,4,7,5,24,12,12,0,3,20,90,71,74,134,434,259,161,250,154,46,27,37,274,1921,6,4,7,17,11,4,24,0,8,0,4,504,589,107,130,338,943,843,667,1648,947,577,397,425,1337,8359,6,3,19,65,69,59,142,56,29,19,13,64,544,3,4,57,67,39,28,46,11,8,3,0,31,297,0,4,4,9,6,5,15,3,3,0,0,14,63,6,4,46,33,18,9,13,3,0,0,0,14,146,51,45,301,273,153,77,166,46,19,15,9,177,1332,0,3,7,4,5,5,3,0,0,0,3,58,88,66,63,434,451,290,183,385,119,59,37,25,358,2470,323,322,932,2307,1515,1072,2779,1434,912,615,645,2049,14905,4,3,0,0,7,32,171,213,333,150,419,16,1348,5,0,3,24,66,76,58
LGA10250,8,42,54,43,60,17,11,10,7,23,275,0,0,0,4,10,15,8,6,0,10,0,10,63,0,0,0,5,3,0,11,8,3,0,3,15,48,4,4,13,66,87,54,62,25,9,0,6,49,379,0,0,0,7,5,0,3,5,0,0,0,195,215,13,11,36,198,358,336,1073,604,332,216,206,615,3998,0,3,12,41,71,59,112,34,4,5,5,60,406,3,7,114,162,102,40,48,8,0,4,0,43,531,0,0,9,16,8,0,5,0,0,3,0,12,53,3,3,75,49,6,12,4,0,0,0,0,8,160,6,16,182,165,68,44,59,14,0,3,3,70,630,0,0,8,0,0,0,0,0,0,0,0,23,31,12,29,400,433,255,155,228,56,4,15,8,216,1811,64,106,512,1625,1387,795,2418,1074,568,377,348,1203,10477,7,3,3,11,29,51,119,124,163,56,122,6,694,3,3,3,11,19,46,67
LGA10300,3,0,3,3,0,0,0,0,0,3,12,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,5,5,0,0,0,0,0,0,4,17,0,0,3,0,0,0,0,0,0,0,0,16,19,0,3,12,18,26,17,74,33,14,7,3,66,273,0,3,0,0,3,3,8,0,0,0,0,3,20,0,0,5,8,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,3,17,5,5,0,0,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,22,18,16,3,8,0,0,0,0,15,88,9,15,40,82,75,36,161,51,25,14,6,116,630,0,3,0,0,3,11,17,10,5,4,3,3,59,0,0,0,0,3,0,3
LGA10350,156,391,296,190,287,118,53,26,32,170,1746,4,6,36,66,94,77,129,58,24,21,14,147,676,3,0,0,10,11,11,50,37,28,16,31,45,242,90,122,292,764,571,413,702,433,169,83,67,592,4298,8,3,19,34,35,22,71,22,10,3,3,1076,1306,157,202,656,1845,1920,1682,4929,3385,2111,1512,1406,3452,23257,7,6,46,146,186,187,481,225,107,56,36,193,1676,4,11,158,282,178,87,172,60,18,14,6,120,1110,0,3,24,34,23,19,47,17,12,3,4,29,215,9,20,183,81,39,20,30,8,9,3,4,44,450,100,93,1014,888,423,341,594,172,72,58,29,476,4260,9,4,9,10,11,15,10,7,0,3,0,173,251,129,137,1434,1441,860,669,1334,489,218,137,79,1035,7962,498,694,2393,6533,4238,2992,8526,4987,3099,2081,1815,5518,43374,11,6,3,5,10,66,256,500,681,257,541,37,2373,0,3,3,21,43,55,81
LGA10470,11,27,10,19,31,12,6,4,0,16,136,0,0,0,5,8,10,25,3,0,0,3,8,62,3,0,0,0,3,0,12,13,7,0,3,7,48,5,3,10,51,54,28,37,12,3,3,0,28,234,0,0,0,3,4,5,4,0,3,0,3,231,253,11,13,31,143,213,250,999,752,437,327,235,563,3974,3,0,14,37,58,44,123,39,5,4,5,55,387,0,6,46,105,53,33,31,11,0,0,0,24,309,0,3,4,3,10,3,7,4,0,0,0,5,39,3,3,49,39,7,3,3,0,0,0,0,7,114,7,10,165,152,54,49,52,4,0,3,0,78,574,0,0,3,3,3,0,0,0,0,0,0,27,36,13,22,281,339,185,132,216,58,5,7,5,196,1459,57,91,379,1102,792,570,2049,1200,704,489,375,1042,8850,4,0,4,5,9,25,119,158,238,114,184,9,869,0,0,0,13,23,25,45
LGA10550,15,50,46,25,49,9,4,5,0,22,228,0,0,3,3,16,14,20,0,3,4,3,7,73,0,0,0,3,3,4,10,10,3,0,3,3,39,3,9,28,94,64,30,47,10,4,0,0,37,326,0,0,0,4,0,4,5,0,0,0,0,205,218,13,17,71,264,329,321,950,432,188,112,66,522,3285,0,3,6,40,34,31,53,16,4,5,0,24,216,0,3,109,131,44,28,27,0,0,0,0,42,384,0,0,6,7,4,3,4,0,0,0,0,7,31,0,4,46,30,11,0,0,0,0,0,0,12,103,6,9,167,125,68,29,26,4,0,3,0,57,494,0,0,0,3,0,0,0,0,0,0,0,26,29,6,19,334,336,161,91,110,20,4,8,0,168,1257,59,107,524,1589,1138,688,2034,727,343,200,121,1073,8603,6,10,4,12,20,56,124,118,84,40,60,13,547,0,3,3,19,42,66,65
LGA10600,9,22,28,15,25,7,0,0,0,14,120,0,0,0,0,0,5,11,0,3,0,0,4,23,0,0,0,0,0,0,4,4,3,0,0,0,11,0,0,8,53,42,19,31,3,0,0,0,23,179,3,0,0,3,3,0,0,0,0,0,0,95,104,6,0,29,127,150,131,347,156,69,25,20,216,1276,0,3,6,24,6,7,26,6,0,0,0,29,107,0,3,37,70,25,7,13,6,0,0,0,25,186,0,0,4,5,4,0,0,0,0,0,0,3,16,0,3,44,15,3,3,0,0,0,0,0,4,72,3,4,81,91,30,12,16,0,3,0,0,24,264,0,0,0,0,0,0,0,0,0,0,0,15,15,3,13,172,205,68,29,55,12,3,0,0,100,660,28,42,239,751,456,251,719,265,134,48,39,450,3422,6,0,0,6,7,15,36,48,31,13,25,3,190,0,3,5,10,9,21,25
