region_id,C01_M_Post_Deg_15_19_yrs,C01_M_Post_Deg_20_24_yrs,C01_M_Post_Deg_25_34_yrs,C01_M_Post_Deg_35_44_yrs,C01_M_Post_Deg_45_54_yrs,C01_M_Post_Deg_55_64_yrs,C01_M_Post_Deg_65_74_yrs,C01_M_Post_Deg_75_84_yrs,C01_M_Post_Deg_85o,C01_M_Post_Deg_Tot,C01_M_GrDip_GrCe_15_19,C01_M_GrDip_GrCe_20_24,C01_M_GrDip_GrCe_25_34,C01_M_GrDip_GrCe_35_44,C01_M_GrDip_GrCe_45_54,C01_M_GrDip_GrCe_55_64,C01_M_GrDip_GrCe_65_74,C01_M_GrDip_GrCe_75_84,C01_M_GrDip_GrCe_85ov,C01_M_GrDip_GrCe_Tot,C01_M_BD_15_19,C01_M_BD_20_24,C01_M_BD_25_34,C01_M_BD_35_44,C01_M_BD_45_54,C01_M_BD_55_64,C01_M_BD_65_74,C01_M_BD_75_84,C01_M_BD_85o,C01_M_BD_T,C01_M_AdD_DL_15_19,C01_M_AdD_DL_20_24,C01_M_AdD_DL_25_34,C01_M_AdD_DL_35_44,C01_M_AdD_DL_45_54,C01_M_AdD_DL_55_64,C01_M_AdD_DL_65_74,C01_M_AdD_DL_75_84,C01_M_AdD_DL_85o,C01_M_AdD_DL_Tot,C01_M_CL_CL_nfd_15_19,C01_M_CL_CL_nfd_20_24,C01_M_CL_CL_nfd_25_34,C01_M_CL_CL_nfd_35_44,C01_M_CL_CL_nfd_45_54,C01_M_CL_CL_nfd_55_64,C01_M_CL_CL_nfd_65_74,C01_M_CL_CL_nfd_75_84,C01_M_CL_CL_nfd_85_ov,C01_M_CL_CL_nfd_Tot,C01_M_CL_C_III_IV_15_19,C01_M_CL_C_III_IV_20_24,C01_M_CL_C_III_IV_25_34,C01_M_CL_C_III_IV_35_44,C01_M_CL_C_III_IV_45_54,C01_M_CL_C_III_IV_55_64,C01_M_CL_C_III_IV_65_74,C01_M_CL_C_III_IV_75_84,C01_M_CL_C_III_IV_85_ov,C01_M_CL_C_III_IV_Tot,C01_M_CL_C_I_II_15_19,C01_M_CL_C_I_II_20_24,C01_M_CL_C_I_II_25_34,C01_M_CL_C_I_II_35_44,C01_M_CL_C_I_II_45_54,C01_M_CL_C_I_II_55_64,C01_M_CL_C_I_II_65_74,C01_M_CL_C_I_II_75_84,C01_M_CL_C_I_II_85_ov,C01_M_CL_C_I_II_Tot,C01_M_CL_T_15_19,C01_M_CL_T_20_24,C01_M_CL_T_25_34,C01_M_CL_T_35_44,C01_M_CL_T_45_54,C01_M_CL_T_55_64,C01_M_CL_T_65_74,C01_M_CL_T_75_84,C01_M_CL_T_85_ov,C01_M_CL_T_Tot,C01_M_LE_ID_15_19,C01_M_LE_ID_20_24,C01_M_LE_ID_25_34,C01_M_LE_ID_35_44,C01_M_LE_ID_45_54,C01_M_LE_ID_55_64,C01_M_LE_ID_65_74,C01_M_LE_ID_75_84,C01_M_LE_ID_85o,C01_M_LE_ID_Tot,C01_M_LE_NS_15_19,C01_M_LE_NS_20_24,C01_M_LE_NS_25_34,C01_M_LE_NS_35_44,C01_M_LE_NS_45_54,C01_M_LE_NS_55_64,C01_M_LE_NS_65_74,C01_M_LE_NS_75_84,C01_M_LE_NS_85_ov,C01_M_LE_NS_T,C01_M_Tot_15_19_yrs,C01_M_Tot_20_24_yrs,C01_M_Tot_25_34_yrs,C01_M_Tot_35_44_yrs,C01_M_Tot_45_54_yrs,C01_M_Tot_55_64_yrs,C01_M_Tot_65_74_yrs,C01_M_Tot_75_84_yrs,C01_M_Tot_85o,C01_M_T_T,C06_M_Post_Deg_15_19_yrs,C06_M_Post_Deg_20_24_yrs,C06_M_Post_Deg_25_34_yrs,C06_M_Post_Deg_35_44_yrs,C06_M_Post_Deg_45_54_yrs,C06_M_Post_Deg_55_64_yrs,C06_M_Post_Deg_65_74_yrs,C06_M_Post_Deg_75_84_yrs,C06_M_Post_Deg_85o,C06_M_Post_Deg_Tot,C06_M_GrDip_GrCe_15_19,C06_M_GrDip_GrCe_20_24,C06_M_GrDip_GrCe_25_34,C06_M_GrDip_GrCe_35_44,C06_M_GrDip_GrCe_45_54,C06_M_GrDip_GrCe_55_64,C06_M_GrDip_GrCe_65_74,C06_M_GrDip_GrCe_75_84,C06_M_GrDip_GrCe_85ov,C06_M_GrDip_GrCe_Tot,C06_M_BD_15_19,C06_M_BD_20_24,C06_M_BD_25_34,C06_M_BD_35_44,C06_M_BD_45_54,C06_M_BD_55_64,C06_M_BD_65_74,C06_M_BD_75_84,C06_M_BD_85o,C06_M_BD_Tot,C06_M_AdD_DL_15_19,C06_M_AdD_DL_20_24,C06_M_AdD_DL_25_34,C06_M_AdD_DL_35_44,C06_M_AdD_DL_45_54,C06_M_AdD_DL_55_64,C06_M_AdD_DL_65_74,C06_M_AdD_DL_75_84,C06_M_AdD_DL_85o,C06_M_AdD_DL_Tot,C06_M_CL_CL_nfd_15_19,C06_M_CL_CL_nfd_20_24,C06_M_CL_CL_nfd_25_34,C06_M_CL_CL_nfd_35_44,C06_M_CL_CL_nfd_45_54,C06_M_CL_CL_nfd_55_64,C06_M_CL_CL_nfd_65_74,C06_M_CL_CL_nfd_75_84,C06_M_CL_CL_nfd_85_ov,C06_M_CL_CL_nfd_Tot,C06_M_CL_C_III_IV_15_19,C06_M_CL_C_III_IV_20_24,C06_M_CL_C_III_IV_25_34,C06_M_CL_C_III_IV_35_44,C06_M_CL_C_III_IV_45_54,C06_M_CL_C_III_IV_55_64,C06_M_CL_C_III_IV_65_74,C06_M_CL_C_III_IV_75_84,C06_M_CL_C_III_IV_85_ov,C06_M_CL_C_III_IV_Tot,C06_M_CL_C_I_II_15_19,C06_M_CL_C_I_II_20_24,C06_M_CL_C_I_II_25_34,C06_M_CL_C_I_II_35_44,C06_M_CL_C_I_II_45_54,C06_M_CL_C_I_II_55_64,C06_M_CL_C_I_II_65_74,C06_M_CL_C_I_II_75_84,C06_M_CL_C_I_II_85_ov,C06_M_CL_C_I_II_Tot,C06_M_CL_T_15_19,C06_M_CL_T_20_24,C06_M_CL_T_25_34,C06_M_CL_T_35_44,C06_M_CL_T_45_54,C06_M_CL_T_55_64,C06_M_CL_T_65_74,C06_M_CL_T_75_84,C06_M_CL_T_85_ov,C06_M_CL_T_Tot,C06_M_LE_ID_15_19,C06_M_LE_ID_20_24,C06_M_LE_ID_25_34,C06_M_LE_ID_35_44,C06_M_LE_ID_45_54,C06_M_LE_ID_55_64,C06_M_LE_ID_65_74,C06_M_LE_ID_75_84,C06_M_LE_ID_85o,C06_M_LE_ID_Tot
LGA10050,0,4,23,71,73,26,7,5,0,209,0,5,18,66,63,32,6,3,3,196,0,78,311,263,295,103,37,17,4,1108,4,37,143,164,197,124,60,31,3,763,6,14,17,9,12,3,0,0,0,61,69,325,867,1029,841,469,280,100,19,3999,15,38,55,51,49,35,13,9,5,270,90,377,939,1089,902,507,293,109,24,4330,6,23,38,38,43,17,10,9,3,187,150,86,205,229,207,191,204,182,78,1532,250,610,1677,1920,1780,1000,617,356,115,8325,0,0,29,77,94,39,24,4,3,270,0,4,32,51,58,51,3,6,0,205,0,100,389,316,335,178,56,28,7,1409,3,64,165,186,237,205,84,35,6,985,9,21,30,38,42,30,15,9,0,194,73,406,853,965,1010,608,346,179,31,4471,19,57,70,37,33,16,4,0,0,236,101,484,953,1040,1085,654,365,188,31,4901,4,12,28,30,56,30,27,17,3,207
LGA10110,0,0,45,139,177,128,46,36,3,574,0,3,18,40,59,18,4,0,0,142,3,85,219,206,212,88,32,20,8,873,0,27,68,79,88,60,28,14,0,364,12,14,6,5,6,3,0,0,0,46,29,116,310,422,314,189,108,47,7,1542,12,32,31,32,29,24,10,0,0,170,53,162,347,459,349,216,118,47,7,1758,0,5,13,18,19,11,7,0,0,73,88,56,81,72,92,57,73,58,37,614,144,338,791,1013,996,578,308,175,55,4398,0,0,51,123,166,152,75,37,4,608,0,4,13,17,38,22,4,3,0,101,0,102,231,201,216,149,56,34,5,994,14,42,67,97,105,72,43,28,4,472,11,19,13,22,26,18,17,0,0,126,32,147,274,392,368,248,124,65,9,1659,29,36,20,17,17,9,4,0,0,132,72,202,307,431,411,275,145,65,9,1917,8,14,11,19,33,11,15,3,0,114
LGA10150,0,14,235,316,222,75,28,11,0,901,3,5,50,59,60,17,7,3,0,204,3,212,962,796,429,140,75,28,13,2658,7,110,351,291,166,61,47,10,7,1050,4,17,15,11,5,6,0,0,3,61,21,128,473,498,401,268,187,85,25,2086,6,28,72,57,49,19,17,7,0,255,31,173,560,566,455,293,204,92,28,2402,3,6,41,33,31,18,13,6,3,154,184,138,323,297,276,201,218,169,69,1875,231,658,2522,2358,1639,805,592,319,120,9244,0,50,483,393,265,128,44,16,3,1382,0,3,72,89,56,32,4,3,0,259,3,342,1091,785,516,236,86,29,22,3110,10,140,300,291,216,109,64,22,4,1156,9,9,32,47,35,28,15,7,0,182,18,129,331,398,386,301,171,90,36,1860,9,15,24,13,19,12,6,4,0,102,36,153,387,458,440,341,192,101,36,2144,3,17,76,69,38,31,19,8,3,264
LGA10200,3,7,131,174,90,32,14,3,0,454,0,5,28,28,26,4,5,0,3,99,3,220,686,590,351,124,57,14,4,2049,7,138,374,299,174,79,35,15,4,1125,9,33,21,20,7,4,3,3,0,100,46,198,561,653,583,327,245,145,19,2777,13,32,66,77,47,24,15,4,0,278,68,263,648,750,637,355,263,152,19,3155,5,17,49,64,38,20,8,7,0,208,315,512,1088,828,527,300,245,207,72,4094,401,1162,3004,2733,1843,914,627,398,102,11184,3,43,493,282,169,67,23,3,0,1083,0,10,47,45,35,14,4,0,0,155,4,373,1137,705,484,249,75,20,6,3053,23,226,415,364,253,126,52,16,4,1479,3,25,57,56,48,32,14,3,3,241,54,243,535,562,553,393,228,134,31,2733,14,37,42,30,16,13,3,4,0,159,71,305,634,648,617,438,245,141,34,3133,10,32,91,78,61,31,26,13,3,345
LGA10250,0,3,11,56,78,47,27,11,3,236,0,0,15,31,73,24,10,0,0,153,0,50,195,244,322,148,92,42,6,1099,0,15,85,140,182,143,86,50,6,707,5,7,9,9,12,5,0,0,0,47,22,195,510,806,807,530,397,248,34,3549,10,30,26,42,47,28,19,9,0,211,37,232,545,857,866,563,416,257,34,3807,3,3,17,34,33,25,22,21,3,161,120,69,126,138,150,110,192,217,61,1183,160,372,994,1500,1704,1060,845,598,113,7346,0,0,13,60,102,83,35,18,4,315,0,3,21,35,53,41,12,8,3,176,5,38,256,316,380,260,126,70,14,1465,4,21,92,159,213,196,111,73,18,887,3,14,21,26,44,41,29,18,4,200,35,203,533,757,873,688,446,278,50,3863,16,33,29,28,24,15,7,3,0,155,54,250,583,811,941,744,482,299,54,4218,3,11,20,31,39,31,35,26,8,204
LGA10300,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,12,13,6,3,4,0,0,41,0,3,6,10,5,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,3,19,46,48,34,27,4,6,0,187,0,0,3,4,0,0,0,0,0,7,3,19,49,52,34,27,4,6,0,194,0,0,0,3,3,0,0,0,0,6,6,12,11,14,20,9,17,7,0,96,9,37,78,95,71,42,28,13,0,373,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,0,0,9,0,3,7,13,9,0,0,0,0,32,0,0,10,10,3,4,3,3,0,33,3,0,0,3,0,5,3,0,0,14,3,10,35,38,38,26,11,4,3,168,0,3,4,0,3,0,0,0,0,10,6,13,39,41,41,31,14,4,3,192,0,0,3,3,3,3,0,0,0,12
LGA10350,0,12,189,317,233,72,24,9,3,859,0,9,64,83,94,33,11,7,0,301,4,400,1438,1247,741,292,123,54,12,4311,19,286,825,843,596,264,137,62,10,3042,25,54,47,45,19,9,0,3,0,202,201,977,2971,2856,2397,1976,1416,729,90,13613,34,78,186,224,175,114,63,25,3,902,260,1109,3204,3125,2591,2099,1479,757,93,14717,21,62,135,158,141,81,53,35,5,691,659,456,1045,1083,935,666,731,732,219,6526,963,2334,6900,6856,5331,3507,2558,1656,342,30447,0,10,254,364,300,148,39,15,5,1135,0,11,42,89,99,37,16,6,0,300,9,471,1646,1361,1013,494,182,67,12,5255,35,354,900,887,709,395,150,89,17,3536,13,56,132,171,162,138,56,38,3,769,208,964,2405,2680,2402,1937,1274,931,150,12951,47,102,101,89,79,38,18,7,0,481,268,1122,2638,2940,2643,2113,1348,976,153,14201,20,79,137,200,190,114,53,57,9,859
LGA10470,0,0,23,73,98,58,25,6,5,288,0,0,19,26,48,14,3,3,0,113,0,69,201,217,211,107,41,14,3,863,3,31,97,146,157,99,39,12,3,587,14,12,12,8,7,6,0,0,0,59,68,237,678,801,670,384,200,91,14,3143,15,26,41,40,37,27,14,4,0,204,97,275,731,849,714,417,214,95,14,3406,3,7,11,17,25,12,6,5,3,89,162,176,351,261,199,126,118,93,37,1523,265,558,1433,1589,1452,833,446,228,65,6869,0,0,29,56,102,80,31,7,3,308,0,3,13,24,44,38,4,4,0,130,0,67,206,246,236,158,54,37,12,1016,4,42,98,127,172,134,42,21,3,643,4,11,27,20,64,48,16,3,0,193,73,343,672,768,725,488,251,123,19,3462,33,47,25,21,18,18,3,0,0,165,110,401,724,809,807,554,270,126,19,3820,6,18,20,36,40,28,16,7,3,174
LGA10550,0,3,4,19,28,29,22,7,0,112,0,0,8,27,45,14,17,6,0,117,0,11,85,155,190,117,77,53,6,694,3,6,48,100,154,124,93,56,8,592,3,7,8,6,11,0,0,0,0,35,34,119,442,702,675,521,382,167,26,3068,6,11,25,33,37,17,14,3,0,146,43,137,475,741,723,538,396,170,26,3249,4,7,15,23,36,29,17,6,3,140,113,63,105,128,135,157,179,179,40,1099,163,227,740,1193,1311,1008,801,477,83,6003,0,0,10,20,28,51,33,10,0,152,0,3,8,20,45,38,20,5,0,139,0,9,95,159,247,176,95,63,9,853,0,10,35,100,175,190,125,61,6,702,4,9,15,23,47,37,15,19,3,172,34,149,409,662,824,622,466,197,38,3401,5,12,20,24,14,18,11,3,0,107,43,170,444,709,885,677,492,219,41,3680,3,6,16,30,49,49,26,23,4,206
LGA10600,0,0,3,5,14,12,9,4,0,47,0,0,3,10,19,7,0,0,0,39,0,6,39,66,93,42,20,6,0,272,0,3,14,46,72,43,27,10,0,215,3,4,0,3,0,0,0,0,0,10,10,24,142,306,285,173,137,65,6,1148,0,0,7,16,19,13,8,3,0,66,13,28,149,325,304,186,145,68,6,1224,0,0,4,10,7,3,12,3,0,39,51,17,28,64,66,46,59,46,13,390,64,54,240,526,575,339,272,137,19,2226,0,0,0,13,19,26,17,5,0,80,0,0,6,10,14,8,6,3,0,47,0,8,42,83,113,80,32,18,5,381,0,8,18,50,71,48,47,19,0,261,0,0,5,10,15,14,9,0,0,53,9,44,123,242,350,228,152,70,20,1238,7,7,4,7,7,3,4,0,0,39,16,51,132,259,372,245,165,70,20,1330,5,3,3,12,8,21,16,6,0,74
