region_id,C01_F_CL_T_15_19,C01_F_CL_T_20_24,C01_F_CL_T_25_34,C01_F_CL_T_35_44,C01_F_CL_T_45_54,C01_F_CL_T_55_64,C01_F_CL_T_65_74,C01_F_CL_T_75_84,C01_F_CL_T_85_ov,C01_F_CL_T_Tot,C01_F_LE_ID_15_19,C01_F_LE_ID_20_24,C01_F_LE_ID_25_34,C01_F_LE_ID_35_44,C01_F_LE_ID_45_54,C01_F_LE_ID_55_64,C01_F_LE_ID_65_74,C01_F_LE_ID_75_84,C01_F_LE_ID_85o,C01_F_LE_ID_Tot,C01_F_LE_NS_15_19,C01_F_LE_NS_20_24,C01_F_LE_NS_25_34,C01_F_LE_NS_35_44,C01_F_LE_NS_45_54,C01_F_LE_NS_55_64,C01_F_LE_NS_65_74,C01_F_LE_NS_75_84,C01_F_LE_NS_85_ov,C01_F_LE_NS_T,C01_F_Tot_15_19_yrs,C01_F_Tot_20_24_yrs,C01_F_Tot_25_34_yrs,C01_F_Tot_35_44_yrs,C01_F_Tot_45_54_yrs,C01_F_Tot_55_64_yrs,C01_F_Tot_65_74_yrs,C01_F_Tot_75_84_yrs,C01_F_Tot_85o,C01_F_T_T,C06_F_Post_Deg_15_19_yrs,C06_F_Post_Deg_20_24_yrs,C06_F_Post_Deg_25_34_yrs,C06_F_Post_Deg_35_44_yrs,C06_F_Post_Deg_45_54_yrs,C06_F_Post_Deg_55_64_yrs,C06_F_Post_Deg_65_74_yrs,C06_F_Post_Deg_75_84_yrs,C06_F_Post_Deg_85o,C06_F_Post_Deg_Tot,C06_F_GrDip_GrCe_15_19,C06_F_GrDip_GrCe_20_24,C06_F_GrDip_GrCe_25_34,C06_F_GrDip_GrCe_35_44,C06_F_GrDip_GrCe_45_54,C06_F_GrDip_GrCe_55_64,C06_F_GrDip_GrCe_65_74,C06_F_GrDip_GrCe_75_84,C06_F_GrDip_GrCe_85ov,C06_F_GrDip_GrCe_Tot,C06_F_BD_15_19,C06_F_BD_20_24,C06_F_BD_25_34,C06_F_BD_35_44,C06_F_BD_45_54,C06_F_BD_55_64,C06_F_BD_65_74,C06_F_BD_75_84,C06_F_BD_85o,C06_F_BD_Tot,C06_F_AdD_DL_15_19,C06_F_AdD_DL_20_24,C06_F_AdD_DL_25_34,C06_F_AdD_DL_35_44,C06_F_AdD_DL_45_54,C06_F_AdD_DL_55_64,C06_F_AdD_DL_65_74,C06_F_AdD_DL_75_84,C06_F_AdD_DL_85o,C06_F_AdD_DL_Tot,C06_F_CL_CL_nfd_15_19,C06_F_CL_CL_nfd_20_24,C06_F_CL_CL_nfd_25_34,C06_F_CL_CL_nfd_35_44,C06_F_CL_CL_nfd_45_54,C06_F_CL_CL_nfd_55_64,C06_F_CL_CL_nfd_65_74,C06_F_CL_CL_nfd_75_84,C06_F_CL_CL_nfd_85_ov,C06_F_CL_CL_nfd_Tot,C06_F_CL_C_III_IV_15_19,C06_F_CL_C_III_IV_20_24,C06_F_CL_C_III_IV_25_34,C06_F_CL_C_III_IV_35_44,C06_F_CL_C_III_IV_45_54,C06_F_CL_C_III_IV_55_64,C06_F_CL_C_III_IV_65_74,C06_F_CL_C_III_IV_75_84,C06_F_CL_C_III_IV_85_ov,C06_F_CL_C_III_IV_Tot,C06_F_CL_C_I_II_15_19,C06_F_CL_C_I_II_20_24,C06_F_CL_C_I_II_25_34,C06_F_CL_C_I_II_35_44,C06_F_CL_C_I_II_45_54,C06_F_CL_C_I_II_55_64,C06_F_CL_C_I_II_65_74,C06_F_CL_C_I_II_75_84,C06_F_CL_C_I_II_85_ov,C06_F_CL_C_I_II_Tot,C06_F_CL_T_15_19,C06_F_CL_T_20_24,C06_F_CL_T_25_34,C06_F_CL_T_35_44,C06_F_CL_T_45_54,C06_F_CL_T_55_64,C06_F_CL_T_65_74,C06_F_CL_T_75_84,C06_F_CL_T_85_ov,C06_F_CL_T_Tot,C06_F_LE_ID_15_19,C06_F_LE_ID_20_24,C06_F_LE_ID_25_34,C06_F_LE_ID_35_44,C06_F_LE_ID_45_54,C06_F_LE_ID_55_64,C06_F_LE_ID_65_74,C06_F_LE_ID_75_84,C06_F_LE_ID_85o,C06_F_LE_ID_Tot,C06_F_LE_NS_15_19,C06_F_LE_NS_20_24,C06_F_LE_NS_25_34,C06_F_LE_NS_35_44,C06_F_LE_NS_45_54,C06_F_LE_NS_55_64,C06_F_LE_NS_65_74,C06_F_LE_NS_75_84,C06_F_LE_NS_85_ov,C06_F_LE_NS_T,C06_F_Tot_15_19_yrs,C06_F_Tot_20_24_yrs,C06_F_Tot_25_34_yrs,C06_F_Tot_35_44_yrs,C06_F_Tot_45_54_yrs,C06_F_Tot_55_64_yrs,C06_F_Tot_65_74_yrs,C06_F_Tot_75_84_yrs,C06_F_Tot_85o,C06_F_T_T,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85o,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85ov,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85o,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85o,C11_F_AdD_DL_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85_ov,C11_F_CL_CL_nfd_Tot
LGA10050,75,302,505,507,346,142,70,34,6,1987,11,21,57,95,72,37,27,18,5,343,150,113,214,276,295,236,305,368,176,2133,249,667,1533,1721,1442,706,523,478,207,7526,0,0,34,51,75,34,4,4,0,202,0,8,56,103,122,65,13,0,0,367,3,176,635,439,444,194,61,31,16,1999,8,132,248,298,375,209,89,44,9,1412,13,33,82,104,96,42,26,6,5,407,48,289,439,396,319,132,51,26,10,1710,49,100,104,79,72,27,3,0,0,434,110,422,625,579,487,201,80,32,15,2551,10,24,33,81,100,76,27,24,7,382,201,93,205,252,280,257,317,379,168,2152,332,855,1836,1803,1883,1036,591,514,215,9065,0,5,110,88,95,52,14,3,0,367,0,7,82,116,120,94,25,3,0,447,0,196,758,586,471,295,119,41,14,2480,10,119,328,350,405,280,128,46,11,1677,10,29,62,86,91,72,28,14,8,400
LGA10110,55,136,217,225,144,74,33,13,7,904,5,10,25,61,51,28,13,6,3,202,92,42,98,130,114,107,137,136,76,932,162,378,814,1073,931,522,305,211,104,4500,0,0,65,95,132,94,30,8,0,424,0,0,34,63,86,38,10,5,0,236,0,119,307,305,331,176,77,48,14,1377,0,58,117,190,197,133,80,44,11,830,11,18,26,52,52,49,19,5,3,235,39,123,153,140,128,56,19,13,0,671,48,62,45,36,28,13,5,4,0,241,98,203,224,228,208,118,43,22,3,1147,0,7,16,36,54,44,22,13,6,198,85,67,88,108,136,120,126,156,92,978,183,454,851,1025,1144,723,388,296,126,5190,0,5,76,119,156,115,57,14,0,542,0,11,37,71,89,71,24,3,4,310,3,124,364,320,323,226,118,46,26,1550,5,65,95,163,206,145,95,48,8,830,15,25,27,42,51,50,25,14,6,255
LGA10150,31,155,390,365,212,102,58,27,20,1360,3,7,39,64,45,17,15,11,6,207,164,134,303,365,300,241,251,326,226,2310,205,741,2617,2383,1486,647,455,439,287,9260,0,58,493,356,229,105,20,6,0,1267,0,6,96,135,137,39,7,3,0,423,4,384,1279,921,539,210,73,27,16,3453,14,129,423,432,316,162,67,43,19,1605,3,16,77,88,62,39,8,9,5,307,18,93,195,209,138,81,31,23,13,801,8,25,32,41,32,13,5,0,0,156,29,134,304,338,232,133,44,32,18,1264,3,21,53,89,66,42,16,8,5,303,111,164,328,305,305,252,234,323,334,2356,161,896,2976,2576,1824,943,461,442,392,10671,0,38,616,431,325,192,46,3,3,1654,0,12,120,147,127,68,21,3,0,498,4,424,1544,1030,665,364,95,42,14,4182,7,170,416,451,400,196,77,31,16,1764,6,16,45,61,62,62,20,11,13,296
LGA10200,64,229,432,313,200,80,50,31,3,1402,7,17,66,82,55,19,11,6,3,266,257,278,555,538,350,226,282,328,153,2967,343,936,2289,1810,1125,503,429,401,173,8009,3,30,331,154,97,41,7,4,0,667,0,8,72,46,34,16,3,0,0,179,3,475,1195,681,371,174,55,24,8,2986,24,231,534,423,266,143,48,27,21,1717,12,29,89,76,58,39,11,7,0,321,50,190,285,232,173,74,33,20,3,1060,13,61,61,83,46,13,0,0,3,280,75,280,435,391,277,126,44,27,6,1661,11,28,95,91,68,35,26,13,8,375,369,413,739,669,537,349,259,304,140,3779,485,1465,3401,2455,1650,884,442,399,183,11364,0,48,692,310,133,72,12,5,3,1275,0,13,101,72,46,39,7,0,0,278,12,531,2077,994,517,309,115,32,11,4598,31,337,747,592,384,230,79,33,16,2449,5,37,70,95,75,50,17,4,4,357
LGA10250,36,142,315,401,358,167,99,46,10,1574,3,5,41,84,94,34,49,24,12,346,116,58,115,207,187,211,313,365,112,1684,162,305,985,1420,1436,805,635,516,151,6415,0,0,23,55,94,52,15,3,0,242,0,0,39,72,110,52,20,3,3,299,0,74,388,440,458,260,103,57,16,1796,3,52,177,298,435,265,150,85,26,1491,9,21,54,98,99,71,41,19,0,412,21,137,242,351,328,138,50,42,15,1324,17,49,66,63,58,33,10,6,3,305,47,207,362,512,485,242,101,67,18,2041,3,10,29,68,129,87,55,26,4,411,114,56,111,184,254,243,291,419,195,1867,167,399,1129,1629,1965,1201,735,660,262,8147,0,3,32,93,100,98,26,3,0,355,4,3,41,81,82,81,31,9,0,332,0,67,422,603,492,418,181,78,27,2288,5,51,166,351,412,364,233,95,33,1710,5,19,32,67,92,106,49,27,15,412
LGA10300,0,6,14,14,11,4,0,0,0,49,0,3,3,0,3,0,0,0,0,9,6,6,9,16,16,10,18,12,3,96,6,20,65,60,56,21,27,12,3,270,0,0,0,7,0,0,0,0,0,7,0,0,3,0,3,0,0,3,0,9,0,0,26,10,11,12,0,3,0,62,0,5,10,6,17,9,0,0,0,47,0,0,8,3,3,0,0,0,0,14,5,10,16,11,17,3,0,0,0,62,0,3,0,0,0,0,0,0,0,3,5,13,24,14,20,3,0,0,0,79,0,0,0,3,4,3,3,3,0,16,7,7,15,19,24,11,16,18,5,122,12,25,78,59,79,38,19,27,5,342,0,0,0,7,3,0,0,0,0,10,0,0,0,0,7,6,0,0,0,13,0,3,14,24,9,10,3,3,4,70,0,4,16,7,10,13,0,0,0,50,0,0,0,4,5,0,4,0,0,13
LGA10350,204,782,1578,1272,890,412,309,140,29,5616,28,62,207,280,187,96,81,41,8,990,670,461,1129,1335,1052,872,1200,1398,456,8573,960,2478,6223,5099,3575,1942,1844,1668,509,24298,0,30,329,235,154,67,10,0,3,828,0,20,129,127,126,77,22,6,0,507,11,797,2260,1433,867,391,139,48,17,5963,57,600,1311,1184,881,379,172,112,21,4717,37,103,318,386,336,213,62,38,16,1509,187,602,991,787,620,289,153,128,30,3787,79,163,276,200,135,60,17,7,0,937,303,868,1585,1373,1091,562,232,173,46,6233,40,83,203,259,235,140,88,62,13,1123,758,594,1229,1400,1224,988,999,1273,423,8888,1169,2992,7046,6011,4578,2604,1662,1674,523,28259,0,79,645,410,260,104,25,4,0,1527,0,28,168,133,117,96,26,13,4,585,14,931,2867,1964,1144,638,213,85,23,7879,98,697,1593,1535,1125,626,211,125,26,6036,29,92,217,361,366,269,74,56,32,1496
LGA10470,71,213,398,351,281,115,48,31,6,1514,3,13,39,85,62,31,18,10,3,264,111,73,152,195,180,170,175,187,106,1349,194,457,1228,1315,1152,588,374,271,133,5712,0,0,27,55,79,43,16,4,0,224,0,3,27,59,90,42,11,4,0,236,0,156,459,372,354,199,58,35,9,1642,11,55,155,245,262,187,90,50,16,1071,6,28,70,112,98,63,27,7,6,417,48,228,323,264,189,108,26,15,6,1207,47,76,76,62,61,21,8,3,0,354,101,332,469,438,348,192,61,25,12,1978,8,18,34,61,82,46,29,19,12,309,128,80,113,182,185,183,208,175,65,1319,248,644,1284,1412,1400,892,473,312,114,6779,0,5,42,84,85,79,26,4,3,328,0,4,41,61,100,73,26,7,0,312,3,130,498,459,362,283,113,45,14,1907,7,68,163,253,288,226,129,69,24,1227,8,31,54,100,100,83,39,15,8,438
LGA10550,33,109,264,366,243,145,100,37,5,1302,3,9,33,55,59,36,27,14,3,239,108,44,127,230,182,229,269,267,101,1557,144,208,689,1160,1000,718,569,372,113,4973,0,0,8,32,53,33,14,0,0,140,0,0,22,45,96,49,14,7,0,233,5,34,183,256,341,207,99,37,14,1176,0,23,98,156,317,239,119,46,16,1014,6,15,31,82,89,42,33,12,3,313,26,105,203,300,253,141,62,30,14,1134,15,26,47,63,54,37,19,3,0,264,47,146,281,445,396,220,114,45,17,1711,5,8,25,59,82,66,37,25,15,322,109,24,92,125,231,208,248,285,89,1411,166,235,709,1118,1516,1022,645,445,151,6007,0,4,19,44,61,61,20,4,0,213,0,3,35,50,93,98,39,9,0,327,0,21,191,302,353,326,174,51,12,1430,3,34,98,195,296,317,161,75,21,1200,3,16,32,55,90,77,47,16,3,339
LGA10600,15,27,89,162,103,52,25,19,0,492,0,3,11,29,26,15,13,3,3,103,47,18,31,55,68,67,99,74,29,488,62,59,246,514,481,271,188,119,35,1975,0,0,10,22,28,11,7,3,0,81,0,0,10,28,45,25,3,0,0,111,0,10,72,151,158,98,31,18,4,542,3,14,47,118,130,96,49,13,0,470,0,5,16,25,35,14,9,3,0,107,10,27,66,118,128,47,21,16,0,433,12,14,9,25,17,6,5,3,0,91,22,46,91,168,180,67,35,22,0,631,0,3,11,20,37,30,14,9,0,124,38,11,33,57,71,82,115,107,69,583,63,84,274,564,649,409,254,172,73,2542,0,0,8,27,42,33,17,4,0,131,0,0,6,27,47,58,7,3,0,148,0,18,86,184,188,151,57,21,8,713,5,13,43,95,145,104,71,24,9,509,0,7,17,20,41,29,16,3,3,136
